POA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
POA2600,3384,3859,7247,155,168,326,327,407,735,164,245,412,150,165,316,427,428,859,441,465,907,515,564,1084,452,534,990,463,482,950,177,239,420,95,161,254,3109,3545,6656,275,317,591,30,31,59,0,0,3,0,3,5,33,36,65,2337,2620,4962,857,1022,1877,2697,2979,5678,494,676,1168,2971,3349,6316,47,43,89,311,378,695,142,217,358,73,82,156,157,215,376,2333,2451,4779,92,145,236,173,330,505,57,88,143,38,56,87,6,7,8,3030,3403,6433,819,693,1515
POA2601,3131,3232,6363,34,37,76,20,23,40,552,824,1375,1066,1165,2233,850,706,1554,252,162,416,138,139,276,125,103,226,66,48,115,11,15,25,12,16,31,2993,3100,6095,130,138,267,23,21,46,0,0,0,0,0,0,23,22,47,1338,1314,2656,1508,1684,3188,1577,1485,3056,1264,1524,2783,1720,1740,3454,8,3,11,16,17,35,514,767,1281,930,1048,1980,478,402,883,2641,2808,5453,51,40,87,52,60,110,14,25,38,13,10,18,4,3,9,1015,939,1954,2949,2860,5812
POA2602,14672,15776,30450,896,866,1761,1665,1681,3344,767,736,1503,1316,1414,2726,2669,2715,5387,2172,2321,4493,1951,2066,4022,1429,1610,3038,915,1047,1958,576,833,1415,316,483,799,13818,14910,28729,856,873,1722,173,180,357,8,0,7,5,4,11,184,187,377,10005,10630,20635,3753,4207,7959,11038,11767,22802,2744,3127,5870,12155,13214,25373,176,152,328,1546,1583,3128,638,616,1257,742,869,1610,1129,1310,2435,9072,9781,18854,441,413,856,1039,1195,2233,333,398,733,298,422,718,44,80,123,13374,14438,27814,1378,1271,2648
POA2603,4644,4719,9359,213,181,394,572,517,1092,333,237,571,279,245,524,651,723,1371,532,620,1155,759,714,1470,600,607,1204,429,424,849,173,233,406,106,212,315,4339,4408,8745,303,308,612,31,8,47,5,4,9,3,3,3,41,16,57,3094,3088,6186,1185,1254,2440,3395,3414,6814,876,944,1821,3889,3916,7805,48,48,97,546,489,1034,296,202,497,113,110,225,212,294,508,2840,2948,5788,151,148,302,295,336,626,119,97,214,56,68,129,11,17,32,4021,4073,8097,958,800,1753
POA2604,5026,5354,10383,284,257,541,442,405,846,250,208,460,285,304,594,1143,1257,2401,750,782,1534,675,735,1409,609,598,1212,325,336,666,166,255,424,104,205,310,4674,4988,9663,353,366,726,85,105,190,0,6,6,4,3,8,89,115,200,3356,3493,6856,1208,1340,2550,3661,3875,7533,921,992,1914,4145,4375,8518,62,59,115,402,376,781,207,177,382,117,124,239,375,448,826,3112,3348,6463,191,146,338,356,439,801,102,120,218,75,103,183,18,14,29,4346,4622,8967,797,693,1492
POA2605,5605,6126,11725,351,292,646,832,830,1668,350,315,663,260,265,521,550,595,1146,735,822,1560,836,919,1752,641,704,1346,499,542,1039,376,486,857,178,353,532,5293,5806,11099,305,322,623,60,52,106,0,3,7,5,0,5,59,56,118,3794,4085,7877,1420,1678,3100,4270,4609,8883,957,1176,2137,4763,5207,9965,75,67,134,792,797,1585,296,277,567,147,112,259,227,275,502,3239,3541,6773,148,194,346,406,523,931,134,190,322,112,152,267,8,24,34,4968,5387,10350,853,1024,1879
POA2606,4656,4764,9422,239,287,524,471,455,931,229,211,443,297,309,601,999,1080,2075,730,669,1399,581,574,1152,446,424,871,340,398,738,236,275,516,79,98,177,4427,4563,8995,230,197,426,62,56,119,0,0,3,3,6,5,68,60,127,2661,2618,5277,1633,1821,3452,2899,2859,5756,1398,1596,2995,3474,3515,6991,39,52,88,430,417,845,183,167,355,117,117,228,319,332,651,2846,2865,5703,180,172,351,342,437,776,99,97,193,103,115,222,15,21,41,4228,4391,8617,434,364,796
POA2607,6662,6953,13614,352,352,705,938,746,1683,481,426,899,406,381,795,722,708,1429,821,927,1747,924,1024,1954,803,825,1630,655,847,1503,407,497,907,153,215,369,6286,6575,12861,374,378,748,69,86,154,0,0,0,4,3,7,73,84,163,4554,4604,9156,1831,2081,3908,4975,5036,10016,1413,1665,3084,5787,6022,11809,59,69,126,891,709,1606,397,364,757,197,182,377,235,372,601,3904,4064,7971,259,277,538,616,824,1442,167,200,369,126,147,266,20,31,53,6254,6524,12775,200,227,424
POA2609,512,373,887,22,22,43,20,28,46,23,12,36,38,14,51,59,45,107,63,40,106,109,55,164,76,64,143,71,61,130,22,28,49,11,8,14,472,344,812,40,34,72,16,7,29,0,0,0,0,0,0,19,7,30,337,247,585,86,71,156,375,284,663,32,34,71,378,295,670,4,4,6,14,30,43,17,11,23,12,3,14,8,13,23,158,119,283,34,21,58,108,75,187,40,28,63,23,17,36,3,0,3,376,294,678,268,137,402
POA2611,13564,14453,28018,1052,965,2016,1952,1758,3714,689,720,1404,659,677,1339,1794,2076,3871,2105,2246,4351,1781,1807,3580,1303,1481,2788,1309,1548,2859,697,805,1501,224,374,591,12838,13711,26544,731,744,1473,164,167,335,8,6,12,8,11,12,178,184,366,9798,10282,20086,2968,3293,6265,10640,11187,21823,2157,2427,4585,11941,12580,24522,198,179,375,1865,1669,3532,566,576,1144,262,313,570,533,769,1302,7476,7950,15429,495,578,1082,1194,1516,2708,346,424,765,266,348,614,33,40,69,12501,13270,25767,713,846,1565
