POA_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
POA2600,45,2600,1424,475,3440,0.8,2474,2.3
POA2601,23,2200,313,500,3085,1.2,2222,1.8
POA2602,36,2167,992,360,2573,0.9,1930,2.4
POA2603,41,2500,1365,395,3426,0.8,2395,2.3
POA2604,36,2167,1359,420,2847,0.9,2220,2.1
POA2605,43,2383,1115,420,2924,0.8,2273,2.6
POA2606,35,1950,1024,350,2289,0.9,1777,2.2
POA2607,42,2167,1007,370,2557,0.8,2084,2.5
POA2609,49,1500,681,260,1778,0.9,968,1.8
POA2611,38,2167,1088,370,2574,0.8,2124,2.5
POA2612,30,2058,1068,391,2726,1,2004,2
POA2614,39,2058,963,360,2429,0.8,1940,2.5
POA2615,35,2000,931,360,2226,0.8,1911,2.7
POA2617,32,1950,877,375,2299,0.9,1907,2.5
POA2618,43,2342,951,300,2574,0.8,2369,2.9
POA2900,36,1650,1022,410,2148,0.9,1688,2
POA2902,40,1950,917,345,2258,0.7,1916,2.6
POA2903,39,2000,929,350,2310,0.8,1985,2.6
POA2904,42,2123,1025,420,2570,0.7,2260,2.7
POA2905,35,2000,944,380,2294,0.8,2040,2.7
POA2906,35,2000,969,370,2367,0.8,2103,2.8
POA2911,31,2500,1242,380,2745,0.9,2486,2.8
POA2912,31,2039,894,380,2246,1,2065,2.8
POA2913,32,2037,1016,385,2390,0.8,2149,2.8
POA2914,31,2167,1113,410,2561,0.9,2388,3.1
