POA_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
POA2600,1025,669,786,859,1012,892,805,359,238,6656,3,0,0,0,0,13,7,3,0,26,10,39,98,113,120,75,48,22,10,534,0,20,67,53,55,31,12,3,0,242,3,4,25,18,23,13,10,0,0,101,0,3,9,4,13,6,11,0,0,51,0,10,9,3,10,8,9,4,0,52,0,0,4,0,11,8,3,0,0,22,0,3,8,5,4,0,0,0,0,20,32,20,33,41,25,26,24,18,21,240,0,0,0,0,0,0,0,0,0,0,49,97,255,249,260,166,115,51,28,1261,48,100,255,247,257,177,117,51,31,1286,1078,769,1042,1110,1274,1074,926,416,265,7939
POA2601,107,3509,1472,387,260,202,106,24,24,6095,0,10,3,0,0,0,0,0,0,16,11,219,85,109,128,109,40,4,3,706,7,78,59,83,102,45,23,0,0,387,3,25,22,24,65,39,13,0,3,194,0,17,9,18,33,12,8,0,0,96,0,7,13,11,17,18,9,0,0,77,0,3,0,4,3,10,3,0,0,28,0,6,0,7,0,0,0,0,0,16,0,57,40,20,17,14,5,0,0,155,0,0,0,3,0,0,0,0,0,3,14,419,221,284,368,240,99,8,7,1657,14,433,224,288,368,240,99,8,7,1672,126,3938,1698,675,628,437,197,29,33,7768
POA2602,4960,3991,5056,4290,3799,2811,1781,1301,745,28729,3,0,5,6,8,7,8,13,8,53,21,85,108,88,142,125,60,18,4,657,11,11,35,24,45,54,25,0,0,203,8,3,22,25,31,34,11,3,0,138,0,9,11,9,15,22,14,3,0,86,5,0,14,22,12,8,7,0,0,64,0,0,3,6,7,7,4,0,0,23,0,0,3,0,3,0,0,0,0,11,48,119,124,71,51,44,18,13,13,499,0,0,0,0,0,0,0,0,0,0,88,232,319,247,308,287,135,47,15,1681,91,235,326,248,318,295,140,57,21,1734,5058,4222,5383,4537,4112,3104,1922,1350,763,30457
POA2603,1418,1017,1267,1088,1389,1129,760,366,302,8745,0,0,5,3,0,3,3,0,0,12,13,56,64,74,103,90,51,20,3,479,0,9,15,29,22,25,13,6,0,125,47,45,29,23,30,16,7,0,0,198,0,0,3,10,11,12,15,0,0,55,0,3,6,7,13,3,3,0,0,38,3,0,0,9,0,0,6,0,0,16,0,0,0,3,0,3,0,0,0,3,35,22,41,36,19,8,9,8,8,184,0,0,0,0,0,0,0,0,0,0,101,131,157,194,203,161,98,38,12,1091,101,135,161,200,206,161,101,38,15,1109,1519,1152,1433,1289,1595,1295,858,401,312,9853
POA2604,1336,979,2206,1413,1309,1129,603,375,296,9663,0,0,3,5,0,3,0,3,0,19,6,25,45,57,66,76,52,13,0,347,3,8,29,22,24,18,7,0,0,114,9,15,3,13,22,5,12,3,0,76,0,0,5,9,9,8,3,0,0,32,0,3,11,4,4,0,0,0,0,27,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,11,26,50,31,17,19,0,3,0,162,0,0,0,0,0,0,0,0,0,0,30,77,144,139,150,139,74,15,0,773,34,79,147,144,146,142,73,16,0,790,1373,1064,2357,1559,1463,1270,679,396,298,10453
POA2605,2258,1136,1085,1486,1674,1243,908,811,509,11099,0,5,3,0,3,0,4,6,3,26,34,35,38,47,44,73,64,46,15,386,0,3,13,5,3,3,3,4,3,37,4,0,12,3,4,6,4,0,0,41,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,81,35,88,65,51,76,79,91,62,619,0,0,0,0,0,0,0,0,0,0,121,75,150,114,107,168,145,143,78,1111,125,77,155,122,106,168,153,148,77,1133,2377,1215,1237,1601,1779,1413,1055,957,588,12229
POA2606,1436,1001,1986,1342,1106,821,659,478,164,8995,0,0,3,4,0,3,10,0,0,19,3,9,20,22,26,45,13,8,0,153,0,0,8,11,16,12,9,0,0,59,0,0,3,10,13,8,5,3,3,43,0,0,0,0,3,0,0,0,0,5,0,0,0,3,4,3,0,0,0,7,0,0,0,3,0,3,3,0,0,6,0,0,3,0,3,3,0,0,0,11,20,24,23,20,7,10,10,3,0,113,0,0,0,0,0,0,0,0,0,0,22,37,63,73,75,75,35,15,3,401,25,37,60,77,73,80,40,17,8,424,1463,1039,2053,1420,1182,898,704,496,173,9412
POA2607,2331,1623,1356,1667,1870,1507,1348,823,336,12861,3,0,0,3,3,7,11,0,0,29,3,13,8,8,12,13,9,4,0,73,3,0,11,0,3,0,3,0,0,25,0,0,0,3,3,0,4,0,0,14,0,0,0,0,3,3,4,0,0,10,0,3,0,0,0,4,0,0,0,4,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,3,0,0,0,7,27,43,30,20,25,19,13,4,0,180,0,0,0,0,0,0,0,0,0,0,37,61,52,32,40,45,27,6,3,308,39,65,55,40,41,48,38,11,3,339,2366,1687,1410,1710,1910,1550,1388,838,343,13197
POA2609,85,77,103,102,153,124,106,49,10,812,0,3,0,0,0,0,0,0,0,4,3,3,15,20,24,23,10,0,0,104,0,3,0,11,3,14,3,0,0,33,0,0,3,3,5,8,7,0,0,23,0,0,3,3,3,3,3,0,0,13,41,5,3,4,4,0,3,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,8,3,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,53,18,30,44,45,45,22,0,5,262,53,18,30,44,45,45,22,0,5,264,132,95,140,144,202,173,131,49,15,1078
POA2611,5595,2586,3665,4125,3415,2579,2627,1389,562,26544,0,3,3,10,3,14,10,6,0,46,17,34,28,27,34,41,22,9,3,213,3,3,5,5,6,16,11,0,0,51,0,0,3,4,3,7,7,3,0,33,0,0,5,6,3,4,0,0,0,19,0,3,0,4,3,0,3,0,0,13,0,0,0,3,0,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0,73,101,81,58,31,20,14,11,16,392,0,0,0,0,0,0,0,0,0,0,96,137,129,108,72,94,64,24,18,736,99,146,131,113,77,99,67,29,17,788,5696,2735,3794,4246,3492,2683,2695,1420,580,27330
