POA_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
POA2600,113,54,55,111,52,38,90,37,68,103,46,42,86,241,266,510,60,69,124,33,51,86,36,56,88,34,58,93,46,45,91,208,270,478,42,60,101,66,62,127,58,62,121,48,65,111,58,56,113,273,302,574,47,66,111,38,36,76,33,34,69,29,31,64,40,24,63,196,185,381,22,25,53,21,22,47,20,26,50,21,29,42,21,27,50,102,138,237,77,104,181,64,98,166,20,43,61,9,13,18,0,0,0,3384,3859,7247
POA2601,34,12,20,28,13,10,18,9,6,17,16,13,25,65,55,118,18,11,32,4,6,12,17,11,24,10,9,20,13,4,16,61,44,104,7,11,14,7,3,14,10,8,15,5,3,13,15,6,17,39,33,74,8,8,17,8,0,3,4,0,3,3,3,8,7,4,7,27,19,41,5,3,5,3,0,3,3,3,3,3,3,3,0,0,0,10,8,23,0,6,10,6,8,16,5,5,10,0,0,0,0,0,0,3131,3232,6363
POA2602,364,168,186,357,160,163,319,132,152,285,154,159,315,785,849,1635,142,188,330,137,139,274,129,136,270,118,176,294,120,119,242,646,760,1403,108,119,229,136,104,238,111,129,241,91,105,196,99,116,212,543,568,1119,89,101,187,73,88,166,75,100,170,56,96,153,71,90,166,370,475,842,47,112,160,48,78,129,63,85,147,57,93,154,62,82,143,282,446,729,290,388,683,214,266,481,91,180,274,10,35,45,0,3,3,14672,15776,30450
POA2603,124,66,82,152,76,57,129,71,89,157,52,58,116,337,339,671,57,61,116,50,56,114,54,58,109,50,35,84,61,57,116,267,262,532,46,58,101,43,44,91,50,47,94,54,55,109,53,66,114,242,262,508,40,38,75,46,27,73,31,43,71,41,24,57,25,37,62,180,161,339,27,26,48,16,25,39,25,17,44,9,26,36,9,18,26,86,114,197,87,118,205,67,119,183,30,79,111,7,12,19,0,3,0,4644,4719,9359
POA2604,168,89,64,154,63,72,129,57,81,137,49,60,104,339,345,688,60,52,112,47,52,101,49,56,105,70,53,123,38,46,87,269,251,521,40,43,82,39,48,88,50,30,78,33,41,78,41,39,79,202,208,410,35,39,69,36,27,64,26,20,41,15,30,40,16,15,39,124,129,258,19,30,47,30,32,63,24,38,59,23,25,47,16,16,36,116,136,252,49,118,170,52,87,141,42,92,129,11,22,31,0,3,3,5026,5354,10383
POA2605,177,92,83,174,65,75,142,58,80,142,67,60,126,380,385,762,46,63,111,52,64,114,64,62,123,43,74,122,57,59,115,265,319,581,56,40,98,56,53,112,55,59,117,54,60,111,61,64,125,288,272,561,42,46,91,32,46,84,43,54,93,29,65,98,60,55,119,211,270,476,44,54,99,33,65,101,38,57,99,48,54,99,39,48,89,208,283,491,161,201,364,107,185,290,52,130,177,14,37,50,6,4,11,5605,6126,11725
POA2606,96,47,43,90,57,55,108,50,31,80,43,42,86,249,217,469,41,49,83,42,46,84,49,36,87,34,41,71,38,37,79,197,205,404,37,32,71,37,47,89,48,38,80,31,46,75,34,37,76,190,202,390,36,30,70,26,41,69,28,44,69,28,36,58,38,46,79,156,194,345,32,34,68,32,31,66,29,42,71,22,30,49,13,35,53,132,167,297,106,109,217,50,61,113,18,25,48,3,7,9,0,0,0,4656,4764,9422
POA2607,222,83,104,182,74,93,173,92,75,170,66,95,164,440,474,913,75,78,154,74,74,148,65,73,139,81,55,135,69,76,139,361,346,711,79,71,152,66,70,139,62,81,139,69,80,156,72,100,170,346,402,754,58,107,169,60,84,146,58,70,128,59,93,146,66,91,156,303,443,745,53,72,125,49,61,108,47,58,102,56,55,105,38,49,89,253,287,534,158,216,372,108,137,243,40,61,102,9,14,21,0,0,0,6662,6953,13614
POA2609,12,15,0,10,3,4,6,10,3,11,9,6,12,35,21,58,14,7,18,12,12,24,7,9,13,6,3,16,4,13,18,37,40,84,12,4,17,12,3,8,0,7,10,11,4,14,13,9,19,43,29,72,10,8,12,5,8,11,12,3,17,4,9,10,4,7,8,29,30,56,7,8,16,5,4,7,3,5,9,0,3,5,3,0,7,17,16,35,3,7,11,7,8,11,0,0,0,0,0,0,0,0,0,512,373,887
POA2611,288,144,167,307,133,165,301,156,162,314,118,151,267,680,801,1480,123,131,255,119,136,258,136,131,260,123,109,230,127,177,297,624,679,1309,115,153,266,134,164,292,124,188,309,150,177,328,160,189,351,682,868,1550,159,143,295,125,153,277,123,152,274,111,127,233,108,116,226,623,685,1311,88,94,180,99,108,209,65,79,143,93,94,182,74,93,169,416,464,881,275,337,613,151,223,369,58,111,167,18,36,47,0,4,5,13564,14453,28018
POA2612,156,79,83,163,89,68,159,80,57,132,73,40,111,404,316,718,67,73,139,54,53,113,61,43,103,45,50,98,70,40,112,305,255,561,57,51,109,52,64,114,42,41,86,40,54,91,49,46,97,242,261,504,49,35,84,47,50,101,41,44,85,29,41,66,31,28,57,192,207,399,21,40,61,32,29,54,31,28,57,25,23,52,13,31,44,123,147,269,63,114,176,57,85,140,22,48,70,4,12,20,0,0,0,8647,7537,16184
POA2614,232,94,122,218,83,121,202,111,104,219,108,101,212,513,572,1089,91,86,175,78,104,183,71,95,167,75,102,184,74,93,166,391,481,871,91,103,193,73,103,172,91,105,193,90,116,202,111,152,264,457,573,1029,90,125,211,92,131,227,89,107,199,92,72,161,87,88,173,451,522,967,66,85,145,87,68,156,71,80,149,64,78,142,58,69,131,343,375,721,235,271,509,136,206,336,61,101,162,10,24,37,0,3,3,9487,9903,19390
POA2615,499,236,261,497,237,275,515,218,238,462,222,273,497,1148,1322,2470,200,212,415,206,258,464,216,251,474,197,261,456,188,248,429,1004,1226,2230,201,259,463,193,229,418,208,275,482,202,258,459,246,253,499,1052,1271,2318,195,173,373,163,191,353,134,168,299,123,150,277,118,132,252,742,813,1554,101,125,226,97,104,205,91,76,175,84,76,159,78,86,164,456,472,925,237,274,514,115,161,279,32,78,108,11,18,29,0,3,3,21666,22506,44177
POA2617,341,153,148,300,152,180,330,158,203,358,164,187,354,773,908,1682,154,184,342,167,182,350,170,173,350,179,223,401,154,169,322,825,930,1761,165,190,362,145,166,313,163,147,310,158,151,314,135,140,271,765,802,1564,95,100,194,95,94,195,89,94,185,89,79,169,65,74,144,438,448,884,73,69,148,61,63,122,57,65,127,47,58,105,42,65,104,284,322,601,160,225,388,106,166,270,43,92,128,12,28,41,0,0,0,16258,16243,32503
POA2618,16,12,11,25,7,6,14,8,5,18,10,6,14,42,45,85,4,11,16,10,8,14,12,16,30,14,16,29,10,12,21,41,60,106,8,12,20,8,8,17,7,10,20,8,13,23,15,7,18,48,47,98,14,6,16,5,13,21,13,3,14,3,6,8,10,14,16,40,40,79,6,4,12,3,7,9,7,4,9,7,0,6,3,3,5,24,21,45,18,10,31,0,0,4,0,3,3,0,0,0,0,0,0,720,732,1445
POA2900,22,3,14,22,12,18,34,9,18,21,10,12,20,47,66,113,12,18,27,14,5,19,12,16,19,10,8,20,17,17,32,57,61,117,13,8,21,8,10,20,13,7,16,17,11,31,6,19,21,52,56,108,12,14,25,3,13,19,5,9,14,3,13,19,3,10,15,36,56,87,4,8,12,8,11,12,11,8,13,7,4,6,0,3,4,23,31,56,15,18,33,10,12,17,4,6,8,0,0,0,0,0,0,947,982,1930
