POA_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
POA2600,0,0,0,0,164,164,0,0,0,0,145,150,112,6,6,0,305,427,265,19,16,0,141,441,368,15,45,4,87,515,344,15,56,4,35,452,385,5,37,16,18,463,146,3,13,14,6,177,54,0,3,25,7,95,1677,62,172,69,916,2899,0,0,0,0,245,245,7,0,0,0,162,165,150,8,3,0,271,428,306,10,28,4,118,465,383,28,67,6,77,564,347,10,93,21,61,534,347,4,62,50,22,482,113,4,15,93,10,239,27,0,5,121,4,161,1690,65,277,287,969,3289,0,0,0,0,412,412,8,0,0,0,311,316,258,15,8,0,576,859,570,25,46,5,261,907,753,45,110,7,167,1084,698,28,143,25,96,990,733,15,98,66,37,950,257,8,32,110,15,420,88,3,6,144,9,254,3364,130,449,361,1879,6190
POA2601,0,0,0,0,548,552,8,0,3,0,1056,1066,135,4,9,0,697,850,103,9,19,0,123,252,57,13,27,0,38,138,68,6,28,0,16,125,42,0,9,3,10,66,7,0,0,3,0,11,8,0,0,3,0,12,426,41,98,11,2494,3072,0,0,0,0,821,824,19,3,0,0,1149,1165,151,8,17,3,534,706,53,10,15,0,90,162,56,9,30,3,36,139,57,5,23,10,15,103,31,0,12,8,3,48,4,0,0,4,3,15,7,0,0,8,0,16,380,34,97,30,2644,3178,0,0,0,0,1365,1375,24,3,3,0,2199,2233,285,8,31,3,1232,1554,154,16,29,0,211,416,115,27,61,3,74,276,123,14,45,10,28,226,70,0,24,6,13,115,12,0,0,3,3,25,13,0,5,11,0,31,809,70,201,37,5131,6251
POA2602,0,0,0,3,759,767,24,0,3,0,1291,1316,779,38,33,3,1818,2669,1229,51,116,3,771,2172,1091,71,220,8,555,1951,778,56,217,19,369,1429,545,30,160,44,141,915,408,14,53,74,27,576,177,8,19,102,8,316,5026,267,829,244,5739,12110,0,0,0,0,733,736,52,0,0,0,1364,1414,944,50,46,0,1678,2715,1308,73,147,17,778,2321,1055,83,310,28,587,2066,760,68,362,73,338,1610,474,36,253,180,96,1047,360,18,98,333,29,833,80,3,25,363,9,483,5032,333,1260,1000,5610,13235,3,0,0,3,1491,1503,72,0,4,0,2650,2726,1715,87,81,4,3496,5387,2539,122,269,21,1550,4493,2147,154,533,41,1144,4022,1540,125,578,92,709,3038,1017,68,411,224,235,1958,764,28,150,405,54,1415,256,8,51,467,17,799,10063,600,2084,1250,11348,25343
POA2603,0,0,0,0,336,333,3,0,0,0,272,279,152,4,6,0,478,651,324,16,26,3,172,532,520,28,51,4,150,759,416,27,68,11,77,600,323,11,49,19,25,429,138,0,9,16,11,173,64,0,4,36,3,106,1933,93,217,90,1525,3857,0,0,0,0,240,237,4,0,0,0,242,245,210,4,11,0,492,723,383,17,54,3,168,620,499,28,75,3,105,714,399,18,101,20,61,607,275,8,63,56,28,424,99,6,21,95,12,233,40,0,5,159,9,212,1908,84,334,339,1345,4017,3,0,0,0,573,571,4,0,0,0,520,524,362,10,19,3,973,1371,705,37,73,6,338,1155,1022,60,132,8,254,1470,817,46,178,30,142,1204,595,20,108,74,50,849,234,6,28,113,20,406,103,0,10,194,8,315,3844,176,555,427,2873,7870
POA2604,0,0,0,0,250,250,6,0,0,0,279,285,288,9,15,0,823,1143,390,38,50,5,263,750,364,41,91,0,174,675,363,32,96,11,112,609,205,18,56,16,37,325,104,5,17,32,11,166,47,0,9,49,3,104,1755,146,329,112,1959,4303,3,0,0,0,209,208,15,0,0,0,289,304,360,22,26,3,848,1257,390,22,60,9,296,782,352,48,144,18,176,735,311,36,143,20,92,598,171,7,99,38,18,336,87,4,28,125,10,255,29,0,8,165,5,205,1721,140,509,378,1941,4692,3,0,0,0,461,460,21,0,0,0,566,594,646,32,40,5,1678,2401,781,59,117,8,565,1534,716,93,228,24,353,1409,666,62,239,35,206,1212,374,30,150,53,57,666,185,11,49,161,18,424,76,0,13,211,7,310,3480,283,843,495,3908,8997
POA2605,0,0,0,0,348,350,7,0,0,0,257,260,198,3,9,0,338,550,534,18,29,0,154,735,582,27,52,7,169,836,445,21,70,5,102,641,347,20,57,25,47,499,282,12,29,45,8,376,97,3,10,67,3,178,2492,98,251,151,1429,4417,0,0,0,0,317,315,18,0,0,0,249,265,274,10,13,0,293,595,602,17,44,3,150,822,613,37,112,12,147,919,438,15,129,24,99,704,304,14,97,74,49,542,228,0,51,181,19,486,62,0,13,262,11,353,2541,104,458,571,1336,4997,0,3,0,0,665,663,22,0,0,0,506,521,480,13,21,0,634,1146,1137,33,72,7,307,1560,1195,65,164,19,313,1752,880,37,194,34,196,1346,648,36,154,103,92,1039,513,14,82,231,25,857,162,3,17,331,18,532,5032,199,702,718,2760,9414
POA2606,0,3,0,0,230,229,6,0,0,0,286,297,405,11,9,0,572,999,424,17,40,0,247,730,319,26,63,0,171,581,236,26,80,10,99,446,216,13,57,17,40,340,176,3,26,29,3,236,53,0,4,17,3,79,1837,101,277,68,1656,3942,0,0,0,0,209,211,37,0,0,0,272,309,513,11,25,0,526,1080,402,13,58,5,196,669,297,26,111,12,128,574,231,19,90,34,45,424,198,6,78,70,34,398,127,8,37,93,3,275,22,0,7,58,6,98,1829,86,410,276,1425,4028,0,3,0,0,434,443,45,0,0,0,552,601,913,25,39,0,1102,2075,825,35,95,4,443,1399,615,49,175,12,297,1152,468,43,170,42,147,871,420,22,136,87,76,738,311,10,67,118,12,516,75,0,8,76,8,177,3672,187,685,342,3075,7968
POA2607,0,0,0,0,477,481,11,0,0,0,398,406,284,14,6,0,413,722,566,26,41,0,191,821,654,32,90,6,152,924,580,35,81,14,96,803,515,17,69,18,30,655,311,8,27,44,9,407,102,0,5,43,0,153,3028,132,324,119,1768,5368,0,0,0,3,417,426,31,4,0,0,353,381,354,9,14,0,326,708,635,28,66,3,189,927,681,46,151,4,145,1024,520,28,142,38,88,825,507,25,119,151,44,847,258,3,47,177,14,497,44,0,19,145,5,215,3037,147,560,528,1589,5850,3,0,0,3,897,899,37,4,0,0,752,795,643,27,23,0,735,1429,1201,56,106,7,384,1747,1338,71,243,12,293,1954,1097,62,220,49,185,1630,1029,42,188,164,73,1503,572,12,77,222,24,907,147,4,21,195,7,369,6058,276,884,650,3356,11225
POA2609,3,0,0,0,19,23,0,0,0,0,36,38,14,0,8,0,43,59,14,9,5,0,37,63,35,8,22,3,37,109,24,7,24,3,20,76,29,0,21,4,8,71,7,0,8,3,0,22,3,0,3,0,0,11,129,34,90,18,205,471,0,0,0,0,12,12,0,0,0,0,18,14,19,3,0,0,24,45,19,0,8,0,11,40,24,8,10,3,11,55,26,14,17,5,8,64,19,3,15,13,3,61,12,0,7,10,0,28,0,0,0,4,0,8,115,25,62,41,86,326,3,0,0,0,37,36,0,0,0,0,53,51,28,6,9,0,62,107,28,9,11,0,50,106,56,15,36,6,56,164,47,21,41,7,28,143,48,8,42,22,11,130,20,0,13,17,0,49,5,0,3,7,0,14,240,60,155,51,294,802
POA2611,0,0,0,0,689,689,28,0,0,0,633,659,730,18,36,4,1011,1794,1425,54,106,3,520,2105,1132,72,211,18,347,1781,894,45,188,20,158,1303,995,33,152,63,64,1309,499,20,58,83,26,697,120,4,15,84,5,224,5823,248,764,272,3452,10559,3,0,0,0,716,720,39,0,0,0,638,677,1001,38,40,0,993,2076,1471,70,160,16,531,2246,1082,86,286,26,323,1807,884,63,281,81,172,1481,936,38,298,211,76,1548,373,17,105,294,21,805,58,0,23,279,10,374,5852,313,1182,909,3475,11729,3,0,0,0,1401,1404,70,0,0,3,1268,1339,1732,54,75,4,2004,3871,2897,124,261,17,1045,4351,2212,163,492,44,668,3580,1775,112,464,106,327,2788,1934,69,448,271,140,2859,873,42,162,373,45,1501,175,4,33,362,13,591,11672,557,1944,1185,6925,22286
