POA_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
POA2600,0,0,156,156,0,11,113,125,91,92,179,363,236,56,104,392,312,46,101,461,299,37,64,403,306,22,53,376,114,3,27,146,43,3,36,80,1402,263,834,2501,0,0,182,181,4,14,123,138,124,86,164,371,273,47,95,423,336,44,128,497,294,36,130,462,262,9,116,393,93,0,102,197,27,0,118,142,1422,236,1150,2808,0,0,335,337,6,27,232,268,216,179,343,733,509,105,201,812,645,84,227,961,600,74,193,866,569,33,172,770,207,7,129,341,73,3,151,222,2819,500,1988,5308
POA2601,0,0,25,23,3,23,93,114,65,129,199,399,49,36,66,157,38,17,48,104,37,12,37,88,28,7,9,45,4,0,0,9,6,0,3,5,236,228,492,951,0,0,25,31,9,31,110,152,83,128,168,378,38,16,42,96,40,11,42,95,42,13,26,77,16,0,15,30,3,0,6,6,3,0,6,9,234,205,434,874,0,0,52,48,12,60,194,265,153,256,366,773,88,52,111,253,76,34,97,205,83,19,67,162,45,7,28,76,6,0,6,18,6,0,5,16,470,428,921,1823
POA2602,0,6,699,705,13,132,1031,1177,628,517,1213,2357,1064,365,528,1962,946,322,473,1737,664,183,413,1260,451,54,266,777,323,9,137,469,139,8,99,248,4237,1591,4861,10683,0,12,664,677,38,173,1060,1263,790,586,1046,2429,1154,396,572,2119,929,341,629,1901,626,164,620,1409,401,50,439,893,296,12,390,700,61,0,256,314,4294,1732,5684,11707,0,14,1358,1381,54,298,2092,2446,1423,1104,2257,4781,2220,758,1094,4074,1876,657,1102,3636,1292,345,1041,2673,852,112,706,1662,618,19,536,1171,198,8,356,563,8528,3322,10544,22393
POA2603,0,0,263,263,0,30,200,231,121,116,291,526,264,53,140,460,427,53,178,660,354,42,130,524,261,22,70,351,112,0,28,139,33,0,28,63,1579,309,1326,3214,0,3,214,218,4,31,172,203,175,110,326,610,323,56,163,542,447,51,149,653,340,36,138,514,230,13,112,350,72,0,92,171,17,0,83,101,1608,298,1450,3362,0,3,481,482,4,56,375,427,292,229,615,1135,591,107,306,999,872,104,332,1311,697,72,267,1041,491,33,181,699,191,0,120,310,58,0,108,161,3186,605,2780,6577
POA2604,0,0,228,228,3,39,186,238,236,285,440,960,334,110,197,644,273,77,210,563,293,55,185,527,163,23,72,261,80,6,25,111,33,0,22,59,1414,595,1570,3582,0,3,191,196,12,55,191,261,299,282,485,1066,334,98,254,691,303,81,263,657,265,33,220,512,140,14,132,285,59,0,106,168,13,3,64,81,1433,566,1911,3911,0,3,420,420,19,93,382,490,534,563,927,2025,671,212,451,1332,577,161,475,1215,552,88,405,1040,306,33,208,543,141,5,130,283,42,3,94,142,2840,1166,3483,7488
POA2605,0,4,322,324,4,15,213,232,170,77,217,463,475,74,105,650,525,73,150,746,396,65,97,556,278,33,80,388,230,6,57,291,71,0,37,113,2141,342,1283,3762,0,3,293,296,18,30,193,233,231,84,211,526,529,82,129,742,558,80,201,844,359,42,198,602,238,22,180,444,200,3,189,394,35,0,107,144,2173,351,1700,4224,0,6,620,625,17,45,411,470,401,158,427,985,1000,154,234,1395,1086,158,351,1583,751,107,294,1153,514,59,266,838,426,13,250,682,105,0,149,257,4306,687,2989,7986
POA2606,0,3,217,213,3,34,215,263,331,180,356,875,376,69,210,654,269,47,200,515,206,26,157,393,183,14,95,290,156,0,52,204,40,3,23,68,1563,386,1531,3479,0,5,187,194,29,65,174,264,427,181,356,963,352,55,199,610,262,61,203,525,206,17,157,376,171,17,156,346,110,3,133,246,26,0,66,96,1582,396,1633,3614,0,7,400,408,36,106,392,530,761,355,715,1836,728,126,407,1262,530,108,409,1045,406,45,319,772,355,34,251,637,264,5,185,454,64,4,98,166,3144,777,3168,7096
POA2607,0,0,453,454,8,29,338,377,241,125,280,648,517,97,151,759,602,97,168,865,515,62,160,737,438,30,96,565,278,8,82,369,86,0,48,126,2692,442,1769,4907,0,0,395,403,26,46,278,354,313,125,219,657,603,103,169,876,627,91,245,965,456,49,232,742,442,20,273,744,216,3,212,431,40,0,137,176,2733,446,2165,5337,0,8,848,855,39,77,613,733,554,254,497,1311,1118,192,319,1633,1237,190,406,1831,977,109,394,1479,884,49,377,1311,496,10,296,801,120,0,182,299,5416,892,3936,10243
POA2609,0,0,17,18,0,0,22,21,10,13,17,38,7,3,22,37,21,4,54,83,16,8,34,60,20,3,28,47,8,0,10,18,3,0,0,6,82,42,214,332,0,0,11,13,0,3,8,10,13,14,10,38,13,4,10,37,19,12,18,42,16,7,23,46,13,3,30,38,3,0,17,25,0,0,3,3,82,43,126,248,0,3,26,23,0,8,26,33,22,24,33,79,29,16,32,72,34,15,73,124,28,13,63,109,26,6,58,89,11,0,24,37,7,0,6,10,156,77,337,575
POA2611,0,4,643,646,23,70,482,581,631,389,565,1590,1299,253,359,1913,1037,207,385,1628,785,101,286,1172,856,61,224,1141,424,13,140,577,82,0,61,144,5143,1100,3145,9380,0,8,657,673,31,112,455,605,900,396,567,1865,1349,275,438,2062,983,197,491,1670,778,85,462,1318,808,45,516,1369,300,6,324,630,39,0,158,199,5193,1123,4075,10386,0,13,1301,1318,53,186,943,1181,1533,785,1139,3454,2651,529,796,3972,2019,398,879,3298,1565,183,740,2488,1672,97,742,2511,723,22,457,1203,122,0,226,348,10335,2223,7215,19769
