POA_CODE_2016,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
POA2600,6,3,3,148,159,303,0,6,12,155,168,326,0,0,3,156,179,332,5,10,13,160,184,351,0,0,3,163,212,374,3,8,10,170,217,385,4,7,15,161,229,389,4,6,10,164,245,412,3,3,5,137,156,291,12,5,18,150,165,316,0,3,6,185,218,400,21,11,30,209,230,436,3,3,6,202,183,389,15,16,32,227,199,426,0,3,6,208,209,414,12,14,28,224,225,443,0,3,3,209,222,433,12,11,26,226,240,462,8,0,8,239,273,511,17,18,34,261,291,557,3,4,4,243,254,498,7,19,25,258,269,526,0,0,0,231,257,490,11,6,14,241,266,510,0,0,4,195,255,448,12,19,31,208,270,478,3,0,3,688,823,1506,46,59,110,738,881,1617,33,36,65,3162,3619,6779,186,205,397,3384,3859,7247
POA2601,0,0,0,32,35,70,3,0,3,34,37,76,0,0,0,3,14,20,0,3,7,7,15,20,0,0,0,11,5,21,0,0,0,15,5,17,6,3,9,522,781,1305,22,38,61,552,824,1375,8,6,14,999,1104,2103,69,49,118,1066,1165,2233,3,0,8,476,407,880,66,38,105,551,448,993,0,3,3,259,229,492,35,24,62,298,261,560,0,3,3,141,95,243,16,10,30,158,114,271,0,0,0,70,41,115,16,4,22,89,51,146,0,0,0,72,59,129,12,14,19,80,70,155,0,0,0,45,51,104,6,9,19,60,63,123,3,3,5,55,47,101,11,10,19,65,55,118,0,0,0,49,45,88,12,7,11,61,44,104,0,0,0,78,62,140,18,21,32,93,81,174,23,22,47,2812,2982,5795,290,227,524,3131,3232,6363
POA2602,30,18,47,819,810,1629,44,37,85,896,866,1761,18,15,30,821,816,1638,56,49,101,890,883,1771,15,16,27,724,748,1469,30,37,67,773,796,1567,14,17,30,713,688,1407,38,24,60,767,736,1503,18,18,42,1234,1326,2566,54,70,121,1316,1414,2726,29,14,36,1207,1283,2488,87,90,176,1323,1382,2702,15,18,33,1250,1245,2494,87,74,160,1347,1336,2681,13,13,25,1073,1124,2198,63,63,126,1152,1199,2350,7,15,20,948,1049,1997,70,66,134,1022,1126,2149,10,17,22,996,1057,2049,55,56,108,1057,1125,2181,13,9,18,826,890,1714,57,45,102,894,941,1839,3,10,13,751,800,1547,38,38,76,785,849,1635,3,4,11,602,698,1306,39,56,89,646,760,1403,11,9,15,1670,2194,3867,128,164,292,1807,2370,4174,184,187,377,13647,14729,28377,836,862,1705,14672,15776,30450
POA2603,5,0,7,196,166,360,14,14,28,213,181,394,0,3,3,237,201,441,3,13,18,246,215,460,6,0,6,319,292,608,8,17,25,332,307,637,0,0,0,321,230,550,17,13,26,333,237,571,6,0,6,245,222,473,20,22,46,279,245,524,6,4,9,303,367,668,41,39,73,348,408,754,3,3,8,268,284,552,32,30,63,303,313,617,0,0,0,229,256,488,18,16,37,250,278,524,0,0,4,264,318,577,21,25,46,289,343,627,7,3,10,355,324,682,28,23,50,392,346,743,0,0,4,339,347,680,24,16,43,363,365,730,3,0,3,311,309,625,21,24,49,337,339,671,4,0,4,241,249,490,25,18,43,267,262,532,0,0,3,666,813,1475,42,55,91,704,871,1574,41,16,57,4283,4382,8673,317,313,631,4644,4719,9359
POA2604,15,11,29,250,229,476,16,20,38,284,257,541,10,11,25,199,201,401,17,11,28,224,226,449,11,3,16,194,171,359,16,5,21,216,181,401,6,9,13,224,195,415,21,6,24,250,208,460,4,8,17,252,277,533,23,20,46,285,304,594,4,24,27,532,592,1120,48,60,109,586,669,1259,0,8,8,501,533,1038,49,44,98,553,588,1143,7,7,9,360,392,755,29,15,45,392,416,810,3,4,6,323,334,653,26,30,50,350,366,717,4,9,11,299,305,603,32,22,58,333,337,677,3,4,10,311,358,663,23,35,57,337,397,731,5,3,7,308,314,622,24,26,52,339,345,688,3,5,10,252,225,477,18,18,35,269,251,521,3,10,14,550,738,1289,43,56,96,597,802,1397,89,115,200,4554,4862,9412,386,382,768,5026,5354,10383
POA2605,7,3,11,324,274,604,18,12,32,351,292,646,12,3,16,435,403,838,19,15,35,468,424,889,7,3,15,347,389,737,9,14,22,364,407,774,3,3,6,331,305,635,17,11,25,350,315,663,5,7,7,244,254,499,11,8,20,260,265,521,0,4,6,221,248,468,23,18,37,251,265,514,3,0,3,274,318,592,21,13,40,301,327,629,3,4,10,315,370,688,27,21,47,343,400,748,4,3,8,360,392,753,23,30,52,392,423,816,3,0,3,388,473,858,26,24,55,421,497,916,0,4,5,385,398,780,24,16,43,413,418,832,8,3,7,349,358,710,21,24,47,380,385,762,0,0,0,246,296,537,12,27,40,265,319,581,4,0,4,956,1274,2226,94,103,196,1051,1374,2425,59,56,118,5190,5739,10925,356,331,680,5605,6126,11725
POA2606,4,8,11,229,266,487,12,21,26,239,287,524,6,7,13,231,240,468,24,15,39,265,253,514,14,3,12,194,183,379,7,11,24,211,201,413,7,4,15,213,190,402,13,12,26,229,211,443,9,12,24,262,267,521,29,29,59,297,309,601,12,0,12,416,530,946,33,50,87,460,583,1040,0,4,7,482,449,931,59,40,98,541,492,1030,3,4,3,380,319,703,29,20,51,412,346,761,0,3,3,294,302,594,26,20,45,314,323,643,6,3,9,275,275,550,14,12,26,295,294,586,3,4,4,253,256,515,27,23,44,281,283,563,3,0,5,222,203,424,23,13,34,249,217,469,5,3,3,176,192,370,16,8,27,197,205,404,0,0,0,610,734,1336,49,33,84,658,769,1428,68,60,127,4229,4399,8627,360,310,667,4656,4764,9422
POA2607,5,16,22,331,333,665,19,7,25,352,352,705,3,4,15,455,390,852,9,7,16,469,411,879,10,7,12,442,326,763,17,9,24,467,336,806,14,14,25,446,397,845,21,9,32,481,426,899,11,10,22,385,358,745,14,13,29,406,381,795,3,4,7,340,296,633,13,19,28,359,314,673,3,5,6,339,382,717,21,15,33,367,392,758,4,5,11,362,414,769,9,15,27,378,433,805,0,0,4,427,476,903,18,11,30,447,492,937,7,9,13,460,474,931,12,15,30,482,496,976,5,3,15,412,512,925,21,15,38,441,534,976,0,7,9,424,446,869,13,24,34,440,474,913,4,3,11,345,333,677,15,15,24,361,346,711,5,0,3,1159,1497,2657,50,64,117,1212,1562,2775,73,84,163,6337,6630,12963,249,236,490,6662,6953,13614
POA2609,0,0,0,18,16,35,0,8,4,22,22,43,3,3,3,8,13,19,3,0,4,11,12,28,0,0,0,4,9,17,0,3,3,4,16,20,0,0,0,21,13,29,3,3,7,23,12,36,3,0,3,26,13,43,7,0,9,38,14,51,3,0,4,15,20,33,0,3,3,20,22,42,0,3,3,31,19,50,9,4,10,40,26,65,0,0,0,21,20,43,0,0,3,27,19,46,3,0,3,32,16,48,7,5,10,39,20,55,3,0,3,36,26,63,3,3,5,43,28,71,0,0,0,52,22,78,11,5,19,68,30,96,0,0,0,31,21,53,7,0,10,35,21,58,0,0,0,32,33,67,6,7,18,37,40,84,3,0,4,74,76,150,20,16,35,101,93,195,19,7,30,413,304,724,79,58,138,512,373,887
POA2611,22,24,44,971,902,1871,58,45,102,1052,965,2016,18,26,44,1013,885,1897,37,33,71,1064,938,2007,22,13,37,834,775,1613,29,31,61,889,819,1709,22,10,31,644,674,1318,21,26,53,689,720,1404,13,9,25,608,644,1256,34,26,60,659,677,1339,13,13,25,734,875,1601,65,66,135,810,959,1764,10,16,28,908,1043,1948,69,65,131,988,1118,2105,7,15,17,1001,1074,2073,59,67,126,1069,1146,2222,10,14,22,970,1038,2007,50,50,100,1035,1098,2129,6,8,17,909,918,1828,55,39,94,967,975,1941,8,12,19,763,796,1556,38,29,66,810,829,1641,5,10,21,639,752,1383,36,43,79,680,801,1480,7,9,12,587,636,1224,28,41,72,624,679,1309,11,14,22,2101,2562,4664,118,144,266,2224,2723,4954,178,184,366,12685,13567,26250,697,707,1401,13564,14453,28018
