POA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
POA2600,40,258,245,1535,29,2104,0,0,0,9,0,6,275,4,27,21,0,329,48,5,0,24,0,75,56,20,12,19,0,108,602,264,211,1653,34,2769,46,0,0,0,0,48,32,6,12,12,0,67,114,30,19,181,4,349,75,18,17,45,0,147,21,4,0,3,0,29,165,7,9,7,0,191,130,71,69,885,10,1170,120,37,19,107,5,285,30,3,4,0,0,33,12,3,0,6,3,26,9,0,0,3,0,15,13,0,3,11,0,32,3,0,0,0,0,3,32,10,8,5,0,55,64,9,0,25,0,99,28,0,0,6,0,37,153,67,69,637,6,941,18,0,3,3,0,25,32,4,5,0,0,40,33,3,0,0,0,47,37,6,3,3,0,53,5,0,0,0,0,14,54,3,7,4,0,69,36,9,4,28,0,75,499,77,75,95,3,751,8,4,0,8,372,392,2267,534,464,3528,443,7247
POA2601,31,179,151,766,10,1138,0,0,0,10,0,10,1815,4,11,17,5,1858,7,7,4,17,0,30,33,18,5,25,0,82,328,172,145,713,7,1362,60,0,13,0,0,73,26,6,5,10,0,46,70,27,17,84,0,198,10,20,4,26,0,61,10,6,3,10,0,26,277,4,4,0,0,290,99,52,44,397,0,595,42,19,9,69,0,145,122,0,4,0,0,127,13,0,7,11,0,23,8,4,0,0,0,13,4,5,0,3,0,11,4,0,0,0,0,6,13,4,3,0,0,22,20,3,4,19,0,52,22,3,0,6,0,38,102,48,38,284,3,475,3,0,0,0,0,11,11,3,0,0,0,23,32,0,0,4,0,36,48,3,3,0,0,54,9,0,0,0,4,12,47,0,3,0,0,46,16,3,6,6,0,34,720,66,60,65,0,912,25,3,0,20,509,555,3535,371,305,1622,533,6363
POA2602,235,1309,1142,6727,106,9509,0,4,3,73,8,89,1122,44,78,97,10,1354,191,28,19,79,7,318,246,101,69,149,3,568,2031,1251,1035,6313,135,10763,179,0,43,0,5,227,153,21,18,61,3,260,506,148,111,717,13,1502,257,47,26,133,5,465,83,19,17,31,3,154,522,29,41,21,0,607,536,415,343,3398,65,4753,419,142,65,382,13,1020,161,0,19,15,0,187,21,15,4,24,4,65,43,6,0,6,0,61,48,16,10,54,0,126,29,10,5,3,0,53,134,44,51,19,0,251,201,36,38,90,0,358,107,12,10,28,0,162,566,350,291,2326,28,3552,97,12,4,4,0,121,71,26,14,5,0,120,115,10,12,35,0,175,127,6,9,7,0,156,12,3,0,3,0,21,396,4,24,10,4,439,86,34,20,118,0,265,2966,376,361,445,32,4174,87,13,13,125,1651,1885,9611,2559,2181,14123,1986,30450
POA2603,58,363,328,1956,15,2728,0,0,0,8,0,7,391,21,36,24,3,468,64,11,4,36,3,110,51,19,22,36,0,127,603,340,274,1944,29,3193,59,4,5,6,0,77,63,4,9,23,3,100,155,49,26,214,3,437,100,33,9,75,0,217,26,11,4,8,0,35,237,8,18,4,0,263,161,104,66,1016,15,1359,212,48,11,176,11,452,46,3,3,0,0,50,21,0,0,3,0,25,25,0,0,0,0,29,14,5,4,7,0,38,4,0,0,0,0,7,21,4,8,3,0,37,75,15,8,16,0,117,42,4,0,0,0,47,161,99,71,673,9,1018,21,5,3,3,0,37,17,4,0,3,0,32,33,3,0,4,0,45,69,7,3,0,0,84,33,0,0,4,0,33,78,9,3,0,0,88,25,11,8,29,0,79,740,97,103,125,8,1075,15,0,0,24,737,775,3002,724,575,4246,810,9359
POA2604,67,386,356,2207,37,3061,0,7,0,37,0,48,339,16,36,19,3,412,54,9,4,15,3,88,67,30,12,49,3,172,655,381,277,2139,45,3505,67,7,8,0,0,86,87,24,10,38,3,167,140,55,41,287,3,518,76,21,7,39,0,144,26,4,4,13,0,47,218,4,3,5,0,235,195,125,79,1124,25,1536,169,49,21,148,4,404,69,0,4,0,0,77,15,9,0,12,0,38,19,4,3,3,0,29,26,12,6,16,3,54,21,3,4,8,3,29,51,9,6,3,0,67,72,21,13,29,0,128,34,3,3,22,0,65,216,110,102,739,11,1177,37,0,3,0,4,44,14,0,3,0,0,17,59,9,5,14,4,84,63,0,3,3,0,68,24,4,0,3,0,35,78,0,5,0,3,87,35,10,5,54,3,111,804,106,110,124,3,1155,44,0,0,26,944,1012,3120,811,648,4751,1047,10383
POA2605,72,483,407,2737,40,3738,0,0,0,18,0,16,298,14,32,23,6,384,54,0,0,30,0,84,90,30,19,41,0,170,842,451,369,2529,47,4243,128,3,9,0,0,147,52,12,8,41,3,111,165,42,38,287,7,542,90,19,3,68,0,181,22,6,12,9,0,49,479,10,9,0,0,499,198,150,87,1295,16,1750,164,46,16,115,3,342,51,12,5,3,0,74,8,10,0,17,0,32,20,0,0,3,0,17,15,0,0,13,0,25,11,0,0,3,0,16,41,23,24,4,0,92,77,14,13,16,0,126,43,10,5,4,0,59,251,99,103,839,8,1303,28,4,3,0,0,40,25,4,0,0,0,36,44,4,0,3,0,53,58,4,0,0,0,63,3,3,0,0,0,6,65,3,0,3,0,71,35,15,10,38,0,94,965,137,106,132,10,1350,19,0,8,40,680,744,3666,921,748,5600,791,11725
POA2606,76,288,241,1621,19,2247,0,4,0,27,0,28,495,14,19,24,12,560,65,8,5,21,0,101,61,13,15,48,0,135,513,267,190,1609,26,2603,227,4,11,0,0,240,28,5,4,24,3,61,128,42,26,190,0,387,85,16,0,47,0,150,22,9,3,7,0,33,781,8,6,0,4,803,120,70,61,819,3,1076,136,35,10,130,3,314,92,0,6,3,5,105,7,3,3,5,0,19,19,0,3,8,0,33,8,0,4,9,0,25,3,0,4,0,0,6,13,8,4,8,0,36,65,5,7,14,0,92,31,0,3,0,0,39,154,76,50,525,3,812,44,6,3,4,0,64,26,9,0,0,0,33,60,8,7,23,0,100,62,3,0,6,0,74,13,0,0,0,0,12,88,0,8,0,0,97,16,5,5,20,0,50,1286,93,61,113,6,1563,28,4,7,25,637,695,4150,579,428,3546,712,9422
POA2607,114,535,486,3119,39,4295,0,0,0,35,0,37,539,14,51,23,0,641,83,13,3,40,0,135,89,31,14,51,0,193,841,496,388,2741,50,4521,144,0,10,3,0,163,50,17,10,34,0,114,163,49,37,290,3,536,139,19,14,63,0,232,39,9,3,11,0,60,597,6,18,4,4,631,205,166,116,1450,14,1952,255,57,33,202,4,553,52,0,0,0,0,52,25,9,8,10,0,48,44,0,4,12,0,54,40,4,4,21,0,72,16,3,3,0,3,22,41,11,22,16,0,84,87,7,9,23,0,132,48,6,5,11,0,77,253,121,105,862,15,1361,59,11,3,0,0,75,52,8,4,0,0,63,57,13,3,7,7,84,111,7,9,0,0,124,22,0,0,0,0,26,63,0,4,0,0,68,31,15,7,26,0,78,1355,142,124,131,15,1771,37,9,3,45,456,552,4834,1027,861,6309,581,13614
POA2609,10,21,25,210,10,272,0,0,0,0,0,0,3,0,0,3,0,7,5,3,0,3,0,11,7,3,0,3,0,10,56,25,19,207,0,312,26,0,3,0,0,30,0,0,0,3,0,3,11,5,0,19,0,38,8,0,0,0,0,9,3,0,0,0,0,3,3,0,0,0,0,6,15,7,0,86,0,108,6,0,0,8,0,16,0,0,0,0,0,0,7,0,0,3,0,13,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,4,3,0,0,0,0,10,4,0,0,4,0,12,0,0,0,0,0,0,18,3,0,66,0,88,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,12,45,9,10,4,0,62,3,0,0,5,147,149,198,57,34,445,157,887
POA2611,200,1227,990,7325,86,9823,0,0,0,67,0,67,782,26,64,88,9,971,193,20,10,58,0,283,202,76,54,126,0,457,1786,1099,782,6190,74,9927,268,0,20,10,9,307,116,19,17,59,6,216,386,111,106,745,19,1365,156,17,19,83,0,273,82,33,15,37,3,175,725,18,13,15,3,779,387,324,219,3098,37,4064,346,110,70,377,10,911,84,4,8,3,0,103,36,17,11,14,0,76,38,5,3,3,0,50,39,10,10,34,0,91,32,12,9,8,3,67,106,59,22,17,0,209,187,41,32,59,5,317,65,13,10,21,5,118,522,334,260,2031,27,3166,81,17,3,13,0,111,64,19,8,3,0,91,128,20,8,22,3,183,122,15,6,8,0,156,22,6,3,8,0,39,126,9,12,14,0,157,70,40,21,133,0,256,2152,280,241,389,16,3079,68,5,12,117,1501,1702,7973,2263,1755,14275,1747,28018
