POA_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
POA2600,0,0,0,0,0,0,0,0,0,0,146,264,244,563,347,316,284,110,67,2337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,4,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3,6,21,7,5,4,0,0,45,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,3,0,10,4,27,34,28,47,24,17,186,0,0,0,3,0,0,0,0,0,3,0,0,6,7,3,0,0,0,0,14,0,0,3,10,0,0,8,3,0,28,0,0,3,0,0,0,3,3,0,10,0,3,3,5,0,0,0,0,0,17,0,3,3,19,10,3,3,0,0,44,0,0,0,3,0,0,0,0,0,5,0,0,0,7,0,0,3,0,0,9,0,3,0,0,3,0,0,0,0,6
POA2601,0,0,0,4,0,0,0,0,0,4,26,14,676,430,81,71,34,9,5,1338,0,0,5,16,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,8,3,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,3,0,0,384,103,0,0,0,0,0,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,39,21,13,8,7,0,0,93,0,0,3,0,0,0,0,0,0,5,0,0,4,10,0,0,0,0,0,10,0,0,8,7,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,3,0,0,57,9,3,0,0,0,0,75,0,0,55,58,3,0,0,0,0,118,0,0,15,25,0,3,0,0,0,42,0,0,0,11,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
POA2602,0,0,7,15,5,4,0,0,0,27,791,1378,1521,3075,1301,934,552,291,165,10005,0,3,0,15,4,0,0,0,0,30,0,3,0,4,3,3,3,0,0,19,0,0,0,7,3,0,0,0,0,12,3,4,11,27,11,11,9,0,0,69,3,0,0,14,3,0,0,3,0,25,3,3,120,98,13,15,11,5,4,281,0,0,0,3,3,0,6,18,7,39,0,0,3,8,0,3,0,0,0,10,3,19,28,105,110,111,77,53,28,534,0,0,0,11,4,3,0,0,0,24,0,0,3,22,6,3,0,0,0,35,0,5,8,17,19,10,24,14,9,111,0,0,3,3,3,11,7,19,4,49,0,0,10,13,9,8,0,0,0,45,3,8,25,127,14,21,4,3,0,219,10,19,15,54,6,3,0,0,0,103,0,3,3,25,3,0,0,0,0,35,4,7,3,13,3,0,0,0,0,40
POA2603,0,0,0,3,0,0,0,0,0,4,180,444,465,727,479,381,266,98,49,3094,0,0,0,7,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6,3,3,0,0,21,0,0,0,0,0,0,0,0,0,3,0,6,20,15,6,6,0,3,0,62,0,0,0,0,0,0,4,3,0,5,0,0,0,0,0,0,0,0,0,3,3,20,12,39,46,38,40,5,12,202,0,0,0,4,3,7,0,0,0,8,0,6,0,5,5,0,0,0,0,20,0,0,3,6,4,3,7,9,3,35,0,0,0,3,3,3,3,4,0,16,3,7,9,8,3,0,0,0,0,27,0,8,3,41,15,7,3,0,0,82,0,0,3,3,0,0,0,0,0,6,0,3,0,7,7,7,0,0,0,22,0,0,0,6,9,0,0,0,0,16
POA2604,0,0,0,0,0,0,0,0,0,5,246,320,390,1272,427,383,195,82,47,3356,0,0,0,6,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,6,13,4,0,0,0,26,0,0,0,0,0,5,0,0,0,8,0,0,15,27,12,4,3,0,0,61,0,0,0,0,0,0,3,4,3,12,0,0,0,5,0,0,0,0,0,3,0,5,12,44,34,49,22,9,5,181,0,0,0,0,0,3,0,0,0,6,0,9,0,14,3,3,0,0,0,36,0,3,4,13,3,0,5,0,0,23,0,0,0,3,0,0,0,3,3,7,0,3,3,9,4,0,0,0,0,16,3,8,4,46,6,3,0,0,0,80,0,0,0,9,0,0,0,0,0,13,0,3,0,13,3,3,0,0,0,21,0,0,0,3,0,0,3,0,0,8
POA2605,0,0,0,0,0,0,0,0,0,5,312,640,516,773,566,429,273,197,90,3794,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,3,0,0,0,24,0,0,0,0,5,0,0,3,0,4,0,4,6,24,9,6,3,3,5,57,0,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,0,0,3,3,0,27,9,26,48,51,53,28,22,269,0,0,0,5,3,0,3,0,0,14,0,0,3,3,3,0,3,0,0,14,0,3,0,3,5,3,11,11,11,49,0,0,0,0,0,0,0,7,0,13,0,0,0,3,0,3,0,3,0,12,3,27,3,105,13,5,7,9,0,179,0,7,0,11,0,0,0,0,0,21,0,0,0,3,0,0,0,0,0,9,0,5,0,0,3,0,3,0,0,12
POA2606,0,0,5,7,0,0,0,0,0,13,206,338,349,835,356,252,175,118,39,2661,0,0,0,12,3,0,0,0,0,23,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,0,0,0,13,0,0,0,4,0,0,0,0,0,4,0,3,19,34,5,12,5,3,0,83,0,0,0,3,3,0,4,4,0,14,0,0,0,0,0,0,0,0,0,0,0,3,3,29,22,34,31,21,10,144,0,0,0,3,3,3,0,0,0,6,0,0,0,0,0,0,3,0,0,3,0,0,0,6,8,3,6,3,3,30,0,0,0,3,3,3,3,3,3,19,0,0,5,14,3,5,0,7,0,35,14,30,9,252,24,9,11,5,0,341,0,3,6,3,3,0,0,0,0,17,0,0,0,7,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,7
POA2607,0,0,0,0,0,3,0,0,0,3,315,764,715,958,599,507,396,217,82,4554,0,3,4,8,3,3,0,0,0,28,0,0,0,3,0,4,0,0,0,6,0,0,0,3,0,0,0,0,0,3,3,6,0,3,7,3,3,0,0,20,0,0,0,0,3,0,0,3,0,5,4,10,19,26,16,13,7,3,0,86,0,0,0,0,3,0,4,3,0,17,0,3,3,3,3,0,0,0,0,19,0,18,10,21,53,47,56,41,19,267,0,7,0,3,0,3,0,0,0,15,0,0,4,0,3,0,3,0,0,8,0,3,0,4,0,4,15,10,0,38,0,0,0,0,3,3,3,9,3,31,0,4,0,0,3,6,4,0,0,27,6,23,13,149,25,20,9,6,3,240,0,4,0,7,3,0,0,0,0,9,0,0,0,3,3,3,0,0,0,14,0,0,0,7,0,0,0,0,0,5
POA2609,0,0,0,0,0,0,0,0,0,0,18,12,42,89,74,55,41,5,3,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2611,0,0,0,5,0,0,0,0,0,5,958,1679,1112,2702,1221,863,812,357,100,9798,0,0,0,28,7,0,6,0,0,41,0,0,0,0,0,3,0,3,3,15,0,0,0,3,0,0,0,0,0,3,0,3,9,12,10,3,3,3,0,37,0,0,0,3,0,0,4,4,0,13,0,3,21,56,25,17,3,3,0,131,0,0,0,0,3,4,11,20,5,46,0,3,0,6,0,4,0,0,0,13,4,27,13,73,104,95,127,66,21,521,0,0,0,8,3,0,0,0,0,12,0,4,0,11,7,0,3,0,0,29,0,0,0,11,4,9,22,14,9,83,0,0,0,3,3,5,14,12,3,33,0,3,0,20,3,6,0,3,0,38,0,27,15,153,35,16,12,5,3,260,3,3,0,12,4,0,3,0,0,26,0,0,3,20,11,4,9,0,0,49,0,3,5,11,4,0,0,0,0,19
