POA_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
POA2600,0,0,0,4,0,0,4,0,0,10,0,0,0,4,0,4,10,3,0,22,0,0,0,7,0,0,0,0,0,12,0,0,0,11,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,5,8,5,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,9,0,0,10,16,13,8,9,3,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,4,3,0,0,0,0,7,0,0,0,5,0,0,5,0,0,11,0,0,0,0,3,0,0,0,0,6,0,0,0,7,4,3,5,3,0,15,0,3,0,3,0,0,0,0,0,8,0,0,3,9,4,4,3,0,0,25
POA2601,0,0,3,3,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,6,0,0,16,4,0,0,0,0,0,21,0,0,20,27,3,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,53,12,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,25,14,0,3,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,19,0,0,0,5,0,0,0,0,0,5,0,0,7,14,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,50,20,0,0,0,0,0,73,0,0,15,5,0,0,0,0,0,18
POA2602,0,0,4,19,7,3,3,0,0,39,0,0,0,19,8,10,10,21,16,82,0,3,0,9,3,0,0,0,0,16,0,9,13,39,7,3,3,0,0,69,0,0,0,0,0,3,0,0,0,6,0,13,8,29,8,11,3,7,0,69,0,0,0,3,0,3,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,3,0,0,28,0,0,8,26,3,0,0,0,0,37,0,0,3,14,4,16,7,9,5,55,0,13,29,76,51,28,16,9,3,216,0,0,0,5,0,3,0,4,0,13,0,3,10,38,3,0,0,0,0,53,0,3,3,13,13,5,0,0,0,32,0,8,3,32,9,0,3,0,0,55,0,0,0,9,4,3,6,0,0,27,0,0,3,16,9,12,13,8,7,69,0,4,4,11,9,3,0,0,0,26,0,0,12,36,14,3,4,0,0,63
POA2603,0,0,0,3,0,0,0,0,0,13,0,0,3,6,0,6,17,4,3,36,0,6,0,0,4,0,0,0,0,10,3,0,0,10,5,0,0,0,0,17,0,0,0,3,0,0,0,3,0,9,0,0,0,11,7,9,0,0,0,37,0,0,0,5,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,11,0,5,7,24,0,8,13,5,0,54,0,0,0,0,0,0,0,0,0,3,0,3,3,12,3,0,0,0,0,21,0,0,0,0,3,3,0,0,0,6,0,0,3,13,3,0,0,0,0,16,0,0,0,4,3,3,4,0,0,9,0,0,4,0,3,8,3,3,3,30,0,4,4,0,3,3,0,0,0,12,0,0,4,8,3,3,0,0,0,23
POA2604,0,0,0,6,3,3,0,0,0,15,0,0,0,3,0,8,10,7,0,29,3,8,9,0,0,0,0,0,0,14,0,4,0,9,3,0,0,0,0,18,0,0,0,3,0,0,0,0,0,5,0,3,6,10,6,0,0,0,0,32,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,7,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,4,7,0,0,16,0,4,6,33,12,14,3,0,0,64,0,0,0,0,0,0,0,3,0,7,3,0,0,9,0,0,0,0,0,11,0,0,0,0,3,3,0,0,0,10,0,0,3,12,6,3,0,0,0,28,0,0,0,14,0,4,6,0,0,19,0,0,3,7,5,4,6,3,0,22,0,0,3,8,3,0,0,0,0,16,0,0,0,10,3,0,0,0,0,15
POA2605,0,3,0,3,0,0,7,0,0,14,0,0,0,0,0,4,6,9,10,41,3,3,0,7,0,4,0,0,0,21,0,0,0,12,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,6,0,5,7,3,4,7,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,12,0,3,0,0,0,19,0,0,0,3,0,0,6,0,4,15,0,4,8,25,16,11,11,9,3,78,0,0,0,0,0,3,3,0,0,8,0,4,0,5,0,0,0,0,0,12,0,0,0,0,3,4,0,0,0,7,0,5,0,23,6,3,0,0,0,46,0,0,0,0,0,4,3,0,0,6,0,0,0,4,12,8,14,3,0,42,0,3,0,3,3,0,0,0,0,15,0,4,4,6,8,3,3,0,0,28
POA2606,0,0,0,0,0,0,3,3,0,8,0,0,0,5,6,3,12,8,5,32,0,0,0,6,0,0,0,0,0,5,0,0,3,30,6,3,0,0,0,43,0,0,3,0,0,0,0,0,0,4,0,0,9,24,11,3,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,3,3,0,0,0,0,9,0,0,0,18,0,0,0,0,0,19,0,0,0,5,0,0,3,3,3,13,3,3,7,9,5,13,6,0,4,54,0,0,0,0,0,0,0,0,0,4,0,3,5,19,3,0,0,0,0,30,0,0,0,3,5,3,0,0,0,6,3,12,9,49,9,0,0,0,0,84,0,0,0,0,0,3,3,0,0,11,0,0,0,4,8,6,0,4,0,17,3,3,0,3,4,0,0,0,0,16,0,0,7,4,3,7,0,0,0,21
POA2607,0,7,0,4,3,0,3,3,0,26,0,0,0,3,6,5,17,12,12,53,0,0,0,4,0,0,0,0,0,6,0,0,12,9,0,0,0,0,0,25,0,3,0,0,0,0,0,3,0,3,0,3,7,17,6,9,11,3,0,58,0,0,0,0,0,3,4,4,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,3,15,3,0,0,0,0,22,0,0,0,0,0,0,3,3,0,12,3,9,8,18,18,14,8,5,0,84,0,0,0,0,5,3,0,0,0,7,0,0,3,18,8,0,0,0,0,32,0,0,0,4,3,3,0,0,0,13,0,7,5,20,6,5,0,0,0,46,0,0,0,0,0,7,3,3,0,11,0,0,0,8,5,3,9,3,6,39,0,0,0,3,0,3,4,0,0,15,0,8,5,11,6,4,3,3,0,35
POA2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2611,0,5,0,12,4,7,3,4,0,32,0,0,4,10,6,6,34,17,6,83,0,6,4,6,0,4,0,0,0,16,0,3,3,11,3,0,0,0,0,21,0,0,0,0,0,0,3,0,0,8,0,0,6,25,22,8,9,3,3,75,0,0,0,0,0,0,10,3,0,9,0,0,0,6,0,0,0,0,0,9,0,0,0,3,0,0,3,0,0,13,0,3,0,21,0,0,3,0,0,27,0,3,0,7,8,6,13,6,6,43,0,5,8,52,36,21,24,4,3,167,0,0,0,4,4,0,0,6,0,11,4,11,3,21,4,0,0,0,0,48,0,4,0,21,10,0,0,3,0,45,0,18,14,51,13,3,4,0,0,95,0,0,0,13,3,19,8,0,4,44,0,4,3,10,10,17,18,10,0,77,3,3,0,8,4,7,3,3,0,32,0,10,3,29,16,14,5,3,0,84
