POA_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
POA2600,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,4,3,0,0,20,0,0,0,3,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,14,7,12,4,9,5,0,0,49,0,0,0,3,5,4,3,0,0,11,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,3,0,0,0,9,3,7,3,34,16,10,14,9,0,98,0,10,11,66,26,22,29,12,4,190,155,327,319,877,515,452,463,177,95,3384,0,0,0,0,0,0,0,0,0,0,150,329,314,592,352,350,296,139,99,2620,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,6,5,7,5,0,0,32,0,0,0,3,0,0,0,0,0,3
POA2601,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,16,0,0,5,13,0,0,0,0,0,21,0,0,5,10,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,20,23,0,3,3,0,0,59,0,0,9,3,0,0,0,0,0,11,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,40,69,5,0,0,0,0,121,3,3,88,139,17,20,9,3,3,284,34,20,1619,1101,138,125,66,11,12,3131,0,0,0,0,0,0,0,0,0,0,25,10,829,289,71,52,31,5,6,1314,0,0,3,8,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,7,0,0,0,0,0,13,0,0,0,5,0,0,0,0,0,3
POA2602,0,0,0,4,3,3,0,0,0,8,0,6,7,30,6,0,5,0,0,53,0,0,6,14,0,0,0,0,0,23,3,5,11,17,3,4,3,0,0,50,0,0,0,0,3,0,0,4,0,8,0,0,4,4,0,0,0,0,0,12,12,13,21,62,20,16,5,3,0,156,0,3,12,46,20,20,5,8,0,122,0,0,0,3,3,3,3,0,0,14,0,0,0,8,3,0,0,0,0,12,11,40,55,284,76,44,45,35,25,614,46,77,99,321,119,91,69,55,33,909,896,1665,2080,4838,1951,1429,915,576,316,14672,0,3,3,9,5,3,0,0,0,17,772,1384,1596,3154,1372,1032,618,445,254,10630,0,3,3,23,0,0,0,0,0,35,0,0,0,5,7,3,3,0,0,21,0,0,4,6,3,0,4,0,0,18,0,3,3,28,16,12,5,0,0,72,0,0,3,15,8,3,5,0,0,31
POA2603,0,0,0,0,0,0,0,4,0,3,0,3,9,8,10,4,0,0,0,30,0,0,3,4,4,0,0,0,0,14,3,0,0,3,0,0,0,0,0,9,0,0,0,0,0,3,3,0,0,8,0,0,0,6,0,3,0,0,0,12,3,7,3,21,14,3,4,3,0,61,0,0,0,7,8,6,0,0,0,24,0,0,0,3,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,3,0,19,8,52,23,25,10,6,3,148,11,14,36,115,61,42,34,19,25,360,213,572,614,1181,759,600,429,173,106,4644,0,0,0,0,0,0,0,0,0,0,147,395,370,826,455,362,276,132,122,3088,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,4,5,6,3,0,3,0,0,25,0,0,0,5,0,0,0,0,0,4
POA2604,0,0,0,0,3,7,0,5,0,11,0,5,3,10,9,10,0,0,0,32,0,6,0,3,3,0,0,0,0,10,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,6,0,0,0,4,0,0,0,0,0,9,3,13,9,24,5,7,3,3,0,61,0,0,4,7,4,5,0,0,0,23,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,7,22,12,62,28,22,11,6,3,175,12,25,46,158,64,51,33,37,34,459,284,442,539,1890,675,609,325,166,104,5026,0,0,3,3,0,0,0,0,0,4,224,319,391,1352,437,376,195,126,74,3493,0,0,0,9,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,4,3,19,5,3,3,0,0,41,0,0,0,0,0,0,0,0,0,3
POA2605,0,0,0,0,0,0,0,0,0,7,0,3,0,17,14,0,0,3,0,34,0,0,0,0,0,0,0,0,0,5,0,3,3,6,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,11,10,6,6,0,0,62,0,0,0,13,0,0,4,0,0,15,0,3,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,3,7,34,4,57,21,19,20,18,8,190,20,33,25,106,57,41,52,45,21,384,351,832,605,1290,836,641,499,376,178,5605,0,0,0,0,0,0,0,0,0,0,256,657,465,850,598,458,317,275,212,4085,0,0,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,5,3,0,0,35,0,0,0,0,0,3,3,5,0,6
POA2606,0,0,0,0,0,0,0,3,0,4,0,0,0,17,3,8,7,3,0,38,0,0,0,3,0,0,0,0,0,9,0,0,0,8,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,7,3,15,6,0,0,0,0,35,0,0,0,7,4,0,3,0,0,22,0,0,0,0,0,0,0,0,0,9,0,0,3,7,0,0,3,0,0,14,3,28,28,116,28,20,20,20,6,266,8,30,34,149,42,47,27,21,3,362,239,471,526,1731,581,446,340,236,79,4656,0,0,0,3,0,0,0,0,0,7,228,323,328,776,333,236,208,144,41,2618,0,0,0,17,4,3,0,0,0,26,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,3,3,0,0,11
POA2607,0,0,0,0,3,3,0,0,3,7,0,5,3,22,13,16,9,3,0,73,0,3,0,3,0,0,0,0,0,6,0,4,3,3,0,0,0,0,0,14,0,0,0,8,3,3,3,0,0,17,0,0,0,0,3,0,0,0,0,5,0,8,3,8,11,7,4,3,0,41,0,0,3,7,9,3,8,0,0,29,0,0,0,0,0,3,0,3,0,9,0,0,0,0,8,3,0,0,0,16,0,21,28,71,27,42,22,27,4,254,9,23,35,68,38,28,37,21,10,277,352,938,888,1537,924,803,655,407,153,6662,0,0,0,3,0,0,0,0,0,3,328,619,621,939,655,515,519,286,115,4604,0,3,3,14,6,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,0,0,0,12,5,8,0,0,0,28,0,0,0,0,0,0,3,0,0,3
POA2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,5,3,4,3,4,0,16,0,3,13,17,17,8,15,9,0,88,22,20,56,123,109,76,71,22,11,512,0,0,0,0,0,0,0,0,0,0,13,19,22,53,37,36,35,15,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2611,0,0,0,0,0,0,3,4,0,9,0,9,3,27,13,11,7,4,0,70,0,0,0,3,3,0,0,0,0,13,0,0,4,10,0,0,0,0,0,22,0,0,0,3,0,3,0,0,0,12,0,0,0,4,0,0,0,0,0,8,3,12,15,24,10,11,3,7,0,78,4,4,0,21,3,5,4,0,0,28,0,0,0,5,8,3,3,0,0,21,0,0,4,11,3,3,0,0,0,17,12,24,29,122,62,51,39,38,12,395,48,58,63,253,92,67,91,86,37,795,1052,1952,1349,3900,1781,1303,1309,697,224,13564,0,0,0,0,0,0,0,0,0,0,886,1497,1151,2957,1234,998,984,417,150,10282,0,3,3,30,3,3,3,0,0,41,0,0,0,3,0,0,0,0,0,12,3,0,0,3,0,0,0,0,0,6,0,0,4,21,6,5,5,4,0,38,0,0,0,0,4,0,3,0,0,18
