POA_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
POA2600,0,8,21,27,13,4,6,0,0,76,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,3,0,7,8,23,29,47,34,21,10,182,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,11,0,0,3,3,4,4,3,4,3,24,0,0,0,0,0,3,7,4,0,11,0,0,3,6,0,3,3,0,0,20,0,3,3,30,10,3,10,0,0,58,0,3,3,3,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,0,0,3,0,16,0,0,0,3,4,3,8,4,5,29,0,0,4,4,3,0,0,0,0,17,0,3,0,6,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12,4,8,3,0,35,0,0,0,0,0,0,3,0,0,4
POA2601,0,0,558,147,4,8,0,0,0,724,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,52,17,3,5,0,0,0,84,0,0,3,5,0,0,0,0,0,9,0,0,3,3,0,0,0,0,0,9,0,0,4,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,55,3,0,0,0,0,0,60,0,0,55,25,0,0,0,0,0,79,0,0,19,16,0,0,0,0,0,42,0,0,0,13,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,12,3,0,0,0,0,0,21,3,0,30,27,7,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,63,17,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0
POA2602,0,14,127,116,30,22,9,19,5,349,0,0,0,6,0,8,10,19,0,49,0,3,0,0,0,0,0,0,0,10,3,29,33,118,113,94,78,58,41,575,0,0,7,13,0,3,4,0,0,30,0,5,9,23,6,3,0,0,3,46,0,10,3,36,20,13,28,20,17,141,0,0,0,0,4,4,22,25,10,67,0,0,8,18,8,7,0,0,0,42,3,13,24,95,16,19,10,5,0,186,4,11,5,64,8,4,0,0,0,99,0,0,0,13,3,3,0,0,0,29,0,0,4,10,3,0,0,0,0,21,0,3,0,14,8,0,3,8,3,45,0,0,0,14,4,11,21,25,9,83,0,0,6,15,16,3,5,0,0,53,0,9,11,53,15,0,0,0,0,88,0,0,0,0,0,0,0,0,0,5,0,3,8,30,14,10,4,0,0,72,0,0,0,0,4,7,0,0,0,14
POA2603,0,11,13,31,14,3,5,3,0,75,0,0,0,0,0,0,4,3,0,12,0,0,0,0,0,0,0,0,0,3,0,19,4,29,34,34,24,17,18,185,0,0,0,0,0,3,0,0,0,10,0,6,3,5,4,4,0,0,3,28,0,0,0,7,3,3,8,5,0,35,0,0,0,0,3,4,3,4,0,11,0,3,4,8,3,0,3,0,0,20,3,8,4,38,10,10,7,4,0,83,0,0,0,7,4,0,3,0,0,13,0,0,0,9,0,0,0,0,0,12,0,0,0,4,0,3,0,0,0,13,0,0,0,0,0,3,5,0,0,9,0,0,0,0,5,12,9,8,5,36,0,0,3,10,3,0,3,0,0,23,3,0,0,9,3,4,0,0,0,21,0,0,0,0,0,0,0,0,0,5,0,3,0,13,13,6,3,3,0,42,0,0,0,3,0,3,0,0,0,5
POA2604,0,4,18,37,16,0,3,0,0,83,0,0,0,0,0,3,3,5,0,15,0,0,0,3,0,0,0,0,0,3,0,0,10,37,44,37,20,17,5,163,0,0,3,3,3,0,0,0,0,11,0,4,0,20,6,5,0,0,0,31,0,0,0,13,4,4,13,4,0,41,0,0,0,0,4,0,0,4,7,15,0,0,0,10,7,7,0,0,0,20,0,4,5,50,8,3,0,3,0,79,0,0,0,6,0,0,0,0,0,14,0,0,0,14,0,0,0,0,0,13,0,0,0,3,0,3,0,0,0,6,0,0,0,9,3,3,0,0,0,14,0,0,0,3,3,6,5,3,3,29,0,0,0,12,7,0,3,0,0,28,0,3,3,19,9,0,0,0,0,37,0,0,0,0,3,0,0,0,0,3,0,3,0,8,6,0,0,0,0,24,0,0,0,0,0,0,0,3,0,3
POA2605,3,9,6,30,15,8,9,3,3,95,0,0,0,0,0,0,5,9,0,16,0,0,0,0,0,0,0,0,0,5,3,32,14,22,50,47,41,47,27,284,0,0,0,0,4,0,3,0,0,8,4,0,4,4,0,0,3,3,0,16,0,0,3,9,3,3,16,14,8,50,0,0,0,3,0,0,9,8,4,24,0,0,0,0,3,7,0,0,4,12,3,25,3,118,14,15,10,6,0,187,0,0,0,10,4,0,0,0,0,18,0,0,0,3,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,10,0,3,0,8,3,4,6,4,0,25,0,0,3,0,0,4,7,15,14,45,0,6,0,10,6,3,3,0,4,39,0,3,6,17,0,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,3,6,7,14,7,10,0,0,45,0,0,0,0,0,0,0,0,0,3
POA2606,0,6,23,63,21,11,3,4,3,134,0,0,0,3,0,3,4,3,0,11,0,0,0,0,3,0,0,0,0,3,0,15,10,13,23,18,28,25,14,141,0,0,0,3,3,3,0,0,0,10,0,0,0,0,0,0,6,0,0,11,0,0,0,8,3,0,11,7,5,31,0,0,0,3,0,4,11,6,3,25,0,4,3,16,3,3,3,0,0,34,20,26,15,250,19,9,8,0,0,348,0,3,3,14,4,0,0,0,0,23,0,0,0,3,0,3,0,0,0,7,0,0,0,3,5,0,0,0,0,12,0,0,0,6,4,0,0,3,0,10,0,0,0,5,3,5,11,10,6,36,0,0,0,10,7,0,0,0,0,17,0,4,10,33,4,3,0,0,0,49,0,0,0,0,0,0,0,0,0,3,0,0,3,18,8,3,9,3,0,48,0,0,0,0,0,0,0,0,0,0
POA2607,0,0,19,42,28,16,10,0,0,124,0,0,0,3,0,0,12,3,0,18,0,3,0,5,0,0,0,0,0,14,0,11,20,38,56,46,51,38,14,269,0,4,3,7,6,0,0,0,0,23,0,0,4,6,4,0,0,3,0,16,0,0,0,5,4,0,24,14,4,50,0,0,0,0,0,3,10,16,0,31,0,5,3,3,3,12,7,0,3,44,8,22,18,136,22,16,11,12,0,247,0,0,4,12,0,7,3,3,0,29,0,0,3,4,0,3,0,0,0,13,0,0,0,3,0,0,0,0,0,9,0,4,0,4,3,0,0,5,0,20,0,0,0,3,9,4,17,9,4,46,0,0,0,4,0,7,3,3,0,17,0,0,4,11,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,7,0,0,5,19,9,12,9,3,0,66,0,0,0,0,0,0,3,3,0,8
POA2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2611,3,6,24,87,42,18,4,6,3,196,0,0,0,5,6,5,22,13,6,53,0,0,0,4,0,3,7,0,6,21,10,34,14,79,102,85,105,81,35,546,0,0,0,8,4,3,5,0,0,20,0,5,0,11,6,3,9,0,0,36,0,0,3,13,17,6,32,17,15,106,0,0,3,0,0,3,14,12,0,32,0,3,6,22,6,11,0,0,0,54,0,17,14,161,26,6,16,8,0,257,0,3,0,23,5,6,3,0,0,39,0,3,3,15,7,4,0,0,0,41,0,0,0,13,0,0,0,0,0,17,0,9,6,8,4,4,3,0,0,26,0,4,0,10,4,14,21,21,3,87,0,7,4,16,4,3,3,0,0,40,0,8,0,24,3,3,3,0,0,43,0,0,0,4,3,0,0,0,0,7,4,7,4,35,16,18,4,3,3,87,0,0,0,0,0,4,9,4,0,18
