POA_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
POA2600,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,12,0,5,4,12,9,9,8,8,0,48,0,0,0,0,0,0,3,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,11,0,0,0,9,3,4,6,0,0,27,0,0,0,0,3,4,0,5,0,13,0,0,3,0,6,6,11,0,3,29,0,0,0,3,0,0,0,0,0,3,0,0,3,3,7,3,3,0,0,23,0,0,0,0,3,0,0,0,0,6,0,0,0,6,6,0,0,0,0,17,0,0,0,3,0,3,0,0,0,8,0,0,4,8,6,0,0,0,0,20,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,9,4,25,8,4,10,0,0,65
POA2601,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,29,14,4,5,0,0,0,51,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,19,0,0,0,0,0,28,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,8,0,0,45,5,0,0,0,0,0,54,0,0,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,21,0,0,7,8,0,0,0,0,0,17,0,0,8,17,5,0,0,0,0,29,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,18,17,3,3,0,0,0,41
POA2602,0,0,0,3,0,3,0,0,0,8,0,3,0,21,4,3,3,4,0,47,0,3,5,6,0,0,0,0,0,16,0,6,3,10,6,4,16,15,10,72,3,10,19,85,35,40,15,8,5,230,0,0,0,5,0,4,4,0,0,13,3,4,4,15,0,4,0,0,0,33,0,0,0,25,17,8,0,0,0,53,5,4,4,64,12,15,7,4,0,110,0,0,0,13,3,5,4,7,14,51,0,0,0,12,8,9,13,11,4,69,3,3,14,18,9,3,0,0,0,39,0,3,8,18,15,5,3,0,5,50,0,0,0,0,3,5,0,4,5,16,0,3,10,28,6,0,0,0,3,56,0,0,3,23,0,0,0,0,0,23,0,3,8,26,7,3,3,0,0,52,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,3,3,22,17,74,25,30,9,3,0,184
POA2603,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,6,0,3,14,3,4,3,9,6,17,4,0,0,57,0,0,0,0,3,3,0,0,0,9,0,5,0,11,3,3,0,0,0,20,0,0,0,0,5,0,0,0,0,3,0,0,0,26,4,0,3,0,0,36,0,0,0,3,0,0,3,0,0,7,0,0,0,3,3,5,0,0,3,19,0,0,4,7,3,3,0,0,0,18,0,0,0,8,7,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,3,0,16,5,8,0,0,0,31,0,0,3,9,0,0,0,0,0,10,0,6,4,7,0,0,0,0,0,13,0,0,0,0,4,0,0,0,0,6,0,0,0,9,0,0,0,0,0,11,0,4,11,8,15,7,3,0,0,51
POA2604,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,4,0,3,0,18,0,0,8,38,19,26,3,3,0,96,0,0,0,0,0,3,0,0,0,8,0,0,0,8,0,0,0,0,0,9,0,0,0,3,10,0,0,0,0,13,0,0,3,19,12,3,3,3,0,43,0,0,0,6,0,4,0,4,0,12,0,3,0,7,0,3,3,7,0,20,0,0,0,3,0,0,3,0,0,7,0,0,4,19,9,3,0,0,0,28,0,0,0,0,5,0,0,0,0,10,0,0,8,15,9,3,0,0,0,29,0,0,0,10,0,0,0,0,0,10,0,3,3,9,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,3,0,0,3,3,10,3,25,3,7,3,0,0,58
POA2605,0,0,0,0,0,0,0,0,0,3,0,0,0,7,3,0,0,0,0,11,0,4,7,14,0,0,0,0,0,27,0,3,0,0,3,0,7,3,3,16,0,3,9,18,28,12,12,5,0,84,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,11,0,0,0,3,6,3,0,0,0,14,0,6,3,43,14,5,5,0,0,75,0,0,0,3,0,0,6,6,4,18,0,0,0,3,3,6,3,13,10,39,0,0,0,3,5,3,0,0,0,18,0,0,0,7,7,4,0,0,0,25,0,0,0,0,0,0,0,3,0,10,0,3,0,17,4,6,3,0,0,38,0,3,0,4,0,0,0,0,0,9,0,0,3,11,3,3,4,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,8,9,17,10,10,8,0,0,69
POA2606,0,0,0,4,0,0,0,0,0,3,0,0,3,12,0,0,0,0,0,12,0,0,5,6,0,0,0,0,0,16,0,0,0,0,0,0,3,5,0,8,3,3,5,12,7,10,7,3,3,47,0,0,0,4,0,0,0,0,0,5,3,12,4,17,0,0,0,0,0,36,0,0,0,3,0,4,0,0,0,5,3,10,9,85,13,4,3,0,0,130,0,0,0,3,0,6,3,4,0,18,0,0,0,0,6,0,8,3,3,16,0,0,0,5,3,4,3,3,0,19,0,0,9,8,3,3,0,0,0,26,0,0,0,0,0,4,0,5,0,9,0,0,3,23,3,8,7,6,0,51,0,0,0,3,0,0,0,0,0,9,0,3,3,14,3,4,0,0,0,24,0,0,0,4,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,4,0,5,4,17,4,4,7,0,0,47
POA2607,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,9,0,0,3,20,0,0,0,0,0,32,0,0,0,3,0,4,6,5,0,20,0,5,4,20,23,17,4,10,0,84,0,0,0,0,0,0,3,0,0,9,0,0,3,9,9,0,0,0,0,21,0,0,0,6,7,0,0,0,0,19,0,3,11,43,9,9,9,0,0,82,0,0,0,4,3,7,4,3,0,20,0,0,0,7,3,8,12,3,4,41,0,3,3,7,4,4,0,0,0,30,0,0,9,16,12,3,3,0,3,51,0,0,0,0,0,0,3,3,0,8,0,0,0,23,23,15,12,5,0,85,0,3,0,5,3,0,3,0,0,16,0,0,3,15,6,0,3,0,0,37,0,0,0,3,0,4,0,0,0,13,0,0,3,0,6,0,0,0,0,9,0,11,3,16,7,8,7,3,0,50
POA2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,10,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
POA2611,0,0,0,8,0,4,0,0,0,12,0,0,0,6,3,0,3,0,0,10,3,0,4,22,0,0,0,0,0,32,0,0,0,7,0,6,20,10,6,42,0,15,11,41,30,20,21,3,3,140,0,0,0,0,0,0,0,3,4,6,0,3,5,20,8,0,0,0,0,34,0,0,4,11,6,5,0,0,0,30,0,11,11,78,15,21,14,3,0,154,0,0,0,12,8,7,3,8,4,42,0,3,4,9,9,12,21,17,3,86,3,4,0,12,4,3,3,0,0,28,0,3,4,28,20,8,9,3,0,72,0,0,0,0,0,0,6,3,0,16,0,6,0,29,11,5,9,3,0,66,0,0,0,10,0,0,0,0,0,17,0,4,5,31,8,6,3,0,0,55,0,0,3,3,3,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,18,3,29,15,11,10,0,4,88
