POA_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
POA2600,0,0,0,5,12,3,0,0,0,22,0,0,0,0,0,0,3,3,4,11,0,0,0,0,0,0,0,0,0,0,4,10,8,33,22,29,12,7,3,132,10,12,16,45,37,22,36,21,17,218,168,407,415,894,564,534,482,239,161,3859,0,0,0,0,0,0,0,0,0,0,301,590,557,1156,697,670,582,250,163,4962,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,11,0,15,10,6,5,0,0,47,0,0,0,3,0,0,0,0,0,8,0,9,27,42,19,6,10,0,0,122,0,0,0,0,0,0,6,0,0,11,0,0,0,0,0,3,0,0,0,4,4,12,19,48,62,77,80,45,29,369,0,0,0,0,0,0,3,0,0,5,0,0,9,3,3,4,0,0,0,24,0,0,3,13,6,9,15,5,7,50
POA2601,0,0,3,8,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,3,0,41,51,4,3,0,0,0,106,0,3,88,89,24,12,11,3,7,233,37,23,1986,871,139,103,48,15,16,3232,0,0,0,4,0,0,0,0,0,4,53,20,1505,713,150,122,63,14,11,2656,0,0,9,24,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,3,0,0,12,6,0,0,0,0,0,15,0,0,0,5,3,0,0,0,0,9,0,0,938,249,6,8,3,0,0,1209,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,5,0,4,91,40,14,16,8,3,0,178,0,0,3,4,0,0,0,0,0,9,0,0,8,11,0,0,0,0,0,20,3,0,15,10,0,0,0,0,0,26
POA2602,0,13,16,60,39,29,3,7,5,171,0,0,3,3,0,0,0,0,0,8,0,0,0,4,4,0,3,0,0,12,11,38,51,327,68,50,42,53,31,673,38,77,100,307,108,106,77,79,62,945,866,1681,2151,5042,2066,1610,1047,833,483,15776,0,3,8,19,5,5,0,0,0,45,1560,2765,3118,6230,2670,1962,1170,735,421,20635,0,6,9,34,7,4,0,0,0,60,0,4,0,10,8,9,4,0,0,41,0,0,4,15,8,0,3,0,0,26,3,4,14,56,33,16,15,0,0,142,3,0,3,24,10,3,3,3,0,56,5,16,254,214,48,42,22,26,8,628,0,0,0,8,5,9,16,33,7,90,0,3,4,5,0,4,0,3,0,20,7,45,64,223,225,204,156,113,73,1110,0,3,7,24,4,9,4,4,0,59,0,8,10,45,18,10,0,0,3,85,0,10,12,55,38,29,49,28,23,250
POA2603,0,3,0,14,5,4,0,0,0,30,0,0,0,4,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,12,0,11,8,63,35,19,13,9,8,158,10,26,31,111,38,51,37,29,43,366,181,517,485,1343,714,607,424,233,212,4719,0,0,0,3,0,0,0,0,0,4,323,839,838,1554,935,750,544,229,179,6186,0,0,0,8,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,0,7,6,8,13,4,4,0,0,49,0,0,0,6,0,0,0,0,0,13,0,17,34,47,21,12,6,7,0,140,0,0,0,0,4,0,4,11,0,19,0,0,0,0,0,0,3,3,0,6,3,41,16,66,81,74,63,23,33,393,0,0,0,5,3,8,0,0,0,20,0,11,3,11,5,7,3,0,3,47,0,0,3,16,6,9,20,12,3,71
POA2604,0,0,0,11,6,9,3,0,0,31,0,0,0,5,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,3,9,14,11,74,30,25,20,6,4,185,20,22,30,154,65,55,29,55,92,528,257,405,518,2044,735,598,336,255,205,5354,0,0,4,3,0,0,0,0,0,5,464,644,782,2629,866,752,390,205,121,6856,0,0,0,9,11,3,0,0,0,28,0,0,0,0,0,0,3,3,0,7,0,0,0,3,0,3,0,0,0,3,0,10,3,23,20,6,3,3,0,67,0,0,0,9,0,5,0,0,0,13,0,3,30,72,28,5,9,3,0,142,0,0,0,0,0,4,3,5,3,25,0,0,0,8,0,0,3,0,0,7,0,3,14,83,75,89,39,22,16,344,0,0,3,9,3,3,0,0,0,15,0,10,3,30,12,9,0,0,3,69,0,3,4,22,10,8,19,8,3,67
POA2605,0,0,0,6,3,8,0,0,0,20,0,0,0,0,0,0,0,3,0,8,0,0,0,5,3,3,0,0,0,8,0,31,5,52,30,20,15,15,23,200,17,22,21,88,51,49,34,41,36,360,292,830,583,1416,919,704,542,486,353,6126,0,0,0,0,0,0,0,0,0,6,564,1299,987,1620,1164,887,586,467,299,7877,0,0,3,6,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,10,10,7,7,3,0,52,0,0,0,5,4,3,3,3,0,14,3,10,12,56,26,13,12,11,7,153,0,0,0,0,0,0,3,12,0,24,0,0,0,0,0,0,0,0,3,5,3,54,18,48,97,95,92,80,54,544,0,0,0,10,7,3,3,0,0,22,3,4,6,4,7,3,5,0,0,30,0,3,3,7,8,3,21,26,13,95
POA2606,0,0,5,19,5,4,5,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,13,9,16,18,113,28,27,28,11,8,255,15,21,45,131,40,25,29,17,6,326,287,455,516,1744,574,424,398,275,98,4764,0,0,5,14,0,0,0,0,0,24,431,661,678,1616,688,484,382,262,79,5277,0,3,3,34,9,4,0,0,0,46,0,0,0,7,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,7,0,0,4,0,3,4,0,3,0,15,0,0,0,3,3,3,3,0,0,7,0,6,37,98,27,19,12,5,3,216,0,0,0,3,3,3,4,9,0,31,0,0,0,0,3,0,0,0,0,3,0,16,13,43,45,55,58,46,16,288,0,0,0,6,5,3,0,0,0,22,0,0,0,0,0,0,8,0,0,12,0,0,3,10,13,3,17,10,9,65
POA2607,0,0,3,15,4,3,8,0,0,32,0,0,0,0,0,0,3,3,0,7,0,0,4,6,0,0,3,0,0,16,0,11,15,80,40,43,39,24,17,275,4,11,24,63,31,38,48,29,21,266,352,746,805,1635,1024,825,847,497,215,6953,0,0,0,3,0,3,0,0,0,10,647,1383,1336,1896,1261,1019,915,509,194,9156,0,7,7,23,10,7,3,0,0,46,0,0,0,3,0,6,0,0,0,9,0,0,0,7,3,0,0,0,0,13,4,5,0,14,11,9,3,0,0,54,0,0,0,0,4,0,0,0,0,8,7,13,36,65,38,23,14,5,6,209,0,0,0,3,0,0,17,8,0,31,0,10,3,12,3,4,4,0,0,27,0,34,32,59,109,94,101,75,37,538,0,4,4,12,4,8,0,0,0,38,0,0,8,6,4,0,0,4,0,29,3,6,0,8,0,4,38,26,8,91
POA2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,5,0,4,10,7,9,15,3,3,62,22,28,32,88,55,64,61,28,8,373,0,0,0,0,0,0,0,0,0,0,34,31,65,144,111,96,77,22,6,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,7,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
POA2611,0,3,0,26,3,11,7,0,0,47,0,0,0,3,3,3,4,0,0,16,0,0,0,8,7,8,0,0,0,20,3,26,32,119,76,55,49,61,17,425,35,57,56,247,73,93,104,94,100,876,965,1758,1398,4318,1807,1481,1548,805,374,14453,0,0,0,9,0,0,0,0,0,10,1846,3178,2264,5660,2455,1858,1793,779,249,20086,3,3,3,56,11,3,9,0,0,84,0,0,0,6,3,3,4,3,3,24,3,0,0,8,0,0,0,0,0,10,0,3,11,27,15,17,10,7,0,78,0,3,0,10,5,5,4,4,0,26,3,13,44,140,63,32,9,8,3,328,0,0,0,3,11,12,32,33,11,97,0,3,0,10,0,11,7,0,6,33,17,64,27,156,203,175,225,139,59,1068,0,0,0,13,7,3,3,0,0,32,0,11,3,23,14,3,10,0,0,58,0,0,3,25,18,18,62,35,23,189
