POA_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
POA2600,0,0,3,0,0,3,8,9,0,17,0,6,6,12,5,5,3,0,0,34,0,7,8,47,23,7,12,3,0,101,0,3,3,8,3,3,3,0,0,23,0,0,0,7,3,0,6,3,0,11,0,3,0,3,3,0,0,0,0,5,0,3,0,9,5,0,4,3,0,25,0,0,0,10,5,7,19,10,9,54,0,4,4,15,0,0,0,0,0,21,0,3,0,19,7,0,3,0,0,33,0,0,0,0,0,0,0,0,0,3,0,3,0,20,19,7,4,3,0,60,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,8,6,5,22,0,5,10,28,20,15,15,8,3,112,0,0,0,0,3,0,3,0,0,4,0,0,0,6,0,0,0,0,0,10
POA2601,0,0,0,3,0,0,0,0,0,3,0,0,112,16,3,0,0,0,0,132,0,0,102,86,3,0,0,0,0,194,0,0,34,45,3,3,0,0,0,85,0,0,0,22,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,13,0,0,28,7,3,0,0,0,0,43,3,0,49,50,3,0,0,0,0,114,0,0,0,0,0,0,0,0,0,3,0,0,116,36,0,3,0,0,0,153,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,23,0,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,14,0,0,52,30,6,7,0,0,0,94,0,0,0,0,0,0,0,0,0,4,0,0,13,13,0,0,0,0,0,25
POA2602,0,0,3,4,7,15,36,44,14,117,0,0,11,30,24,10,0,0,0,82,11,23,50,231,32,40,17,8,0,404,14,27,22,117,15,6,3,3,0,200,0,3,5,41,3,5,0,0,0,57,4,11,4,27,9,3,0,0,0,61,0,7,9,32,20,7,9,4,5,80,0,0,0,34,13,18,33,46,27,167,3,5,10,29,15,3,5,0,0,69,0,14,22,88,23,5,7,3,0,159,0,0,0,7,0,3,0,0,0,9,0,12,12,61,18,21,6,6,0,150,0,0,0,3,4,3,5,0,0,24,0,0,0,4,0,3,0,0,0,11,0,3,6,35,12,13,8,4,0,73,0,3,11,33,8,0,0,0,0,57,0,7,12,27,10,22,22,23,12,131,3,21,50,161,89,67,28,13,6,442,0,0,0,4,4,9,3,5,0,30,3,10,14,56,0,4,0,0,0,88
POA2603,0,0,0,3,6,7,9,7,0,32,3,9,12,15,5,3,4,0,0,45,6,18,9,84,22,13,9,4,0,168,0,0,3,9,4,0,3,0,0,21,0,3,3,16,8,4,0,0,0,30,0,0,0,11,8,0,0,0,0,26,0,0,0,8,6,3,5,0,0,18,0,0,3,5,5,17,19,17,8,77,3,6,3,16,7,0,3,0,0,29,5,3,3,18,8,6,0,0,0,42,0,0,0,3,5,0,0,3,0,16,3,4,0,24,20,13,3,5,0,80,0,0,0,8,0,3,0,0,0,14,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,7,0,0,0,0,0,6,0,4,0,0,3,3,6,0,3,23,3,6,9,31,13,28,13,3,0,110,0,0,0,0,6,4,0,0,0,10,0,7,3,17,4,4,3,0,0,39
POA2604,0,0,0,3,7,0,3,3,3,20,0,4,4,22,9,9,0,0,0,42,4,16,11,98,17,5,0,5,0,162,0,0,5,11,0,4,0,0,0,26,0,0,3,24,4,4,0,0,0,37,0,0,0,10,0,6,3,0,0,17,0,0,0,12,4,4,3,0,0,30,0,0,0,3,4,9,20,8,7,56,3,7,6,12,7,0,3,0,0,39,0,4,3,30,14,0,0,0,0,56,0,0,0,4,4,0,0,0,0,9,0,4,3,17,14,7,3,0,0,54,0,0,0,0,0,0,3,4,3,9,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6,0,0,11,0,0,0,8,0,0,0,0,0,7,0,0,0,3,7,4,10,4,0,36,0,5,12,66,28,35,9,3,0,165,0,0,0,0,0,4,0,3,0,9,3,0,0,11,0,0,0,0,0,17
POA2605,0,0,0,3,0,0,10,10,5,34,0,3,0,9,0,9,0,3,4,28,5,47,5,223,26,20,13,15,0,364,0,8,0,23,8,0,0,0,0,46,0,0,0,4,0,0,0,0,0,11,0,5,4,3,6,0,3,0,0,26,0,4,0,8,3,5,11,3,0,39,0,0,4,0,7,12,17,29,15,80,5,11,3,16,5,6,3,0,4,52,0,7,11,23,0,4,3,0,0,46,0,0,0,0,0,0,0,0,0,0,0,6,5,14,19,8,9,4,0,75,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,7,3,4,0,0,0,9,0,3,5,22,0,3,0,0,0,43,0,3,0,3,4,0,9,3,3,34,0,5,10,40,42,18,20,11,4,160,0,0,0,0,0,3,3,3,0,10,0,3,0,13,0,0,0,0,0,18
POA2606,0,0,0,4,3,10,12,9,3,40,0,6,6,29,6,6,3,7,0,64,34,54,20,498,39,19,17,5,0,686,0,4,7,19,5,3,8,0,0,43,0,0,0,16,0,4,0,0,0,23,0,0,0,5,4,0,0,5,0,16,0,0,0,9,5,0,3,3,0,26,0,0,0,3,7,16,17,13,9,71,0,0,0,12,7,0,0,0,0,25,0,5,9,60,10,5,0,0,0,94,0,0,3,0,3,0,0,0,0,8,0,0,12,38,15,7,8,3,0,87,0,0,0,0,0,0,3,3,0,4,0,0,0,6,0,0,0,0,0,9,0,0,4,15,3,0,0,0,0,24,0,0,5,24,0,0,0,0,0,34,0,0,0,6,3,0,5,3,0,22,3,4,10,25,13,26,10,4,4,105,0,0,0,3,0,0,0,0,0,15,3,16,11,37,7,0,0,0,0,63
POA2607,0,0,0,0,3,8,18,23,3,59,0,8,3,9,11,21,10,3,3,64,12,40,28,285,41,42,20,14,3,488,0,5,6,17,3,7,3,3,0,39,0,0,0,14,4,6,0,0,0,25,0,0,0,7,0,0,0,0,0,8,0,11,0,11,6,3,3,10,0,45,0,0,3,5,8,14,34,23,20,104,0,3,4,8,0,6,3,3,0,27,0,0,15,17,9,3,0,0,0,38,0,3,0,0,0,0,3,3,0,12,0,4,9,38,20,18,19,6,0,120,0,0,0,0,0,4,11,9,0,17,3,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,3,0,9,0,4,3,42,5,0,0,0,0,54,0,0,0,3,3,5,7,9,0,31,4,11,13,35,43,25,14,12,0,166,0,0,0,0,3,3,4,0,0,17,0,7,10,25,16,0,0,0,0,56
POA2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,10,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2611,0,0,3,3,3,7,24,27,3,65,0,7,10,43,9,16,3,0,0,93,7,44,27,316,64,26,22,10,8,518,8,9,0,35,8,4,5,3,0,65,0,5,3,39,21,8,12,0,0,86,0,8,3,20,5,0,3,0,0,40,0,13,8,11,5,7,9,4,0,61,0,9,4,15,10,23,52,42,16,169,0,12,9,19,5,4,3,0,3,53,0,10,3,33,6,4,4,0,0,62,0,0,0,6,4,0,4,0,0,15,4,7,8,55,40,26,12,6,3,164,0,0,0,0,0,3,18,3,0,27,0,0,0,12,0,5,0,0,0,20,0,0,0,4,4,0,10,0,0,21,3,10,5,43,0,0,3,0,0,59,0,3,0,9,8,13,31,15,12,86,0,19,23,94,64,42,46,8,3,301,0,0,0,3,3,0,4,4,4,22,10,10,10,43,7,0,0,0,0,77
