POA_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
POA2600,0,0,0,6,9,9,0,3,0,4,0,7,11,3,0,47,0,3,8,5,0,14,31,25,5,0,5,12,6,7,9,122,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,17,6,3,0,0,10,0,0,0,0,4,3,0,0,50,0,3,6,4,0,0,0,0,3,0,0,0,0,0,0,17,0,0,4,3,3,7,0,7,0,0,0,9,0,3,0,34,0,0,0,7,15,12,21,24,5,0,0,0,6,0,3,101,0,4,0,3,0,3,4,0,0,3,0,6,0,0,0,23,0,0,0,0,5,0,3,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,5,0,4,0,3,0,6,0,0
POA2601,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,15,0,0,0,0,0,14,59,88,58,68,120,228,367,162,52,1209,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,10,3,0,0,0,0,3,5,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,23,14,7,10,4,21,22,19,4,132,0,0,0,0,0,4,35,21,10,4,11,18,45,48,3,194,0,0,0,0,0,3,3,3,3,8,5,8,21,29,0,85,0,0,0,0,0,0,4,3,0,3,3,0,3,3,0,26,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3
POA2602,0,0,0,28,16,20,31,14,6,4,5,0,8,0,3,142,0,0,4,10,9,66,80,66,26,34,33,57,103,97,29,628,0,0,30,35,0,3,3,3,0,0,0,5,0,0,0,90,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,20,0,0,7,7,3,10,7,3,0,5,0,7,3,7,4,59,0,67,43,16,15,24,28,19,3,5,3,7,5,4,9,250,0,12,61,26,11,0,3,0,0,0,0,0,3,0,3,117,0,0,3,8,11,23,15,4,0,0,0,0,3,0,3,82,0,0,8,24,17,59,62,81,11,15,21,39,43,23,10,404,0,0,3,0,7,10,19,22,3,7,16,18,31,60,3,200,0,0,0,0,3,7,0,13,12,7,3,5,3,0,3,57,0,0,0,0,0,3,7,3,3,0,0,0,4,26,0,61,0,3,10,5,6,4,14,16
POA2603,0,0,0,6,6,4,9,3,3,0,3,0,7,0,0,49,0,5,0,0,8,22,26,13,8,11,12,13,10,14,3,140,0,0,9,4,0,8,3,0,0,0,0,0,0,0,0,19,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3,0,3,0,0,0,0,0,0,0,0,5,20,0,19,8,7,7,0,9,4,3,0,0,0,10,4,0,71,0,8,14,3,3,0,0,0,0,0,0,0,0,0,4,32,0,0,0,0,8,6,9,4,4,0,3,3,3,0,0,45,0,0,3,10,13,23,24,28,0,8,15,11,15,7,9,168,0,0,0,0,0,4,3,3,0,0,3,0,0,3,0,21,0,0,0,0,0,7,8,6,0,0,0,3,0,0,0,30,0,0,0,0,0,0,3,3,3,0,5,0,0,3,0,26,0,0,0,5,3,0,5,0
POA2604,0,0,5,8,9,10,10,5,0,3,0,6,8,0,0,67,0,0,0,3,0,26,34,35,3,11,3,8,21,3,3,142,0,0,11,3,0,0,0,0,0,0,0,0,0,0,6,25,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,15,0,17,4,6,11,7,10,3,3,0,0,0,0,0,3,67,0,3,9,3,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,3,8,14,4,0,0,0,3,0,0,0,0,42,0,0,0,4,5,15,18,53,0,3,6,27,11,8,4,162,0,0,0,0,0,3,11,3,3,0,0,0,0,0,0,26,0,0,0,0,4,4,0,0,4,5,0,3,4,3,0,37,0,0,0,0,0,0,6,4,0,0,0,0,3,0,0,17,0,0,0,7,0,3,6,0
POA2605,0,0,8,12,9,4,5,7,4,0,0,0,0,0,0,52,0,3,4,3,8,26,35,16,9,10,3,10,10,7,11,153,0,3,15,6,0,0,0,0,0,0,0,0,0,0,0,24,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,5,0,4,0,0,0,0,0,0,0,22,0,35,19,8,8,3,13,3,0,0,0,3,0,0,7,95,0,5,19,4,0,0,0,0,0,0,0,0,0,0,0,34,0,0,3,6,6,6,3,4,0,0,0,0,0,0,3,28,0,3,6,15,5,30,34,87,34,42,31,27,35,20,0,364,0,3,0,3,0,3,3,8,0,3,3,5,7,0,0,46,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,3,3,0,0,11,0,3,0,26,0,3,3,7,6,4,4,5
POA2606,0,0,0,3,0,0,7,3,0,0,0,0,0,0,0,15,0,0,0,3,5,40,45,46,12,8,9,13,24,11,11,216,0,0,10,11,0,0,3,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,7,0,0,3,0,0,0,0,0,0,22,0,25,12,6,7,5,3,3,0,0,0,0,0,0,3,65,0,7,19,12,0,3,0,0,0,0,0,0,0,0,0,40,0,0,3,4,4,14,17,3,0,4,0,0,3,0,5,64,0,0,0,3,10,29,38,159,34,44,99,120,108,31,11,686,0,0,0,3,0,4,13,6,0,10,0,6,0,9,0,43,0,0,0,0,3,3,0,5,0,0,0,0,4,0,0,23,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,16,0,0,5,4,3,5,0,4
POA2607,0,0,3,10,3,6,5,3,9,0,0,0,0,0,0,54,0,4,3,6,11,30,47,44,7,6,5,24,16,11,7,209,0,0,5,17,0,8,3,0,0,0,0,0,0,0,0,31,0,0,0,3,0,3,0,12,0,0,0,5,0,0,0,27,0,0,0,0,6,11,3,3,0,0,0,8,3,0,0,38,0,33,22,4,12,0,3,7,0,4,0,0,0,0,4,91,0,12,25,11,7,3,0,0,0,0,0,0,0,0,0,59,0,0,9,7,23,17,8,0,0,0,3,0,0,0,0,64,0,3,3,18,21,37,46,135,25,25,42,50,49,10,21,488,0,0,0,4,5,0,5,7,0,0,5,3,0,0,0,39,0,0,0,0,3,5,12,0,3,0,0,0,0,0,0,25,0,0,0,0,0,0,3,3,0,0,0,4,0,0,0,8,0,3,7,4,7,5,3,4
POA2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2611,0,3,3,17,9,7,12,13,0,0,3,3,6,0,0,78,0,0,5,4,12,62,91,79,6,11,9,12,22,19,3,328,0,0,21,44,3,10,0,0,0,0,0,0,0,0,12,97,0,9,0,0,3,6,7,3,0,0,0,0,3,0,3,33,0,0,0,0,10,9,0,0,0,3,0,0,3,0,0,32,0,68,32,25,13,17,14,6,0,3,3,4,0,3,0,189,0,9,28,14,0,0,0,3,5,0,0,0,0,0,0,65,0,0,0,6,8,28,21,7,0,0,0,6,5,3,0,93,0,3,0,23,20,42,93,161,63,37,18,22,22,10,10,518,0,4,4,6,3,3,12,7,3,0,3,0,13,11,3,65,0,0,0,3,12,16,13,16,9,13,0,0,0,0,0,86,0,0,0,0,0,0,14,11,0,0,0,0,7,11,0,40,0,0,6,6,3,8,10,13
