POA_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
POA2600,0,0,3,0,0,0,0,25,0,16,17,4,3,3,3,0,0,0,0,0,3,0,3,54,0,0,0,0,3,0,3,0,0,0,0,0,8,0,0,21,0,0,0,3,5,3,4,8,0,3,0,0,0,0,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,11,15,8,17,5,0,0,0,0,9,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,11,0,0,0,0,0,3,0,0,0,0,0,0,22,3,3,8,10,20,11,20,15,0,0,0,0,6,0,4,112,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,10,0,0,0,4,4,5,5,0,3,5,3,0,3,0,0,43,0,4,3,0,7,0,0,0,0,0,0,0,0,0,0,23,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,12
POA2601,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,0,5,3,0,3,4,0,3,3,8,43,0,0,0,0,0,7,19,29,4,7,9,7,6,11,4,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,15,17,3,8,15,26,26,42,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,14,0,0,0,3,4,11,23,7,3,4,8,11,8,13,0,94,0,0,0,0,0,0,3,0,0,3,3,0,11,3,0,25,0,0,0,0,0,4,6,3,0,7,5,3,7,12,0,52,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,18,10,4,7,9,7,28,35,4,129
POA2602,9,0,5,4,0,0,0,80,0,29,62,29,3,3,5,3,5,8,3,3,7,0,6,167,0,0,0,3,9,9,16,8,0,0,0,7,4,3,7,69,0,0,0,0,7,20,36,43,3,7,16,8,9,3,10,159,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,9,3,0,4,22,19,30,18,26,0,3,4,5,0,8,3,150,0,3,4,9,3,0,0,0,0,0,0,0,0,0,0,24,0,32,28,11,11,8,4,12,3,3,3,0,3,0,3,131,3,6,23,49,82,81,83,26,13,6,27,9,13,5,13,442,0,0,0,0,0,4,11,10,6,8,3,9,16,8,5,88,0,0,0,8,16,28,21,18,8,13,9,20,16,8,3,161,0,16,5,5,17,11,8,0,0,0,0,3,0,0,3,79,0,0,0,12,9,10,8,12,3,3,3,0,11,4,0,69
POA2603,0,0,0,0,0,0,0,18,0,11,29,21,3,0,0,0,0,0,0,0,3,0,4,77,0,0,0,0,3,4,7,4,0,0,0,0,0,3,0,29,0,0,0,0,4,11,3,5,0,0,0,0,3,7,0,42,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,16,0,0,3,4,20,16,7,8,0,4,0,0,3,0,6,80,0,3,7,3,3,0,0,0,0,0,0,0,0,0,0,14,0,6,3,4,0,0,3,0,6,0,0,0,0,0,0,23,0,3,4,11,13,11,28,12,9,0,0,5,5,4,4,110,0,0,0,0,3,4,4,10,0,0,3,8,4,0,3,39,0,0,0,0,4,7,3,11,4,0,3,6,8,8,3,51,0,3,0,0,10,3,0,0,0,0,0,0,0,0,0,22,0,0,0,3,5,0,3,6,0,3,0,0,5,0,0,27
POA2604,5,5,0,0,0,0,0,30,0,8,18,13,6,0,4,0,0,0,0,0,0,0,7,56,0,0,0,3,0,3,12,11,0,0,3,0,0,0,0,39,0,0,0,4,3,13,10,7,8,5,0,3,3,0,0,56,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,9,0,0,3,10,9,8,4,4,5,0,6,0,0,3,3,54,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,13,11,3,4,0,0,3,3,0,0,0,0,0,0,36,0,3,3,13,37,26,30,18,3,5,3,0,8,3,8,165,0,0,0,0,0,0,7,5,0,4,0,0,3,0,0,17,0,0,0,0,4,21,13,4,0,0,0,5,0,9,4,74,0,5,4,3,8,7,0,0,0,0,0,0,0,0,0,33,0,0,0,10,0,12,3,0,0,0,0,0,0,0,0,24
POA2605,0,3,0,0,3,0,0,39,3,17,39,5,0,0,3,0,0,3,0,0,0,0,6,80,0,0,3,0,5,7,14,5,0,3,6,7,0,0,3,52,0,0,0,0,3,5,11,11,0,0,0,5,6,0,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,10,16,6,0,0,5,0,7,3,5,3,75,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,3,4,0,0,3,3,0,0,0,0,0,0,0,34,0,3,10,26,32,24,30,15,7,0,7,0,0,3,9,160,0,0,0,0,0,4,3,8,0,3,0,0,4,0,0,18,0,0,0,6,4,9,6,19,5,15,16,17,13,6,3,121,0,7,0,0,7,9,4,0,0,0,0,0,0,0,0,31,0,0,3,10,3,3,3,0,0,0,0,5,3,0,0,26
POA2606,0,0,0,0,0,0,0,26,0,5,32,15,7,0,0,4,0,0,0,0,0,0,0,71,0,0,0,0,3,3,4,7,0,0,0,3,0,0,4,25,0,0,0,0,3,5,18,32,0,16,8,9,4,3,3,94,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,3,15,10,13,10,10,5,0,3,8,10,8,3,87,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,4,3,0,3,0,0,0,0,0,0,0,0,22,3,0,9,13,16,16,14,10,3,3,3,3,0,8,7,105,0,0,0,0,0,0,4,15,10,4,13,14,3,3,0,63,0,0,0,0,4,15,14,39,23,30,30,22,26,11,0,215,0,3,4,0,12,4,0,5,0,0,0,0,0,0,0,27,0,0,0,3,3,5,5,5,0,0,3,3,3,0,0,30
POA2607,6,8,6,0,0,0,0,45,0,25,38,22,6,0,4,4,0,0,3,0,0,0,0,104,0,3,0,0,6,4,5,3,0,0,0,0,0,0,0,27,0,0,0,0,3,10,11,10,0,4,3,0,0,0,3,38,0,0,0,3,3,3,0,3,0,0,0,0,0,0,0,12,0,0,5,15,16,30,9,20,3,3,9,3,0,9,4,120,0,11,4,6,0,0,0,0,0,0,0,0,0,0,0,17,0,6,9,3,10,0,0,0,0,0,0,0,0,0,0,31,3,0,15,24,28,29,20,11,9,0,3,6,6,4,11,166,0,0,0,0,0,7,12,10,0,7,3,3,0,0,3,56,0,0,0,3,6,15,24,30,0,15,9,14,5,4,0,127,0,3,8,0,12,9,3,0,0,0,0,0,0,0,0,38,0,0,0,4,10,3,9,3,0,0,8,0,4,0,0,38
POA2609,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,3,0,4,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,8,0,0,0,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA2611,4,0,3,0,0,0,0,61,3,27,67,32,5,0,8,3,0,9,0,3,9,0,8,169,0,0,0,3,8,4,24,11,0,0,0,3,0,0,3,53,0,0,0,0,3,7,19,22,6,0,0,5,0,0,0,62,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,15,0,3,8,21,32,32,11,12,4,10,4,10,8,0,7,164,0,7,12,3,0,4,0,0,0,0,0,0,0,0,0,27,0,35,21,9,5,3,9,3,0,0,0,0,0,0,3,86,0,3,14,60,56,43,45,21,15,15,6,3,4,0,12,301,0,3,0,0,0,0,14,20,0,0,3,3,23,8,0,77,0,0,0,8,24,30,24,62,16,16,13,23,22,10,13,253,0,5,14,10,21,30,0,4,0,0,0,0,0,0,4,81,0,0,5,4,11,7,7,3,9,0,0,3,3,8,0,61
