POA_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
POA2600,0,0,7,3,5,6,11,9,0,0,0,0,0,0,0,45,0,0,0,3,0,11,6,3,0,0,0,3,0,0,4,36,0,0,0,0,0,9,8,5,0,0,0,4,0,0,0,27,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,3,43,74,115,60,41,24,20,3,15,6,3,10,0,18,438,0,0,5,9,13,11,24,7,4,0,5,8,24,4,3,118,0,3,0,0,12,5,3,3,0,0,0,0,0,8,0,38,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,18,29,41,32,47,56,24,9,9,12,3,18,3,6,303,11,130,194,264,232,236,267,164,40,46,41,67,104,40,60,1877
POA2601,0,0,0,0,4,0,16,3,0,3,0,0,0,0,0,37,0,0,0,0,0,0,8,3,0,6,3,4,7,6,0,33,0,0,0,0,0,0,8,10,3,7,3,0,13,4,3,49,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,4,11,14,10,20,66,23,3,8,13,5,12,9,12,208,0,0,0,0,3,4,23,9,3,3,3,5,12,22,4,96,0,0,0,0,3,9,0,3,0,3,0,0,4,3,0,30,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,11,0,0,0,5,4,27,53,34,4,15,32,29,69,56,14,350,0,10,19,40,43,135,414,310,109,186,249,384,676,497,121,3188
POA2602,0,0,3,5,26,18,30,7,3,3,0,4,0,0,3,116,3,0,0,3,3,18,10,19,0,3,7,8,13,13,0,107,0,0,0,5,8,7,14,30,3,7,7,7,9,3,3,100,0,0,0,11,7,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,6,110,230,323,145,131,132,74,21,30,20,26,19,8,46,1316,0,6,3,38,36,46,55,46,14,27,14,18,32,10,10,342,0,0,0,4,64,71,34,33,0,23,13,19,11,15,10,295,0,0,4,4,3,3,6,3,0,0,0,0,0,0,0,23,0,64,108,158,145,169,262,244,56,93,110,150,173,123,36,1887,23,358,657,858,703,914,1052,865,221,337,332,445,549,423,233,7959
POA2603,0,3,0,7,7,8,6,11,0,0,3,0,0,0,0,49,0,0,0,6,4,8,11,3,9,0,4,3,0,5,4,64,0,0,0,0,3,0,4,5,0,0,0,0,3,0,3,24,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,11,0,0,0,3,8,0,0,11,0,0,7,0,0,0,0,23,5,33,65,98,62,35,60,42,11,15,11,5,8,3,22,460,0,0,3,20,11,12,9,15,5,8,3,9,8,9,0,110,0,0,0,4,32,6,5,3,0,0,4,0,3,0,0,55,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,12,0,17,27,52,35,52,68,77,9,26,22,16,12,15,11,460,11,119,193,284,287,271,341,282,89,79,111,98,114,85,79,2440
POA2604,0,0,0,3,5,16,15,3,0,3,0,0,0,0,0,51,0,0,4,0,5,14,6,20,5,0,3,0,0,0,0,62,0,0,0,0,0,0,4,9,0,0,0,3,0,3,0,23,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,13,0,26,57,101,53,44,34,45,12,9,10,15,5,3,15,425,0,0,3,11,9,20,14,14,6,3,3,13,8,8,3,118,0,0,0,4,22,11,3,6,0,3,0,0,0,0,0,53,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,3,14,33,59,40,77,100,75,20,25,22,31,22,25,13,563,6,93,170,274,260,369,377,340,94,90,81,123,106,84,88,2550
POA2605,0,3,3,6,9,7,11,5,3,0,0,4,3,3,0,52,0,0,3,3,4,17,15,15,4,3,4,0,0,0,0,68,0,0,0,5,3,10,8,5,0,0,5,0,3,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,61,156,154,56,52,45,27,19,16,4,7,14,4,23,655,0,0,10,11,21,19,23,13,4,13,3,0,7,9,3,131,0,0,0,6,8,7,5,8,0,0,0,3,0,0,0,35,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,13,3,39,39,75,32,55,75,73,15,12,49,27,35,12,18,550,17,201,360,386,248,327,370,355,113,137,130,132,160,73,95,3100
POA2606,0,0,0,9,5,5,3,18,5,7,0,3,0,0,0,53,0,0,3,0,9,26,11,15,4,8,7,4,3,0,0,92,0,0,0,0,0,4,6,9,0,3,3,0,7,0,0,35,0,3,0,0,0,3,0,5,0,0,0,0,0,0,0,12,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,0,27,76,96,39,29,31,15,3,4,7,11,3,0,11,348,0,0,0,8,5,4,9,10,4,3,9,15,3,6,0,79,0,0,0,6,19,8,9,11,3,3,3,0,3,0,0,63,0,0,0,0,0,0,0,3,0,0,0,8,6,0,0,26,0,26,62,50,38,66,98,107,15,38,43,57,69,43,13,736,4,113,250,263,223,332,378,548,123,182,246,299,282,131,80,3452
POA2607,0,0,3,0,6,5,27,12,4,5,0,9,6,4,0,88,0,0,0,8,31,37,31,33,3,7,0,0,3,0,4,160,0,0,0,0,3,3,21,4,3,0,0,3,4,0,3,54,0,0,0,0,4,19,0,5,0,0,0,0,0,0,0,26,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,17,4,67,140,153,86,63,53,32,8,15,3,6,0,0,21,659,0,0,3,24,11,14,13,8,5,0,0,3,3,3,0,90,0,0,3,8,20,10,8,3,3,0,0,3,3,0,0,62,0,0,3,3,0,3,7,13,0,0,0,0,0,0,0,32,3,37,66,96,73,100,100,105,19,24,41,34,29,24,19,770,14,218,388,463,423,487,496,528,114,132,143,187,141,76,100,3908
POA2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11,3,5,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,7,0,4,0,0,3,3,0,0,0,0,0,29,3,8,18,31,12,21,13,20,6,7,3,3,3,3,6,156
POA2611,0,0,7,12,19,17,43,37,3,0,4,0,0,0,0,153,0,0,8,10,7,22,27,24,3,9,11,0,3,0,0,136,0,0,3,3,8,17,24,10,0,3,0,0,3,3,0,77,0,0,0,3,0,9,3,3,0,0,0,0,0,0,0,24,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,4,0,109,260,367,142,91,133,56,24,44,9,17,18,5,29,1297,0,3,7,17,17,28,30,21,12,11,3,6,10,3,0,166,0,0,0,0,27,16,11,12,3,4,4,3,3,3,0,81,0,0,0,0,7,4,12,13,0,0,0,0,0,0,0,39,3,46,108,200,125,149,188,186,34,40,34,34,39,39,34,1249,14,340,637,932,600,736,904,848,226,230,129,159,214,137,161,6265
