POA_CODE_2016,A0_14_SEO_B00,A0_14_SEO_00_05,A0_14_SEO_06_10,A0_14_SEO_11,A0_14_SEO_12,A0_14_SEO_13,A0_14_SEO_14,A0_14_SEO_15,A0_14_SEO_16,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_SOLSE_VWW_B00,A0_14_SOLSE_VWW_00_05,A0_14_SOLSE_VWW_06_10,A0_14_SOLSE_VWW_11,A0_14_SOLSE_VWW_12,A0_14_SOLSE_VWW_13,A0_14_SOLSE_VWW_14,A0_14_SOLSE_VWW_15,A0_14_SOLSE_VWW_16,A0_14_SOLSE_VWW_YNS,A0_14_SOLSE_VWW_T,A0_14_SOLSE_NWNAA_B00,A0_14_SOLSE_NWNAA_00_05,A0_14_SOLSE_NWNAA_06_10,A0_14_SOLSE_NWNAA_11,A0_14_SOLSE_NWNAA_12,A0_14_SOLSE_NWNAA_13,A0_14_SOLSE_NWNAA_14,A0_14_SOLSE_NWNAA_15,A0_14_SOLSE_NWNAA_16,A0_14_SOLSE_NWNAA_YNS,A0_14_SOLSE_NWNAA_T,A0_14_SOLSE_PinE_NS_B00,A0_14_SOLSE_PinE_NS_00_05,A0_14_SOLSE_PinE_NS_06_10,A0_14_SOLSE_PinE_NS_11,A0_14_SOLSE_PinE_NS_12,A0_14_SOLSE_PinE_NS_13,A0_14_SOLSE_PinE_NS_14,A0_14_SOLSE_PinE_NS_15,A0_14_SOLSE_PinE_NS_16,A0_14_SOLSE_PinE_NS_YNS,A0_14_SOLSE_PinE_NS_T,A0_14_SOLSE_T_B00,A0_14_SOLSE_T_00_05,A0_14_SOLSE_T_06_10,A0_14_SOLSE_T_11,A0_14_SOLSE_T_12,A0_14_SOLSE_T_13,A0_14_SOLSE_T_14,A0_14_SOLSE_T_15,A0_14_SOLSE_T_16,A0_14_SOLSE_T_YNS,A0_14_SOLSE_T_T,A0_14_L_PinE_NS_B00,A0_14_L_PinE_NS_00_05,A0_14_L_PinE_NS_06_10,A0_14_L_PinE_NS_11,A0_14_L_PinE_NS_12,A0_14_L_PinE_NS_13,A0_14_L_PinE_NS_14,A0_14_L_PinE_NS_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B00,A0_14_T_00_05,A0_14_T_06_10,A0_14_T_11,A0_14_T_12,A0_14_T_13,A0_14_T_14,A0_14_T_15,A0_14_T_16,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B00,A15_24_SEO_00_05,A15_24_SEO_06_10,A15_24_SEO_11,A15_24_SEO_12,A15_24_SEO_13,A15_24_SEO_14,A15_24_SEO_15,A15_24_SEO_16,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_SOLSE_VWW_B00,A15_24_SOLSE_VWW_00_05,A15_24_SOLSE_VWW_06_10,A15_24_SOLSE_VWW_11,A15_24_SOLSE_VWW_12,A15_24_SOLSE_VWW_13,A15_24_SOLSE_VWW_14,A15_24_SOLSE_VWW_15,A15_24_SOLSE_VWW_16,A15_24_SOLSE_VWW_YNS,A15_24_SOLSE_VWW_T,A15_24_SOLSE_NWNAA_B00,A15_24_SOLSE_NWNAA_00_05,A15_24_SOLSE_NWNAA_06_10,A15_24_SOLSE_NWNAA_11,A15_24_SOLSE_NWNAA_12,A15_24_SOLSE_NWNAA_13,A15_24_SOLSE_NWNAA_14,A15_24_SOLSE_NWNAA_15,A15_24_SOLSE_NWNAA_16,A15_24_SOLSE_NWNAA_YNS,A15_24_SOLSE_NWNAA_T,A15_24_SOLSE_PinE_NS_B00,A15_24_SOLSE_PinE_NS_00_05,A15_24_SOLSE_PinE_NS_06_10,A15_24_SOLSE_PinE_NS_11,A15_24_SOLSE_PinE_NS_12,A15_24_SOLSE_PinE_NS_13,A15_24_SOLSE_PinE_NS_14,A15_24_SOLSE_PinE_NS_15,A15_24_SOLSE_PinE_NS_16,A15_24_SOLSE_PinE_NS_YNS,A15_24_SOLSE_PinE_NS_T,A15_24_SOLSE_T_B00,A15_24_SOLSE_T_00_05,A15_24_SOLSE_T_06_10,A15_24_SOLSE_T_11,A15_24_SOLSE_T_12,A15_24_SOLSE_T_13,A15_24_SOLSE_T_14,A15_24_SOLSE_T_15,A15_24_SOLSE_T_16,A15_24_SOLSE_T_YNS,A15_24_SOLSE_T_T,A15_24_L_PinE_NS_B00,A15_24_L_PinE_NS_00_05,A15_24_L_PinE_NS_06_10,A15_24_L_PinE_NS_11,A15_24_L_PinE_NS_12,A15_24_L_PinE_NS_13,A15_24_L_PinE_NS_14,A15_24_L_PinE_NS_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B00,A15_24_T_00_05,A15_24_T_06_10,A15_24_T_11,A15_24_T_12,A15_24_T_13,A15_24_T_14,A15_24_T_15,A15_24_T_16,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B00,A25_34_SEO_00_05,A25_34_SEO_06_10,A25_34_SEO_11,A25_34_SEO_12,A25_34_SEO_13,A25_34_SEO_14,A25_34_SEO_15,A25_34_SEO_16,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_SOLSE_VWW_B00,A25_34_SOLSE_VWW_00_05,A25_34_SOLSE_VWW_06_10,A25_34_SOLSE_VWW_11,A25_34_SOLSE_VWW_12,A25_34_SOLSE_VWW_13,A25_34_SOLSE_VWW_14,A25_34_SOLSE_VWW_15,A25_34_SOLSE_VWW_16,A25_34_SOLSE_VWW_YNS,A25_34_SOLSE_VWW_T,A25_34_SOLSE_NWNAA_B00,A25_34_SOLSE_NWNAA_00_05,A25_34_SOLSE_NWNAA_06_10,A25_34_SOLSE_NWNAA_11,A25_34_SOLSE_NWNAA_12,A25_34_SOLSE_NWNAA_13,A25_34_SOLSE_NWNAA_14,A25_34_SOLSE_NWNAA_15,A25_34_SOLSE_NWNAA_16,A25_34_SOLSE_NWNAA_YNS,A25_34_SOLSE_NWNAA_T,A25_34_SOLSE_PinE_NS_B00,A25_34_SOLSE_PinE_NS_00_05,A25_34_SOLSE_PinE_NS_06_10,A25_34_SOLSE_PinE_NS_11,A25_34_SOLSE_PinE_NS_12,A25_34_SOLSE_PinE_NS_13,A25_34_SOLSE_PinE_NS_14,A25_34_SOLSE_PinE_NS_15,A25_34_SOLSE_PinE_NS_16,A25_34_SOLSE_PinE_NS_YNS,A25_34_SOLSE_PinE_NS_T,A25_34_SOLSE_T_B00,A25_34_SOLSE_T_00_05
POA2600,..,7,12,0,11,3,12,16,0,4,71,..,3,18,8,0,5,6,7,3,0,52,..,0,0,0,0,0,0,0,6,0,12,..,0,0,0,0,0,0,0,0,0,0,..,3,18,8,0,5,6,14,12,0,65,..,0,0,0,0,0,0,0,0,0,0,..,15,30,9,11,8,22,28,12,3,136,22,28,9,3,8,0,4,0,3,3,79,7,4,14,7,0,8,3,9,4,3,66,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,5,14,7,0,8,5,9,4,3,69,0,0,0,0,0,0,0,0,0,0,0,26,35,23,5,8,8,12,10,4,8,142,56,9,9,0,3,3,4,8,3,3,99,30,15,19,5,3,5,5,7,3,0,103,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,30,15
POA2601,..,0,0,0,0,3,0,0,3,5,12,..,0,0,0,0,3,0,0,0,0,3,..,0,0,0,0,0,0,3,0,0,9,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,3,0,0,10,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,6,0,3,3,7,27,76,86,35,9,18,12,19,34,44,16,343,38,100,108,53,84,125,238,384,287,57,1475,0,0,0,3,3,6,8,46,23,11,102,0,0,0,0,0,0,0,0,0,0,8,38,99,115,54,95,128,246,430,314,67,1585,0,0,0,0,0,0,0,0,0,0,0,113,184,150,64,106,142,269,463,352,78,1929,54,21,21,9,10,20,12,22,21,3,194,38,29,96,29,38,52,76,135,85,20,613,0,0,0,0,3,4,9,10,3,3,31,0,0,0,0,0,0,3,0,0,0,3,38,33
POA2602,..,19,59,22,21,31,26,33,8,8,234,..,12,54,10,30,27,33,39,24,5,245,..,0,0,0,0,0,5,19,31,3,61,..,0,0,0,0,0,0,0,0,0,3,..,12,59,10,35,32,42,51,58,9,305,..,0,0,0,0,0,0,0,0,0,0,..,27,121,31,51,61,74,81,71,22,538,103,84,38,18,9,17,15,11,5,9,309,25,48,75,21,34,38,61,114,109,16,545,0,0,0,0,4,0,9,12,19,11,47,0,4,0,0,0,0,0,0,0,0,5,26,52,75,22,34,38,69,119,126,27,599,0,0,0,0,0,0,0,0,0,0,3,128,138,112,39,46,52,83,131,137,36,911,213,53,77,19,33,34,28,41,16,11,520,111,93,199,40,87,85,129,175,120,28,1070,0,0,22,3,7,3,19,13,7,4,84,0,0,3,0,0,0,0,3,0,0,6,115,91
POA2603,..,14,34,9,8,9,15,18,8,5,118,..,10,22,10,15,17,6,12,9,7,114,..,0,0,0,0,3,0,3,11,0,16,..,0,0,0,0,0,0,0,0,0,0,..,12,26,12,15,21,12,15,17,7,133,..,0,0,0,0,0,0,0,0,0,0,..,24,58,22,26,27,23,32,23,10,252,14,20,8,9,3,3,3,3,7,0,69,11,7,17,7,5,9,15,16,5,8,103,0,0,0,0,0,3,0,5,5,3,22,0,0,0,0,0,0,0,0,0,0,0,11,7,17,12,5,19,17,17,12,5,124,0,0,0,0,0,0,0,0,0,0,0,29,26,28,13,12,22,14,20,16,6,193,52,13,20,11,0,7,13,9,3,3,138,39,28,40,9,13,13,15,8,13,9,188,3,0,3,0,0,5,0,3,3,0,16,0,0,0,0,0,0,0,0,0,0,0,44,28
POA2604,..,10,17,6,3,4,9,11,4,0,69,..,7,31,10,18,12,13,5,10,5,112,..,0,0,0,0,0,0,3,5,4,14,..,0,0,0,0,0,0,0,0,0,0,..,7,31,10,19,12,15,9,14,7,123,..,0,0,0,0,0,0,0,0,0,0,..,20,49,11,20,15,29,28,20,4,192,20,19,8,4,0,3,5,4,0,3,73,3,24,29,11,11,4,7,16,5,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,29,11,11,4,7,17,6,0,124,0,0,0,0,0,0,0,0,0,0,0,23,39,40,17,13,13,13,15,13,0,191,136,21,33,14,9,7,14,14,9,8,253,51,37,71,14,15,16,21,15,17,10,259,0,0,3,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,51,41
POA2605,..,21,45,23,19,5,4,12,11,3,131,..,5,34,15,31,31,28,37,10,8,207,..,0,0,0,0,0,5,4,3,0,20,..,0,0,0,0,0,0,0,0,0,0,..,4,34,15,27,32,34,47,16,6,227,..,0,0,0,0,0,0,0,0,0,0,..,26,78,34,51,38,39,58,26,7,354,25,32,10,0,3,3,0,0,0,6,76,10,12,14,7,5,4,12,14,4,3,80,0,0,0,0,0,0,3,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,12,14,7,5,6,10,16,4,3,87,0,0,0,0,0,0,0,0,0,0,0,36,39,20,6,11,12,15,14,4,12,164,38,10,18,3,4,3,0,5,5,5,95,29,25,79,17,20,32,30,30,12,3,281,0,0,0,0,0,3,0,3,0,0,10,0,0,3,0,0,0,0,0,0,0,0,29,22
POA2606,..,4,24,10,6,10,6,9,4,3,74,..,0,23,11,18,24,30,38,10,10,163,..,0,0,0,0,6,10,26,10,3,48,..,0,0,0,0,0,0,0,0,0,3,..,0,21,11,18,29,42,59,21,9,212,..,0,0,0,0,0,0,0,0,0,0,..,4,44,14,17,42,48,74,25,12,290,21,20,17,0,5,0,4,8,3,4,81,11,20,28,16,12,20,29,26,22,8,189,0,0,3,0,0,3,3,3,0,3,17,0,0,0,0,0,0,0,0,0,0,3,15,19,31,16,17,24,30,25,22,13,204,0,0,0,0,0,0,0,0,0,0,0,30,40,47,15,18,25,38,30,30,14,280,59,17,30,3,5,13,14,5,0,9,146,59,53,211,48,78,92,96,101,32,3,785,0,0,5,0,3,6,8,12,0,0,34,0,0,0,0,0,0,0,0,0,0,6,59,54
POA2607,..,16,31,17,10,10,8,13,3,0,110,..,12,43,12,16,28,30,23,16,4,183,..,0,0,0,3,0,3,5,4,0,13,..,0,0,0,0,0,0,0,0,0,0,..,12,43,12,21,29,36,24,17,4,205,..,0,0,0,0,0,0,0,0,0,0,..,28,78,25,26,40,49,40,24,10,315,20,23,11,0,5,5,3,4,0,8,83,9,44,36,13,12,13,36,20,18,3,192,0,0,0,0,3,0,0,3,3,0,15,0,0,0,0,0,0,0,0,0,0,0,9,44,36,8,14,13,31,25,23,6,214,0,0,0,0,0,0,0,0,0,0,0,32,72,50,15,19,23,35,25,26,11,298,37,8,12,4,5,3,5,0,0,4,82,33,30,152,26,35,38,43,40,11,12,412,0,3,9,0,0,3,0,3,3,0,23,0,0,0,0,0,0,0,0,0,0,3,33,32
POA2609,..,0,3,3,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,6,3,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
POA2611,..,19,58,30,28,9,18,17,13,5,200,..,10,74,30,36,17,28,30,15,8,262,..,3,0,0,0,3,3,11,17,7,38,..,0,0,0,0,0,0,0,0,0,3,..,15,74,30,36,28,33,41,38,10,302,..,0,0,0,0,0,0,0,0,0,0,..,31,135,58,63,39,47,55,45,17,500,29,53,19,4,6,6,3,9,4,0,131,16,35,50,18,19,10,16,25,21,6,218,3,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,17,35,50,18,16,10,16,30,27,6,231,0,0,0,0,0,0,0,0,0,0,0,53,86,70,18,22,20,17,31,29,7,361,134,29,40,10,8,5,8,12,4,7,264,86,70,193,44,42,24,34,39,21,6,551,4,0,7,0,0,0,0,7,5,0,35,0,0,3,0,0,0,0,0,0,0,7,88,73
