POA_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
POA2600,19,5,5,5,5,7,3,0,103,0,0,0,0,0,0,0,0,0,0,0,82,26,29,6,9,13,8,15,3,8,204,63,16,16,3,0,4,6,17,3,5,135,38,37,32,10,10,4,7,10,9,3,154,0,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,38,39,32,10,10,3,7,17,8,3,162,0,0,0,0,0,0,0,0,0,0,0,96,59,46,8,11,9,13,27,14,15,296,152,9,5,0,7,0,4,0,0,0,183,79,19,17,4,3,3,4,7,0,0,135,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,81,19,15,4,3,3,4,9,0,0,144,0,0,0,0,0,0,0,0,0,0,0,235,26,22,5,10,3,11,14,0,6,325,163,3,9,0,0,0,0,3,0,4,184,61,6,0,0
POA2601,102,29,42,54,85,149,92,22,644,0,0,0,0,0,0,0,0,0,0,0,91,52,125,38,56,75,95,165,112,25,831,23,11,14,3,3,3,5,3,6,3,72,11,20,11,0,9,16,8,25,18,4,119,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,16,13,0,9,16,6,29,18,4,124,0,0,0,0,0,0,0,0,0,0,0,36,26,27,7,16,18,13,30,20,3,199,31,0,0,0,0,0,0,0,0,0,35,19,3,3,0,0,3,4,3,3,5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,3,0,3,3,4,3,3,5,46,0,0,0,0,0,0,0,0,0,0,0,53,10,8,3,6,3,4,3,4,3,83,20,0,0,0,3,0,0,6,3,0,36,26,0,0,0
POA2602,226,48,100,94,148,189,126,34,1155,0,0,0,0,0,0,0,0,0,0,0,324,145,302,69,131,121,179,227,144,42,1675,317,76,65,16,25,17,20,23,8,19,579,150,108,152,32,43,56,58,53,39,15,709,3,13,18,0,10,3,8,3,9,0,63,0,0,0,0,0,0,0,0,0,0,5,158,119,170,37,52,61,63,57,54,14,776,0,0,0,0,0,0,0,0,0,0,0,478,199,233,46,71,75,80,74,62,33,1350,500,44,22,10,8,3,9,4,3,14,625,276,55,39,13,11,3,9,10,3,9,423,20,10,6,0,3,3,6,6,0,5,62,3,0,0,0,0,0,0,0,0,0,3,293,65,48,15,16,5,16,15,9,15,488,0,0,0,0,0,0,0,0,0,0,0,794,107,73,28,27,8,21,21,9,29,1116,500,12,6,0,0,3,3,0,0,10,528,237,18,10,0
POA2603,47,11,9,14,15,14,19,7,206,0,0,0,0,0,0,0,0,0,0,0,93,33,69,19,18,27,28,27,16,12,340,78,21,23,0,4,0,5,12,7,5,149,64,44,53,7,9,10,6,12,9,9,227,0,3,3,0,0,4,0,4,3,3,26,0,0,0,0,0,0,0,0,0,0,0,67,46,63,14,9,17,10,11,13,10,249,0,0,0,0,0,0,0,0,0,0,0,142,68,84,14,14,21,12,23,13,14,399,171,16,9,9,4,4,0,0,3,8,217,107,31,18,7,5,6,9,5,5,6,206,3,0,3,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,116,29,21,12,10,13,6,5,5,6,221,0,0,0,0,0,0,0,0,0,0,0,282,49,28,16,10,14,12,5,6,14,437,199,4,6,0,0,0,0,4,4,3,218,113,4,5,0
POA2604,71,14,18,16,23,17,15,10,268,0,0,0,0,0,0,0,0,0,0,0,180,60,107,28,20,23,36,29,25,12,529,111,23,17,7,4,0,14,10,3,8,196,72,47,55,13,15,12,15,11,7,3,246,0,0,4,3,4,0,0,4,3,0,17,0,3,0,0,0,0,0,0,0,0,4,73,48,60,13,14,10,18,9,12,3,268,0,0,0,0,0,0,0,0,0,0,0,182,74,78,21,21,12,31,22,16,12,462,162,6,22,4,10,0,4,0,4,0,211,106,26,24,8,3,6,4,5,4,0,192,4,0,3,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,111,27,25,12,3,10,4,5,8,4,208,0,0,0,0,0,0,0,0,0,0,0,270,35,43,11,15,10,10,5,6,6,418,190,4,9,0,0,3,0,0,0,3,217,94,3,0,0
POA2605,86,20,20,32,30,32,12,5,296,0,0,0,0,0,0,0,0,0,0,0,68,36,99,19,27,42,34,44,14,7,387,115,14,16,7,4,0,0,4,10,0,179,49,64,85,26,18,17,22,23,8,0,318,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,54,68,88,22,18,17,25,21,8,0,328,0,0,0,0,0,0,0,0,0,0,0,162,83,109,31,25,21,27,28,19,3,511,217,21,15,4,8,0,5,3,0,0,282,87,31,13,5,9,3,7,8,3,4,178,3,0,3,0,4,0,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,88,32,19,6,14,7,8,9,6,4,198,0,0,0,0,0,0,0,0,0,0,0,309,49,32,14,22,11,15,16,4,6,473,206,6,4,3,0,0,0,0,0,5,227,95,3,3,0
POA2606,215,48,78,99,106,112,39,7,824,0,0,0,0,0,0,0,0,0,0,0,115,72,245,53,87,109,117,116,41,18,975,66,10,7,3,0,0,3,5,3,3,104,64,56,125,23,32,45,59,41,13,4,466,7,3,9,3,0,3,3,3,3,7,37,0,0,0,0,0,0,0,0,0,0,3,68,57,135,27,31,45,59,48,17,7,507,0,0,0,0,0,0,0,0,0,0,0,137,71,142,29,36,47,63,49,20,11,609,132,14,3,0,3,0,3,0,0,0,158,111,25,29,4,3,8,14,3,0,0,199,4,5,7,0,6,4,3,0,5,4,36,0,0,0,0,0,0,0,0,0,0,0,115,29,32,4,7,13,15,5,3,4,231,0,0,0,0,0,0,0,0,0,0,0,249,39,39,5,6,13,18,5,3,4,390,138,3,3,0,0,0,0,0,5,4,156,94,13,5,0
POA2607,163,25,40,39,41,43,11,12,434,0,0,0,0,0,0,0,0,0,0,0,76,41,177,24,43,43,46,49,16,14,522,124,21,17,6,8,3,3,3,5,7,202,82,81,118,13,27,21,31,17,3,10,409,0,4,7,0,0,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,82,85,127,16,25,27,34,23,5,13,432,0,0,0,0,0,0,0,0,0,0,0,210,102,147,19,32,27,42,27,8,23,634,254,14,10,11,5,6,0,3,0,3,304,157,62,33,9,7,3,9,3,0,7,292,3,3,7,0,0,0,6,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,168,64,40,7,4,5,15,6,0,7,318,0,0,0,0,0,0,0,0,0,0,0,418,82,48,15,11,14,13,9,0,11,620,254,3,0,4,0,0,0,0,0,0,263,219,11,8,0
POA2609,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,3,3,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,3,0,6,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,3,18,10,0,5,0,0,0,0,0,0,0,18,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,0,3,0,0,0,0,0,0,0,21,13,0,0,0,0,0,0,0,0,0,18,5,0,0,0
POA2611,206,44,50,23,33,40,24,6,587,0,0,0,0,0,0,0,0,0,0,3,225,104,244,54,53,28,40,53,28,17,856,269,50,36,17,14,4,7,11,0,12,425,157,167,219,41,32,22,27,36,20,14,741,8,7,3,0,3,0,0,6,6,0,32,0,0,3,0,0,0,0,0,0,0,4,167,176,225,45,37,28,27,39,26,12,776,0,0,0,0,0,0,0,0,0,0,0,434,228,266,61,53,28,39,57,28,24,1203,415,43,23,8,18,3,3,0,0,11,523,224,70,54,13,16,5,3,12,5,8,410,9,9,9,3,3,0,0,0,3,0,39,0,0,0,0,0,0,0,0,0,0,3,236,77,69,21,17,5,3,13,3,8,449,0,0,0,0,0,0,0,0,0,0,0,648,119,93,23,31,5,3,16,9,14,967,424,20,16,3,0,0,0,0,0,12,475,230,20,3,0
