POA_CODE_2016,A55_64_SOLSE_VWW_12,A55_64_SOLSE_VWW_13,A55_64_SOLSE_VWW_14,A55_64_SOLSE_VWW_15,A55_64_SOLSE_VWW_16,A55_64_SOLSE_VWW_YNS,A55_64_SOLSE_VWW_T,A55_64_SOLSE_NWNAA_B00,A55_64_SOLSE_NWNAA_00_05,A55_64_SOLSE_NWNAA_06_10,A55_64_SOLSE_NWNAA_11,A55_64_SOLSE_NWNAA_12,A55_64_SOLSE_NWNAA_13,A55_64_SOLSE_NWNAA_14,A55_64_SOLSE_NWNAA_15,A55_64_SOLSE_NWNAA_16,A55_64_SOLSE_NWNAA_YNS,A55_64_SOLSE_NWNAA_T,A55_64_SOLSE_PinE_NS_B00,A55_64_SOLSE_PinE_NS_00_05,A55_64_SOLSE_PinE_NS_06_10,A55_64_SOLSE_PinE_NS_11,A55_64_SOLSE_PinE_NS_12,A55_64_SOLSE_PinE_NS_13,A55_64_SOLSE_PinE_NS_14,A55_64_SOLSE_PinE_NS_15,A55_64_SOLSE_PinE_NS_16,A55_64_SOLSE_PinE_NS_YNS,A55_64_SOLSE_PinE_NS_T,A55_64_SOLSE_T_B00,A55_64_SOLSE_T_00_05,A55_64_SOLSE_T_06_10,A55_64_SOLSE_T_11,A55_64_SOLSE_T_12,A55_64_SOLSE_T_13,A55_64_SOLSE_T_14,A55_64_SOLSE_T_15,A55_64_SOLSE_T_16,A55_64_SOLSE_T_YNS,A55_64_SOLSE_T_T,A55_64_L_PinE_NS_B00,A55_64_L_PinE_NS_00_05,A55_64_L_PinE_NS_06_10,A55_64_L_PinE_NS_11,A55_64_L_PinE_NS_12,A55_64_L_PinE_NS_13,A55_64_L_PinE_NS_14,A55_64_L_PinE_NS_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B00,A55_64_T_00_05,A55_64_T_06_10,A55_64_T_11,A55_64_T_12,A55_64_T_13,A55_64_T_14,A55_64_T_15,A55_64_T_16,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B00,A65_74_SEO_00_05,A65_74_SEO_06_10,A65_74_SEO_11,A65_74_SEO_12,A65_74_SEO_13,A65_74_SEO_14,A65_74_SEO_15,A65_74_SEO_16,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_SOLSE_VWW_B00,A65_74_SOLSE_VWW_00_05,A65_74_SOLSE_VWW_06_10,A65_74_SOLSE_VWW_11,A65_74_SOLSE_VWW_12,A65_74_SOLSE_VWW_13,A65_74_SOLSE_VWW_14,A65_74_SOLSE_VWW_15,A65_74_SOLSE_VWW_16,A65_74_SOLSE_VWW_YNS,A65_74_SOLSE_VWW_T,A65_74_SOLSE_NWNAA_B00,A65_74_SOLSE_NWNAA_00_05,A65_74_SOLSE_NWNAA_06_10,A65_74_SOLSE_NWNAA_11,A65_74_SOLSE_NWNAA_12,A65_74_SOLSE_NWNAA_13,A65_74_SOLSE_NWNAA_14,A65_74_SOLSE_NWNAA_15,A65_74_SOLSE_NWNAA_16,A65_74_SOLSE_NWNAA_YNS,A65_74_SOLSE_NWNAA_T,A65_74_SOLSE_PinE_NS_B00,A65_74_SOLSE_PinE_NS_00_05,A65_74_SOLSE_PinE_NS_06_10,A65_74_SOLSE_PinE_NS_11,A65_74_SOLSE_PinE_NS_12,A65_74_SOLSE_PinE_NS_13,A65_74_SOLSE_PinE_NS_14,A65_74_SOLSE_PinE_NS_15,A65_74_SOLSE_PinE_NS_16,A65_74_SOLSE_PinE_NS_YNS,A65_74_SOLSE_PinE_NS_T,A65_74_SOLSE_T_B00,A65_74_SOLSE_T_00_05,A65_74_SOLSE_T_06_10,A65_74_SOLSE_T_06,A65_74_SOLSE_T_12,A65_74_SOLSE_T_13,A65_74_SOLSE_T_14,A65_74_SOLSE_T_15,A65_74_SOLSE_T_16,A65_74_SOLSE_T_YNS,A65_74_SOLSE_T_T,A65_74_L_PinE_NS_B00,A65_74_L_PinE_NS_00_05,A65_74_L_PinE_NS_06_10,A65_74_L_PinE_NS_11,A65_74_L_PinE_NS_12,A65_74_L_PinE_NS_13,A65_74_L_PinE_NS_14,A65_74_L_PinE_NS_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B00,A65_74_T_00_05,A65_74_T_06_10,A65_74_T_11,A65_74_T_12,A65_74_T_13,A65_74_T_14,A65_74_T_15,A65_74_T_16,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B00,A75_84_SEO_00_05,A75_84_SEO_06_10,A75_84_SEO_11,A75_84_SEO_12,A75_84_SEO_13,A75_84_SEO_14,A75_84_SEO_15,A75_84_SEO_16,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_SOLSE_VWW_B00,A75_84_SOLSE_VWW_00_05,A75_84_SOLSE_VWW_06_10,A75_84_SOLSE_VWW_11,A75_84_SOLSE_VWW_12,A75_84_SOLSE_VWW_13,A75_84_SOLSE_VWW_14,A75_84_SOLSE_VWW_15,A75_84_SOLSE_VWW_16,A75_84_SOLSE_VWW_YNS,A75_84_SOLSE_VWW_T,A75_84_SOLSE_NWNAA_B00,A75_84_SOLSE_NWNAA_00_05,A75_84_SOLSE_NWNAA_06_10,A75_84_SOLSE_NWNAA_11,A75_84_SOLSE_NWNAA_12,A75_84_SOLSE_NWNAA_13,A75_84_SOLSE_NWNAA_14,A75_84_SOLSE_NWNAA_15,A75_84_SOLSE_NWNAA_16,A75_84_SOLSE_NWNAA_YNS,A75_84_SOLSE_NWNAA_T,A75_84_SOLSE_PinE_NS_B00,A75_84_SOLSE_PinE_NS_00_05,A75_84_SOLSE_PinE_NS_06_10,A75_84_SOLSE_PinE_NS_11,A75_84_SOLSE_PinE_NS_12,A75_84_SOLSE_PinE_NS_13,A75_84_SOLSE_PinE_NS_14,A75_84_SOLSE_PinE_NS_15,A75_84_SOLSE_PinE_NS_16,A75_84_SOLSE_PinE_NS_YNS,A75_84_SOLSE_PinE_NS_T,A75_84_SOLSE_T_B00,A75_84_SOLSE_T_00_05,A75_84_SOLSE_T_06_10,A75_84_SOLSE_T_11,A75_84_SOLSE_T_12,A75_84_SOLSE_T_13,A75_84_SOLSE_T_14,A75_84_SOLSE_T_15,A75_84_SOLSE_T_16,A75_84_SOLSE_T_YNS,A75_84_SOLSE_T_T,A75_84_L_PinE_NS_B00,A75_84_L_PinE_NS_00_05,A75_84_L_PinE_NS_06_10,A75_84_L_PinE_NS_11,A75_84_L_PinE_NS_12,A75_84_L_PinE_NS_13
POA2600,0,0,0,0,0,4,80,5,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,70,6,0,0,0,0,0,0,0,8,82,0,0,0,0,0,0,0,0,0,0,0,231,11,10,0,0,0,0,8,0,13,273,216,3,0,0,0,0,0,0,0,4,224,67,4,0,0,0,0,0,0,0,0,70,3,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,67,4,4,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,285,3,4,0,0,0,0,0,0,8,302,86,0,0,0,0,0,0,0,0,0,85,35,3,0,0,0,0,0,0,0,0,36,5,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,4,46,3,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0
POA2601,0,0,0,0,0,0,32,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,3,35,0,0,0,0,0,0,0,0,0,0,0,47,3,0,0,3,0,0,10,3,3,71,24,0,0,0,0,0,0,0,0,0,25,4,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,29,0,3,0,0,3,0,0,0,0,33,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
POA2602,0,0,0,3,0,10,276,38,14,6,3,3,7,3,3,3,3,70,5,0,0,0,0,0,0,0,0,0,5,272,26,15,3,4,3,0,5,5,8,345,0,0,0,0,0,0,0,0,0,0,0,771,37,21,6,5,10,5,5,5,19,882,378,0,0,0,0,0,3,0,0,3,388,187,3,5,0,0,0,0,0,0,3,199,38,4,3,0,0,0,0,0,3,4,58,0,0,0,0,0,0,0,0,0,0,0,228,9,4,4,0,0,0,0,3,12,257,3,0,0,0,0,0,0,0,0,0,3,605,7,4,4,4,0,3,0,3,14,649,229,0,0,0,0,0,0,0,0,8,239,189,0,0,0,0,0,0,0,0,3,199,80,5,10,0,0,0,0,0,0,3,98,4,0,0,0,0,0,0,0,0,0,5,277,6,10,0,0,0,0,0,0,9,305,0,0,0,0,0,0
POA2603,0,0,3,3,0,0,132,5,0,3,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,122,8,8,0,0,0,3,3,0,0,144,0,0,0,0,0,0,0,0,0,0,0,321,8,11,0,0,3,3,8,7,3,367,156,4,0,0,0,0,0,0,0,0,158,69,0,0,0,0,0,0,0,0,0,75,6,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,3,3,82,0,0,0,0,0,0,0,0,0,0,0,225,6,0,0,0,0,0,0,3,3,245,61,0,0,0,0,0,0,0,0,0,65,45,0,0,0,0,0,0,0,0,3,52,10,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,3,67,0,0,0,0,0,0
POA2604,0,0,3,3,0,0,113,9,3,3,0,0,0,5,3,0,4,22,0,0,0,0,0,0,0,0,0,0,0,101,5,4,0,0,3,6,4,3,5,136,0,0,0,0,0,0,0,0,0,0,0,290,14,16,0,0,8,6,8,3,7,349,113,0,0,0,0,0,0,0,0,4,119,61,0,0,0,0,0,0,0,0,0,68,11,3,3,0,0,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,76,3,3,0,0,0,4,4,0,3,97,0,0,0,0,0,0,0,0,0,0,0,190,3,3,0,0,0,4,4,0,7,209,55,0,0,0,0,0,0,0,0,7,65,37,3,0,0,0,0,0,0,0,8,47,15,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,55,4,0,0,0,0,0,0,0,3,60,0,0,0,0,0,0
POA2605,3,0,0,0,5,0,114,9,3,3,0,0,6,0,0,5,0,22,0,0,0,0,0,0,0,0,0,0,0,103,10,6,0,3,9,0,0,4,3,137,0,0,0,0,0,0,0,0,0,0,0,310,10,8,3,4,6,0,3,4,7,365,236,0,0,0,0,0,0,0,0,9,247,88,0,0,0,0,0,0,0,0,3,96,9,3,0,0,0,0,0,0,3,4,17,3,0,0,0,0,0,0,0,0,0,3,94,6,3,0,0,0,0,0,3,5,119,0,0,0,0,0,0,0,0,0,0,0,332,6,3,0,0,0,0,0,3,13,364,182,0,0,0,0,0,0,0,0,8,190,86,0,0,0,0,0,0,0,0,4,91,18,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,8,116,0,0,0,0,0,0
POA2606,7,3,4,3,3,7,129,8,3,0,0,3,7,8,0,3,3,34,0,0,0,0,0,0,0,0,0,0,0,101,13,4,0,10,9,8,3,11,4,164,0,0,0,0,0,0,0,0,0,0,0,242,21,6,0,10,7,8,3,10,11,322,158,3,0,0,0,0,0,0,0,0,163,91,4,8,0,0,0,0,0,0,0,111,11,0,4,0,0,0,0,0,3,0,23,3,0,0,0,0,0,0,0,0,0,3,110,4,12,0,0,0,3,0,3,0,135,0,0,0,0,0,0,0,0,0,0,0,261,6,12,0,0,0,3,0,3,0,294,98,0,0,0,0,0,0,0,0,7,105,72,0,0,0,0,0,0,0,0,3,83,17,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,96,0,7,0,0,0,0,0,0,3,105,0,0,0,0,0,0
POA2607,3,3,0,0,0,3,240,10,0,3,0,0,0,0,0,0,3,35,0,0,0,0,0,0,0,0,0,0,0,227,14,17,0,3,3,0,0,3,9,276,0,0,0,0,0,0,0,0,0,0,0,484,12,20,7,3,3,0,0,3,14,536,259,0,0,3,0,0,0,3,0,3,266,198,3,5,0,0,0,3,0,0,0,203,20,0,3,3,0,5,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,214,4,10,3,0,5,4,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,468,4,7,4,0,5,4,3,0,4,508,183,3,0,0,0,0,0,0,0,0,188,124,0,7,0,0,0,0,0,0,0,126,27,0,0,0,0,0,0,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,146,0,7,0,0,0,0,0,0,3,158,0,0,0,0,0,0
POA2609,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,28,20,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,28,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
POA2611,0,0,0,0,0,6,252,13,4,11,0,0,0,4,0,5,0,34,0,0,0,0,0,0,0,0,0,0,0,241,26,8,0,0,0,4,0,5,6,291,0,0,0,0,0,0,0,0,0,0,3,671,44,22,3,3,3,3,3,5,11,764,540,3,0,0,0,0,0,0,0,8,557,246,3,6,0,0,0,0,0,0,3,257,25,0,10,0,0,3,3,0,0,0,47,7,0,0,0,0,0,0,0,0,0,7,277,8,16,0,0,3,3,0,3,3,305,0,0,0,0,0,0,0,0,0,0,0,817,12,16,3,0,3,3,0,3,14,865,272,4,0,0,0,0,0,0,0,7,280,172,0,0,0,0,0,0,0,0,4,182,56,4,0,0,0,0,0,0,0,6,68,0,0,0,0,0,0,0,0,0,0,0,230,3,3,0,0,0,0,0,0,8,252,0,0,0,0,0,0
