POA_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
POA2600,0,0,0,0,0,127,3,0,0,0,0,0,0,0,0,129,48,0,0,0,0,0,0,0,0,3,55,7,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,3,63,807,78,62,13,23,14,28,50,12,34,1115,322,92,105,29,18,24,29,48,17,18,705,23,3,4,0,3,0,0,8,10,4,54,6,0,0,0,0,0,0,0,3,0,4,344,93,109,29,18,26,30,59,31,21,763,0,0,0,0,0,0,0,0,0,0,0,1154,172,164,40,46,41,67,104,40,60,1877
POA2601,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,231,117,75,22,35,40,34,62,80,25,725,147,155,228,85,140,201,329,552,390,81,2306,3,5,6,3,7,7,15,56,28,14,152,0,0,0,0,0,0,4,0,0,0,9,149,155,233,95,148,205,346,609,416,99,2467,0,0,0,0,0,0,0,0,0,0,0,379,279,310,109,186,249,384,676,497,121,3188
POA2602,0,0,0,0,3,510,9,10,0,0,0,0,0,0,14,544,136,0,0,0,0,0,0,0,0,9,144,86,0,0,0,0,0,0,0,0,5,95,39,3,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,130,3,0,0,0,0,0,0,0,8,137,0,0,0,0,0,0,0,0,0,3,3,269,3,0,0,0,0,0,0,0,20,290,2376,292,260,83,101,106,104,105,40,99,3571,1266,333,537,122,212,208,289,385,300,92,3752,218,44,61,14,27,15,46,51,81,32,591,16,8,4,0,0,0,0,3,3,3,33,1498,387,604,133,236,223,340,438,385,126,4381,4,0,3,0,0,0,0,0,0,5,12,3881,680,865,221,337,332,445,549,423,233,7959
POA2603,0,0,0,0,3,126,0,0,0,0,0,0,0,0,5,134,40,0,0,0,0,0,0,0,0,7,49,14,0,0,0,0,0,0,0,0,3,21,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,4,29,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,11,78,775,89,103,32,21,26,31,40,22,35,1182,463,121,163,43,51,63,58,60,43,41,1117,37,5,11,6,7,23,4,11,20,10,135,6,0,0,0,0,0,0,0,0,0,6,504,131,180,49,57,85,61,72,67,47,1255,0,0,0,0,0,0,0,0,0,3,4,1284,221,282,89,79,111,98,114,85,79,2440
POA2604,0,0,0,0,0,111,3,0,0,0,0,0,0,0,16,128,25,0,0,0,0,0,0,0,0,4,32,13,0,0,0,0,0,0,0,0,3,14,9,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,6,31,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,13,64,812,88,103,30,21,22,39,40,24,43,1227,438,147,216,60,57,56,75,53,47,25,1169,48,10,14,3,11,4,7,8,13,17,134,3,3,0,0,0,0,0,0,0,0,5,489,163,230,60,62,60,79,67,54,41,1310,0,0,0,0,0,0,0,0,0,0,7,1300,252,340,94,90,81,123,106,84,88,2550
POA2605,0,0,0,0,0,291,0,0,0,0,0,0,0,0,18,306,88,0,0,0,0,0,0,0,0,15,100,47,0,0,0,0,0,0,0,0,5,50,15,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,59,0,0,0,0,0,0,0,0,4,66,0,0,0,0,0,0,0,0,0,0,3,148,0,0,0,0,0,0,0,0,22,171,1103,98,98,49,36,15,11,32,19,52,1521,496,137,237,65,93,97,106,111,47,38,1424,57,9,11,4,4,15,19,16,6,7,141,3,0,3,0,0,0,0,0,0,0,9,552,150,251,71,98,109,122,125,54,44,1574,0,0,0,0,0,0,0,0,0,0,6,1661,249,355,113,137,130,132,160,73,95,3100
POA2606,0,0,0,0,0,193,0,7,0,0,0,0,0,0,5,209,38,0,0,0,0,0,0,0,0,0,46,24,0,0,0,0,0,0,0,0,0,25,17,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,81,4,0,0,0,0,0,0,0,0,86,704,69,83,17,21,23,29,30,21,23,1026,531,170,431,105,144,192,231,209,88,38,2144,64,16,26,7,9,27,31,46,26,14,264,8,0,0,0,0,0,3,0,0,0,17,598,187,463,109,159,222,268,251,118,54,2421,0,0,0,0,0,0,0,0,0,0,4,1304,253,548,123,182,246,299,282,131,80,3452
POA2607,0,0,0,0,0,329,0,7,0,0,0,0,0,0,3,345,71,0,0,0,0,0,0,0,0,5,75,44,0,0,0,0,0,0,0,0,5,45,19,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,57,3,0,0,0,0,0,0,0,5,62,0,0,0,0,0,0,0,0,0,0,0,128,3,0,0,0,0,0,0,0,15,145,1203,95,86,36,31,30,17,20,13,43,1573,861,231,403,68,95,105,150,102,48,44,2111,73,14,27,11,6,9,21,17,15,18,209,4,0,4,0,0,0,0,0,0,0,11,936,249,440,74,104,116,172,123,66,59,2331,0,0,0,0,0,0,0,0,0,3,4,2138,343,528,114,132,143,187,141,76,100,3908
POA2609,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,70,0,11,8,0,0,3,0,0,3,95,14,9,7,5,0,3,3,3,3,0,49,0,0,0,0,0,3,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,3,17,9,13,5,0,3,3,3,3,3,54,0,0,0,0,0,0,0,0,0,0,3,93,13,20,6,7,3,3,3,3,6,156
POA2611,0,0,0,8,8,502,4,3,0,0,0,0,0,0,29,541,103,0,0,0,0,0,0,0,0,0,104,51,0,0,0,0,0,0,0,0,0,52,28,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,19,18,187,3,3,0,0,0,0,0,0,18,205,2184,216,202,66,73,32,41,54,20,62,2954,1180,385,597,150,150,85,107,143,77,50,2920,150,34,45,6,14,13,12,25,37,13,331,8,0,4,3,0,0,0,3,0,0,25,1343,411,646,153,157,98,113,167,118,66,3278,3,0,0,0,0,0,0,0,0,33,36,3529,630,848,226,230,129,159,214,137,161,6265
