POA_CODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
POA2600,199,10,0,0,10,0,209,22,32,0,0,32,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,38,0,0,38,0,57,0,0,0,0,0,0,0,222,44,0,0,44,0,269,183,11,0,0,11,0,187,19,56,0,0,56,0,72,0,3,0,0,5,0,5,0,0,0,0,0,0,0,22,62,0,0,65,0,85,0,0,0,0,0,0,0,200,66,0,0,70,0,271,121,6,0,0,6,0,127,9,31,0,0,31,0,37,0,3,0,0,3,0,3,0,0,0,0,0,0,0,9,33,0,0,33,0,41,0,0,0,0,0,0,0,127,36,0,0,36,0,166,82,0,0,0,0,0,84,6,17,0,0,20,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0,0,20,0,28,0,0,0,0,0,0,0,90,19,0,0,25,0,111,121,6,0,0
POA2601,14,0,0,0,0,0,19,15,15,3,0,16,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,3,0,21,0,34,0,0,0,0,0,0,0,26,17,3,0,20,0,47,3,0,0,0,0,0,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,10,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0
POA2602,1020,54,0,0,54,0,1078,95,211,7,3,222,0,317,0,17,13,0,29,0,32,0,3,0,3,3,0,3,93,225,24,3,250,0,346,0,0,0,0,0,0,0,1120,283,24,3,308,0,1429,988,32,0,0,32,0,1020,67,191,12,0,202,0,268,0,12,10,0,25,0,25,0,0,0,0,0,0,0,67,204,17,0,226,0,295,0,0,0,0,0,0,0,1053,238,17,0,259,0,1314,552,21,0,0,21,0,568,30,94,5,0,102,0,133,0,9,3,0,11,0,17,0,0,0,0,0,0,0,32,97,15,0,111,0,150,0,0,0,0,0,0,0,580,119,15,0,131,3,716,312,14,0,0,14,0,324,28,54,0,0,52,0,83,0,7,3,0,6,0,6,0,0,0,0,0,0,0,28,60,4,0,63,0,93,0,0,0,0,0,0,0,343,66,4,0,72,0,423,411,17,0,0
POA2603,174,20,0,0,20,0,192,19,66,4,0,71,0,94,0,3,3,0,6,0,6,0,0,0,0,0,0,0,19,75,6,0,79,0,101,0,0,0,0,0,0,0,195,93,6,0,100,0,292,210,23,0,0,23,0,234,31,76,0,0,78,0,103,0,3,0,0,0,0,3,0,0,0,0,0,0,0,33,76,3,0,79,0,106,0,0,0,0,0,0,0,239,101,3,0,104,0,341,179,12,0,0,12,0,191,25,43,0,0,47,0,68,0,4,3,0,3,0,3,0,0,0,0,0,0,0,25,49,3,0,55,0,79,0,0,0,0,0,0,0,203,57,3,0,66,0,266,117,5,0,0,5,0,121,19,31,0,0,36,0,52,0,0,0,0,3,0,3,0,0,0,0,0,0,0,19,34,3,0,33,0,55,0,0,0,0,0,0,0,134,44,3,0,45,0,173,168,9,0,0
POA2604,254,17,0,0,17,0,269,31,97,4,0,99,0,126,0,7,0,0,7,0,7,3,0,0,0,0,0,3,30,102,4,0,106,0,137,0,0,0,0,0,0,0,285,121,4,0,127,0,406,187,11,4,0,15,0,201,22,78,0,0,74,0,98,0,3,0,0,8,0,8,0,0,0,0,0,0,0,22,81,3,0,85,0,105,0,0,0,0,0,0,0,210,89,5,0,94,0,303,100,9,0,0,9,0,112,14,37,0,0,37,0,50,0,3,3,0,7,0,7,0,0,0,0,0,0,0,14,37,3,0,45,0,50,0,0,0,0,0,0,0,112,47,3,0,51,0,160,58,3,0,0,3,0,65,3,21,0,0,21,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,0,0,21,0,26,0,0,0,0,0,0,0,57,26,0,0,33,0,88,108,9,0,0
POA2605,341,12,0,0,12,0,358,32,112,6,0,118,0,153,0,7,3,0,10,0,10,0,0,0,0,0,0,0,32,122,9,0,127,0,164,0,0,0,0,0,0,0,380,132,9,0,143,0,520,469,22,0,0,22,0,492,35,180,0,0,183,0,215,0,6,0,0,6,0,6,0,0,0,0,0,0,0,35,185,3,0,190,0,221,0,0,0,0,0,3,3,504,203,3,0,208,3,714,286,8,0,0,8,0,292,9,67,0,0,70,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,70,0,0,73,0,82,0,0,0,0,0,3,3,295,79,0,0,78,3,375,185,7,0,0,7,0,189,12,20,4,0,22,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,4,0,26,0,34,0,0,0,0,0,0,0,193,25,4,0,27,0,225,259,11,0,0
POA2606,176,13,0,0,13,0,186,18,208,12,0,217,0,237,0,13,4,0,15,0,15,0,3,0,0,3,0,3,18,218,12,0,237,0,252,0,0,0,0,0,4,4,193,233,12,0,247,4,441,205,6,0,0,6,0,216,23,147,8,0,153,0,176,0,0,5,0,3,0,3,0,0,0,0,0,0,0,23,147,12,0,160,0,181,0,0,0,0,0,0,0,230,161,12,0,171,0,402,128,7,3,0,5,0,134,7,46,4,0,45,0,52,0,5,0,0,9,0,9,0,0,0,0,0,0,0,7,49,4,0,51,0,62,0,0,0,0,0,0,0,133,57,4,0,61,0,196,70,6,0,0,6,0,71,3,17,3,0,22,0,31,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,19,3,0,23,0,31,0,0,0,0,0,0,0,76,26,3,0,28,0,100,110,0,0,0
POA2607,365,15,0,0,15,0,382,36,163,4,0,172,0,204,0,6,0,0,12,0,12,0,0,0,0,0,0,0,36,173,3,0,176,0,216,0,0,0,0,0,0,0,399,193,3,0,192,0,595,473,18,0,0,18,0,490,40,165,0,0,168,0,210,0,10,3,0,20,0,21,0,0,0,0,0,0,0,37,183,4,0,188,0,228,0,0,0,0,0,0,0,511,198,4,0,202,3,719,289,3,0,0,3,0,294,15,74,3,0,72,0,87,0,6,0,0,6,0,6,0,0,0,0,0,0,0,15,78,3,0,81,0,94,0,0,0,0,0,0,0,298,80,3,0,84,3,392,175,7,0,0,7,0,177,14,46,0,0,43,0,61,0,3,0,0,3,0,3,0,0,0,0,0,0,0,14,44,0,0,44,0,60,0,0,0,0,0,0,0,184,51,0,0,50,0,240,268,14,0,0
POA2609,16,0,0,0,0,0,20,3,6,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,6,0,12,0,0,0,0,0,0,0,23,11,0,0,11,0,28,12,0,0,0,0,0,12,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,12,3,0,0,3,0,13,8,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,9,5,0,0,0,0,0,5,0,3,0,0,3,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,5,3,0,0,3,0,6,0,0,0,0,0,0,0,4,3,0,0,3,0,7,6,0,0,0
POA2611,1180,49,0,0,51,0,1228,70,312,5,6,322,0,391,0,21,9,0,23,0,28,0,0,0,3,3,0,3,70,334,14,10,354,0,423,0,0,0,0,0,0,0,1251,382,14,8,401,0,1656,1170,52,0,0,52,0,1216,48,262,8,3,273,0,323,0,21,7,0,23,0,23,0,0,0,0,0,0,0,52,279,15,3,298,0,350,0,0,0,0,0,0,3,1224,328,15,3,347,0,1569,620,13,0,0,13,0,642,24,140,4,0,144,0,166,0,16,3,0,19,0,19,0,0,0,0,0,0,0,24,155,6,0,163,0,182,0,0,0,0,0,0,4,648,167,6,0,178,0,825,349,10,0,0,10,0,356,14,66,5,0,66,0,83,0,12,0,0,13,0,11,0,0,0,0,0,0,0,15,77,9,0,81,0,99,3,0,0,0,0,4,3,368,83,9,0,89,3,461,455,14,0,0
