POA_CODE_2016,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
POA2600,6,0,126,10,28,0,0,28,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,28,0,0,28,0,38,0,0,0,0,0,0,0,124,35,0,0,34,0,165,67,3,0,0,3,0,64,0,11,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,11,0,0,0,0,0,0,0,67,10,0,0,10,0,78,28,0,0,0,0,0,28,3,9,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,9,0,9,0,0,0,0,0,0,0,31,9,0,0,9,0,39,793,30,0,0,30,3,824,67,187,0,0,183,0,252,0,4,0,0,8,0,12,0,3,0,0,3,0,3,68,191,0,0,197,0,268,0,0,0,0,0,0,0,859,224,0,0,228,3,1090
POA2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,24,18,25,3,0,28,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,27,3,0,24,0,44,0,0,0,0,0,0,0,46,28,3,0,26,0,71
POA2602,16,0,424,23,76,3,0,84,0,106,0,3,9,0,11,0,14,0,0,0,0,0,0,0,23,81,11,0,91,0,122,0,0,0,0,0,0,0,438,94,11,0,112,0,545,151,7,0,0,7,0,157,3,32,0,0,32,0,40,0,4,10,0,14,0,14,0,0,0,0,0,0,0,3,36,13,0,49,0,52,0,0,0,0,0,0,0,152,48,13,0,55,0,214,71,8,0,0,8,0,76,3,11,0,0,11,0,17,0,0,7,0,3,0,3,0,0,0,0,0,0,0,3,12,7,0,20,0,25,0,0,0,0,0,0,0,75,21,7,0,28,0,104,3501,146,0,0,145,5,3649,256,669,34,7,711,0,967,0,53,54,0,104,0,109,0,3,0,3,3,0,3,260,726,88,4,817,0,1079,4,0,0,0,0,0,3,3764,865,88,11,963,8,4739
POA2603,9,0,175,11,46,0,0,45,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,48,0,0,52,0,66,0,0,0,0,0,0,0,178,55,0,0,58,0,233,61,0,0,0,0,0,63,4,24,0,0,24,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,0,0,24,0,29,0,0,0,0,0,0,0,68,22,0,0,22,0,89,30,0,0,0,0,0,29,0,13,0,0,13,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,8,0,0,0,0,0,0,0,27,13,0,0,13,0,39,934,76,0,0,76,0,1010,108,297,5,0,306,0,419,0,10,5,0,22,0,18,0,0,0,0,0,0,0,112,315,12,0,327,0,436,0,0,0,0,0,0,0,1047,387,12,0,403,0,1449
POA2604,9,0,121,16,33,0,0,33,0,51,0,0,0,0,3,0,3,0,0,0,0,0,0,0,16,37,0,0,37,0,54,0,0,0,0,0,0,0,117,45,0,0,47,0,167,47,0,0,0,0,0,50,5,11,0,0,17,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,3,0,19,0,22,0,0,0,0,0,0,0,54,18,3,0,17,0,75,23,0,0,0,0,0,23,3,8,0,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,8,0,15,0,0,0,0,0,0,0,26,8,0,0,8,0,33,778,52,4,0,54,0,832,85,285,4,0,290,0,377,0,14,12,0,24,0,24,3,0,0,0,0,0,3,91,301,13,0,316,0,407,0,0,0,0,0,0,0,866,360,21,0,379,0,1241
POA2605,11,0,263,12,24,3,0,24,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,3,0,27,0,39,0,0,0,0,0,0,0,272,32,3,0,31,0,302,108,3,0,0,3,0,109,11,20,0,0,20,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,0,0,20,0,27,0,0,0,0,0,0,0,119,24,0,0,24,0,138,66,0,0,0,0,0,62,7,10,0,0,10,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,6,0,13,0,0,0,0,0,0,0,70,10,0,0,10,0,78,1713,60,0,0,60,0,1772,117,431,11,0,444,0,560,0,20,3,0,20,0,20,0,0,0,0,0,0,0,117,447,19,0,468,0,583,3,0,0,0,0,7,4,1835,500,19,0,526,7,2357
POA2606,0,0,111,5,40,0,0,44,0,51,0,0,3,0,3,0,3,0,0,0,0,0,0,0,5,45,5,0,46,0,54,0,0,0,0,0,0,0,115,45,5,0,46,0,162,47,0,0,0,0,0,43,0,23,0,0,23,0,26,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,23,0,4,24,0,31,0,0,0,0,0,0,0,45,20,0,4,25,0,73,18,0,0,0,0,0,20,4,9,0,0,9,0,15,0,0,3,0,3,0,3,0,0,0,0,0,0,0,4,14,3,0,15,0,17,0,0,0,0,0,0,0,25,11,3,0,14,0,41,752,30,3,0,28,0,784,65,495,27,0,521,0,585,0,29,13,0,39,0,39,0,3,0,4,4,0,4,65,520,35,7,564,0,629,0,3,0,0,3,4,3,815,555,40,7,600,4,1415
POA2607,14,0,279,11,84,0,0,82,0,97,0,3,3,0,6,0,8,0,0,0,0,0,0,0,16,90,3,0,95,0,110,0,0,0,0,0,0,0,280,103,3,0,102,0,389,132,5,0,0,5,0,129,7,35,0,0,35,0,42,0,3,0,0,3,0,3,0,0,0,0,0,0,0,12,35,0,0,36,0,50,0,0,0,0,0,0,0,142,41,0,0,42,0,183,60,3,0,0,3,0,63,4,26,0,0,26,0,31,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,25,0,0,27,0,37,0,0,0,0,0,0,0,66,29,0,0,32,0,92,1743,65,0,0,65,3,1813,128,589,11,0,601,3,738,4,37,10,0,44,0,48,3,0,0,0,0,0,3,134,630,16,0,647,3,789,0,0,0,0,0,0,4,1883,698,16,0,711,7,2602
POA2609,0,0,6,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,3,0,0,0,0,0,3,12,3,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,50,3,20,0,0,20,0,21,3,0,0,0,0,0,3,0,0,0,0,0,0,0,5,20,0,0,20,0,24,3,0,0,0,0,0,3,57,22,0,0,22,0,72
POA2611,14,0,462,25,79,0,0,80,0,100,3,8,0,0,13,0,14,0,0,0,0,0,0,0,24,91,0,0,92,0,120,0,0,0,0,0,0,0,482,99,0,0,100,0,584,182,4,0,0,4,0,182,6,51,0,0,51,0,52,0,6,0,0,10,0,6,0,0,0,0,0,0,0,4,54,0,0,52,0,61,0,0,0,0,0,0,0,185,56,0,0,58,0,244,86,4,0,0,4,0,87,3,21,0,0,27,0,27,0,0,0,0,4,0,4,0,0,0,0,0,0,0,3,27,0,0,30,0,30,0,0,0,0,0,0,0,83,28,0,0,29,0,113,4035,138,0,0,142,4,4181,191,925,23,14,957,0,1147,9,76,20,3,104,0,108,5,0,0,3,3,0,5,199,1004,45,19,1065,0,1264,3,3,0,0,3,8,12,4245,1148,45,16,1209,6,5454
