POA_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
POA2600,2697,..,..,..,..,2697,..,0,0,0,0,0,..,9,7,16,0,16,..,0,0,0,0,0,..,15,0,19,0,19,..,44,13,55,0,55,..,8,0,11,0,11,..,68,13,79,0,79,..,18,0,18,0,18,..,11,0,7,0,7,..,33,3,37,0,37,..,26,0,26,0,26,..,32,0,36,0,36,..,0,0,0,0,0,..,18,0,18,0,20,..,0,0,0,0,0,..,7,0,7,0,7,..,4,0,4,0,4,..,7,0,7,0,7,..,37,0,37,0,41,..,44,3,44,0,44,..,8,0,15,0,15,..,13,0,13,0,13,..,4,0,4,0,4,..,0,0,0,0,0,..,4,0,9,0,9,..,5,0,5,0,5,..,7,0,9,0,9,..,0,0,0,0,0,..,3,0,3,0,9,..,4,0,4,0,4,..,6,0,6,0,6,..,8,0,8,0,8,..,3
POA2601,1577,..,..,..,..,1577,..,4,0,4,0,4,..,21,4,26,0,26,..,0,0,3,0,3,..,106,3,105,0,105,..,525,40,564,0,565,..,34,7,41,0,41,..,662,52,711,0,717,..,6,0,6,0,6,..,3,0,3,0,3,..,17,0,17,0,16,..,9,0,9,0,9,..,10,0,10,0,10,..,25,0,25,0,25,..,56,0,56,0,56,..,6,0,6,0,6,..,11,0,11,0,11,..,25,0,25,0,25,..,20,0,20,0,20,..,145,0,145,0,145,..,13,0,13,0,13,..,26,0,25,0,25,..,40,3,48,0,44,..,7,0,6,0,6,..,3,0,3,0,3,..,13,0,13,0,13,..,4,0,4,0,4,..,7,0,7,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,12,0,12,..,44,0,44,0,44,..,9,0,9,0,9,..,3
POA2602,11038,..,..,..,..,11038,..,6,0,6,0,6,..,57,18,80,4,76,..,3,0,3,0,3,..,72,10,88,0,90,..,267,51,317,0,318,..,26,6,30,0,34,..,363,74,437,3,440,..,52,4,57,0,57,..,36,0,41,0,38,..,96,0,101,0,103,..,102,3,107,0,109,..,96,15,109,0,109,..,38,0,38,0,38,..,76,5,79,0,80,..,29,5,32,0,33,..,36,0,33,0,33,..,45,3,44,3,50,..,66,0,66,0,66,..,279,14,292,3,300,..,123,12,130,0,130,..,37,3,40,0,40,..,51,17,73,0,73,..,11,7,18,0,18,..,3,0,3,0,3,..,28,4,30,0,30,..,26,0,29,0,27,..,22,3,25,0,29,..,9,0,6,0,6,..,35,12,40,0,40,..,14,0,14,0,14,..,87,17,105,0,105,..,16,0,16,0,16,..,15
POA2603,3395,..,..,..,..,3395,..,0,0,0,0,0,..,29,6,40,0,40,..,3,0,3,0,3,..,25,7,33,0,33,..,84,23,102,0,103,..,3,0,4,0,4,..,106,28,134,0,135,..,12,3,15,0,15,..,6,0,6,0,6,..,62,3,67,0,67,..,37,0,37,0,37,..,59,3,64,0,64,..,8,0,11,0,11,..,37,0,37,0,37,..,3,0,3,0,3,..,22,0,21,0,21,..,24,0,21,0,21,..,5,0,5,0,5,..,99,4,106,0,106,..,68,3,74,0,74,..,11,3,15,0,15,..,17,4,17,0,17,..,9,0,7,0,7,..,0,0,0,0,0,..,19,0,19,0,19,..,18,0,18,0,18,..,8,0,14,0,14,..,0,0,0,0,0,..,5,0,8,0,8,..,7,0,7,0,7,..,13,3,13,0,13,..,5,0,7,0,7,..,4
POA2604,3661,..,..,..,..,3661,..,5,0,5,0,5,..,43,4,42,0,45,..,6,0,6,0,6,..,22,8,27,0,27,..,66,16,86,0,86,..,5,0,8,0,8,..,95,19,122,0,122,..,13,0,20,0,20,..,13,0,13,0,13,..,89,4,93,0,93,..,27,4,30,0,30,..,21,4,25,0,25,..,16,0,21,0,21,..,31,0,31,0,32,..,12,3,17,0,17,..,16,0,16,0,16,..,16,3,18,0,18,..,16,3,13,0,13,..,106,8,119,0,117,..,64,3,67,0,67,..,33,0,33,0,33,..,23,5,33,0,33,..,9,0,9,0,9,..,0,0,0,0,0,..,22,3,25,0,25,..,20,3,22,0,22,..,13,3,11,0,11,..,5,0,5,0,5,..,12,3,15,0,15,..,10,0,10,0,10,..,18,0,18,0,18,..,5,3,6,0,6,..,0
POA2605,4270,..,..,..,..,4270,..,3,0,3,0,3,..,31,3,30,0,30,..,0,0,0,0,0,..,13,3,14,0,14,..,72,11,83,0,83,..,7,0,7,0,7,..,88,15,110,0,110,..,7,0,6,0,6,..,4,0,4,0,4,..,45,3,48,0,48,..,31,0,31,0,35,..,37,4,45,0,42,..,13,0,13,0,13,..,35,0,33,0,33,..,12,0,12,0,12,..,10,0,10,0,16,..,16,0,16,0,16,..,24,3,26,3,30,..,110,6,115,0,119,..,37,3,36,0,36,..,21,0,22,0,22,..,16,3,21,0,21,..,3,0,8,0,8,..,0,0,0,0,0,..,8,0,8,0,8,..,15,0,15,0,15,..,11,0,11,0,11,..,8,0,8,0,8,..,8,3,15,0,15,..,21,0,21,0,21,..,23,3,27,0,30,..,20,0,20,0,20,..,3
POA2606,2899,..,..,..,..,2899,..,6,0,6,0,6,..,46,3,50,0,49,..,3,0,3,0,3,..,56,7,58,0,58,..,78,21,104,0,104,..,3,0,3,0,3,..,138,28,167,0,167,..,25,0,25,0,25,..,3,0,3,0,3,..,20,0,22,0,27,..,21,0,21,0,20,..,39,0,39,0,39,..,32,0,35,0,35,..,47,3,51,0,51,..,55,3,63,0,66,..,20,3,20,0,25,..,32,6,37,0,37,..,36,0,36,0,36,..,226,12,236,3,239,..,38,3,44,0,44,..,12,4,20,0,20,..,31,14,40,0,40,..,4,0,4,0,4,..,0,0,0,0,0,..,15,0,15,0,15,..,11,0,11,0,11,..,9,0,13,0,13,..,12,0,12,0,12,..,14,3,14,0,14,..,30,0,30,0,30,..,17,5,23,0,23,..,42,0,48,0,48,..,12
POA2607,4975,..,..,..,..,4975,..,14,0,14,0,14,..,49,9,55,0,55,..,4,0,4,0,4,..,55,7,60,0,60,..,124,26,149,0,152,..,0,0,0,0,0,..,181,38,214,0,217,..,30,0,27,0,27,..,9,0,9,0,9,..,41,0,41,0,41,..,34,0,34,0,34,..,59,3,58,0,58,..,33,0,33,0,33,..,56,4,58,0,56,..,49,8,60,0,60,..,21,0,21,0,21,..,34,0,39,0,39,..,53,3,59,0,59,..,255,14,265,0,271,..,70,8,79,3,85,..,9,0,13,0,13,..,19,4,21,0,21,..,19,0,19,0,19,..,12,0,12,0,12,..,11,3,14,0,14,..,10,0,10,0,10,..,10,0,10,0,10,..,4,0,4,0,4,..,26,3,30,0,30,..,15,0,15,0,15,..,17,0,17,0,17,..,28,0,28,0,28,..,8
POA2609,375,..,..,..,..,375,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0
POA2611,10640,..,..,..,..,10640,..,14,0,14,0,14,..,95,15,114,3,112,..,9,0,9,0,9,..,72,14,87,0,87,..,154,21,177,5,178,..,13,0,13,0,13,..,237,34,269,5,279,..,69,11,77,0,77,..,14,4,17,0,19,..,77,4,86,3,83,..,82,0,82,0,82,..,65,9,71,0,71,..,59,4,62,0,65,..,57,0,57,0,57,..,63,0,67,3,72,..,36,3,38,0,39,..,43,7,45,0,44,..,64,7,72,0,69,..,324,18,340,7,344,..,100,19,117,0,112,..,27,4,34,0,34,..,25,3,31,0,31,..,16,0,16,0,16,..,4,0,4,0,4,..,56,0,57,0,57,..,55,3,52,0,52,..,21,0,18,0,24,..,5,0,5,0,5,..,36,3,38,0,38,..,42,0,42,0,42,..,32,4,36,0,36,..,35,0,35,0,35,..,10
