POA_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
POA2600,0,3,0,3,..,23,0,23,0,23,..,14,0,14,0,14,..,11,0,11,0,11,..,5,0,9,0,9,..,3,0,3,0,3,..,21,0,21,0,17,..,48,3,51,0,55,..,455,37,496,3,494,..,5,0,9,177,190,2697,460,36,503,180,3384,2979,..,..,..,..,2979,..,0,0,0,0,0,..,14,3,17,0,17,..,0,0,0,0,0,..,31,3,31,0,31,..,74,16,88,0,88,..,3,3,6,0,6,..,105,16,129,0,129,..,27,0,27,0,27,..,5,0,5,0,5,..,47,0,54,0,54,..,24,0,24,0,26,..,38,0,38,0,41,..,7,0,7,0,7,..,34,0,34,0,34,..,0,0,0,0,0,..,7,0,7,0,7,..,5,0,5,0,5,..,13,0,14,0,14,..,64,3,70,0,70,..,53,0,59,0,59,..,16,3,13,0,13,..,12,3,11
POA2601,0,3,0,3,..,68,0,68,0,68,..,26,0,22,0,22,..,14,0,14,0,14,..,14,4,12,0,12,..,6,0,6,0,6,..,10,0,16,0,16,..,77,0,79,0,79,..,1184,75,1257,7,1264,..,9,5,8,284,289,1577,1192,73,1269,283,3131,1485,..,..,..,..,1485,..,3,0,3,0,3,..,18,3,23,0,23,..,0,0,0,0,0,..,125,3,128,3,135,..,716,48,763,3,766,..,49,16,63,0,63,..,888,70,958,3,960,..,4,0,4,0,4,..,8,0,8,0,8,..,21,0,21,0,16,..,12,0,12,0,12,..,12,0,12,0,12,..,25,0,25,0,25,..,47,0,47,0,47,..,6,0,6,0,6,..,15,0,15,0,15,..,8,0,10,0,10,..,15,0,15,0,15,..,116,0,114,0,114,..,12,0,12,0,12,..,17,0,18,0,18,..,57,8,59
POA2602,0,18,0,18,..,137,15,156,0,156,..,108,13,121,0,121,..,29,4,37,0,37,..,23,7,27,0,32,..,7,0,7,0,7,..,134,34,168,4,173,..,511,67,574,9,581,..,2392,320,2711,27,2744,..,38,4,45,848,894,11038,2434,326,2761,879,14672,11767,..,..,..,..,11767,..,12,0,12,0,12,..,40,11,53,0,52,..,7,0,7,0,7,..,82,17,99,0,103,..,293,66,359,0,358,..,26,7,32,0,32,..,398,95,492,3,491,..,68,8,75,0,75,..,36,0,36,0,36,..,114,0,113,0,119,..,143,7,147,4,153,..,128,20,147,0,147,..,35,3,40,0,40,..,66,3,73,0,73,..,26,3,25,0,29,..,38,0,42,0,42,..,23,4,20,0,26,..,42,4,44,0,44,..,235,20,251,0,251,..,139,22,160,0,159,..,53,8,61,0,61,..,61,19,82
POA2603,0,4,0,4,..,28,3,28,0,28,..,24,0,31,0,26,..,21,0,20,0,20,..,3,0,4,0,4,..,12,0,12,0,11,..,25,3,29,0,29,..,105,15,113,0,115,..,782,86,872,3,876,..,16,3,22,346,368,3395,799,93,890,355,4644,3414,..,..,..,..,3414,..,0,0,0,0,0,..,24,6,29,0,29,..,0,0,0,0,0,..,45,8,47,0,47,..,91,16,108,0,110,..,5,0,5,0,5,..,139,23,163,0,164,..,30,0,27,0,27,..,9,0,9,0,9,..,70,5,75,0,76,..,32,4,37,0,37,..,51,0,54,0,54,..,12,3,17,0,17,..,35,3,41,0,42,..,0,0,0,0,0,..,26,0,26,0,26,..,16,4,17,0,17,..,11,0,11,0,11,..,102,10,111,0,108,..,65,5,69,0,72,..,22,0,23,0,23,..,22,3,19
POA2604,0,0,0,0,..,36,3,32,0,32,..,33,0,39,0,39,..,7,3,9,0,9,..,0,0,0,0,0,..,0,0,0,0,3,..,27,0,29,0,29,..,103,20,119,3,123,..,828,92,913,4,921,..,5,3,3,436,447,3661,829,88,923,447,5026,3875,..,..,..,..,3875,..,0,0,0,0,0,..,25,3,29,0,29,..,0,0,0,0,0,..,49,10,50,0,50,..,81,9,86,0,86,..,6,0,6,0,6,..,131,16,152,0,152,..,20,3,26,0,26,..,16,0,16,0,16,..,111,0,117,0,117,..,35,0,36,0,36,..,33,3,36,0,36,..,12,0,13,0,13,..,35,3,35,0,35,..,13,6,21,0,21,..,15,0,15,0,15,..,6,0,6,0,6,..,17,0,18,0,18,..,105,8,115,0,115,..,43,7,52,0,52,..,29,0,28,0,25,..,27,9,32
POA2605,0,3,0,3,..,70,4,70,0,68,..,23,3,28,0,28,..,36,0,43,0,43,..,7,0,7,0,7,..,0,0,0,0,0,..,20,0,18,0,18,..,225,23,249,3,248,..,871,80,947,11,957,..,15,0,15,359,371,4270,883,80,968,362,5605,4609,..,..,..,..,4609,..,6,0,6,0,6,..,29,3,32,0,32,..,4,0,4,0,4,..,20,4,25,0,27,..,80,15,99,0,99,..,3,4,12,0,12,..,103,24,132,0,134,..,10,4,10,0,10,..,8,0,8,0,8,..,71,0,71,0,72,..,44,4,46,0,46,..,36,5,41,0,40,..,9,4,13,0,13,..,38,0,40,0,40,..,14,0,14,0,14,..,17,0,20,0,20,..,20,3,16,0,16,..,30,3,31,0,32,..,123,7,131,0,137,..,63,6,70,0,73,..,25,3,35,0,35,..,15,5,25
POA2606,0,12,0,12,..,101,3,108,0,108,..,26,4,27,0,27,..,40,4,39,0,39,..,7,0,6,0,6,..,6,0,6,0,6,..,28,6,33,0,33,..,358,62,420,10,432,..,1228,155,1383,16,1398,..,15,6,16,340,356,2899,1238,159,1405,355,4656,2859,..,..,..,..,2859,..,7,0,7,0,7,..,37,12,51,0,51,..,3,0,3,0,3,..,52,4,56,0,56,..,118,30,143,0,145,..,3,3,8,0,8,..,175,33,215,0,213,..,22,0,22,0,22,..,3,0,3,0,3,..,27,0,27,0,33,..,37,0,36,0,36,..,39,10,45,0,45,..,32,0,35,0,35,..,60,0,62,0,62,..,51,6,60,0,58,..,14,0,14,0,14,..,36,7,43,0,43,..,30,0,33,0,33,..,226,16,250,0,247,..,45,6,50,0,50,..,15,6,16,0,16,..,28,18,43
POA2607,0,8,0,8,..,70,0,70,0,70,..,30,5,33,0,33,..,75,0,78,0,78,..,11,0,15,0,15,..,4,0,8,0,8,..,19,4,19,0,19,..,222,22,247,5,250,..,1291,119,1408,11,1413,..,14,3,17,251,267,4975,1305,120,1424,258,6662,5036,..,..,..,..,5036,..,16,0,16,0,16,..,65,3,68,0,68,..,3,0,3,0,3,..,61,11,76,0,76,..,156,33,189,0,193,..,3,0,8,0,8,..,223,43,266,0,269,..,28,7,29,0,33,..,9,3,13,0,13,..,53,0,53,0,53,..,40,0,43,0,43,..,69,5,79,0,80,..,33,0,33,0,33,..,53,6,61,4,60,..,46,9,55,0,55,..,28,3,33,0,33,..,29,3,36,0,36,..,54,6,58,0,59,..,241,24,263,3,270,..,90,9,100,0,100,..,23,0,23,0,23,..,14,0,19
POA2609,0,0,0,0,..,9,0,9,0,9,..,4,0,4,0,4,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,31,0,31,3,32,..,3,0,6,93,96,375,37,0,37,101,512,284,..,..,..,..,284,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0
POA2611,0,10,0,10,..,116,8,122,0,122,..,69,13,85,0,85,..,41,0,41,0,41,..,17,3,15,0,15,..,5,3,5,0,5,..,34,9,41,0,41,..,325,49,367,4,372,..,1931,204,2133,23,2157,..,22,3,30,732,761,10640,1955,208,2160,759,13564,11187,..,..,..,..,11187,..,15,0,15,0,15,..,79,23,100,4,101,..,5,0,5,0,5,..,89,13,106,0,106,..,169,39,215,3,215,..,14,0,16,0,16,..,277,61,332,3,337,..,70,18,85,0,85,..,26,0,26,0,31,..,88,3,91,0,91,..,97,0,97,0,95,..,60,12,71,0,71,..,56,3,60,0,60,..,59,0,61,0,61,..,59,9,62,0,66,..,39,3,44,0,44,..,37,3,42,0,42,..,69,11,79,0,80,..,313,26,338,0,345,..,114,22,135,0,133,..,35,3,37,0,34,..,31,12,41
