POA_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
POA2600,..,69,0,67,0,74,..,13,0,13,0,13,..,56,0,54,0,53,..,0,0,0,0,0,..,12,0,12,0,12,..,11,0,11,0,11,..,18,0,15,0,15,..,105,3,107,0,110,..,96,3,106,0,106,..,25,3,25,0,25,..,18,3,24,0,24,..,7,0,7,0,7,..,0,0,0,0,0,..,16,0,12,0,12,..,18,3,16,0,16,..,17,0,20,0,20,..,0,0,0,0,0,..,8,0,13,0,8,..,10,0,10,0,10,..,21,0,21,0,21,..,19,0,19,0,19,..,3,0,3,0,3,..,51,0,51,0,51,..,37,3,36,0,36,..,22,0,22,0,22,..,18,3,19,0,19,..,4,0,4,0,4,..,47,0,50,4,54,..,121,9,134,0,130,..,1074,86,1157,8,1168,..,16,0,17,379,396,5678,1093,85,1181,385,7247
POA2601,..,18,0,18,0,18,..,53,0,53,0,53,..,99,0,99,0,99,..,12,0,12,0,12,..,25,0,25,0,25,..,37,0,38,0,38,..,30,0,30,0,30,..,255,0,254,0,254,..,20,0,23,0,23,..,43,0,44,0,44,..,93,11,104,3,109,..,9,0,10,0,10,..,3,0,3,0,3,..,27,0,27,0,27,..,9,0,13,0,13,..,13,0,15,0,20,..,4,0,4,0,4,..,3,0,3,0,3,..,23,0,23,0,23,..,83,0,83,0,83,..,14,0,19,0,19,..,25,0,22,0,22,..,140,0,144,0,144,..,44,0,46,0,46,..,31,0,31,0,32,..,33,7,37,0,37,..,7,0,7,0,7,..,31,4,30,0,30,..,140,3,148,5,146,..,2605,161,2773,15,2783,..,5,5,10,512,520,3056,2614,165,2781,526,6363
POA2602,..,224,34,256,0,256,..,73,5,78,0,78,..,145,9,153,0,150,..,50,5,59,3,62,..,69,4,74,0,74,..,61,9,69,4,69,..,103,4,110,0,110,..,512,35,541,8,551,..,259,30,294,0,296,..,93,8,97,0,97,..,117,39,154,0,155,..,22,8,28,0,28,..,9,0,9,0,9,..,47,15,59,0,63,..,63,6,66,6,71,..,70,12,81,0,84,..,20,0,18,0,18,..,64,28,90,0,92,..,49,0,49,0,49,..,180,22,203,0,201,..,57,0,57,0,58,..,26,7,33,0,33,..,318,23,341,3,343,..,232,22,256,0,258,..,51,3,61,3,60,..,59,10,71,0,76,..,12,0,12,0,12,..,292,83,379,5,384,..,1057,160,1216,16,1238,..,5058,751,5807,62,5870,..,77,17,91,1688,1782,22802,5132,763,5897,1754,30450
POA2603,..,116,3,122,0,122,..,23,0,24,0,24,..,74,3,74,0,79,..,3,0,3,0,3,..,48,0,47,0,47,..,34,4,42,0,42,..,14,0,14,0,14,..,199,13,210,0,210,..,132,11,138,0,145,..,36,4,38,0,38,..,33,4,44,0,44,..,14,3,17,0,15,..,3,0,3,0,3,..,29,3,30,0,29,..,26,0,26,0,26,..,22,3,24,0,24,..,0,0,0,0,0,..,15,0,11,0,11,..,11,0,11,0,11,..,23,4,30,0,30,..,27,0,30,0,30,..,10,0,10,0,10,..,76,9,79,0,79,..,60,3,64,0,65,..,34,0,34,0,34,..,9,3,15,0,15,..,15,5,22,3,22,..,44,11,58,0,58,..,198,22,217,3,216,..,1630,172,1806,16,1821,..,24,4,35,693,720,6814,1658,177,1835,703,9359
POA2604,..,51,3,60,0,60,..,33,4,33,0,33,..,63,3,68,0,71,..,29,11,41,0,41,..,39,0,39,0,39,..,22,3,21,0,21,..,35,0,36,0,36,..,212,17,236,0,233,..,108,12,116,0,119,..,54,0,56,0,58,..,46,13,62,0,62,..,12,3,11,0,11,..,5,0,5,0,5,..,35,6,39,0,39,..,39,3,43,0,43,..,22,3,29,0,29,..,14,0,14,0,14,..,21,4,26,0,26,..,22,0,22,0,26,..,32,0,32,0,32,..,19,3,26,0,22,..,0,0,0,0,0,..,75,3,80,3,83,..,71,0,76,0,76,..,14,6,24,0,24,..,7,0,9,0,9,..,7,0,7,0,12,..,52,9,63,0,63,..,210,31,242,3,246,..,1715,187,1902,13,1914,..,12,7,19,918,940,7533,1726,190,1918,935,10383
POA2605,..,74,6,79,5,86,..,19,4,23,0,23,..,71,3,75,0,75,..,23,0,23,0,23,..,30,0,35,0,34,..,32,3,34,0,34,..,53,4,59,4,65,..,230,17,246,3,251,..,104,8,111,0,112,..,53,4,57,0,57,..,33,13,41,0,41,..,11,3,17,0,17,..,3,0,3,0,3,..,17,0,17,0,17,..,30,4,40,0,40,..,22,0,19,0,19,..,14,3,12,0,12,..,26,8,33,0,33,..,49,0,49,0,49,..,45,3,49,0,54,..,45,0,43,0,43,..,13,0,13,0,13,..,157,4,159,0,160,..,61,5,71,0,71,..,71,3,77,0,76,..,21,3,25,0,25,..,3,0,3,0,3,..,44,3,45,0,45,..,449,57,502,3,509,..,1914,200,2115,16,2137,..,29,0,25,679,707,8883,1944,205,2146,697,11725
POA2606,..,71,10,82,0,82,..,67,3,73,0,73,..,107,3,113,0,113,..,112,12,123,0,123,..,36,3,37,0,41,..,63,12,76,0,76,..,68,0,72,0,72,..,456,33,489,4,491,..,79,12,97,0,97,..,27,7,33,0,33,..,59,27,85,0,85,..,13,0,13,0,13,..,0,0,0,0,0,..,22,0,27,0,27,..,35,0,35,0,35,..,18,7,23,0,23,..,19,3,22,0,22,..,37,3,38,0,38,..,75,0,74,0,74,..,34,5,41,0,41,..,102,3,110,0,107,..,20,0,20,0,20,..,234,11,246,0,245,..,55,6,61,0,61,..,76,9,88,0,88,..,20,3,28,0,28,..,13,0,13,0,13,..,56,20,76,0,76,..,726,131,858,24,876,..,2603,362,2962,33,2995,..,25,6,33,637,669,5756,2631,363,2995,666,9422
POA2607,..,127,9,135,3,141,..,65,5,71,0,71,..,108,5,114,4,119,..,95,9,112,0,112,..,54,3,54,0,54,..,68,3,70,0,70,..,112,10,117,0,116,..,494,38,535,4,537,..,164,19,183,3,184,..,38,0,35,0,35,..,32,10,35,0,35,..,34,0,32,0,32,..,19,0,19,0,20,..,22,4,29,0,29,..,36,0,40,0,40,..,33,0,39,0,39,..,4,0,4,0,4,..,45,3,49,0,49,..,49,0,49,3,51,..,40,0,39,0,39,..,62,0,67,0,67,..,14,0,14,0,14,..,168,3,172,3,172,..,73,5,75,0,79,..,139,13,150,0,150,..,39,4,40,0,40,..,15,0,20,0,20,..,38,10,53,0,53,..,461,64,519,6,530,..,2772,287,3065,24,3084,..,29,7,42,474,513,10016,2805,295,3102,501,13614
POA2609,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,13,0,13,0,13,..,0,0,0,0,0,..,16,0,16,0,16,..,4,0,4,0,4,..,0,0,0,0,0,..,5,4,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,14,0,13,..,62,4,71,3,71,..,3,0,6,151,154,663,67,4,71,151,887
POA2611,..,125,14,139,0,139,..,112,5,119,0,119,..,113,0,114,0,114,..,125,10,130,3,136,..,79,3,79,0,83,..,77,7,82,0,85,..,135,12,144,5,148,..,641,39,681,6,690,..,206,40,245,0,250,..,59,11,70,0,67,..,54,16,69,0,70,..,27,3,33,0,33,..,13,0,13,0,13,..,87,5,91,0,93,..,100,4,106,0,106,..,48,3,58,0,61,..,19,0,14,0,14,..,69,10,78,0,82,..,96,0,95,0,95,..,58,12,68,0,68,..,89,3,92,0,92,..,32,3,35,0,35,..,272,18,295,0,293,..,152,26,183,0,183,..,80,0,79,0,79,..,51,7,60,0,60,..,15,3,20,0,20,..,69,23,98,0,95,..,679,93,771,18,789,..,4035,493,4526,55,4585,..,46,5,52,1552,1608,21823,4080,500,4583,1607,28018
