POA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
POA2600,45,91,133,466,599,1064,0,0,0,26,34,57,3,5,7,710,861,1565,0,0,3,72,84,159,0,3,4,7,0,5,17,21,34,10,10,17,16,21,33,20,18,39,51,93,144,0,0,0,0,4,3,90,144,231,36,55,85,3,3,4,1513,1947,3457,39,55,97,30,42,71,21,20,40,0,0,0,3,3,8,11,9,20,17,12,30,1358,1330,2695,28,13,44,4,14,13,1393,1361,2753,321,333,653,3384,3859,7247
POA2601,138,154,292,122,158,280,0,0,0,29,34,62,0,0,0,345,364,711,0,0,0,22,21,47,0,0,0,3,0,3,11,10,25,7,4,10,27,20,48,20,28,44,41,39,81,3,3,4,0,3,4,35,39,80,30,60,94,4,0,9,696,793,1490,82,81,164,96,102,195,8,16,24,0,0,0,10,7,14,18,13,27,27,19,40,1617,1640,3252,33,30,56,7,8,12,1653,1671,3326,438,392,832,3131,3232,6363
POA2602,510,580,1089,1049,1370,2424,0,0,0,107,127,237,0,0,0,2230,2686,4920,7,13,19,240,295,532,23,33,57,12,7,19,69,90,163,14,14,26,85,88,174,73,97,168,170,195,367,14,13,28,11,12,27,234,395,629,233,285,520,33,42,72,4612,5767,10380,211,186,399,290,232,525,55,70,119,0,9,8,34,32,68,61,66,124,95,106,207,7242,7182,14424,138,116,256,32,61,90,7417,7357,14773,1487,1473,2961,14672,15776,30450
POA2603,63,91,153,547,618,1164,0,0,0,44,47,90,3,7,10,892,1048,1939,3,0,3,144,129,270,4,14,16,7,0,10,25,35,64,3,8,10,20,20,37,24,25,50,84,93,175,0,3,3,3,3,12,89,122,209,81,88,169,4,3,7,1985,2258,4246,85,86,173,97,72,173,28,14,47,0,0,0,7,9,17,12,19,29,14,28,42,1796,1590,3386,30,28,59,7,11,24,1831,1631,3469,525,526,1052,4644,4719,9359
POA2604,83,104,186,469,575,1050,0,0,0,49,46,93,7,9,13,928,1134,2059,5,0,10,65,84,149,3,3,4,6,3,9,16,27,44,0,6,8,17,21,44,18,29,49,69,110,176,7,10,10,4,4,10,96,140,239,76,67,151,8,7,10,1849,2272,4115,87,95,183,101,75,182,17,16,28,0,0,0,15,17,32,22,27,51,44,38,82,2166,2051,4217,42,29,71,15,15,24,2218,2100,4314,637,658,1293,5026,5354,10383
POA2605,70,122,194,563,796,1358,0,0,0,63,75,134,0,3,3,1262,1500,2758,3,4,4,108,96,206,4,7,15,4,10,11,37,51,81,14,9,22,16,29,44,22,34,51,107,163,262,7,9,10,12,9,22,138,180,316,94,121,213,6,8,12,2449,3087,5536,155,166,318,92,96,188,23,21,43,0,0,0,9,12,19,22,32,49,32,38,71,2165,2016,4176,21,12,37,4,10,15,2193,2037,4230,600,549,1151,5605,6126,11725
POA2606,130,146,277,362,397,762,0,0,0,44,60,106,3,3,5,1068,1231,2298,3,5,8,84,104,191,7,11,16,4,15,20,27,35,64,12,14,26,19,33,50,38,55,88,68,89,161,3,4,11,9,9,20,83,100,188,113,105,216,4,0,9,1965,2279,4245,192,210,408,160,157,314,9,7,16,0,0,0,56,50,100,12,18,35,65,70,141,1505,1363,2874,39,12,53,8,14,20,1559,1390,2949,572,509,1080,4656,4764,9422
POA2607,114,144,251,633,799,1436,0,0,0,41,79,120,0,0,0,1783,2005,3785,6,4,9,173,181,351,10,16,28,16,23,41,38,54,86,7,17,26,41,51,94,44,46,97,133,165,299,13,17,28,17,18,32,184,198,382,139,157,298,8,3,8,3295,3829,7121,226,222,451,162,161,323,9,18,27,0,0,0,50,46,99,23,29,49,76,74,149,2228,1958,4189,23,18,44,13,19,30,2265,1999,4259,517,514,1026,6662,6953,13614
POA2609,3,4,8,70,54,129,0,0,0,0,7,10,0,0,0,113,85,194,0,0,0,3,0,3,0,0,0,0,0,0,3,5,8,0,0,0,3,0,3,0,3,3,8,8,21,3,3,7,0,0,0,17,12,28,13,4,15,3,0,3,245,186,425,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,116,261,0,0,5,0,0,3,142,123,267,119,60,179,512,373,887
POA2611,181,239,420,1380,1779,3159,4,0,3,152,158,308,0,3,4,3021,3532,6550,12,5,14,162,182,342,11,19,28,16,20,33,72,104,177,16,24,44,123,114,239,96,103,200,265,309,577,16,21,36,21,28,46,367,434,800,283,338,621,16,10,23,6039,7193,13232,241,240,483,286,251,534,25,14,38,0,0,0,69,65,135,54,60,112,123,130,254,5299,4989,10289,54,47,101,22,39,58,5381,5074,10454,1290,1308,2601,13564,14453,28018
