POA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
POA2600,45,48,97,122,118,240,43,44,83,71,87,156,224,248,479,71,79,151,46,32,77,78,193,277,199,312,505,9,6,11,9,3,17,7,5,14,11,24,34,0,0,0,32,38,72,75,96,169,29,32,61,8,5,19,98,132,233,0,0,0,213,266,482,3,3,6,8,24,31,0,0,0,9,27,35,187,227,417,920,1166,2087
POA2601,9,7,8,9,9,16,0,0,0,0,3,3,9,11,24,6,11,19,0,0,0,5,3,9,12,12,31,9,7,11,3,13,16,3,0,3,6,12,20,0,0,0,22,32,57,1400,1770,3172,379,309,686,26,19,44,79,62,135,4,0,3,1885,2154,4042,11,9,15,5,10,12,0,0,0,10,14,30,320,261,580,2266,2505,4769
POA2602,228,182,411,860,821,1680,164,160,323,131,153,283,1153,1131,2284,532,523,1060,136,163,306,142,142,292,814,835,1653,41,37,78,76,72,146,66,37,106,105,123,231,0,6,5,286,275,568,701,854,1552,485,442,925,82,107,192,378,548,925,3,0,11,1641,1957,3601,37,42,80,75,103,175,0,0,0,113,139,254,918,941,1859,5151,5463,10618
POA2603,55,59,109,192,188,376,47,48,96,131,92,221,369,337,699,120,147,272,55,36,94,235,128,362,407,313,722,7,3,13,10,16,22,21,6,27,25,40,63,0,0,0,67,64,127,122,114,242,55,60,119,19,18,42,99,152,257,0,0,0,304,352,655,3,7,8,16,17,35,0,0,0,20,29,47,369,364,727,1581,1509,3092
POA2604,67,70,136,203,194,395,44,50,87,34,42,73,285,274,561,202,152,363,32,35,64,54,35,85,290,221,510,3,13,19,15,19,36,4,14,15,35,44,76,0,3,3,62,87,153,102,100,201,86,85,177,29,32,58,205,254,464,3,0,0,427,478,898,5,9,17,19,37,58,3,0,3,29,47,81,480,533,1015,1642,1715,3352
POA2605,95,75,169,392,366,749,134,147,278,71,77,150,590,582,1177,182,200,379,120,93,213,107,120,232,409,409,822,8,11,19,12,13,26,23,8,34,31,37,67,0,0,0,75,72,146,147,136,286,54,57,108,25,8,38,101,140,237,3,0,4,332,340,673,10,8,15,18,24,39,0,0,0,30,27,61,384,349,730,1912,1868,3780
POA2606,51,52,108,201,189,394,76,75,152,45,40,88,323,311,633,131,127,256,67,49,120,54,54,102,248,232,483,18,9,25,29,26,54,22,16,40,49,40,91,0,3,3,122,98,224,91,100,191,89,74,158,10,19,29,113,140,256,0,6,6,301,340,635,15,13,26,26,34,62,0,0,0,42,49,89,369,330,703,1457,1415,2870
POA2607,84,81,163,343,333,669,223,137,362,81,46,128,644,519,1166,235,227,464,210,128,331,68,103,173,518,455,970,27,19,54,12,37,54,35,20,62,37,71,112,3,0,6,125,155,278,180,176,353,61,72,139,28,36,67,89,136,225,0,3,4,362,428,792,12,13,29,22,46,71,3,0,3,36,58,99,300,305,603,2072,1999,4064
POA2609,5,3,12,9,13,18,4,0,4,0,0,3,10,19,26,4,8,8,5,7,14,0,3,3,16,17,29,0,0,0,0,4,5,3,4,5,0,0,3,0,0,0,9,3,10,7,3,5,0,0,0,3,0,3,3,6,7,0,0,0,12,9,24,0,0,3,4,3,7,0,0,0,4,6,8,107,60,169,157,116,276
POA2611,263,222,478,849,748,1605,334,336,678,198,152,349,1384,1241,2626,442,467,905,293,237,523,120,145,263,854,844,1700,37,32,64,25,45,72,82,47,131,94,136,225,0,0,0,236,256,490,217,275,490,126,134,262,41,57,95,239,345,584,0,3,3,622,811,1439,26,24,50,45,98,143,0,3,3,67,128,198,781,916,1698,4207,4422,8627
