POA_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
POA2600,41,124,381,394,431,389,368,141,63,2325,3,5,9,4,16,9,9,4,4,61,3,6,6,6,43,21,28,12,14,136,0,6,0,5,4,3,3,3,0,32,0,0,0,0,0,7,9,3,9,25,0,0,0,0,0,0,3,0,0,6,3,12,39,31,26,28,41,13,14,201,53,150,427,441,515,452,462,177,95,2787,46,154,389,419,458,427,331,133,71,2437,3,0,5,5,13,22,22,10,3,79,5,0,5,15,52,43,76,36,41,277,0,0,0,4,4,0,15,17,5,49,0,0,0,0,0,11,8,14,12,44,0,0,0,0,0,0,0,0,0,7,6,7,25,27,36,24,44,24,18,221,61,165,428,462,564,534,482,239,161,3104,91,282,768,813,889,814,697,270,131,4759,5,5,8,8,25,26,35,16,9,139,5,9,12,23,92,68,106,44,53,411,0,6,3,5,12,5,15,24,8,79
POA2601,512,965,715,199,95,89,44,5,6,2642,4,16,11,3,10,10,3,0,0,49,0,8,10,5,10,3,5,0,0,46,3,5,0,0,3,3,0,0,0,16,0,0,3,0,0,0,4,0,0,13,0,3,0,0,0,0,0,0,0,4,30,71,106,35,19,20,14,3,3,300,550,1066,845,252,138,125,66,11,12,3067,763,1081,618,134,95,68,26,10,3,2802,3,8,6,3,3,3,0,0,0,31,0,9,13,6,11,14,7,0,4,59,0,14,3,0,3,3,0,0,0,25,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,43,53,67,17,25,14,13,3,9,238,813,1160,706,162,139,103,46,15,16,3163,1280,2047,1332,337,193,158,70,19,12,5447,5,17,19,11,8,9,0,0,0,81,0,14,20,11,21,18,14,0,4,105,3,13,4,0,3,3,3,0,0,32
POA2602,206,1145,2310,1834,1498,1053,602,268,131,9055,18,32,57,42,69,51,35,15,10,322,28,48,81,114,208,170,108,83,52,893,8,6,19,22,23,24,45,42,16,205,4,8,7,12,16,34,43,84,52,250,3,3,3,5,8,3,3,7,0,41,41,68,188,147,124,87,81,75,54,866,302,1313,2664,2171,1951,1431,915,576,316,11630,237,1269,2378,2045,1692,1145,594,291,122,9767,24,24,51,27,50,43,32,37,17,296,14,41,85,83,170,205,189,184,91,1069,3,6,17,12,26,47,51,67,46,272,3,3,9,24,23,38,78,113,89,380,0,0,3,10,8,9,12,23,13,80,37,75,168,127,102,118,96,118,104,947,319,1410,2713,2323,2066,1610,1045,836,483,12808,444,2416,4688,3870,3188,2195,1199,562,256,18820,40,47,112,69,119,96,63,57,28,626,45,85,168,199,379,370,297,269,148,1964,8,16,36,29,54,76,91,108,61,475
POA2603,75,229,532,452,578,466,329,116,52,2830,3,3,21,7,25,18,3,0,4,91,6,15,21,19,64,45,39,18,9,219,0,3,3,6,8,9,14,7,4,56,0,3,6,3,3,5,5,8,4,41,0,3,0,0,8,3,0,0,0,11,15,26,74,45,65,58,38,26,32,376,99,277,651,532,759,603,429,173,106,3622,58,210,637,534,606,456,280,107,56,2942,3,9,3,13,20,21,16,6,8,102,3,3,11,23,41,63,66,49,29,279,3,0,3,3,3,5,13,4,13,55,0,0,0,3,3,0,10,16,20,56,0,0,0,3,3,3,3,0,3,17,5,24,70,45,39,55,36,45,74,402,73,245,722,620,717,600,424,233,212,3853,137,439,1168,982,1186,924,611,222,105,5774,7,13,23,17,53,38,18,8,15,192,8,17,26,41,98,102,97,64,46,498,7,3,5,6,16,13,29,12,22,107
POA2604,43,230,968,618,480,433,214,81,37,3103,3,11,20,23,28,28,10,4,0,128,6,19,36,39,82,63,39,13,10,307,3,0,9,11,5,18,6,15,4,61,0,0,3,0,9,12,13,11,9,58,0,0,4,3,3,0,0,0,0,18,18,24,104,57,62,53,43,48,40,454,69,285,1143,745,675,609,325,166,104,4123,46,265,1103,669,564,382,204,78,36,3342,11,6,10,20,18,25,8,9,6,110,9,16,28,36,72,93,58,56,23,398,3,3,6,8,13,19,12,12,13,79,0,0,7,3,9,21,20,22,15,98,0,0,0,0,0,4,3,0,5,14,3,22,106,48,57,62,34,72,105,504,76,304,1257,782,735,598,336,254,205,4551,87,496,2070,1285,1041,819,418,160,71,6447,12,13,34,41,52,50,22,7,9,235,21,32,66,77,155,153,99,78,32,701,8,3,16,13,18,31,15,23,15,147
POA2605,90,224,465,628,658,505,352,210,90,3225,9,5,7,12,22,11,18,5,3,91,14,16,16,37,82,56,43,54,22,337,0,0,3,8,9,16,17,16,15,74,0,0,0,4,10,5,9,28,22,83,0,0,0,0,3,0,0,4,0,12,16,9,55,59,61,42,55,46,27,367,122,256,550,735,836,637,499,376,178,4189,88,241,537,730,758,519,351,218,95,3536,4,6,10,10,20,22,15,16,19,128,0,10,15,18,74,80,89,105,70,460,0,0,3,3,3,10,19,43,38,120,0,0,0,0,7,13,19,39,63,139,0,0,0,3,0,3,0,3,3,18,9,8,27,56,51,56,42,58,67,371,102,265,593,822,915,702,542,486,353,4773,179,468,1000,1357,1410,1030,703,434,181,6765,10,12,20,20,40,39,33,23,23,222,13,23,34,59,159,132,135,164,89,797,0,0,4,13,10,26,35,55,49,190
POA2606,48,235,822,597,434,322,216,114,45,2832,11,3,23,26,24,17,16,14,5,133,4,19,43,34,50,51,42,45,10,302,3,6,3,6,11,9,9,6,3,60,0,0,6,6,6,10,21,29,8,84,0,0,0,7,3,3,0,3,0,15,10,29,97,57,46,46,33,28,5,354,74,297,998,731,579,446,342,236,76,3781,48,240,922,577,459,265,198,106,29,2849,9,8,17,6,21,15,19,21,11,125,11,18,31,27,46,89,89,64,17,393,3,3,9,0,3,9,24,16,10,74,0,7,3,0,12,10,29,29,21,110,0,0,3,6,0,0,3,4,0,21,10,29,94,45,34,31,33,27,9,316,83,302,1080,669,574,423,395,274,98,3895,101,482,1745,1170,890,582,409,218,77,5679,14,16,36,38,44,30,35,32,15,265,15,35,78,64,93,141,130,108,32,689,7,11,12,6,10,13,35,27,13,132
POA2607,131,346,599,701,729,621,447,228,96,3890,8,14,25,15,37,29,21,18,4,173,16,24,45,54,102,91,94,63,22,512,3,3,3,11,11,12,24,23,9,93,0,3,3,3,9,9,23,35,13,101,0,0,3,3,4,7,3,3,0,20,22,16,43,35,37,30,46,37,10,275,181,407,722,821,924,803,655,407,153,5073,112,334,621,811,814,606,450,240,70,4051,9,14,23,26,32,27,34,24,14,200,7,18,19,52,126,116,224,120,58,737,0,0,9,3,6,18,39,33,15,129,0,0,4,11,3,5,40,22,26,117,3,0,3,3,3,8,6,6,0,31,8,17,37,27,34,46,48,49,34,312,141,381,708,927,1026,823,846,497,215,5567,240,675,1211,1510,1545,1224,897,468,165,7939,24,21,41,36,66,58,58,44,15,368,27,44,65,106,227,206,313,187,75,1252,5,5,13,10,15,30,62,54,27,222
POA2609,7,13,19,15,34,20,29,9,7,158,3,3,4,4,10,3,3,0,0,30,0,4,8,19,31,28,14,3,0,108,0,0,5,3,11,3,8,0,0,31,0,0,3,0,7,3,7,3,0,23,0,0,0,0,0,0,0,0,0,3,5,5,15,17,18,15,18,8,0,108,12,38,59,63,109,76,71,22,11,460,0,9,20,22,20,23,14,5,0,122,0,0,3,3,4,3,0,3,0,19,0,3,5,5,12,24,13,5,0,72,0,3,7,3,0,6,6,3,0,21,0,0,3,0,0,3,5,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,10,4,11,17,18,7,4,66,4,14,45,40,55,64,61,28,8,319,7,24,46,37,58,43,43,16,8,273,3,5,5,9,16,5,3,3,0,56,3,7,17,28,45,45,22,8,0,186,0,3,9,8,8,10,15,3,0,53
POA2611,181,545,1475,1763,1321,952,796,346,94,7467,20,18,53,56,68,40,66,26,15,369,25,48,103,124,247,182,200,106,26,1064,4,5,11,13,21,27,72,36,9,210,3,4,3,15,12,29,69,65,23,222,0,0,3,4,5,3,8,6,3,33,22,37,138,124,102,71,102,99,52,737,248,653,1796,2107,1781,1303,1307,697,224,10111,172,592,1781,1915,1368,952,776,284,87,7933,17,14,50,61,87,82,82,41,6,438,24,39,73,111,209,267,399,180,70,1377,9,4,17,22,26,53,95,68,27,310,3,3,6,6,26,30,82,94,54,307,0,0,4,3,3,5,8,8,4,41,34,29,141,119,84,90,112,122,128,856,260,678,2069,2243,1800,1481,1551,796,371,11259,351,1133,3259,3683,2690,1901,1570,628,182,15394,32,33,107,121,159,125,147,70,22,805,46,83,178,242,457,453,599,288,91,2440,12,9,24,29,50,77,169,107,36,526
