POA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA2600,0,0,0,0,0,14,17,20,22,70,0,0,0,0,3,0,3,3,0,8,9,21,63,59,62,53,81,42,30,420,116,316,859,906,1084,990,949,420,254,5890
POA2601,0,9,3,0,0,0,4,0,0,18,0,3,0,0,0,0,0,0,0,9,70,122,175,54,48,30,22,6,8,533,1358,2225,1554,416,276,226,113,25,31,6231
POA2602,5,8,16,37,37,74,121,194,136,632,3,3,10,17,16,12,14,30,14,117,73,143,357,273,231,207,174,190,163,1810,617,2721,5379,4489,4022,3037,1958,1413,799,24444
POA2603,0,3,6,4,8,4,17,19,32,97,0,5,3,7,6,3,3,0,3,32,23,50,141,95,108,115,75,75,109,776,174,525,1372,1155,1469,1204,849,406,315,7470
POA2604,0,0,12,3,21,36,32,35,27,156,0,0,4,7,5,3,7,4,9,29,22,44,211,110,117,115,72,124,152,958,145,594,2401,1530,1409,1212,666,423,310,8682
POA2605,0,0,0,4,16,15,33,73,82,225,0,0,3,3,3,8,3,9,3,30,22,17,80,113,108,100,102,108,94,737,223,520,1142,1560,1751,1338,1039,857,532,8962
POA2606,3,9,6,6,20,19,45,59,26,194,0,0,3,8,4,4,3,13,0,41,25,53,197,105,88,73,73,59,11,674,161,603,2074,1399,1154,873,733,509,175,7673
POA2607,0,8,8,17,13,20,57,63,35,220,3,0,10,4,9,12,10,13,3,53,28,36,76,55,73,79,91,85,48,585,324,791,1429,1747,1954,1627,1499,907,369,10639
POA2609,0,0,3,3,8,8,8,7,0,36,0,0,0,0,0,0,0,0,0,3,3,8,24,20,25,32,34,17,6,171,19,51,107,106,164,143,130,49,14,779
POA2611,4,7,11,23,33,62,152,164,75,529,0,0,9,9,8,6,20,21,3,72,52,72,285,246,186,162,211,218,179,1601,508,1334,3870,4351,3582,2788,2859,1496,591,21369
POA2612,3,0,12,11,26,22,21,27,18,138,0,8,7,3,8,8,5,8,3,48,72,253,451,219,176,122,106,68,33,1493,800,2858,4540,1904,1604,1280,895,443,230,14554
POA2614,3,5,16,22,14,40,92,118,83,394,0,3,8,4,10,7,14,17,17,83,28,61,128,126,111,82,132,156,115,943,385,1275,2509,2721,2499,1960,1996,1228,538,15110
POA2615,12,13,41,52,90,170,263,185,88,914,0,6,24,25,34,25,21,37,6,176,113,131,316,293,246,272,256,145,64,1834,1072,2593,6649,7004,5335,4693,3873,1441,419,33074
POA2617,4,16,18,29,41,112,182,148,57,613,0,7,29,16,16,23,25,20,9,143,120,318,417,277,220,242,184,119,119,2006,1056,4217,6469,4436,3346,3435,2447,989,446,26843
POA2618,0,0,0,0,0,10,3,6,3,22,0,0,0,0,0,0,0,0,0,3,10,7,14,22,17,16,11,9,0,109,49,81,104,206,226,193,175,70,7,1108
POA2900,0,0,0,0,4,0,12,7,3,31,0,0,0,0,0,0,3,0,0,4,6,9,34,18,10,14,14,3,0,115,42,140,468,267,214,231,199,85,25,1674
POA2902,4,3,8,27,16,78,117,66,16,330,0,0,3,6,9,7,5,7,0,43,38,44,90,111,101,104,112,61,18,686,355,783,1698,2092,2001,2037,1715,550,119,11342
POA2903,0,0,3,3,12,39,58,38,18,171,0,0,0,4,3,5,4,9,4,34,14,18,48,56,65,81,68,26,8,379,220,525,1083,1268,1245,1409,924,290,84,7056
POA2904,0,4,8,12,16,36,64,69,29,235,0,0,0,0,0,6,9,8,3,23,23,19,37,59,78,84,90,101,135,627,296,763,1411,1543,1807,2127,1203,555,329,10034
POA2905,9,7,25,29,50,110,146,115,62,555,0,0,5,7,13,19,18,10,8,87,76,102,201,163,188,185,125,89,51,1191,904,2011,4236,3789,4224,3815,1732,742,238,21697
POA2906,3,10,8,19,18,61,80,52,15,265,0,0,13,9,11,8,15,9,9,66,54,58,101,121,150,82,71,59,16,708,647,1311,2368,2417,3043,1864,939,471,131,13192
POA2911,0,0,0,0,5,4,5,6,0,23,0,0,0,3,0,3,3,3,0,15,4,18,60,43,13,15,5,0,0,159,80,327,1200,869,391,236,117,53,9,3284
POA2912,0,0,6,11,6,11,14,9,8,77,0,3,5,3,9,14,6,4,0,38,16,52,99,76,43,31,12,6,0,333,174,677,1337,1072,719,450,196,73,20,4724
POA2913,3,16,28,35,52,99,126,99,36,489,0,9,22,18,26,26,18,10,6,143,82,145,371,273,243,171,101,73,15,1481,946,2492,6948,5755,4543,2915,1681,665,138,26083
POA2914,4,10,13,15,33,55,57,40,13,233,0,6,18,18,16,14,8,6,0,84,48,63,175,218,122,61,32,18,7,748,583,1524,4609,5271,2887,1346,631,237,43,17122
