POA_CODE_2016,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_more_15_19_yrs,F_3000_more_20_24_yrs,F_3000_more_25_34_yrs,F_3000_more_35_44_yrs,F_3000_more_45_54_yrs,F_3000_more_55_64_yrs,F_3000_more_65_74_yrs,F_3000_more_75_84_yrs,F_3000_more_85ov,F_3000_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot
POA2600,8,14,9,12,13,19,26,29,17,145,0,15,15,17,19,33,34,23,9,164,0,9,11,5,24,22,28,27,12,144,0,9,17,23,25,38,38,14,11,174,0,27,55,30,34,51,56,17,17,280,0,16,67,41,46,41,42,19,10,279,0,3,61,29,42,54,32,16,10,249,0,0,48,43,53,40,17,5,5,220,0,0,62,101,93,79,42,4,7,388,0,0,14,64,102,68,38,16,11,314,11,13,22,33,36,26,40,31,18,225,245,165,428,465,564,534,482,239,161,3289,233,30,27,50,41,29,23,3,4,448,107,24,9,14,18,17,17,10,0,222,25,49,25,22,16,19,38,25,8,222,6,23,19,23,25,16,38,20,26,194,8,26,16,17,18,29,39,33,17,207,6,17,27,19,32,45,45,32,16,237,0,16,20,9,34,31,41,38,22,223,3,12,48,34,35,61,62,23,14,292
POA2601,36,72,51,6,3,0,0,7,3,180,27,59,63,12,5,6,0,0,0,176,9,26,29,5,0,3,3,0,0,80,3,29,25,3,3,4,6,0,0,79,4,37,64,5,3,12,4,0,0,133,3,18,67,3,9,3,3,0,0,114,4,8,60,10,14,9,3,0,0,112,0,4,36,16,3,8,0,0,0,67,3,3,60,39,26,9,0,0,0,149,0,0,6,16,19,14,3,0,0,65,42,57,71,25,26,12,13,3,3,239,824,1165,706,162,139,103,48,15,16,3178,527,783,174,23,12,13,3,0,0,1534,263,213,47,10,0,0,3,0,0,539,279,361,75,5,7,0,3,0,3,731,82,203,58,7,3,6,9,0,3,376,62,135,102,12,6,4,7,7,3,332,34,133,148,30,13,14,3,0,0,372,23,63,57,8,3,10,6,3,0,165,17,61,63,15,8,8,14,3,0,181
POA2602,22,130,150,110,79,108,125,150,89,968,24,146,205,104,84,96,126,89,53,931,9,95,139,107,103,110,109,71,47,788,3,123,178,130,130,115,89,61,26,858,3,152,324,169,166,133,83,33,26,1093,0,60,369,203,157,122,56,17,10,1005,0,20,329,253,234,147,48,13,10,1052,0,6,180,207,152,88,24,12,0,670,0,0,216,438,399,196,38,11,3,1305,0,0,21,130,169,82,16,7,9,432,37,90,183,147,117,113,86,98,112,974,736,1414,2715,2321,2066,1610,1047,833,483,13235,626,320,264,153,133,96,55,28,18,1691,425,155,78,75,65,60,48,30,11,940,148,364,209,128,117,150,95,135,38,1393,61,279,185,129,132,176,205,225,97,1492,53,251,261,181,132,172,218,202,128,1584,44,282,389,186,151,146,190,147,79,1615,26,207,308,175,163,169,198,120,71,1427,7,228,391,223,211,219,180,120,69,1651
POA2603,5,19,13,23,18,21,37,33,21,182,8,17,29,26,28,31,33,24,18,201,0,13,14,35,25,15,31,9,8,154,3,20,38,20,37,27,21,13,10,189,3,53,92,30,43,47,42,12,8,324,0,10,124,55,47,40,24,7,4,320,0,12,101,59,73,60,27,10,5,346,0,0,60,60,55,40,15,7,9,236,0,3,85,105,140,94,29,12,3,474,0,0,16,71,127,89,37,10,10,358,14,24,74,48,48,51,42,41,99,442,237,245,723,620,714,607,424,233,212,4017,309,44,59,61,50,52,18,3,9,607,142,29,16,14,21,15,22,15,5,270,39,52,29,18,32,35,26,16,5,259,16,31,28,26,28,43,42,50,8,280,12,34,24,40,43,38,50,34,29,311,13,42,42,32,38,38,52,31,26,316,7,36,42,45,45,29,48,15,10,279,8,45,74,39,56,45,53,24,21,368
POA2604,6,15,27,21,32,41,35,46,18,242,5,27,33,26,23,30,35,21,9,209,4,20,44,33,19,36,21,16,10,207,0,22,65,33,36,47,37,14,3,263,0,45,126,38,56,39,25,11,0,336,0,40,234,51,49,44,14,7,3,446,0,17,223,89,62,42,15,3,5,467,0,0,108,65,58,35,5,4,0,280,0,3,166,196,167,72,18,7,5,635,0,0,21,78,81,39,13,7,0,240,6,26,118,58,68,57,39,68,113,545,208,304,1257,782,735,598,336,255,205,4692,250,39,50,57,44,53,27,0,4,526,108,35,16,21,20,24,9,12,7,242,34,49,47,37,43,51,30,32,7,333,11,39,36,30,45,57,55,37,16,328,11,35,50,36,39,64,46,60,30,360,8,57,57,34,33,55,59,40,18,361,11,42,65,48,28,48,43,27,17,328,0,52,119,59,66,77,66,26,10,482
POA2605,3,37,21,16,30,30,66,70,65,342,11,26,19,33,35,45,55,49,30,301,4,27,29,37,33,43,52,39,37,294,3,29,40,46,61,49,62,32,21,345,0,33,74,61,58,65,40,27,19,381,0,17,84,63,79,59,29,26,15,369,0,4,79,89,98,65,21,10,6,365,0,0,38,70,69,46,11,11,0,246,0,0,69,161,195,112,20,12,3,567,0,0,12,69,107,44,13,13,6,267,10,6,37,63,59,57,44,60,89,424,315,265,595,822,919,704,542,486,353,4997,294,60,69,62,75,50,28,22,12,676,212,50,23,23,24,12,22,12,14,403,54,62,32,27,37,45,52,76,26,407,23,39,37,21,32,38,72,94,36,398,13,64,47,34,48,44,99,98,84,525,15,48,35,55,59,66,84,78,37,479,5,47,61,53,49,63,76,76,55,488,0,52,78,67,89,79,103,78,39,591
POA2606,8,21,41,21,23,26,45,45,24,254,14,18,55,35,29,22,47,29,5,263,0,24,67,44,29,18,52,32,11,280,0,35,84,42,41,20,19,20,4,271,0,35,150,52,54,31,29,13,8,382,0,36,155,80,64,31,25,5,0,398,0,8,148,64,47,37,18,4,5,336,0,3,57,46,46,35,9,3,3,209,0,3,57,100,92,46,11,5,3,324,0,0,11,33,43,16,3,3,0,106,12,32,99,40,41,25,27,27,10,318,211,309,1080,669,574,424,398,275,98,4028,205,64,124,79,42,53,26,18,6,612,95,29,25,14,14,11,23,8,3,231,40,47,48,38,32,35,38,47,10,326,12,41,63,42,35,46,77,73,14,401,15,44,76,44,42,39,71,74,33,436,16,51,98,72,50,42,67,53,16,457,7,59,130,91,47,37,78,43,27,525,5,61,185,91,70,49,57,48,14,584
POA2607,17,31,35,30,31,42,102,72,39,394,9,37,46,46,45,45,86,57,16,390,3,42,53,47,52,54,85,48,20,403,5,55,69,79,61,65,85,38,18,476,0,39,74,85,103,86,77,26,10,517,0,18,89,93,100,75,36,23,8,446,0,4,81,103,97,87,26,14,3,421,0,3,33,84,83,60,26,6,4,293,0,0,45,167,221,96,22,9,9,570,0,0,13,43,72,41,9,6,7,185,19,19,32,32,37,40,47,47,39,315,426,381,708,927,1024,825,847,497,215,5850,384,89,87,65,49,78,59,29,8,849,268,46,29,21,27,28,40,31,5,499,75,109,48,50,43,69,95,61,11,570,35,58,44,39,39,51,135,111,37,541,38,57,70,43,50,56,143,101,55,607,22,70,90,69,73,65,131,92,33,651,15,85,106,75,71,79,133,84,35,687,10,110,146,139,106,117,136,97,34,897
POA2609,0,0,5,0,3,5,18,10,0,39,0,0,0,3,0,3,7,6,0,23,0,3,6,4,4,6,4,0,0,26,0,0,7,4,4,5,3,0,0,30,0,0,3,0,7,3,3,0,0,16,0,0,8,4,3,0,0,0,0,20,0,0,5,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,0,0,0,14,0,0,0,0,7,0,0,0,0,7,0,0,5,4,10,13,11,7,3,57,12,14,45,40,55,64,61,28,8,326,14,3,0,3,6,7,3,0,0,35,3,3,3,0,0,0,3,0,0,14,0,3,6,3,17,6,7,0,0,46,3,8,7,9,9,20,17,12,5,81,0,0,5,3,4,7,32,9,3,69,0,8,3,3,8,12,13,6,0,53,7,3,9,10,13,9,4,4,0,64,0,8,12,9,17,19,8,0,0,73
POA2611,23,55,58,78,65,94,185,144,54,752,15,62,87,79,93,93,190,91,47,760,13,56,115,113,84,98,189,75,24,769,9,74,142,151,134,119,138,58,19,852,0,89,244,195,154,136,114,56,11,986,0,54,332,232,189,114,65,21,5,1008,0,21,290,302,206,135,48,11,0,1018,0,0,166,187,153,97,30,10,3,648,0,0,187,394,321,166,51,8,8,1136,0,3,28,76,95,47,17,3,0,264,52,36,146,126,82,89,104,108,129,879,720,677,2076,2246,1807,1481,1548,805,374,11729,570,117,168,145,117,125,85,30,15,1389,395,79,43,70,53,69,83,31,8,839,140,150,113,114,85,102,194,94,43,1033,45,100,86,106,98,126,260,212,44,1073,47,98,92,127,112,124,277,218,67,1172,41,126,138,132,128,153,277,147,63,1208,27,132,200,185,130,145,302,141,39,1294,23,134,305,271,215,206,286,132,43,1621
