POA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA2600,3,48,100,47,45,80,111,33,30,494,0,25,126,67,68,69,76,35,23,501,0,9,117,61,71,81,83,41,16,474,0,0,94,74,89,62,57,21,13,411,0,3,130,226,226,158,131,19,16,903,0,0,46,193,308,230,110,41,15,947,12,19,63,57,66,48,68,40,33,415,412,316,859,907,1084,990,950,420,254,6190
POA2601,4,75,114,21,10,18,10,0,4,262,0,35,148,21,18,9,13,0,0,249,4,19,131,29,22,15,4,0,0,227,0,7,86,25,11,17,7,3,0,160,8,15,144,90,65,34,12,3,0,362,0,5,37,57,57,51,13,0,4,224,71,124,174,62,42,32,21,3,6,535,1375,2233,1554,416,276,226,115,25,31,6251
POA2602,8,274,626,306,275,239,173,75,62,2040,0,128,722,355,261,243,124,47,21,1899,0,44,651,459,395,262,109,40,20,1974,0,7,356,411,296,189,68,19,7,1358,0,7,494,1028,924,460,99,35,19,3056,0,5,84,390,520,270,53,19,13,1347,96,162,372,298,253,197,152,179,158,1868,1503,2726,5387,4493,4022,3038,1958,1415,799,25343
POA2603,3,89,173,57,63,83,69,28,17,576,0,43,212,74,81,72,56,16,17,565,0,20,192,106,114,97,58,27,14,625,0,5,114,103,102,77,52,15,9,479,0,4,164,220,277,204,97,23,12,1005,0,3,50,212,415,284,124,30,11,1121,34,50,149,100,105,102,77,65,124,821,571,524,1371,1155,1470,1204,849,406,315,7870
POA2604,0,78,258,74,89,81,56,18,5,663,0,70,407,99,78,96,37,13,6,804,4,35,388,155,127,77,42,10,11,845,0,6,228,118,110,73,26,11,3,580,0,7,372,425,323,178,57,7,8,1379,0,0,79,212,225,163,39,16,3,736,30,54,221,114,134,110,84,113,153,1013,460,594,2401,1534,1409,1212,666,424,310,8997
POA2605,3,54,144,103,102,113,101,67,41,725,0,25,148,108,107,102,86,38,22,629,0,4,138,150,149,124,54,30,13,663,0,5,83,136,124,80,39,26,7,503,0,0,123,361,408,260,63,23,13,1245,0,0,44,233,330,176,56,26,10,870,28,21,85,124,123,103,93,107,123,811,663,521,1146,1560,1752,1346,1039,857,532,9414
POA2606,3,67,302,105,91,65,66,35,17,756,0,53,283,137,105,69,45,17,7,716,0,10,254,125,102,70,44,13,8,638,0,5,110,111,87,59,20,6,3,411,3,3,153,233,212,137,35,13,4,799,3,3,30,107,129,76,35,7,3,397,31,65,203,103,82,74,53,57,17,679,443,601,2075,1399,1152,871,738,516,177,7968
POA2607,3,75,171,156,169,159,168,75,36,1006,0,41,177,164,158,144,99,56,22,853,0,8,159,185,190,140,88,31,15,825,0,3,72,150,168,123,59,17,11,597,0,3,119,362,479,278,82,27,9,1368,0,0,40,169,251,172,42,22,7,700,45,37,70,69,75,71,88,72,56,575,899,795,1429,1747,1954,1630,1503,907,369,11225
POA2609,0,0,7,6,13,12,7,0,0,48,0,0,6,10,14,4,4,0,0,39,0,0,12,8,12,3,0,0,0,32,0,0,4,4,4,3,0,0,0,20,0,0,4,11,7,7,3,0,0,28,0,0,6,0,6,0,3,0,0,20,9,13,28,25,28,29,32,15,4,172,36,51,107,106,164,143,130,49,14,802
POA2611,6,162,459,351,280,266,269,130,35,1969,3,99,570,400,321,231,184,61,19,1893,0,32,537,520,364,247,138,45,11,1901,0,14,351,386,298,205,90,25,9,1366,0,0,411,948,805,404,152,29,7,2753,0,3,107,335,377,209,70,7,3,1118,98,85,294,256,189,169,195,195,176,1655,1404,1339,3871,4351,3580,2788,2859,1501,591,22286
