POA_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
POA2600,3,152,0,155,9,310,12,327,6,156,3,164,7,132,9,150,3,385,42,427,3,405,34,441,12,484,22,515,9,419,20,452,13,417,34,463,20,150,16,177,39,51,9,95,117,3064,199,3384,0,159,10,168,4,386,17,407,8,234,10,245,3,157,12,165,6,394,26,428,10,428,34,465,12,515,37,564,17,490,30,534,26,426,35,482,26,189,23,239,54,85,18,161,165,3454,242,3859,5,306,12,326,9,697,23,735,12,392,14,412,8,287,25,316,8,785,66,859,15,828,64,907,23,1001,67,1084,28,907,50,990,41,840,69,950,50,331,34,420,94,136,22,254,282,6512,445,7247
POA2601,0,32,3,34,0,17,3,20,0,527,22,552,0,997,69,1066,8,736,103,850,0,217,39,252,3,117,19,138,4,96,19,125,0,53,12,66,5,10,5,11,0,6,8,12,19,2806,299,3131,0,35,0,37,0,18,3,23,4,780,37,824,6,1113,46,1165,0,638,65,706,0,141,20,162,10,108,26,139,0,89,12,103,0,40,13,48,0,14,5,15,6,10,3,16,23,2977,234,3232,0,70,3,76,0,32,5,40,4,1307,63,1375,4,2107,115,2233,4,1379,168,1554,0,355,57,416,7,223,46,276,4,188,35,226,3,92,24,115,5,20,9,25,3,13,11,31,49,5785,533,6363
POA2602,3,848,51,896,48,1524,87,1665,22,699,47,767,9,1242,63,1316,29,2445,200,2669,35,1969,161,2172,67,1757,128,1951,66,1271,95,1429,67,780,68,915,126,399,49,576,112,177,23,316,587,13116,966,14672,5,817,42,866,35,1571,79,1681,18,688,29,736,20,1318,71,1414,36,2504,181,2715,56,2118,151,2321,70,1884,115,2066,97,1412,102,1610,85,893,72,1047,209,557,71,833,270,173,45,483,901,13937,945,15776,9,1666,92,1761,84,3095,171,3344,39,1387,79,1503,27,2563,138,2726,61,4950,375,5387,96,4093,312,4493,135,3644,242,4022,168,2678,193,3038,147,1678,135,1958,336,963,116,1415,388,344,67,799,1486,27052,1915,30450
POA2603,0,196,17,213,13,545,16,572,3,312,16,333,3,250,25,279,12,559,81,651,6,485,41,532,19,674,63,759,19,536,51,600,17,374,26,429,28,129,17,173,60,34,11,106,185,4098,356,4644,3,166,18,181,6,488,26,517,0,225,10,237,4,220,22,245,5,647,71,723,6,567,46,620,15,653,45,714,18,532,50,607,33,366,26,424,65,149,20,233,134,67,13,212,293,4086,340,4719,3,358,30,394,18,1035,42,1092,9,541,31,571,8,470,49,524,17,1210,146,1371,12,1055,91,1155,30,1333,104,1470,33,1069,96,1204,52,738,58,849,94,283,34,406,194,99,18,315,478,8181,699,9359
POA2604,5,257,25,284,11,404,27,442,7,229,17,250,3,259,27,285,11,1025,104,1143,10,677,62,750,22,587,57,675,27,535,47,609,31,270,26,325,43,109,15,166,67,35,3,104,231,4386,408,5026,0,236,19,257,6,374,25,405,8,195,3,208,0,276,27,304,24,1133,107,1257,15,713,50,782,30,653,56,735,37,512,51,598,24,289,26,336,84,143,30,255,146,52,10,205,367,4582,406,5354,4,498,45,541,18,776,49,846,15,424,26,460,3,536,47,594,37,2160,209,2401,22,1387,118,1534,47,1238,120,1409,58,1054,99,1212,55,563,51,666,127,251,44,424,214,86,12,310,603,8966,814,10383
POA2605,4,319,23,351,28,771,34,832,8,326,13,350,5,243,11,260,18,483,50,550,14,668,58,735,27,746,66,836,18,583,41,641,33,418,51,499,55,284,37,376,91,76,16,178,307,4903,394,5605,0,279,12,292,12,789,29,830,9,304,8,315,0,255,8,265,13,551,35,595,11,759,52,822,24,836,49,919,37,621,55,704,30,464,39,542,98,350,34,486,220,94,39,353,459,5310,359,6126,8,600,37,646,41,1567,57,1668,14,629,26,663,7,492,20,521,28,1036,80,1146,29,1421,106,1560,50,1586,113,1752,53,1195,92,1346,68,881,93,1039,155,639,71,857,310,169,58,532,760,10212,754,11725
POA2606,3,229,11,239,23,411,34,471,3,211,18,229,9,259,31,297,15,884,95,999,21,649,55,730,18,518,47,581,19,387,43,446,25,289,28,340,28,180,30,236,19,56,3,79,186,4080,388,4656,3,268,17,287,11,415,25,455,7,189,9,211,4,265,33,309,11,968,100,1080,16,607,48,669,21,512,35,574,23,373,27,424,31,342,20,398,44,207,23,275,37,53,3,98,225,4198,342,4764,4,495,24,524,40,827,57,931,13,400,30,443,10,528,64,601,30,1849,192,2075,38,1256,105,1399,36,1029,81,1152,45,759,70,871,57,635,45,738,73,392,53,516,61,110,8,177,402,8284,734,9422
POA2607,3,333,18,352,29,883,30,938,13,447,19,481,6,384,18,406,11,666,35,722,11,770,35,821,14,874,42,924,23,744,27,803,42,582,35,655,53,329,17,407,57,92,4,153,268,6102,287,6662,4,341,5,352,9,715,10,746,5,403,14,426,8,358,13,381,11,663,35,708,20,872,35,927,29,953,43,1024,28,763,38,825,66,742,38,847,87,384,26,497,91,120,10,215,373,6311,270,6953,6,675,24,705,37,1600,41,1683,18,853,32,899,17,742,34,795,31,1334,67,1429,25,1643,69,1747,47,1824,83,1954,50,1511,63,1630,110,1316,76,1503,142,711,46,907,153,207,13,369,637,12413,559,13614
POA2609,0,21,3,22,0,14,3,20,0,23,5,23,0,31,5,38,0,41,15,59,0,45,17,63,0,87,18,109,4,59,10,76,3,53,18,71,0,11,4,22,0,11,0,11,13,398,101,512,0,18,5,22,0,28,0,28,0,12,0,12,0,13,0,14,0,33,10,45,0,36,3,40,3,39,10,55,9,46,14,64,4,42,8,61,3,17,4,28,0,3,4,8,25,295,54,373,0,36,6,43,0,42,3,46,0,34,3,36,0,45,8,51,3,78,26,107,3,84,15,106,6,135,31,164,11,111,24,143,8,98,24,130,10,27,10,49,0,14,4,14,35,690,154,887
POA2611,14,981,55,1052,80,1808,70,1952,21,635,30,689,12,612,38,659,20,1637,140,1794,48,1932,123,2105,59,1628,93,1781,41,1185,78,1303,92,1150,66,1309,131,517,43,697,101,108,14,224,618,12191,753,13564,4,916,46,965,33,1666,63,1758,19,669,36,720,9,638,30,677,28,1898,143,2076,35,2085,124,2246,66,1662,82,1807,62,1329,94,1481,117,1351,83,1548,200,556,52,805,227,118,23,374,802,12879,779,14453,18,1901,102,2016,108,3468,132,3714,39,1307,60,1404,27,1248,71,1339,54,3534,282,3871,82,4023,245,4351,121,3290,173,3580,106,2512,166,2788,209,2494,156,2859,329,1069,101,1501,329,227,38,591,1414,25067,1533,28018
