POA_CODE_2016,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
POA2600,59,102,3,164,36,99,17,150,98,292,38,427,97,322,31,441,150,341,28,515,142,284,22,452,170,264,34,463,54,107,14,177,15,69,10,95,819,1888,190,2899,108,130,13,245,50,106,10,165,115,293,23,428,139,299,23,465,206,322,41,564,172,338,22,534,183,271,33,482,52,160,26,239,17,120,20,161,1043,2036,214,3289,166,236,12,412,83,208,27,316,211,590,61,859,241,618,51,907,357,662,65,1084,323,621,50,990,345,541,64,950,113,268,37,420,38,185,29,254,1865,3925,401,6190
POA2601,263,265,23,552,398,599,64,1066,181,557,109,850,60,160,38,252,22,94,19,138,27,74,16,125,24,35,7,66,0,11,3,11,3,5,3,12,984,1793,287,3072,456,322,40,824,499,612,54,1165,168,473,67,706,44,99,18,162,30,85,26,139,19,75,13,103,19,20,13,48,9,3,3,15,3,11,3,16,1255,1697,230,3178,721,586,64,1375,904,1212,116,2233,355,1030,169,1554,98,257,60,416,58,179,42,276,45,144,32,226,40,52,20,115,7,14,3,25,6,12,5,31,2238,3492,518,6251
POA2602,166,546,54,767,326,923,62,1316,546,1925,194,2669,549,1469,144,2172,624,1204,126,1951,433,914,77,1429,287,557,65,915,94,409,71,576,52,216,47,316,3086,8174,843,12110,232,468,34,736,508,826,76,1414,719,1824,170,2715,782,1412,129,2321,773,1192,103,2066,517,995,98,1610,361,608,78,1047,183,555,100,833,38,345,103,483,4107,8230,899,13235,399,1017,89,1503,831,1758,138,2726,1268,3750,370,5387,1335,2885,275,4493,1397,2403,222,4022,952,1912,181,3038,650,1167,145,1958,275,957,174,1415,92,562,146,799,7192,16401,1744,25343
POA2603,120,193,21,333,61,188,29,279,132,441,74,651,111,378,45,532,193,505,57,759,162,390,49,600,141,252,32,429,49,106,21,173,8,72,20,106,991,2527,338,3857,74,150,12,237,70,153,21,245,166,481,73,723,167,407,43,620,261,417,35,714,184,368,50,607,146,250,32,424,58,148,28,233,19,151,41,212,1142,2535,340,4017,198,350,29,571,134,341,48,524,302,926,148,1371,282,790,85,1155,453,928,90,1470,348,756,96,1204,291,499,70,849,104,253,41,406,25,227,62,315,2137,5058,679,7870
POA2604,70,156,22,250,47,214,27,285,232,812,100,1143,153,538,60,750,156,457,56,675,151,405,51,609,87,203,44,325,31,87,46,166,6,61,39,104,921,2942,445,4303,62,145,4,208,91,192,20,304,294,853,109,1257,214,521,52,782,196,480,57,735,157,384,55,598,101,205,37,336,37,158,60,255,10,87,102,205,1164,3030,502,4692,128,305,27,460,132,405,51,594,523,1666,211,2401,360,1059,110,1534,350,941,114,1409,309,790,109,1212,180,408,74,666,74,245,108,424,17,156,142,310,2081,5967,947,8997
POA2605,123,212,15,350,68,183,14,260,111,388,50,550,161,525,51,735,277,494,62,836,211,383,44,641,146,301,48,499,85,250,38,376,23,140,22,178,1197,2881,341,4417,123,183,14,315,61,193,11,265,130,429,32,595,255,512,57,822,325,543,48,919,250,405,51,704,180,321,42,542,115,319,51,486,27,285,39,353,1466,3186,349,4997,242,393,25,663,126,373,23,521,244,823,87,1146,413,1040,114,1560,607,1031,109,1752,457,789,93,1346,323,623,92,1039,204,568,90,857,49,423,62,532,2664,6062,688,9414
POA2606,65,159,13,229,48,214,28,297,150,745,100,999,136,532,59,730,121,410,46,581,110,295,44,446,90,223,35,340,54,152,27,236,14,54,8,79,789,2789,356,3942,56,137,12,211,66,209,29,309,174,807,96,1080,172,460,41,669,181,358,36,574,112,284,26,424,126,246,22,398,54,191,30,275,11,76,9,98,942,2764,311,4028,117,295,27,443,116,427,58,601,322,1557,201,2075,306,992,99,1399,300,765,85,1152,223,576,72,871,215,469,55,738,108,347,57,516,25,130,13,177,1740,5560,672,7968
POA2607,127,320,25,481,73,322,18,406,129,548,40,722,174,614,31,821,291,599,39,924,221,554,24,803,201,414,36,655,122,254,29,407,33,109,12,153,1376,3747,251,5368,107,299,18,426,89,277,15,381,142,527,40,708,298,609,26,927,328,661,35,1024,253,530,40,825,266,542,38,847,140,325,39,497,26,159,31,215,1654,3918,280,5850,240,621,44,899,158,602,35,795,276,1072,79,1429,469,1222,57,1747,618,1268,72,1954,478,1088,67,1630,473,956,76,1503,262,579,63,907,60,266,44,369,3028,7665,527,11225
POA2609,4,18,7,23,5,24,5,38,6,38,15,59,8,42,17,63,9,74,18,109,11,57,15,76,10,44,22,71,0,9,5,22,3,6,0,11,50,312,108,471,0,5,4,12,0,15,0,14,10,32,10,45,8,29,3,40,12,36,11,55,10,43,12,64,7,29,20,61,8,13,7,28,0,3,3,8,56,202,64,326,4,24,8,36,7,36,8,51,17,70,24,107,14,76,21,106,25,113,28,164,18,94,27,143,20,77,36,130,10,25,15,49,3,11,4,14,111,517,171,802
POA2611,169,480,39,689,99,529,37,659,276,1377,143,1794,511,1473,120,2105,550,1131,95,1781,365,866,74,1303,368,844,92,1309,174,433,84,697,25,147,49,224,2540,7278,737,10559,177,492,49,720,157,487,36,677,416,1518,137,2076,711,1416,120,2246,578,1151,78,1807,393,1007,85,1481,457,996,97,1548,161,530,113,805,29,220,122,374,3072,7822,833,11729,341,973,88,1404,259,1011,69,1339,689,2892,282,3871,1226,2884,239,4351,1124,2281,172,3580,752,1875,157,2788,821,1845,188,2859,335,966,196,1501,54,365,170,591,5617,15100,1572,22286
