POA_CODE_2016,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
POA2600,89,9,0,0,62,3,164,66,28,0,0,33,9,150,169,146,19,3,57,37,427,149,155,38,22,49,29,441,169,206,39,13,70,27,515,118,189,53,10,56,29,452,110,182,60,15,58,39,463,37,60,27,7,39,15,177,14,18,3,10,37,10,95,924,997,248,80,459,198,2899,123,14,3,0,96,10,245,78,31,11,0,34,9,165,143,173,27,31,32,21,428,90,163,99,69,24,27,465,91,233,112,65,28,42,564,76,234,113,49,45,22,534,39,167,127,79,30,35,482,25,69,50,40,41,22,239,20,36,8,18,46,30,161,686,1115,547,346,367,222,3289,215,23,3,0,152,17,412,146,65,10,3,70,17,316,315,312,40,34,88,63,859,235,322,139,90,71,53,907,257,436,149,75,92,68,1084,192,424,167,56,100,50,990,149,348,194,90,91,73,950,57,123,74,46,77,34,420,40,60,14,26
POA2601,177,92,12,0,241,34,552,302,209,27,10,450,66,1066,281,210,23,3,224,108,850,89,68,8,4,41,35,252,39,46,10,0,22,22,138,35,34,9,0,24,16,125,16,17,9,0,16,9,66,4,4,0,0,3,3,11,0,0,0,3,3,3,12,952,676,88,19,1026,304,3072,309,187,21,5,249,46,824,372,271,41,0,416,54,1165,227,219,43,18,143,62,706,45,52,14,12,21,18,162,37,46,9,3,19,25,139,20,52,9,3,8,13,103,8,12,8,5,4,13,48,3,3,7,0,0,4,15,0,4,3,0,7,3,16,1030,846,146,43,873,239,3178,484,282,32,7,493,80,1375,675,485,67,11,871,122,2233,509,427,63,20,363,172,1554,138,113,25,12,67,57,416,78,96,17,4,40,48,276,58,82,11,6,35,32,226,24,27,12,5,25,23,115,9,3,7,0,5,8,25,0,5,3,3
POA2602,400,56,3,5,239,58,767,600,307,28,11,302,64,1316,1056,843,112,32,424,204,2669,583,870,234,68,260,158,2172,523,799,218,66,219,124,1951,310,588,185,60,202,84,1429,194,322,127,36,156,78,915,83,138,73,42,151,79,576,41,71,33,20,101,50,316,3792,3992,1013,340,2063,901,12110,423,98,9,4,163,35,736,707,352,44,18,211,81,1414,829,989,277,202,249,178,2715,332,879,492,340,146,131,2321,294,925,436,194,123,98,2066,242,652,333,125,153,104,1610,86,310,252,163,155,87,1047,82,190,138,110,190,124,833,61,72,37,31,184,111,483,3047,4467,2025,1184,1568,947,13235,826,155,14,12,399,93,1503,1306,665,70,23,512,152,2726,1884,1837,385,229,673,380,5387,915,1747,728,406,409,289,4493,822,1725,662,255,336,229,4022,553,1237,515,191,357,186,3038,282,628,383,201,310,157,1958,165,328,217,155,342,204,1415,99,143,65,51
POA2603,177,19,0,0,125,20,333,133,54,0,0,65,22,279,288,172,17,9,88,73,651,171,185,40,11,82,48,532,238,252,56,27,121,55,759,170,232,59,17,82,48,600,77,178,44,24,65,43,429,21,54,15,8,45,22,173,15,15,9,4,34,23,106,1287,1166,245,102,705,358,3857,141,29,0,0,57,11,237,125,61,6,3,25,21,245,247,269,41,41,55,70,723,89,221,135,98,31,44,620,110,244,187,105,39,39,714,86,235,127,56,46,50,607,40,103,121,69,54,36,424,15,49,40,35,59,26,233,20,26,18,10,104,38,212,864,1231,680,416,475,342,4017,317,44,0,0,181,30,571,258,115,8,3,93,52,524,535,439,61,52,140,144,1371,257,410,172,108,120,89,1155,347,499,240,134,157,94,1470,249,465,186,72,132,101,1204,117,280,166,89,119,75,849,34,106,60,43,105,50,406,33,41,28,17
POA2604,117,28,0,0,81,21,250,115,51,8,0,83,26,285,487,383,35,9,121,105,1143,236,285,64,19,80,60,750,211,247,50,16,87,64,675,174,236,58,20,83,47,609,83,96,37,10,57,49,325,17,45,20,6,33,49,166,13,13,10,0,34,38,104,1446,1382,279,79,658,458,4303,116,30,4,0,59,5,208,125,95,7,6,43,20,304,432,468,100,63,91,110,1257,149,304,126,97,51,57,782,161,278,123,61,50,59,735,113,227,91,53,60,58,598,27,108,83,42,45,37,336,19,54,32,23,51,69,255,17,25,15,3,41,102,205,1162,1588,579,351,489,525,4692,231,58,4,0,138,32,460,242,151,12,13,124,51,594,920,846,132,70,208,220,2401,387,593,190,116,137,119,1534,370,521,174,78,143,128,1409,284,459,151,71,140,109,1212,108,204,119,55,99,83,666,35,98,56,27,90,120,424,30,38,23,5
POA2605,205,20,0,0,111,13,350,131,39,0,0,74,9,260,222,162,22,11,89,51,550,169,291,95,28,101,60,735,210,370,95,20,81,60,836,169,260,90,20,56,47,641,88,184,71,30,75,50,499,55,108,53,34,91,44,376,25,24,17,8,78,21,178,1262,1468,441,144,751,352,4417,196,31,4,3,74,14,315,131,63,9,7,50,8,265,135,213,85,57,77,37,595,93,286,198,145,49,56,822,100,409,228,84,41,48,919,88,267,169,61,62,50,704,45,154,124,95,77,42,542,48,96,98,77,114,55,486,30,33,12,23,201,51,353,873,1545,931,552,744,355,4997,399,48,4,3,183,24,663,262,109,9,7,124,25,521,354,366,103,65,161,86,1146,259,572,293,178,151,111,1560,306,779,327,106,123,109,1752,264,531,264,77,116,98,1346,129,333,200,124,156,93,1039,99,204,153,111,206,94,857,54,64,32,31
POA2606,114,12,7,0,85,17,229,122,53,11,0,79,31,297,341,264,54,25,211,107,999,204,252,59,24,134,64,730,172,212,39,12,98,45,581,112,161,39,21,70,49,446,67,132,32,17,66,27,340,40,68,29,20,63,31,236,18,19,6,0,23,9,79,1182,1179,270,119,818,366,3942,118,28,0,0,48,12,211,112,81,22,0,58,31,309,281,343,119,88,156,95,1080,101,226,121,100,80,47,669,87,230,127,47,43,39,574,78,133,84,38,57,30,424,40,132,84,67,54,28,398,27,56,58,45,50,30,275,13,21,11,10,31,14,98,858,1249,621,389,583,326,4028,227,41,5,0,135,29,443,237,133,26,0,137,63,601,621,603,167,111,367,196,2075,305,471,177,117,214,112,1399,262,438,166,58,142,77,1152,190,299,120,52,127,75,871,103,264,115,83,115,56,738,63,124,88,66,112,55,516,34,43,20,10
POA2607,252,36,3,0,157,27,481,194,49,6,0,140,14,406,260,215,50,13,139,39,722,251,296,99,27,105,34,821,269,411,82,29,96,40,924,214,324,86,31,114,28,803,137,226,106,44,112,36,655,69,127,67,26,87,31,407,29,29,27,5,52,15,153,1677,1713,524,180,1002,278,5368,222,48,0,4,120,18,426,175,89,11,3,75,16,381,176,227,97,78,95,37,708,106,334,225,161,78,26,927,133,434,259,101,66,36,1024,87,340,196,101,62,45,825,71,220,210,175,126,43,847,46,110,99,97,100,46,497,22,37,21,22,70,34,215,1045,1836,1116,747,799,303,5850,480,83,4,4,283,47,899,372,142,17,4,222,35,795,435,441,144,97,235,75,1429,355,631,328,192,181,63,1747,399,846,340,129,164,74,1954,307,657,285,136,175,67,1630,207,451,310,215,237,79,1503,112,235,162,126,188,79,907,50,66,47,31
POA2609,5,4,0,0,10,7,23,11,9,0,0,12,5,38,14,10,4,0,9,16,59,16,13,3,4,21,16,63,28,33,8,0,24,23,109,10,24,3,3,23,12,76,9,13,7,4,21,22,71,7,3,0,0,3,5,22,0,0,0,0,3,0,11,95,115,24,14,122,103,471,4,5,0,0,3,4,12,7,6,0,0,3,0,14,13,13,3,5,13,10,45,5,13,8,8,3,4,40,3,25,8,3,4,9,55,14,18,8,5,13,17,64,3,15,10,6,10,15,61,3,4,5,0,3,7,28,0,0,0,0,0,5,8,43,91,40,29,48,71,326,8,5,0,0,12,8,36,15,14,0,3,15,8,51,27,27,8,3,24,26,107,22,22,10,8,20,19,106,29,56,15,6,29,30,164,21,41,13,12,29,25,143,16,26,16,11,31,38,130,5,6,8,0,4,13,49,0,3,3,0
POA2611,385,43,6,0,210,39,689,331,111,12,4,166,35,659,677,604,105,28,236,141,1794,601,855,228,63,229,127,2105,509,744,209,40,173,106,1781,345,479,157,54,189,75,1303,260,428,208,85,232,101,1309,101,192,78,52,167,100,697,35,35,24,23,63,49,224,3250,3486,1031,354,1665,779,10559,383,75,12,0,205,48,720,309,173,28,13,118,34,677,466,798,260,252,154,140,2076,282,856,509,359,118,123,2246,257,737,433,169,115,82,1807,191,577,328,175,120,89,1481,118,471,363,280,214,100,1548,45,192,148,121,186,116,805,37,35,32,21,115,131,374,2090,3925,2108,1400,1348,857,11729,762,126,18,0,416,85,1404,645,286,34,21,287,69,1339,1147,1402,369,282,386,278,3871,884,1711,730,422,348,250,4351,769,1482,647,213,286,189,3580,539,1057,488,220,311,167,2788,382,893,573,371,442,203,2859,150,381,227,177,349,217,1501,70,68,52,47
