POA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA2600,77,40,254,1610,2111,794,428,829,419,6190
POA2601,7,5,31,1981,1521,232,67,1905,545,6251
POA2602,285,163,799,6835,8465,3038,1518,3632,1850,25343
POA2603,136,62,315,2153,2398,928,515,1180,702,7870
POA2604,75,145,310,2602,2971,853,430,1149,985,8997
POA2605,278,73,532,2130,3010,1374,699,1493,711,9414
POA2606,52,21,177,2046,2429,890,506,1401,689,7968
POA2607,121,48,369,2723,3549,1638,929,1805,575,11225
POA2609,3,5,14,143,206,67,38,167,173,802
POA2611,181,183,591,5339,7410,3141,1752,3006,1637,22286
POA2612,53,39,230,4585,4503,1128,534,2536,1518,14807
POA2614,244,58,538,3685,5062,2285,1246,2589,864,15737
POA2615,162,79,420,8293,11213,4666,2838,5624,1983,34605
POA2617,130,155,446,7189,8171,3081,1756,5370,2119,27686
POA2618,0,3,7,259,352,189,139,120,123,1177
POA2900,11,6,25,399,576,176,109,322,117,1702
POA2902,36,24,119,2840,3829,1713,985,1822,743,11933
POA2903,27,7,84,1758,2408,1014,666,1175,389,7406
POA2904,73,146,329,2509,3444,1516,802,1616,690,10582
POA2905,105,39,238,5694,7323,2782,1745,4024,1265,22832
POA2906,51,18,131,3692,4305,1782,977,2501,746,14005
POA2911,0,0,9,897,1134,387,238,571,149,3379
POA2912,9,0,20,1247,1394,463,337,1129,355,4933
POA2913,47,23,138,7161,8633,3199,1974,4857,1581,27399
POA2914,20,7,43,4698,5833,2158,1456,3074,825,18048
