POA_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
POA2600,12,157,3,164,8,132,15,150,19,367,44,427,30,376,38,441,73,413,25,515,73,348,26,452,62,371,33,463,33,136,17,177,13,70,8,95,321,2371,203,2899,15,221,11,245,15,142,12,165,30,375,23,428,54,383,27,465,121,406,42,564,134,372,27,534,93,357,36,482,41,170,30,239,17,118,31,161,504,2540,239,3289,25,376,19,412,15,277,20,316,48,745,66,859,84,754,67,907,194,818,66,1084,212,725,57,990,155,724,70,950,70,306,44,420,24,190,34,254,828,4909,445,6190
POA2601,8,511,27,552,25,982,65,1066,19,720,110,850,14,198,39,252,13,107,19,138,11,89,18,125,10,43,9,66,3,8,3,11,3,5,3,12,100,2671,300,3072,10,771,36,824,27,1084,51,1165,23,619,66,706,13,132,18,162,15,99,25,139,15,78,13,103,5,31,13,48,3,7,3,15,0,8,7,16,107,2839,228,3178,19,1284,65,1375,51,2068,115,2233,41,1345,175,1554,21,337,59,416,29,204,42,276,22,167,30,226,15,81,23,115,3,16,6,25,4,16,13,31,204,5510,529,6251
POA2602,36,669,61,767,60,1182,68,1316,138,2324,202,2669,180,1829,163,2172,258,1561,131,1951,233,1111,91,1429,125,715,76,915,81,418,81,576,32,232,52,316,1137,10047,927,12110,36,659,38,736,80,1245,89,1414,198,2339,181,2715,260,1925,144,2321,385,1570,113,2066,378,1119,114,1610,207,751,89,1047,105,610,125,833,21,349,113,483,1674,10574,991,13235,73,1330,99,1503,135,2430,155,2726,340,4665,383,5387,439,3752,303,4493,638,3139,242,4022,612,2231,198,3038,333,1468,158,1958,184,1026,210,1415,57,583,161,799,2816,20617,1916,25343
POA2603,11,302,21,333,12,238,28,279,35,540,74,651,46,442,46,532,93,608,59,759,89,459,50,600,58,338,32,429,17,132,17,173,10,72,24,106,370,3129,358,3857,13,214,9,237,20,199,26,245,49,603,70,723,72,498,46,620,147,523,38,714,142,407,51,607,72,312,36,424,24,173,31,233,13,160,45,212,556,3103,365,4017,23,520,34,571,33,434,52,524,87,1142,146,1371,117,939,96,1155,237,1137,101,1470,232,868,100,1204,128,652,76,849,40,311,51,406,20,227,64,315,922,6230,714,7870
POA2604,9,217,23,250,18,241,24,285,44,988,104,1143,45,638,62,750,76,526,63,675,88,471,49,609,39,237,49,325,13,102,48,166,5,65,42,104,348,3490,466,4303,10,192,4,208,10,273,21,304,65,1086,114,1257,78,655,53,782,133,543,62,735,129,417,58,598,67,239,33,336,14,173,70,255,4,89,109,205,506,3669,517,4692,23,406,25,460,28,515,47,594,107,2075,214,2401,123,1288,117,1534,209,1070,130,1409,219,889,108,1212,106,478,80,666,26,275,117,424,14,155,148,310,856,7163,985,8997
POA2605,7,330,16,350,17,227,13,260,27,468,56,550,51,629,58,735,103,669,58,836,105,488,49,641,75,372,56,499,48,288,40,376,20,138,19,178,448,3596,367,4417,24,288,14,315,20,235,12,265,46,515,37,595,91,675,53,822,170,686,59,919,167,479,62,704,114,388,41,542,65,361,61,486,14,288,48,353,706,3912,375,4997,25,609,25,663,36,460,25,521,75,983,88,1146,141,1306,114,1560,277,1355,114,1752,272,968,111,1346,189,755,92,1039,110,652,101,857,37,425,73,532,1158,7511,743,9414
POA2606,14,202,19,229,13,249,31,297,51,850,105,999,60,603,60,730,84,449,51,581,78,326,47,446,52,261,30,340,34,175,26,236,9,59,11,79,392,3175,372,3942,17,173,22,211,16,256,29,309,69,904,104,1080,92,530,49,669,114,422,44,574,88,308,29,424,83,282,30,398,39,205,33,275,10,71,17,98,524,3155,343,4028,26,375,36,443,30,508,59,601,115,1750,203,2075,154,1135,112,1399,195,867,92,1152,166,631,71,871,139,544,61,738,78,380,58,516,19,137,22,177,920,6327,715,7968
POA2607,22,427,32,481,20,369,21,406,46,622,50,722,87,695,41,821,139,749,42,924,123,652,28,803,109,501,42,655,66,310,32,407,13,129,12,153,635,4451,287,5368,18,389,15,426,29,340,20,381,68,599,43,708,124,768,27,927,213,775,40,1024,201,585,45,825,151,652,44,847,77,374,47,497,26,156,32,215,903,4639,315,5850,42,812,49,899,46,708,39,795,115,1226,89,1429,209,1461,69,1747,352,1520,75,1954,323,1231,71,1630,261,1155,88,1503,143,692,74,907,39,282,46,369,1537,9091,596,11225
POA2609,0,15,3,23,0,24,12,38,0,41,15,59,3,40,15,63,4,85,19,109,5,59,12,76,8,44,22,71,0,10,5,22,0,5,0,11,37,325,113,471,0,8,3,12,0,13,0,14,3,32,6,45,5,30,4,40,10,34,9,55,3,48,18,64,3,34,20,61,0,20,9,28,0,3,3,8,23,229,72,326,4,21,11,36,0,38,10,51,5,76,26,107,8,71,22,106,14,121,32,164,12,106,29,143,11,80,40,130,0,27,15,49,0,7,4,14,67,554,185,802
POA2611,26,616,42,689,40,585,38,659,122,1534,139,1794,203,1777,122,2105,251,1425,101,1781,223,1002,75,1303,187,1025,97,1309,98,497,91,697,21,149,50,224,1178,8611,772,10559,42,628,48,720,41,601,41,677,154,1780,144,2076,287,1832,129,2246,363,1361,83,1807,367,1021,96,1481,302,1142,106,1548,114,569,117,805,18,223,128,374,1689,9147,890,11729,72,1241,89,1404,73,1185,80,1339,275,3312,278,3871,490,3607,255,4351,615,2787,183,3580,593,2020,173,2788,484,2170,204,2859,214,1075,212,1501,42,372,181,591,2866,17756,1661,22286
