POA_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA2600,215,34,254,1056,527,42,1623,4156,407,6190
POA2601,15,7,31,160,134,0,297,5425,527,6251
POA2602,634,159,799,4793,1487,261,6548,16981,1822,25343
POA2603,251,64,315,1365,498,34,1895,5290,688,7870
POA2604,164,139,310,1430,421,46,1900,6129,967,8997
POA2605,456,69,532,2066,621,52,2744,5968,710,9414
POA2606,146,19,177,1371,458,51,1879,5399,688,7968
POA2607,321,45,369,2195,894,74,3156,7494,571,11225
POA2609,10,4,14,94,35,3,130,496,168,802
POA2611,400,176,591,5071,1895,228,7193,13476,1618,22286
POA2612,184,36,230,1487,599,51,2140,11146,1521,14807
POA2614,468,59,538,3304,1299,145,4745,10139,852,15737
POA2615,332,72,420,8303,3079,380,11756,20931,1916,34605
POA2617,300,133,446,4560,1962,144,6670,18952,2063,27686
POA2618,7,0,7,247,119,5,369,701,110,1177
POA2900,24,3,25,266,137,5,408,1178,114,1702
POA2902,88,20,119,2472,1206,125,3805,7402,727,11933
POA2903,79,7,84,1516,787,72,2380,4661,367,7406
POA2904,189,137,329,2022,1094,101,3218,6703,663,10582
POA2905,202,36,238,4963,1848,216,7024,14614,1187,22832
POA2906,107,21,131,3168,991,157,4315,8965,731,14005
POA2911,6,0,9,1066,158,27,1254,1956,163,3379
POA2912,21,0,20,1126,266,30,1424,3153,353,4933
POA2913,112,24,138,7077,1841,242,9163,16668,1560,27399
POA2914,37,4,43,6231,980,183,7398,9836,816,18048
