POA_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
POA2600,..,0,91,236,317,299,307,114,43,1406,..,11,92,56,38,37,22,3,3,261,..,0,3,3,17,12,3,3,0,49,462,..,..,..,..,..,..,..,..,462,..,164,..,..,..,..,..,..,..,164,..,60,56,10,8,4,3,0,0,142,..,8,3,5,3,0,0,0,3,23,..,6,7,0,0,0,0,0,0,17,..,18,52,11,10,4,5,0,5,104,..,7,63,65,65,44,41,23,30,340,0,7,11,7,9,3,11,4,0,58,462,290,377,398,469,411,388,147,80,3016,..,4,124,276,336,294,268,98,27,1427,..,17,86,47,43,36,10,0,0,234,..,3,7,35,59,24,14,6,11,159,519,..,..,..,..,..,..,..,..,519,..,198,..,..,..,..,..,..,..,198,..,46,29,10,3,6,0,0,0,103,..,11,5,3,0,7,4,5,3,42,..,4,9,3,0,0,0,0,0,17
POA2601,..,3,65,54,38,37,27,4,6,238,..,22,129,34,17,12,3,0,0,226,..,0,0,3,4,4,0,0,0,12,46,..,..,..,..,..,..,..,..,46,..,12,..,..,..,..,..,..,..,12,..,4,5,0,0,0,0,0,0,9,..,6,6,0,0,0,0,0,0,16,..,3,11,0,0,0,0,0,0,15,..,59,86,6,4,0,0,0,0,159,..,22,97,61,41,32,9,0,3,264,3,22,22,10,0,3,0,0,0,56,45,160,416,167,108,89,44,6,9,1049,..,9,83,39,40,42,16,3,3,238,..,37,128,14,11,13,0,0,0,201,..,0,0,4,9,5,0,0,0,21,44,..,..,..,..,..,..,..,..,44,..,15,..,..,..,..,..,..,..,15,..,8,6,0,0,0,0,0,0,14,..,5,3,0,0,0,0,0,0,10,..,9,6,0,0,0,0,0,0,16
POA2602,..,13,635,1074,956,670,457,326,141,4275,..,131,512,356,305,173,54,7,3,1550,..,4,14,40,65,39,22,7,6,210,2375,..,..,..,..,..,..,..,..,2375,..,605,..,..,..,..,..,..,..,605,..,261,173,59,63,36,3,0,0,592,..,67,51,20,16,25,10,6,7,203,..,93,109,44,4,10,3,0,0,262,..,608,569,124,84,49,21,12,3,1475,..,99,296,240,236,251,196,103,81,1511,36,78,90,28,47,32,23,9,3,350,2408,1960,2440,1988,1781,1291,798,486,252,13411,..,37,800,1164,945,631,404,299,61,4336,..,183,582,387,325,158,48,9,0,1691,..,18,88,191,268,133,48,47,34,836,2382,..,..,..,..,..,..,..,..,2382,..,607,..,..,..,..,..,..,..,607,..,175,85,32,27,14,0,0,0,336,..,65,52,16,22,31,34,24,33,274,..,85,103,27,13,8,0,0,0,240
POA2603,..,0,121,268,428,358,261,112,33,1584,..,30,116,51,51,37,22,0,0,303,..,0,4,9,29,13,4,0,3,65,710,..,..,..,..,..,..,..,..,710,..,273,..,..,..,..,..,..,..,273,..,78,58,14,15,10,3,0,0,177,..,17,7,4,3,4,3,3,0,45,..,16,14,4,6,3,0,0,0,37,..,49,84,5,11,9,7,0,0,174,..,33,125,97,112,86,56,20,21,549,10,17,21,9,14,6,10,3,0,87,719,511,545,472,665,528,359,142,63,4011,..,4,175,323,449,340,230,72,17,1608,..,32,110,54,52,36,13,0,0,298,..,3,9,56,69,29,15,8,9,205,628,..,..,..,..,..,..,..,..,628,..,218,..,..,..,..,..,..,..,218,..,58,44,14,12,4,0,0,0,133,..,18,5,0,0,7,8,13,9,63,..,11,11,4,0,7,0,0,0,36
POA2604,..,3,236,337,279,296,168,80,33,1422,..,39,285,112,70,51,18,6,0,584,..,3,3,18,29,13,5,0,0,77,655,..,..,..,..,..,..,..,..,655,..,222,..,..,..,..,..,..,..,222,..,67,42,15,9,14,0,0,0,149,..,20,17,7,0,3,3,0,3,59,..,10,18,3,0,0,0,0,0,35,..,69,188,28,17,10,7,0,3,326,..,26,163,129,142,137,55,24,14,697,8,12,36,20,22,10,6,0,3,127,668,481,993,663,579,539,268,115,59,4361,..,12,299,341,314,267,143,59,13,1444,..,58,282,100,77,31,9,0,3,555,..,0,34,69,111,32,10,11,16,290,601,..,..,..,..,..,..,..,..,601,..,190,..,..,..,..,..,..,..,190,..,64,21,11,8,7,0,0,0,116,..,11,11,7,3,16,12,10,0,62,..,11,8,0,3,0,0,0,0,28
POA2605,..,4,168,479,527,393,282,230,75,2155,..,18,73,67,68,60,27,6,0,327,..,0,4,13,25,4,4,0,0,47,1112,..,..,..,..,..,..,..,..,1112,..,340,..,..,..,..,..,..,..,340,..,115,68,22,31,13,0,0,0,251,..,22,17,4,6,6,3,4,8,66,..,11,15,4,4,3,0,0,0,40,..,38,63,18,16,7,7,4,0,154,..,16,50,48,64,64,66,50,26,383,9,14,16,10,7,10,7,5,0,80,1120,576,475,655,751,566,397,292,113,4955,..,18,234,535,563,364,240,198,35,2184,..,31,83,78,74,39,25,3,0,335,..,3,26,66,96,37,17,24,14,291,1060,..,..,..,..,..,..,..,..,1060,..,318,..,..,..,..,..,..,..,318,..,89,49,5,22,10,4,0,0,184,..,22,16,3,7,10,17,10,18,94,..,11,17,3,0,3,0,0,0,36
POA2606,..,3,339,371,270,206,187,156,40,1574,..,39,178,71,44,26,11,0,3,377,..,0,3,7,19,24,5,3,3,65,667,..,..,..,..,..,..,..,..,667,..,192,..,..,..,..,..,..,..,192,..,92,62,22,27,5,0,0,0,211,..,30,28,13,4,0,4,0,0,76,..,29,21,4,3,0,0,0,0,64,..,57,102,23,9,8,7,6,0,215,..,35,146,138,142,112,76,43,17,705,7,9,21,18,9,7,5,3,0,78,671,482,897,671,523,401,300,207,74,4229,..,29,431,352,266,202,177,113,27,1595,..,69,175,55,54,11,14,0,0,387,..,3,31,61,81,40,9,21,13,249,697,..,..,..,..,..,..,..,..,697,..,175,..,..,..,..,..,..,..,175,..,48,38,11,10,7,0,0,0,117,..,29,40,7,9,14,14,6,3,117,..,19,22,9,0,0,0,0,0,52
POA2607,..,13,248,518,611,525,447,281,86,2711,..,29,126,93,94,59,22,3,0,422,..,0,0,20,31,23,6,6,5,86,1228,..,..,..,..,..,..,..,..,1228,..,454,..,..,..,..,..,..,..,454,..,209,121,30,37,12,0,0,0,411,..,44,29,14,3,6,3,3,10,109,..,22,12,14,6,3,0,0,0,58,..,41,63,17,11,12,6,5,0,153,..,21,55,62,80,106,78,71,36,502,18,13,17,18,10,6,18,6,3,113,1242,840,672,778,876,748,581,372,129,6247,..,28,313,610,640,463,450,216,40,2754,..,46,125,96,83,50,13,3,0,423,..,6,29,82,118,59,30,22,16,373,1062,..,..,..,..,..,..,..,..,1062,..,400,..,..,..,..,..,..,..,400,..,157,76,18,13,8,0,0,0,276,..,24,12,11,12,19,23,24,12,138,..,24,22,0,0,3,0,0,0,50
POA2609,..,0,10,10,21,16,20,8,3,79,..,0,13,4,4,8,3,0,0,39,..,0,0,0,5,0,0,0,0,16,33,..,..,..,..,..,..,..,..,33,..,16,..,..,..,..,..,..,..,16,..,11,3,3,3,0,0,0,0,18,..,0,0,3,0,3,0,0,0,7,..,3,3,0,0,0,0,0,0,8,..,7,0,0,5,6,3,0,0,20,..,5,10,14,43,30,26,10,0,135,3,3,0,3,5,0,0,0,0,19,37,45,41,43,84,63,47,18,8,382,..,0,13,14,19,16,13,3,0,78,..,3,14,8,12,7,3,0,0,38,..,0,0,3,3,6,3,0,0,19,41,..,..,..,..,..,..,..,..,41,..,10,..,..,..,..,..,..,..,10,..,4,3,0,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,5,..,0,0,0,3,0,0,0,0,8
POA2611,..,23,636,1313,1049,796,867,428,82,5187,..,78,381,244,194,91,46,14,0,1053,..,0,6,27,92,36,20,14,0,200,2844,..,..,..,..,..,..,..,..,2844,..,615,..,..,..,..,..,..,..,615,..,325,196,96,59,19,3,0,0,693,..,64,46,21,12,21,13,17,6,191,..,33,46,17,21,0,0,0,0,118,..,49,119,44,29,27,15,4,0,282,..,47,154,144,177,181,175,103,56,1037,34,46,51,31,29,19,20,9,3,252,2875,1273,1642,1943,1653,1189,1161,585,150,12477,..,34,910,1365,995,780,813,305,39,5241,..,122,387,258,179,77,35,5,0,1076,..,8,80,202,241,144,70,39,33,814,2579,..,..,..,..,..,..,..,..,2579,..,641,..,..,..,..,..,..,..,641,..,264,121,61,29,13,3,0,0,487,..,48,39,16,23,38,59,28,13,258,..,35,38,12,3,3,0,0,0,96
