POA_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2600,..,29,54,3,0,9,0,0,0,97,..,10,66,44,60,87,94,85,101,544,4,12,20,10,9,18,15,6,0,89,526,337,392,433,508,480,407,207,146,3419,..,6,216,511,650,600,570,210,73,2831,..,24,179,99,81,74,28,3,3,492,..,3,10,38,73,39,21,14,10,203,980,..,..,..,..,..,..,..,..,980,..,367,..,..,..,..,..,..,..,367,..,109,82,21,10,12,3,0,0,240,..,18,7,9,4,5,4,5,10,59,..,12,9,7,0,0,0,0,0,32,..,49,100,16,14,14,5,0,3,201,..,21,125,107,125,129,134,109,129,885,8,22,34,20,16,21,22,13,0,151,987,625,769,832,973,887,790,353,226,6438
POA2601,..,73,82,6,0,5,0,0,0,166,..,26,62,32,29,18,15,6,3,193,0,33,15,5,4,10,0,0,0,67,43,211,392,105,106,85,30,8,9,987,..,12,153,95,76,83,50,6,6,478,..,59,256,53,34,19,3,0,0,429,..,0,4,8,14,8,0,0,0,39,87,..,..,..,..,..,..,..,..,87,..,25,..,..,..,..,..,..,..,25,..,12,12,0,0,0,0,0,0,21,..,11,14,0,0,0,0,0,0,28,..,8,16,0,0,0,0,0,0,33,..,136,168,10,3,3,0,0,0,324,..,50,162,90,69,48,20,6,5,454,5,51,36,13,9,12,0,0,0,124,88,368,808,269,209,177,81,16,13,2038
POA2602,..,677,446,70,56,58,22,18,3,1344,..,99,272,235,246,377,335,309,188,2050,37,71,81,37,35,29,35,21,10,365,2424,2014,2509,2155,1935,1444,928,718,327,14456,..,55,1431,2239,1897,1305,861,629,203,8610,..,316,1096,741,637,332,99,16,8,3237,..,23,106,236,332,175,73,54,45,1041,4758,..,..,..,..,..,..,..,..,4758,..,1211,..,..,..,..,..,..,..,1211,..,434,257,89,85,51,4,0,0,924,..,138,99,34,42,56,52,30,38,478,..,175,210,71,19,22,9,0,0,502,..,1286,1021,193,141,105,45,27,7,2819,..,198,573,476,486,631,528,412,270,3569,70,153,167,66,78,63,55,30,18,711,4831,3974,4953,4142,3715,2740,1723,1206,582,27864
POA2603,..,49,126,5,9,11,6,3,0,204,..,27,123,76,66,83,83,71,68,598,13,19,21,8,6,3,7,3,3,88,640,439,632,549,657,515,363,177,103,4075,..,4,292,591,876,698,491,191,58,3198,..,57,229,102,100,76,33,0,0,600,..,6,13,67,97,47,12,7,11,268,1332,..,..,..,..,..,..,..,..,1332,..,489,..,..,..,..,..,..,..,489,..,136,105,28,24,17,0,0,0,311,..,38,17,6,6,6,10,14,9,108,..,26,21,11,4,6,0,0,0,77,..,100,205,18,17,19,10,3,0,378,..,58,246,173,176,170,147,90,86,1146,23,36,44,18,16,7,21,4,3,177,1357,953,1176,1019,1327,1046,721,317,165,8082
POA2604,..,80,199,15,11,13,0,0,0,330,..,22,205,144,129,145,111,84,49,895,14,22,42,25,18,6,5,10,7,155,616,477,1108,714,671,518,291,184,88,4661,..,19,536,671,591,558,308,141,42,2865,..,98,566,206,150,82,28,5,3,1138,..,5,31,85,142,47,15,18,18,369,1256,..,..,..,..,..,..,..,..,1256,..,416,..,..,..,..,..,..,..,416,..,134,65,26,19,27,0,0,0,270,..,32,30,10,4,22,15,9,5,124,..,16,27,3,4,3,0,0,0,65,..,145,392,41,30,26,10,3,3,656,..,47,376,279,273,281,163,106,67,1589,26,36,79,43,34,20,14,12,6,284,1282,953,2102,1376,1249,1063,554,294,149,9028
POA2605,..,27,59,9,14,16,8,6,0,134,..,22,44,46,68,123,132,153,75,653,17,9,15,12,7,15,12,4,0,90,1079,545,541,754,849,610,456,394,146,5374,..,17,407,1010,1094,760,523,427,106,4335,..,47,156,146,146,102,52,11,0,663,..,3,30,77,120,45,20,25,19,339,2174,..,..,..,..,..,..,..,..,2174,..,658,..,..,..,..,..,..,..,658,..,207,115,26,50,22,3,0,0,439,..,43,30,3,13,14,18,16,20,155,..,21,38,7,5,6,0,0,0,78,..,67,118,26,29,22,17,8,0,291,..,35,99,88,131,182,202,194,108,1031,24,25,32,20,20,23,22,9,0,168,2201,1115,1016,1412,1604,1176,858,690,260,10329
POA2606,..,55,74,19,8,3,6,0,0,173,..,32,148,97,99,92,128,110,56,753,8,11,28,8,9,9,17,4,0,88,702,475,989,619,530,384,355,248,94,4405,..,36,769,726,534,407,363,265,64,3162,..,110,350,121,104,44,29,4,3,761,..,3,32,70,94,66,21,24,15,310,1369,..,..,..,..,..,..,..,..,1369,..,364,..,..,..,..,..,..,..,364,..,147,100,35,40,13,3,0,0,333,..,54,68,17,11,15,16,6,8,195,..,46,44,16,3,0,0,0,0,110,..,110,181,42,23,15,10,3,0,394,..,68,293,231,234,204,197,149,71,1456,9,22,46,31,16,17,22,8,0,169,1378,954,1886,1292,1059,789,654,460,166,8627
POA2607,..,40,31,9,5,13,13,9,0,126,..,25,42,45,87,128,211,163,105,803,11,17,13,15,15,16,29,14,3,122,1077,772,668,888,975,751,768,447,172,6521,..,38,559,1122,1248,983,895,498,120,5460,..,78,252,191,174,104,40,6,0,850,..,6,30,104,149,86,38,29,27,465,2288,..,..,..,..,..,..,..,..,2288,..,848,..,..,..,..,..,..,..,848,..,365,196,41,52,23,3,0,0,687,..,69,43,24,19,24,29,23,18,248,..,41,35,17,5,9,0,0,0,105,..,84,92,31,19,17,19,10,0,283,..,41,96,103,162,231,291,236,141,1304,32,33,34,32,26,24,42,16,3,234,2320,1612,1340,1664,1853,1501,1352,817,307,12770
POA2609,..,0,0,3,3,0,4,0,0,8,..,0,5,3,10,12,20,17,0,66,0,5,0,0,0,8,3,0,0,19,47,28,38,37,41,46,42,25,3,307,..,0,22,28,34,28,26,11,7,159,..,4,24,11,15,13,6,0,0,78,..,0,3,11,6,9,6,0,0,34,74,..,..,..,..,..,..,..,..,74,..,20,..,..,..,..,..,..,..,20,..,16,11,3,3,0,0,0,0,27,..,0,0,3,0,3,0,0,0,10,..,3,6,0,5,0,0,0,0,12,..,7,4,3,6,6,4,0,0,32,..,5,12,17,51,40,49,24,4,205,3,9,0,3,4,5,3,0,0,37,77,69,80,79,130,117,94,37,8,690
POA2611,..,66,98,23,21,22,16,10,3,275,..,51,195,124,177,238,369,238,106,1500,37,50,44,25,34,34,31,12,3,271,2617,1318,1913,2090,1700,1348,1405,643,206,13241,..,50,1543,2677,2044,1573,1683,729,122,10428,..,199,772,501,374,173,86,21,0,2130,..,15,88,231,336,177,88,53,35,1013,5424,..,..,..,..,..,..,..,..,5424,..,1258,..,..,..,..,..,..,..,1258,..,584,318,156,88,32,5,0,0,1182,..,107,79,44,34,59,66,44,19,455,..,69,84,37,24,5,0,0,0,215,..,119,215,71,49,51,33,13,5,557,..,95,348,264,351,421,548,348,158,2542,71,89,98,58,62,50,51,21,15,523,5493,2591,3554,4030,3358,2540,2562,1228,360,25714
POA2612,..,455,421,32,21,7,7,3,0,951,..,106,332,175,125,114,154,98,69,1176,10,54,57,17,8,9,5,11,3,173,623,1097,1857,753,635,496,388,215,106,6170,..,44,814,696,649,577,397,165,71,3417,..,268,958,247,158,91,41,8,5,1776,..,5,20,57,82,48,20,18,6,255,1266,..,..,..,..,..,..,..,..,1266,..,346,..,..,..,..,..,..,..,346,..,108,90,21,14,8,0,0,0,249,..,81,68,16,14,10,11,7,9,216,..,64,95,16,3,0,0,0,0,178,..,885,975,90,47,21,14,3,3,2044,..,182,724,424,352,289,237,145,88,2437,15,81,113,46,31,21,16,20,0,334,1273,2078,3862,1612,1349,1075,730,367,180,12522
