POA_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
POA2600,227,0,0,0,0,0,0,17,245,154,7,0,0,0,0,0,12,165,194,19,3,0,0,0,0,10,230,119,31,29,11,3,0,0,11,199,70,48,73,21,3,3,0,14,225,54,37,95,26,3,6,0,16,240,57,46,106,51,15,0,0,19,291,41,33,96,57,14,3,0,17,269,49,39,90,53,19,6,0,4,266,55,41,98,35,24,4,3,17,270,41,27,126,65,15,0,0,19,302,22,24,58,46,13,3,0,13,185,19,7,29,37,25,6,3,13,138,9,11,24,25,10,3,3,14,104,15,7,48,37,19,4,8,16,161,1123,370,870,462,174,46,22,222,3289
POA2601,774,0,0,0,0,0,0,43,824,1100,3,0,0,0,0,0,58,1165,389,9,0,0,0,0,0,39,448,208,23,3,0,0,0,0,30,261,79,11,9,3,0,0,0,14,114,29,3,5,3,0,0,0,4,51,25,14,12,4,3,0,0,10,70,18,7,17,6,0,0,0,10,63,8,8,22,6,0,0,0,10,55,10,9,19,3,3,0,0,7,44,3,0,8,5,0,0,0,5,33,4,0,10,3,0,0,0,5,19,4,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,3,0,3,3,0,3,0,3,16,2655,101,111,43,10,9,3,249,3178
POA2602,679,3,0,0,0,0,0,57,736,1265,27,11,4,0,0,0,108,1414,1107,99,39,11,4,0,0,112,1382,724,300,175,36,8,3,3,89,1336,373,261,347,118,11,9,3,69,1199,266,159,412,168,36,9,7,71,1126,256,174,424,154,56,4,7,57,1125,245,143,339,123,43,9,0,39,941,189,145,270,142,33,12,7,49,849,164,119,220,141,48,6,0,55,760,94,78,192,106,45,11,7,37,568,73,33,179,101,39,17,3,32,475,39,42,121,110,55,32,11,46,446,31,26,90,116,52,25,18,39,388,26,39,103,104,68,33,28,84,483,5531,1656,2914,1439,500,158,99,942,13235
POA2603,225,0,0,0,0,0,0,17,237,218,3,3,0,0,0,0,29,245,333,20,7,0,0,0,0,45,408,190,44,34,7,0,0,0,33,313,85,51,85,20,10,3,0,15,278,73,59,116,43,17,0,0,28,343,54,46,142,65,17,0,0,23,346,53,50,137,86,18,4,0,16,365,67,47,108,50,15,9,3,34,339,38,25,96,69,17,7,0,22,262,34,34,86,60,19,4,0,22,262,21,13,58,39,11,4,8,10,161,8,9,36,28,9,4,0,13,114,10,11,27,21,16,5,3,19,118,12,14,38,37,23,12,12,69,212,1433,417,977,537,165,53,31,400,4017
POA2604,192,3,0,0,0,0,0,17,208,260,11,7,0,0,0,0,28,304,563,31,5,4,0,0,0,63,669,374,91,52,6,0,0,7,54,588,182,80,95,22,9,3,0,25,416,106,65,110,44,7,5,0,28,366,81,55,122,44,11,3,0,20,337,83,59,128,70,17,3,6,37,397,62,60,110,59,25,3,3,34,345,50,33,76,47,14,3,3,24,251,27,28,57,48,14,4,4,23,208,10,19,39,34,11,4,3,10,129,13,12,30,24,11,6,8,29,136,5,10,12,27,15,5,8,31,118,3,12,16,32,18,9,15,105,205,2025,571,861,449,155,57,57,524,4692
POA2605,294,0,0,0,0,0,0,23,315,236,8,3,0,0,0,0,15,265,210,27,7,4,0,0,0,17,265,138,96,61,18,0,0,0,13,327,72,67,157,67,8,7,0,25,400,48,65,192,76,5,3,0,29,423,76,62,204,92,18,10,8,33,497,65,62,160,86,23,3,0,21,418,76,39,155,56,24,4,7,23,385,55,48,115,45,18,12,3,29,319,44,32,91,61,15,3,0,17,272,33,19,96,57,32,7,3,20,270,18,26,86,78,35,12,10,20,283,20,19,50,65,22,9,7,13,201,27,36,82,65,47,22,17,61,353,1411,597,1456,769,256,86,49,366,4997
POA2606,175,0,0,0,0,0,0,27,211,260,6,6,0,0,0,0,35,309,415,71,21,6,0,0,0,68,583,239,111,70,16,3,0,0,47,492,111,56,102,36,12,3,0,25,346,91,50,97,39,17,4,0,25,323,73,52,100,31,22,3,3,13,294,67,36,110,34,16,3,0,23,283,46,34,66,45,6,0,3,19,217,27,23,71,58,12,4,3,9,205,33,26,74,33,11,8,3,11,202,28,17,68,48,11,5,0,6,194,12,11,47,49,23,8,6,10,167,11,9,25,29,14,9,10,11,109,6,6,25,22,18,4,10,5,98,1595,502,889,442,162,55,41,339,4028
POA2607,384,0,0,0,0,0,0,38,426,336,17,3,0,0,0,0,23,381,233,46,15,3,0,0,0,20,314,157,101,84,24,4,3,3,18,392,82,85,156,82,10,5,0,11,433,85,66,203,87,23,8,3,13,492,96,58,211,83,27,6,3,22,496,71,65,218,120,29,6,0,19,534,69,71,168,87,41,11,3,28,474,57,48,120,67,33,11,0,16,346,50,46,157,91,32,4,4,16,402,41,32,170,122,42,16,5,18,443,15,20,90,72,53,15,11,18,287,16,10,60,62,29,14,12,20,216,19,14,60,43,25,12,15,21,215,1709,679,1703,946,341,116,60,294,5850
POA2609,10,0,0,0,0,0,0,3,12,11,0,0,0,0,0,0,0,14,7,3,0,0,0,0,0,8,22,12,5,6,0,0,0,0,4,26,6,7,4,0,0,0,0,0,19,5,0,4,0,0,0,0,6,20,3,4,8,10,0,0,0,3,28,12,4,3,4,9,0,0,4,30,0,3,5,8,3,0,0,0,21,8,0,5,10,3,0,0,10,40,0,3,10,13,3,0,0,5,29,0,3,6,0,3,6,0,9,30,0,0,3,7,4,0,0,4,16,0,0,0,3,3,3,0,0,7,0,0,3,0,0,0,0,3,8,73,41,58,52,27,9,0,61,326
POA2611,639,3,0,0,0,0,0,76,720,593,27,3,0,0,0,0,46,677,667,127,56,17,5,0,0,86,959,464,270,233,70,16,0,3,67,1118,238,195,460,146,34,6,4,69,1146,186,142,453,189,50,7,9,52,1098,178,131,361,176,62,9,3,45,975,154,118,296,148,63,17,5,27,829,126,97,285,167,56,16,4,44,801,100,79,239,153,50,14,5,45,679,98,80,338,198,80,28,9,37,868,57,52,221,188,84,19,14,52,685,31,33,121,128,65,32,22,40,464,21,25,74,76,34,29,21,60,337,15,34,69,70,40,13,11,115,374,3559,1410,3219,1728,637,192,126,862,11729
