POA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA2600,953,1831,7,44,89,381,5,26,419,1567,529,2023,32,139,124,394,91,266,248,801,776,2827,3,16,18,66,9,18,56,127,82,226,11,22,26,63,82,168,121,259,205,481,13,34,1950,5171
POA2601,393,755,0,0,3,11,0,3,56,180,56,187,0,0,3,19,15,41,23,51,78,243,0,0,0,4,0,0,7,18,6,19,0,0,15,35,13,18,28,53,36,74,11,21,521,1096
POA2602,2981,5830,20,128,281,1248,34,141,2050,7714,2388,9223,104,409,334,1105,311,951,751,2472,3138,11695,4,34,62,219,17,57,412,990,499,1294,37,104,147,319,360,738,546,1166,1046,2461,138,279,7294,20263
POA2603,956,1864,9,33,127,564,15,58,518,1976,662,2634,56,221,146,474,142,417,342,1113,1006,3748,0,8,16,63,0,4,114,275,140,355,7,29,47,108,75,162,127,294,267,644,23,53,2255,6308
POA2604,1196,2306,6,18,75,316,6,37,550,1997,642,2369,37,144,124,409,86,263,241,819,883,3189,0,7,23,96,6,18,140,346,173,466,18,49,65,140,109,218,189,409,367,877,35,71,2478,6438
POA2605,1070,2085,12,60,170,740,19,67,875,3428,1072,4297,72,296,199,645,183,552,447,1489,1519,5788,0,3,20,58,8,22,126,317,156,406,20,65,50,102,118,239,184,403,338,809,36,82,2964,8763
POA2606,1082,2138,8,34,78,370,5,24,603,2270,696,2698,38,175,91,313,111,325,242,814,938,3516,3,10,17,70,12,30,104,271,132,373,12,31,43,84,130,270,181,394,309,765,39,79,2361,6499
POA2607,1460,2906,24,122,164,729,38,159,928,3598,1151,4613,112,477,253,854,251,783,623,2110,1773,6721,0,9,32,115,8,29,144,368,185,519,22,71,70,155,186,379,274,602,463,1118,47,97,3741,10844
POA2609,64,128,0,0,0,17,0,0,36,126,36,143,0,0,11,29,10,28,19,54,53,200,0,0,0,0,0,4,13,27,14,31,0,3,3,3,14,28,17,39,30,71,4,8,156,408
POA2611,2924,5766,36,213,326,1488,56,230,2239,8602,2656,10537,120,506,303,1022,438,1337,862,2868,3519,13406,7,45,81,275,30,89,364,958,487,1368,42,129,98,216,388,804,527,1157,1011,2524,92,184,7538,21879
