POA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
POA2600,50,78,38,27,41,19,10,261,44,34,20,4,15,4,9,133,31,43,28,21,29,8,3,155,157,139,95,70,94,49,22,627,0,0,0,0,0,0,0,0,276,294,185,118,174,79,45,1175,4,3,4,3,12,5,3,38,3,4,8,0,8,3,0,27,0,0,3,0,0,3,0,7,13,19,15,17,25,10,3,94,0,0,0,0,0,0,0,0,21,24,37,24,40,19,5,169,301,317,220,140,216,95,51,1343
POA2601,19,0,0,0,0,0,0,33,3,0,0,0,0,0,0,6,10,0,0,3,0,0,0,15,19,3,3,0,0,4,0,33,0,0,0,0,0,0,0,0,52,11,6,5,3,4,0,81,3,0,0,3,0,5,0,13,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,3,0,3,3,3,10,4,27,56,10,7,10,7,12,8,113
POA2602,276,274,155,87,123,57,26,988,183,154,93,45,58,21,12,564,197,162,106,75,84,33,13,663,836,807,396,247,329,128,59,2796,8,9,0,0,0,0,0,23,1493,1394,754,455,592,236,111,5029,27,61,31,23,30,20,4,197,17,32,34,15,21,12,3,135,12,19,14,6,18,4,3,78,79,131,91,55,88,35,27,513,4,5,8,0,0,0,0,19,139,248,171,99,163,71,36,938,1636,1646,925,557,751,308,147,5968
POA2603,89,75,62,36,59,21,11,355,36,51,36,17,29,10,4,189,26,41,26,25,32,17,6,176,157,201,156,107,132,53,25,828,0,0,0,0,0,0,0,0,307,367,282,191,254,102,49,1549,3,11,10,15,23,12,6,72,9,9,8,6,6,4,4,42,3,5,10,4,4,4,0,35,20,32,22,14,23,9,6,122,0,0,0,0,0,0,0,3,32,62,49,39,53,26,14,272,339,423,328,237,309,121,59,1825
POA2604,93,80,46,30,60,19,8,335,45,34,25,6,17,3,4,135,56,48,21,10,22,3,6,170,227,169,89,42,80,48,14,668,3,0,0,0,0,0,0,4,420,332,175,93,180,77,33,1314,12,18,16,16,20,15,3,90,10,11,6,10,5,0,0,37,3,0,0,6,9,5,0,30,37,53,27,12,41,16,5,191,3,4,3,0,0,0,0,12,66,81,49,43,80,35,10,359,484,414,225,134,262,113,44,1671
POA2605,131,213,89,45,41,25,10,563,58,77,39,33,39,18,11,269,64,65,44,30,49,22,10,279,296,400,232,131,192,87,50,1393,0,5,3,0,3,0,0,14,544,765,408,237,324,147,90,2520,6,16,16,3,12,4,3,59,9,9,7,3,9,3,0,44,0,4,7,3,8,4,0,27,19,51,40,26,28,19,5,180,0,0,0,0,0,0,0,0,34,87,66,33,58,32,13,313,578,849,477,272,379,175,99,2826
POA2606,233,170,55,32,56,33,16,605,22,23,33,6,15,9,3,114,39,30,14,11,5,8,7,115,154,182,96,60,87,27,14,629,4,0,0,0,0,0,0,3,457,416,204,103,172,77,41,1462,9,27,17,11,15,3,3,83,3,7,8,8,5,0,3,30,3,0,3,0,3,0,0,12,18,34,21,22,26,11,3,131,0,0,0,0,0,0,0,7,37,72,46,38,50,15,8,272,493,482,245,148,221,93,49,1731
POA2607,184,197,90,53,99,51,33,711,53,55,37,26,51,22,15,256,78,94,43,26,47,24,9,318,304,403,228,146,205,104,41,1440,3,0,0,3,0,0,3,11,622,746,406,255,406,197,100,2732,11,17,11,15,20,13,9,95,4,11,4,4,12,8,3,56,3,15,15,6,7,10,0,51,34,56,34,21,37,7,7,198,0,0,3,0,0,0,0,5,54,94,59,47,83,42,21,407,677,843,465,300,489,243,119,3142
POA2609,4,3,0,5,3,0,0,22,3,0,0,0,3,0,0,10,4,0,0,0,0,0,0,7,17,9,7,4,11,0,0,46,0,0,0,0,0,0,0,0,27,13,9,7,15,3,0,77,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,9,7,0,0,0,3,0,21,38,17,9,12,15,3,3,96
POA2611,357,312,194,105,113,65,37,1189,169,153,79,45,55,22,13,537,167,155,73,44,63,29,16,531,1024,1019,512,291,376,143,60,3433,3,8,3,3,0,0,0,20,1719,1648,859,483,613,261,126,5710,15,34,26,14,18,20,12,128,16,34,21,9,17,3,6,104,10,24,12,8,16,9,3,91,112,169,105,86,108,36,19,626,3,12,0,0,3,0,0,19,151,266,164,120,160,65,38,966,1875,1912,1029,607,774,323,161,6675
POA2612,113,78,42,14,22,12,10,300,27,35,19,12,19,17,8,138,59,34,14,15,14,8,9,156,233,215,116,84,91,44,23,810,0,0,0,0,0,0,0,5,430,359,201,124,155,80,48,1407,12,11,14,10,7,12,3,63,6,3,4,0,4,0,0,20,0,6,0,4,8,0,0,23,15,32,16,12,14,8,6,93,3,0,0,0,0,0,0,6,30,55,34,28,30,19,14,206,460,419,235,155,184,99,63,1608
