POA_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA2600,714,50,10,3,0,0,3,776
POA2601,71,7,0,0,0,0,0,78
POA2602,2831,198,70,21,3,0,18,3138
POA2603,924,48,22,10,0,0,7,1006
POA2604,811,50,20,0,0,0,3,883
POA2605,1386,89,25,14,0,3,0,1519
POA2606,857,50,17,9,0,0,0,938
POA2607,1600,94,48,14,3,0,9,1773
POA2609,45,4,3,0,0,0,0,53
POA2611,3161,208,115,27,3,0,5,3519
POA2612,870,56,21,4,0,0,0,950
POA2614,2048,132,59,17,0,0,13,2274
POA2615,5019,365,242,53,4,8,21,5716
POA2617,2944,172,94,31,3,0,13,3257
POA2618,190,7,10,3,0,0,0,213
POA2900,151,9,3,0,0,0,0,167
POA2902,1593,143,91,19,3,0,8,1862
POA2903,996,92,56,16,3,0,7,1173
POA2904,1534,144,46,21,0,0,4,1754
POA2905,3324,312,194,36,3,4,12,3881
POA2906,2160,203,127,23,3,3,8,2525
POA2911,668,30,10,6,0,0,3,710
POA2912,701,58,24,7,0,0,0,800
POA2913,4486,303,164,42,3,3,11,5019
POA2914,3759,199,140,44,4,0,14,4156
