POA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
POA2600,6,0,3,0,5,0,0,0,0,0,0,0,0,3,4,0,3,5,0,7,8,3,5,0,17,0,3,3,0,8,22,3,11,0,30,10,3,14,0,25,36,14,15,0,62,43,24,15,0,74,39,23,7,3,65,43,9,13,0,70,107,51,25,3,181,107,42,14,0,163,97,37,3,0,140,68,64,12,0,144,277,390,22,3,691,82,116,29,0,226,6,4,6,0,11,953,776,205,13,1950
POA2601,7,0,0,0,12,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,0,4,8,0,0,0,5,0,0,0,0,5,3,3,3,0,13,16,0,3,0,22,15,0,0,0,18,12,6,8,0,22,40,11,4,0,58,49,4,6,0,61,41,12,0,0,47,47,9,3,0,58,102,23,3,0,127,36,14,3,0,58,3,0,0,0,3,393,78,36,11,521
POA2602,25,7,10,4,48,5,6,8,0,18,12,4,31,3,46,0,9,33,0,44,49,18,61,4,136,32,28,58,8,124,127,30,77,11,242,137,44,76,8,262,217,84,94,12,406,200,101,75,16,396,163,86,102,13,361,144,99,81,10,333,359,271,130,15,781,329,319,46,10,701,270,371,13,5,653,203,333,37,4,584,435,995,28,3,1457,239,325,78,6,650,32,11,9,4,53,2981,3138,1046,138,7294
POA2603,4,0,7,0,12,3,3,3,0,10,0,0,5,0,7,0,0,8,0,8,10,0,7,0,14,3,0,14,0,16,17,8,17,4,40,22,10,10,0,44,26,11,19,0,62,28,23,17,5,76,31,21,20,5,79,61,24,18,0,105,118,51,40,0,210,104,58,15,0,179,91,72,6,3,168,74,74,27,0,179,288,491,11,0,793,61,155,20,0,235,7,6,0,0,15,956,1006,267,23,2255
POA2604,9,0,3,0,12,0,0,0,0,7,0,0,16,0,14,3,0,15,0,20,18,11,17,3,51,10,3,16,0,28,22,3,27,3,56,23,10,25,3,58,42,21,30,0,91,51,25,27,0,110,36,22,19,0,82,56,33,27,0,124,145,65,56,8,277,177,75,13,6,273,112,84,8,0,211,97,101,19,0,221,261,316,19,0,594,123,97,29,0,247,12,3,0,0,14,1196,883,367,35,2478
POA2605,10,4,3,0,22,6,0,0,0,9,3,3,8,3,16,0,0,5,0,12,23,0,17,0,45,9,4,16,0,32,46,9,13,5,66,37,11,19,0,70,90,22,28,3,142,70,23,23,3,119,58,36,38,6,132,48,50,27,0,126,143,145,44,6,340,96,114,16,4,226,72,131,8,0,215,56,139,22,0,220,196,630,13,0,839,97,185,29,0,317,12,10,11,0,27,1070,1519,338,36,2964
POA2606,13,5,8,0,24,6,0,8,0,15,3,0,5,0,5,4,0,11,0,16,19,3,14,0,29,16,5,15,0,43,43,19,24,0,80,55,13,13,3,90,86,27,24,4,141,80,53,23,3,158,60,48,19,0,130,72,55,18,3,149,155,136,37,3,334,127,104,22,4,259,76,66,19,3,167,59,75,12,0,145,126,238,10,0,369,65,85,30,4,188,8,7,0,0,17,1082,938,309,39,2361
POA2607,13,3,5,0,19,3,0,3,0,9,3,9,3,0,16,0,5,4,0,11,25,4,11,0,44,14,9,22,3,45,75,15,26,3,120,96,19,26,3,142,118,39,45,0,200,119,37,31,3,194,79,52,52,0,185,103,63,27,6,196,203,189,71,12,472,130,184,25,3,348,107,169,7,0,284,87,178,15,4,285,208,587,17,3,810,75,213,58,0,349,9,3,6,3,20,1460,1773,463,47,3741
POA2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,7,0,0,0,0,0,12,3,3,3,14,3,3,3,0,13,5,0,3,0,13,8,3,4,0,14,3,3,3,0,11,12,4,6,0,19,13,3,4,0,13,3,5,0,0,8,4,3,0,0,5,0,3,0,0,0,7,11,0,0,19,4,7,5,0,15,4,0,0,0,4,64,53,30,4,156
POA2611,15,8,13,0,37,8,7,6,0,21,6,0,16,5,29,3,3,25,0,28,33,10,35,3,84,28,12,59,6,98,155,28,63,6,245,154,41,62,5,260,208,72,72,6,351,225,96,75,8,402,151,140,89,4,388,146,151,87,9,391,392,392,145,14,949,344,427,59,14,837,269,423,43,8,735,197,367,26,0,588,371,982,26,4,1382,190,349,100,3,645,25,23,11,0,56,2924,3519,1011,92,7538
POA2612,13,0,7,3,30,8,0,11,0,18,12,0,9,3,16,3,0,13,0,19,22,0,11,8,39,23,11,14,0,43,39,12,23,3,75,40,10,14,10,74,79,18,19,3,123,97,30,10,7,147,76,31,18,3,121,85,32,12,3,135,250,72,31,12,367,231,66,7,7,311,186,72,7,0,263,116,77,13,4,214,313,365,11,4,694,156,142,26,0,330,4,4,4,0,11,1760,950,254,72,3036
POA2614,19,9,6,0,33,7,0,6,3,21,6,3,19,3,36,3,3,20,0,28,32,7,24,4,69,18,16,42,0,83,112,21,39,10,180,108,45,36,6,191,158,58,60,6,296,159,82,58,5,297,123,63,67,9,264,123,98,52,9,281,263,223,91,17,602,216,304,39,5,572,132,261,11,6,417,105,230,28,0,366,246,602,14,0,866,124,227,53,5,403,16,12,16,0,42,1983,2274,701,97,5048
