POA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
POA2600,9,11,17,0,10,11,4,23,26,3,43,41,16,48,65,3,36,44,30,43,73,24,65,92,59,87,144,76,94,165,62,86,149,66,72,133,184,179,360,167,8,173,143,13,148,144,111,255,697,14,714,227,25,258,13,20,33,1932,979,2913
POA2601,7,44,51,0,7,6,0,8,15,0,6,11,0,11,16,4,14,16,10,14,21,4,35,39,7,35,49,22,55,74,16,59,77,25,45,70,54,127,183,64,27,85,50,9,55,59,67,133,133,16,147,52,21,75,5,4,10,519,607,1121
POA2602,42,89,125,21,48,65,42,186,220,46,303,349,123,413,533,105,281,389,202,280,486,245,313,557,365,423,791,380,373,752,342,374,718,315,258,577,775,566,1337,712,105,812,668,62,730,602,158,756,1515,81,1599,659,245,902,57,121,178,7203,4677,11879
POA2603,6,22,36,5,18,24,10,48,53,4,72,78,15,93,108,18,62,78,43,54,91,40,44,86,57,95,149,68,101,166,69,142,211,100,105,201,206,203,410,176,20,198,174,18,185,180,135,311,808,19,829,234,43,280,13,38,47,2235,1323,3556
POA2604,12,24,33,3,12,21,18,52,67,13,68,90,42,109,155,22,74,99,51,65,112,56,91,153,85,115,199,107,163,273,78,164,246,113,147,265,268,395,664,264,62,331,211,40,250,229,172,404,609,36,647,248,70,317,12,40,52,2463,1911,4372
POA2605,18,23,40,7,12,17,12,32,46,7,56,65,33,109,146,29,78,107,60,70,128,72,84,158,129,128,253,113,102,213,133,87,216,126,65,190,337,134,472,227,13,240,226,4,228,219,72,293,847,20,863,320,21,343,32,35,66,2936,1154,4087
POA2606,15,26,48,8,23,33,7,46,51,15,83,100,29,120,153,37,84,120,79,115,193,79,127,211,137,148,286,148,170,315,130,165,296,147,111,256,329,199,531,252,23,272,170,13,181,144,75,217,389,10,399,197,42,237,20,40,60,2321,1638,3959
POA2607,14,31,38,4,12,21,14,42,55,8,85,95,37,155,186,41,98,145,112,107,227,137,144,280,188,162,349,179,114,296,177,99,273,188,85,279,456,139,599,349,11,357,284,8,290,289,56,351,834,8,845,349,21,366,18,42,63,3684,1429,5107
POA2609,0,3,4,0,4,4,0,8,8,0,29,29,4,33,43,0,21,18,12,15,29,9,29,37,6,16,20,15,21,31,10,12,19,19,11,24,17,9,23,7,0,10,10,0,10,3,3,5,18,0,18,15,0,19,3,8,15,153,222,377
POA2611,34,33,61,18,22,37,23,92,119,24,166,190,77,260,341,90,213,305,228,203,429,239,231,473,339,274,613,382,281,661,378,231,607,378,174,556,935,340,1276,838,34,869,748,13,760,582,84,667,1423,16,1442,655,59,711,51,82,134,7445,2816,10259
POA2612,29,119,145,18,45,57,20,139,157,17,133,151,29,176,202,39,115,155,72,112,183,67,145,216,111,257,361,137,286,418,125,317,444,137,227,357,360,545,904,316,107,420,270,66,330,220,201,415,717,70,785,331,183,515,9,83,93,3016,3299,6315
POA2614,19,39,62,19,30,45,28,75,106,27,143,169,63,216,277,74,182,258,167,194,360,184,216,400,277,214,493,283,185,466,239,191,429,277,123,396,599,253,853,576,37,610,416,15,436,373,78,455,899,19,917,412,69,478,40,60,105,4969,2339,7305
POA2615,63,64,125,23,42,70,67,124,192,66,254,323,202,413,611,193,313,511,419,286,707,427,306,737,691,417,1108,795,368,1161,712,373,1082,741,216,961,1675,407,2082,1511,44,1551,1077,27,1100,855,72,926,1232,16,1250,981,102,1083,77,110,183,11818,3961,15780
POA2617,62,129,193,23,43,70,38,147,186,41,181,217,109,267,383,113,171,280,210,229,434,262,289,553,437,393,835,485,408,896,454,372,823,472,254,723,1033,485,1519,883,95,974,673,56,731,553,121,679,1109,41,1156,679,185,862,54,74,128,7689,3947,11636
POA2618,0,3,4,0,0,0,0,0,3,0,5,5,3,9,16,3,7,4,5,3,8,15,4,19,23,8,30,18,0,21,24,3,29,18,3,20,38,4,46,52,0,51,18,0,17,23,5,24,94,0,94,49,0,51,4,4,7,387,75,456
POA2900,0,6,7,0,3,8,0,8,8,5,18,21,13,25,38,8,19,27,15,24,42,15,28,44,43,54,95,41,44,86,31,33,62,33,15,51,78,46,119,49,11,60,39,3,45,30,20,48,63,6,71,34,10,47,3,3,10,507,367,873
POA2902,19,26,47,10,25,31,23,49,67,29,83,114,59,161,222,83,92,179,141,91,236,163,111,271,238,144,375,280,101,380,240,101,337,207,83,290,532,139,667,411,11,423,368,13,378,286,39,321,551,10,563,400,24,422,32,48,79,4059,1345,5403
POA2903,6,12,16,3,16,18,12,37,57,19,47,59,37,103,144,41,69,105,86,67,154,92,61,151,138,45,182,164,70,236,138,71,210,166,41,207,337,72,411,298,6,305,231,7,239,160,18,183,377,4,384,216,17,230,23,30,50,2548,790,3342
POA2904,11,13,28,8,9,19,7,30,36,10,50,55,39,118,151,34,73,105,97,87,181,114,103,221,161,93,254,195,63,251,173,55,227,180,53,229,461,109,567,418,7,419,372,4,380,270,38,306,672,6,681,361,9,363,30,19,44,3591,937,4526
POA2905,31,36,69,17,21,38,28,81,110,37,143,175,98,246,343,134,128,259,249,144,396,301,200,501,405,242,651,436,207,640,472,180,650,458,149,605,1125,242,1369,925,21,949,741,10,758,529,58,586,970,16,993,725,40,763,46,57,105,7732,2225,9957
POA2906,20,36,54,6,3,10,13,35,53,29,82,112,57,142,198,86,75,167,151,77,234,160,110,269,252,127,383,291,124,415,234,105,333,286,65,350,668,151,824,617,18,635,408,10,422,363,20,382,654,4,655,464,25,485,35,39,79,4795,1266,6058
POA2911,5,0,10,0,0,0,3,3,4,0,3,4,3,11,15,0,12,18,16,13,35,22,28,50,43,32,74,48,33,76,70,33,100,49,16,73,192,52,245,156,4,167,151,3,157,119,10,125,242,8,247,103,22,132,4,6,9,1228,308,1538
POA2912,19,19,34,5,3,9,10,14,22,5,19,28,18,33,51,18,37,54,38,33,72,43,37,85,74,67,138,83,66,143,75,52,128,97,32,134,242,80,318,142,8,151,136,11,144,119,29,147,209,15,227,146,29,174,5,13,16,1476,597,2071
POA2913,41,56,95,25,29,58,39,62,100,50,105,155,85,181,269,127,160,284,254,135,390,282,227,513,450,288,736,558,311,870,545,307,855,540,197,740,1356,346,1705,1193,61,1254,821,31,851,700,109,812,1440,19,1459,747,79,830,61,51,112,9308,2767,12072
POA2914,26,42,67,15,10,23,27,23,52,19,19,36,42,56,91,81,43,123,119,58,181,162,104,267,267,157,420,308,144,451,334,168,499,395,100,503,949,231,1179,781,26,802,737,21,757,586,75,662,1111,30,1141,532,41,581,25,24,56,6521,1363,7888
