POA_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
POA2600,163,1193,1122,267,101,2842,71,2913
POA2601,223,644,217,20,0,1100,18,1121
POA2602,1103,5257,3796,983,352,11494,386,11879
POA2603,247,1436,1270,334,174,3476,79,3556
POA2604,300,2191,1477,223,80,4266,101,4372
POA2605,239,1533,1642,424,149,3983,108,4087
POA2606,396,1936,1118,264,128,3844,112,3959
POA2607,258,1869,1992,587,288,4993,110,5107
POA2609,29,186,93,23,15,342,36,377
POA2611,405,3611,4417,1137,445,10016,241,10259
POA2612,971,3162,1550,333,115,6137,175,6315
POA2614,470,2958,2667,696,339,7130,174,7305
POA2615,644,5270,6651,1959,893,15418,360,15780
POA2617,736,4641,4219,1249,503,11340,295,11636
POA2618,3,64,180,102,99,444,9,456
POA2900,66,513,217,43,18,861,17,873
POA2902,200,1760,2285,701,321,5270,136,5403
POA2903,150,1024,1393,478,206,3257,81,3342
POA2904,141,1264,1956,692,371,4425,96,4526
POA2905,281,2930,4126,1476,847,9663,291,9957
POA2906,160,1797,2537,925,518,5931,128,6058
POA2911,25,483,786,162,50,1506,30,1538
POA2912,130,813,734,237,96,2007,65,2071
POA2913,331,4083,5390,1410,627,11846,230,12072
POA2914,136,2394,3957,907,348,7739,145,7888
