POA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA2600,..,884,884,1028,67,1097,395,21,414,361,6,366,124,0,120,25,0,27,1932,979,2913
POA2601,..,453,453,416,110,531,72,24,99,29,6,33,5,3,4,3,0,3,519,607,1121
POA2602,..,3567,3567,3368,533,3904,1520,385,1905,1585,144,1728,543,43,582,186,14,202,7203,4677,11879
POA2603,..,1151,1151,1078,130,1204,442,33,476,475,7,486,177,4,177,62,3,69,2235,1323,3556
POA2604,..,1588,1588,1374,251,1623,511,64,574,428,5,440,108,3,108,34,0,34,2463,1911,4372
POA2605,..,1035,1035,1198,82,1281,626,33,652,739,11,747,307,0,308,70,0,72,2936,1154,4087
POA2606,..,1458,1458,1168,131,1298,483,35,523,444,9,449,141,6,141,92,0,92,2321,1638,3959
POA2607,..,1299,1299,1617,95,1717,778,15,797,819,9,823,340,3,343,122,4,123,3684,1429,5107
POA2609,..,200,200,85,13,98,35,0,37,27,0,27,5,0,5,3,0,3,153,222,377
POA2611,..,2543,2543,3262,223,3482,1586,43,1628,1738,10,1743,628,0,631,234,0,234,7445,2816,10259
POA2612,..,2437,2437,1845,513,2366,574,235,810,395,71,472,152,24,180,42,11,52,3016,3299,6315
POA2614,..,1995,1995,2194,205,2398,1053,76,1126,1146,35,1177,398,14,413,177,16,189,4969,2339,7305
POA2615,..,3462,3462,4755,354,5106,2709,94,2800,2800,33,2835,1072,9,1080,484,4,493,11818,3961,15780
POA2617,..,2943,2943,3659,529,4189,1711,308,2018,1510,104,1611,552,37,587,258,27,288,7689,3947,11636
POA2618,..,63,63,147,10,158,85,3,82,93,0,93,50,0,50,10,0,10,387,75,456
POA2900,..,318,318,295,33,329,126,16,135,66,0,66,12,0,15,6,0,6,507,367,873
POA2902,..,1204,1204,1756,109,1869,912,22,932,902,13,912,340,0,340,152,3,156,4059,1345,5403
POA2903,..,714,714,1107,65,1170,544,12,553,576,4,582,216,0,220,106,0,106,2548,790,3342
POA2904,..,867,867,1502,52,1553,808,8,817,856,8,859,310,0,310,116,0,116,3591,937,4526
POA2905,..,1984,1984,2915,189,3109,1865,31,1897,1902,9,1914,720,7,721,331,0,328,7732,2225,9957
POA2906,..,1154,1154,1740,81,1824,1148,20,1169,1253,3,1256,467,0,469,188,0,188,4795,1266,6058
POA2911,..,235,235,429,44,469,334,15,350,314,8,324,101,3,108,40,5,43,1228,308,1538
POA2912,..,434,434,524,72,592,329,44,369,396,28,422,138,14,155,93,10,97,1476,597,2071
POA2913,..,2301,2301,3370,306,3669,2326,96,2419,2382,33,2419,864,16,881,367,10,380,9308,2767,12072
POA2914,..,1082,1082,1780,174,1949,1561,63,1626,2053,33,2081,787,8,795,339,7,348,6521,1363,7888
