POA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA2600,1507,3962,216,354,308,679,526,1039,127,204,133,229,603,1040,3,0,865,1476,0,0,0,0,0,0,3,3,3,3,4,6,2913,6488,595,..,3511,6488
POA2601,0,3,0,0,0,0,0,0,0,0,8,15,1104,1965,0,0,1111,1982,0,0,0,0,8,7,0,0,6,10,0,0,1121,1993,229,..,1349,1993
POA2602,7047,18829,990,1951,1396,3144,2389,5096,1198,2016,585,1040,541,864,59,99,2379,4012,3,6,0,0,0,0,3,9,7,12,55,77,11879,28021,1208,..,13088,28021
POA2603,1779,5034,139,249,320,702,458,949,237,412,653,1113,413,628,3,3,1300,2162,0,0,0,0,0,0,0,0,0,0,9,23,3556,8161,682,..,4235,8161
POA2604,1623,4112,115,246,251,558,369,809,433,787,705,1242,1232,2062,3,4,2369,4094,0,0,0,0,0,0,0,0,0,0,4,18,4372,9031,729,..,5098,9031
POA2605,3066,8386,156,266,313,720,470,986,141,279,397,740,0,0,11,20,549,1046,0,0,0,0,0,0,0,0,0,0,4,9,4087,10431,385,..,4476,10431
POA2606,1614,4344,239,478,925,1761,1166,2235,144,256,761,1407,260,458,4,8,1174,2136,0,0,0,0,0,0,0,0,0,0,10,13,3959,8722,401,..,4359,8722
POA2607,3677,10105,647,1226,399,869,1048,2093,35,55,138,240,192,358,3,3,373,654,0,0,0,0,0,0,3,7,3,7,10,17,5107,12865,519,..,5622,12865
POA2609,219,450,13,22,0,0,13,22,13,20,0,0,0,0,0,0,13,20,22,31,93,142,0,0,0,0,119,166,11,24,377,680,14,..,389,680
POA2611,7778,21419,1018,1675,622,1323,1642,2997,129,243,207,354,391,713,74,128,804,1438,0,3,0,3,0,0,19,49,19,54,17,42,10259,25952,834,..,11094,25952
POA2612,1603,4362,227,454,598,1266,823,1718,679,1114,1541,2656,1617,2705,3,7,3848,6485,0,6,0,0,0,0,0,0,3,5,39,64,6315,12643,801,..,7119,12643
POA2614,5336,14523,1077,1912,272,609,1350,2522,415,737,106,217,69,122,9,18,602,1093,0,0,3,6,0,0,3,14,9,18,9,17,7305,18176,640,..,7944,18176
POA2615,13210,36822,2091,4177,194,422,2284,4601,136,250,120,219,3,5,0,3,260,478,0,0,3,12,0,0,5,14,3,20,13,28,15780,41946,1108,..,16886,41946
POA2617,6587,18515,885,1771,1293,3169,2174,4946,260,574,711,1282,1884,3326,3,10,2861,5188,0,0,4,11,0,0,3,11,9,24,8,19,11636,28687,949,..,12588,28687
POA2618,438,1271,12,15,0,0,14,13,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,0,0,4,6,7,23,456,1315,51,..,507,1315
POA2900,56,121,248,471,196,475,442,948,21,35,121,256,237,409,0,0,376,707,0,0,0,0,0,0,0,0,0,0,0,0,873,1778,107,..,987,1778
POA2902,4662,12681,539,1004,107,206,647,1212,76,103,12,16,0,0,9,12,96,133,0,0,0,0,0,0,3,5,3,5,5,6,5403,14031,403,..,5801,14031
POA2903,3033,8219,152,271,136,235,290,510,10,15,3,0,0,0,0,0,13,16,0,0,0,0,0,0,3,3,3,3,7,8,3342,8760,246,..,3586,8760
POA2904,4067,11273,338,539,117,241,450,777,0,0,3,12,3,4,0,0,5,15,0,0,0,0,0,0,0,7,0,7,3,9,4526,12083,286,..,4807,12083
POA2905,8686,24539,787,1632,371,841,1159,2471,81,119,7,22,0,0,3,3,96,149,0,0,0,0,0,0,0,3,0,3,23,34,9957,27187,602,..,10558,27187
POA2906,4571,13602,1126,2400,142,356,1273,2754,213,410,0,0,0,0,0,0,213,410,0,0,0,0,0,0,0,8,0,8,4,12,6058,16785,368,..,6433,16785
POA2911,993,3227,23,58,348,813,373,874,42,65,78,130,49,64,3,3,170,258,0,0,0,0,0,0,0,0,0,0,3,3,1538,4365,85,..,1618,4365
POA2912,822,2833,193,513,617,1659,806,2178,24,32,203,365,210,402,0,0,435,801,0,0,0,3,0,0,0,0,0,3,6,29,2071,5844,108,..,2184,5844
POA2913,7840,23835,2127,4772,1366,3334,3487,8104,85,188,543,1030,98,189,0,0,725,1408,0,0,0,0,0,0,3,6,3,6,14,40,12072,33398,750,..,12826,33398
POA2914,5549,18520,510,1308,1112,3025,1622,4333,35,72,274,616,391,833,0,0,701,1529,0,0,0,0,0,0,0,0,0,0,9,27,7888,24413,495,..,8379,24413
