POA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA2600,760,218,166,0,0,1139,439,116,198,0,0,758,132,64,366,0,3,559,59,50,9,0,0,118,67,34,86,0,3,189,0,6,0,0,0,6,9,3,13,0,0,21,9,3,5,0,0,14,274,160,476,3,4,909,6,19,11,0,0,41,33,17,16,0,0,66,1507,526,865,3,4,2913
POA2601,0,0,129,0,0,127,0,0,210,0,0,210,0,0,584,0,0,582,0,0,0,0,0,0,0,0,155,0,0,155,0,0,4,0,0,4,0,0,8,0,0,8,0,0,0,0,0,0,0,0,757,0,0,760,0,0,3,3,0,4,0,0,19,6,0,25,0,0,1111,6,0,1121
POA2602,2540,452,150,0,0,3141,2379,601,362,0,7,3343,789,486,1047,0,3,2321,487,408,269,0,8,1168,537,246,343,0,11,1142,29,29,14,0,13,90,55,44,57,0,0,151,38,10,4,0,0,56,1941,1219,1732,0,43,4940,31,12,66,0,0,106,160,106,76,9,0,347,7047,2389,2379,7,55,11879
POA2603,846,90,144,0,3,1089,626,90,285,0,0,995,140,127,550,0,0,819,35,66,159,0,0,263,75,35,112,0,3,229,3,5,0,0,0,14,11,8,24,0,0,38,4,4,6,0,0,12,265,258,850,0,10,1381,13,9,3,0,0,27,33,11,19,0,0,66,1779,458,1300,0,9,3556
POA2604,448,105,300,0,3,858,554,98,578,0,0,1222,177,76,1047,0,3,1306,238,36,54,0,0,330,118,34,279,0,0,430,22,3,32,0,0,56,12,5,33,0,0,41,9,3,7,0,0,16,568,155,1458,0,5,2188,11,8,5,0,0,20,41,12,27,0,0,81,1623,369,2369,0,4,4372
POA2605,1383,112,85,0,0,1573,1085,101,70,0,0,1253,276,124,232,0,0,630,99,41,54,0,0,191,115,39,68,0,0,231,3,7,3,0,0,17,7,15,12,0,0,32,13,4,0,0,0,17,513,236,369,0,4,1116,12,17,10,0,0,45,75,5,14,0,0,97,3066,470,549,0,4,4087
POA2606,658,245,142,0,0,1048,520,262,201,0,0,978,190,387,499,0,3,1080,89,80,84,0,0,252,86,122,151,0,0,363,9,4,6,0,0,10,17,17,30,0,0,69,3,6,0,0,0,15,394,624,772,0,6,1794,6,12,25,0,0,43,33,28,33,0,0,100,1614,1166,1174,0,10,3959
POA2607,1666,243,54,0,0,1961,1330,242,36,0,0,1619,277,269,172,0,7,724,140,105,11,0,0,251,154,104,48,0,0,312,6,30,0,0,0,41,14,9,5,0,0,34,19,3,0,0,0,22,611,523,238,0,3,1384,14,3,26,0,0,46,60,28,11,0,0,101,3677,1048,373,3,10,5107
POA2609,122,0,0,58,3,183,13,0,0,8,0,19,12,3,0,0,0,16,10,0,0,0,0,10,28,4,0,3,0,33,0,0,0,0,0,0,23,4,14,41,3,83,3,0,0,0,0,5,83,14,13,46,4,158,3,0,0,0,0,3,9,0,0,12,0,17,219,13,13,119,11,377
POA2611,2890,376,45,5,7,3321,3484,526,430,5,3,4449,519,227,229,0,3,976,326,287,3,0,0,625,295,101,69,0,3,461,10,10,0,0,0,23,63,40,8,0,0,115,18,4,4,0,0,25,1242,667,310,3,5,2225,39,28,4,0,0,66,125,49,12,0,0,186,7778,1642,804,19,17,10259
