POA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
POA2600,26,5,6,0,0,41,7,3,3,0,0,17,5,0,4,0,0,11,8,6,6,0,0,22,15,6,6,0,0,22,22,11,12,0,0,50,25,6,22,0,0,52,47,16,55,0,0,121,34,16,28,0,0,76,75,22,33,0,0,131,159,16,16,0,0,194,13,3,4,0,0,22,439,116,198,0,0,758
POA2601,0,0,11,0,0,11,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,15,0,0,15,0,0,24,0,0,24,0,0,55,0,0,55,0,0,35,0,0,35,0,0,29,0,0,29,0,0,25,0,0,25,0,0,4,0,0,4,0,0,210,0,0,210
POA2602,147,31,13,0,0,201,53,12,4,0,0,67,42,7,3,0,0,53,61,16,11,0,0,84,65,20,15,0,0,101,182,64,49,0,0,295,235,79,93,0,0,408,428,142,101,0,0,670,380,101,30,0,0,517,436,74,17,0,0,536,273,48,10,0,0,330,77,9,5,0,0,100,2379,601,362,0,7,3343
POA2603,44,7,5,0,0,58,12,0,5,0,0,16,9,0,3,0,0,7,7,4,10,0,0,22,13,4,3,0,0,19,35,5,31,0,0,71,32,4,66,0,0,106,68,13,79,0,0,155,57,15,37,0,0,104,97,16,19,0,0,136,222,17,18,0,0,261,31,6,5,0,0,40,626,90,285,0,0,995
POA2604,36,5,15,0,0,58,5,0,3,0,0,12,7,0,9,0,0,13,10,3,10,0,0,26,19,4,15,0,0,41,48,7,46,0,0,102,57,6,102,0,0,168,79,16,169,0,0,270,67,13,75,0,0,161,110,22,56,0,0,189,85,19,43,0,0,146,17,6,22,0,0,42,554,98,578,0,0,1222
POA2605,81,6,3,0,0,88,15,0,3,0,0,22,21,3,4,0,0,23,23,5,0,0,0,22,24,0,3,0,0,28,91,13,13,0,0,110,83,7,17,0,0,102,172,21,22,0,0,215,143,14,4,0,0,160,221,17,8,0,0,243,179,11,0,0,0,189,42,5,0,0,0,46,1085,101,70,0,0,1253
POA2606,38,5,8,0,0,56,13,3,3,0,0,20,7,10,5,0,0,24,15,7,3,0,0,23,18,10,8,0,0,37,41,34,30,0,0,102,49,54,59,0,0,161,97,62,49,0,0,216,63,32,13,0,0,111,75,26,8,0,0,110,75,7,6,0,0,91,22,4,3,0,0,34,520,262,201,0,0,978
POA2607,73,13,3,0,0,89,31,5,0,0,0,36,17,4,0,0,0,21,36,8,0,0,0,41,46,7,0,0,0,52,119,28,13,0,0,166,120,44,11,0,0,179,233,63,0,0,0,297,172,28,0,0,0,197,264,21,0,0,0,293,179,15,0,0,0,190,39,9,3,0,0,48,1330,242,36,0,0,1619
POA2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,13,0,0,8,0,19
POA2611,145,15,7,0,0,170,68,8,3,0,0,80,40,5,0,0,0,47,85,13,3,0,0,98,119,15,13,0,0,147,268,47,70,0,0,381,386,74,175,0,0,637,784,189,106,3,0,1085,574,81,18,0,0,670,606,47,7,0,0,664,315,20,6,0,0,341,104,14,11,0,0,123,3484,526,430,5,3,4449
POA2612,32,8,22,0,0,67,8,3,9,0,0,12,7,5,5,0,0,20,3,3,9,0,0,19,17,6,23,0,0,48,39,14,64,0,0,118,30,12,139,0,0,182,49,30,213,0,0,293,38,19,84,0,0,143,91,37,43,0,0,170,106,14,21,0,0,138,20,5,11,0,0,29,437,157,651,0,3,1252
POA2614,108,16,0,0,0,132,40,0,0,0,0,42,30,8,0,0,0,31,46,15,7,0,0,63,57,17,8,0,0,80,179,29,21,0,0,230,219,68,24,0,0,313,454,93,21,0,0,570,281,32,5,0,0,321,280,16,3,0,0,299,154,8,0,0,0,162,52,6,3,0,0,62,1904,307,93,0,0,2301
POA2615,223,38,3,0,0,259,88,12,0,0,0,103,89,8,0,0,0,99,174,22,0,0,0,201,221,47,10,0,0,270,678,118,13,0,0,803,947,212,21,0,0,1186,2039,239,4,0,0,2284,1072,54,4,0,0,1129,550,41,3,0,0,589,239,10,0,0,0,251,168,15,0,0,0,180,6488,804,55,3,0,7349
POA2617,126,29,21,0,0,168,63,3,12,0,0,75,37,0,4,0,0,47,73,12,11,0,0,102,111,19,23,0,0,155,258,63,79,0,0,402,306,95,136,0,0,535,662,109,151,0,0,919,388,54,37,0,0,477,287,50,30,0,0,372,135,24,9,0,0,164,105,13,6,0,0,129,2550,466,529,3,0,3542
POA2618,9,0,0,0,0,9,4,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,7,5,0,0,0,0,5,19,0,0,0,0,19,17,0,0,0,0,16,27,0,0,0,0,27,16,0,0,0,0,16,34,0,0,0,0,34,29,0,0,0,0,29,12,0,0,0,0,12,164,0,0,0,0,164
POA2900,3,9,0,0,0,11,0,3,0,0,0,7,0,4,0,0,0,4,0,3,0,0,0,4,0,4,0,0,0,6,3,14,16,0,0,30,0,16,36,0,0,57,0,23,21,0,0,42,0,19,9,0,0,25,0,3,4,0,0,6,0,3,0,0,0,3,0,0,0,0,0,4,12,96,88,0,0,193
POA2902,116,17,0,0,0,130,47,3,0,0,0,51,42,4,0,0,0,45,58,4,0,0,0,67,80,5,0,0,0,83,205,29,6,0,0,242,251,56,3,0,0,305,499,40,0,0,0,543,309,19,0,0,0,328,198,15,0,0,0,211,80,3,0,0,0,85,71,3,0,0,0,75,1962,189,6,0,0,2157
POA2903,62,4,0,0,0,68,26,0,0,0,0,31,25,0,0,0,0,27,38,4,0,0,0,40,62,5,0,0,0,62,123,6,0,0,0,129,171,13,0,0,0,190,346,11,0,0,0,354,214,6,0,0,0,218,133,0,0,0,0,135,54,3,0,0,0,57,31,7,0,0,0,36,1285,55,0,0,3,1345
POA2904,78,3,0,0,0,85,33,0,0,0,0,33,45,3,0,0,0,48,53,4,0,0,0,62,72,3,0,0,0,72,186,12,0,0,0,205,205,12,0,0,0,221,454,22,0,0,0,473,323,6,0,0,0,329,257,0,3,0,0,264,119,3,0,0,0,120,51,0,0,0,0,51,1871,73,3,0,0,1951
POA2905,155,10,0,0,0,158,63,7,0,0,0,78,87,3,0,0,0,87,117,8,0,0,0,126,156,17,0,0,0,176,476,53,0,0,0,530,621,72,0,0,0,704,1310,109,0,0,0,1426,701,29,0,0,0,730,455,20,0,0,0,469,144,11,0,0,0,151,150,9,0,0,0,154,4444,345,3,0,4,4788
POA2906,97,12,3,0,0,113,40,3,0,0,0,45,40,12,0,0,0,45,69,17,3,0,0,90,95,23,12,0,0,128,263,65,8,0,0,331,364,129,13,0,3,510,773,151,9,0,0,934,428,35,3,0,0,464,332,23,3,0,0,353,130,11,0,0,0,144,68,13,3,0,0,89,2702,488,57,0,3,3254
POA2911,21,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,17,11,6,0,0,0,14,25,20,15,0,0,57,38,34,29,0,0,100,112,58,6,0,0,182,152,16,0,0,0,162,175,13,0,0,0,187,75,3,0,0,0,82,19,3,0,0,0,20,638,156,53,0,0,848
POA2912,27,14,4,0,0,41,11,0,0,0,0,12,0,3,3,0,0,6,4,0,5,0,0,15,6,7,0,0,0,12,36,31,15,0,0,73,34,45,17,0,0,85,83,66,8,0,0,152,62,32,0,0,0,96,63,22,0,0,0,90,32,3,3,0,0,34,13,8,0,0,0,19,370,219,52,0,0,646
POA2913,163,44,4,0,0,211,66,19,0,0,0,84,39,17,3,0,0,52,80,40,5,0,0,119,111,53,5,0,0,175,316,177,31,0,0,527,473,390,76,0,0,940,1095,513,53,0,0,1660,731,139,4,0,0,880,650,70,14,0,0,736,307,26,4,0,0,335,143,37,10,0,0,188,4166,1531,211,3,4,5916
POA2914,111,22,0,0,0,133,34,8,0,0,0,46,24,3,3,0,0,30,39,17,3,0,0,63,54,15,18,0,0,81,220,78,58,0,0,352,366,170,95,0,0,631,823,257,50,0,3,1139,675,87,6,0,0,765,623,65,7,0,0,700,279,20,0,0,0,297,91,19,7,0,0,121,3337,762,254,0,6,4358
