POA_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
POA2600,3,8,12,0,3,0,28,3,3,0,0,0,0,4,6,4,0,0,0,0,13,4,3,0,0,0,0,6,7,8,3,0,0,0,19,10,3,3,0,0,0,16,9,3,3,0,0,0,19,15,3,5,3,0,0,19,6,3,3,0,0,0,16,7,4,3,0,0,0,16,11,5,0,3,3,0,15,18,22,3,0,4,0,46,8,3,0,0,0,0,18,10,6,3,0,0,0,19,21,17,3,0,0,0,41,38,55,12,3,3,0,116,17,43,17,4,0,0,90,19,59,16,3,0,0,100,5,4,0,0,0,0,18,213,257,101,20,22,3,609
POA2601,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,8,4,0,3,0,0,0,6,4,0,0,0,0,0,10,10,3,0,0,0,0,15,7,0,0,0,0,0,7,11,0,0,0,0,0,11,14,3,0,0,0,0,20,15,3,0,0,0,0,15,3,3,3,0,0,0,7,10,0,0,0,0,0,7,0,0,0,0,3,0,3,92,14,7,0,4,0,119
POA2602,44,47,21,6,4,0,122,17,11,4,0,6,0,33,16,14,6,3,4,0,43,12,13,5,0,3,0,39,20,19,18,6,4,0,60,24,24,14,8,10,0,75,16,52,20,7,9,0,106,46,35,15,11,8,0,110,36,49,18,15,11,0,127,47,76,16,14,10,0,164,35,59,14,6,11,3,122,84,118,28,10,5,3,255,43,76,11,12,4,0,146,35,76,9,14,3,0,137,73,174,30,18,11,0,301,115,282,51,16,9,0,485,45,103,25,0,5,0,174,26,79,27,0,3,0,139,26,40,6,3,7,0,78,747,1339,336,148,128,17,2711
POA2603,15,8,14,7,0,0,44,3,0,0,0,0,0,3,4,3,4,0,0,0,8,3,0,0,0,0,0,3,0,6,3,0,3,0,11,3,3,3,0,0,0,13,12,8,7,0,0,0,24,6,11,4,4,3,0,22,15,14,4,4,0,0,31,16,9,4,0,0,0,25,9,4,0,3,0,0,20,23,27,15,3,3,0,64,7,10,3,3,0,0,22,9,13,3,4,4,0,27,21,21,3,3,0,0,52,30,58,18,4,3,0,122,22,48,19,4,0,0,94,23,87,34,6,5,0,150,5,23,3,0,0,3,30,220,351,152,38,23,9,789
POA2604,17,9,12,0,0,0,33,0,0,0,0,0,0,4,0,4,4,0,0,0,9,5,0,4,0,0,0,9,9,3,3,0,0,0,17,9,14,0,4,12,0,31,18,6,3,0,3,0,28,20,7,11,0,0,0,44,9,18,7,4,0,0,41,20,10,4,3,7,0,47,19,15,6,4,0,0,42,21,25,13,8,3,0,75,24,14,3,0,3,0,41,5,19,4,3,0,0,33,32,39,3,7,3,0,85,53,75,19,3,6,0,161,19,45,13,9,0,0,77,16,22,10,0,0,0,49,12,7,3,0,0,0,23,317,321,113,52,53,8,858
POA2605,29,17,5,3,3,0,52,9,5,3,0,0,0,16,3,3,5,0,0,0,21,3,6,7,4,0,0,20,3,8,3,0,0,0,19,3,8,9,3,3,0,20,12,18,12,4,3,0,42,14,15,18,7,3,0,54,11,17,12,8,0,0,53,6,15,9,3,3,0,32,16,10,6,3,4,0,43,17,53,18,11,3,0,102,5,20,11,3,0,0,41,3,37,6,0,0,0,44,13,59,18,4,4,0,99,47,133,28,7,3,0,228,14,62,27,3,4,0,110,10,50,18,0,0,0,75,6,23,3,0,0,0,40,225,572,217,56,45,3,1113
POA2606,11,6,7,4,0,0,30,3,0,0,0,0,0,5,10,0,3,0,0,0,18,5,4,0,3,3,0,16,3,4,5,0,0,0,12,14,6,0,3,3,0,21,8,7,8,0,7,0,29,6,9,3,0,0,0,29,22,14,3,7,5,0,42,21,14,3,0,4,0,48,17,7,3,0,3,0,35,21,41,16,3,9,0,89,6,12,3,0,0,0,31,5,15,4,0,0,0,25,22,21,5,3,0,0,55,36,55,7,0,0,0,93,12,14,7,0,0,0,37,7,21,11,0,3,0,52,3,14,4,0,4,0,28,229,281,97,37,36,3,681
POA2607,21,17,12,3,3,0,61,3,3,5,0,0,0,13,5,7,11,3,3,0,26,7,0,4,0,0,0,15,3,11,13,0,6,0,36,11,13,15,0,0,0,44,20,19,15,6,10,0,74,10,27,8,4,4,3,64,12,15,13,4,7,0,56,34,41,13,5,3,0,100,8,33,7,0,0,0,57,40,53,41,7,13,0,149,17,31,10,3,3,0,62,16,28,8,4,0,0,50,23,70,17,4,3,3,123,41,166,50,0,12,3,274,17,67,25,0,0,0,111,20,45,18,3,0,0,79,10,15,7,4,3,0,35,331,663,281,55,80,14,1423
POA2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,8,4,4,0,0,0,13
POA2611,34,29,17,3,3,0,90,16,3,6,0,3,0,29,20,25,9,7,6,0,66,11,9,11,0,7,0,37,31,20,16,5,7,0,81,33,48,15,9,3,0,108,41,56,28,8,15,3,146,42,62,14,3,5,3,136,72,95,17,14,15,0,212,81,106,28,23,13,3,250,64,110,21,9,19,0,227,114,212,36,26,13,0,399,70,135,14,15,9,0,241,56,101,9,14,7,0,190,115,235,31,27,17,5,430,148,379,74,16,13,3,627,37,126,28,9,3,0,197,34,76,14,8,3,0,132,23,51,16,5,5,0,109,1045,1870,404,200,158,36,3704
