POA_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
POA2600,3,9,12,0,4,14,38,0,16,0,0,0,0,21,0,38,3,0,0,0,42,0,18,3,3,0,0,18,3,7,0,0,0,0,7,9,9,6,0,0,0,28,19,3,21,0,3,0,47,140,5,33,0,0,0,182,128,5,43,0,3,0,176,135,0,31,0,0,0,165,54,0,10,0,0,0,68,30,0,3,0,0,0,34,14,0,8,0,0,0,24,28,0,14,0,3,0,39,9,9,0,0,7,4,25,559,118,189,6,21,14,909
POA2601,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,3,0,0,0,3,0,0,0,0,0,0,7,4,0,3,0,0,0,11,11,0,4,0,0,0,17,186,0,32,0,0,0,217,153,0,47,0,4,0,205,125,0,40,0,4,0,162,32,0,6,0,0,0,37,12,0,5,0,0,0,19,14,0,0,0,0,0,18,15,0,3,0,0,0,18,19,0,4,0,0,0,25,582,0,155,4,8,0,760
POA2602,3,73,54,4,6,41,176,0,207,0,0,3,3,214,9,388,17,12,4,0,436,24,160,41,8,3,0,238,14,68,27,6,10,0,120,106,79,64,19,19,0,288,363,54,175,21,44,0,658,857,45,326,6,40,4,1276,582,21,248,0,20,3,872,187,3,91,0,0,0,280,83,0,46,0,3,0,134,33,0,18,0,0,0,48,9,0,9,0,0,0,20,17,3,11,0,0,0,34,21,65,25,8,8,4,138,2321,1168,1142,90,151,56,4940
POA2603,0,34,20,0,4,11,61,0,59,0,0,0,0,62,0,84,3,0,0,7,94,0,21,8,0,0,0,34,0,15,4,0,3,0,18,15,10,5,0,6,0,49,116,13,25,3,3,0,161,281,6,65,0,3,0,364,164,4,34,0,4,0,206,89,0,24,0,3,0,117,50,0,10,0,0,0,62,34,0,6,0,0,0,39,14,0,4,0,0,0,24,42,0,8,0,0,0,56,8,12,4,4,5,0,36,819,263,229,14,38,12,1381
POA2604,3,39,12,3,3,16,74,3,47,0,4,0,0,52,0,92,9,8,0,0,102,3,52,11,23,4,0,88,3,11,6,7,0,0,29,17,21,18,8,7,0,72,52,20,26,6,5,0,111,504,11,133,0,11,3,658,375,10,115,0,9,0,512,193,0,50,0,0,0,240,61,0,20,0,0,0,80,32,0,6,0,0,0,45,21,0,10,0,0,0,30,25,0,6,0,0,0,37,15,22,8,4,8,0,52,1306,330,430,56,41,16,2188
POA2605,0,10,13,0,3,12,41,0,43,0,5,0,0,50,3,58,3,3,0,0,66,8,17,5,3,0,0,41,10,10,6,0,0,0,29,43,14,12,0,6,0,85,78,14,25,0,11,0,126,111,5,45,0,4,3,165,216,6,70,0,7,0,289,82,3,16,0,0,0,100,31,0,12,0,7,0,47,25,3,3,0,0,0,32,6,0,3,0,0,0,12,4,0,0,0,0,0,5,3,11,13,5,3,0,35,630,191,231,17,32,17,1116
POA2606,3,24,4,0,3,11,46,0,51,0,0,0,0,52,0,61,8,3,0,0,73,11,38,10,3,0,0,61,20,21,16,0,7,0,55,44,8,17,0,5,0,77,313,18,82,0,16,0,430,427,14,135,0,13,0,590,151,0,59,0,5,0,225,50,0,10,0,4,0,63,17,0,3,0,0,0,21,6,0,3,0,0,0,13,3,0,0,0,0,0,5,10,3,4,0,0,0,16,21,18,14,0,10,3,55,1080,252,363,10,69,15,1794
POA2607,3,18,20,0,0,15,55,0,58,0,20,0,0,74,0,70,3,11,0,3,86,7,33,12,9,3,0,60,14,17,12,0,0,0,40,46,15,14,0,0,0,76,137,17,40,3,5,0,197,200,15,92,0,11,0,319,189,4,73,0,3,0,273,70,0,18,0,3,0,88,32,0,9,0,0,0,38,11,0,3,0,0,0,12,4,0,0,0,0,0,10,3,0,3,0,0,0,6,13,16,10,4,3,0,44,724,251,312,41,34,22,1384
POA2609,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,14,0,15,0,0,4,0,5,0,12,0,0,0,0,17,0,17,0,10,3,0,16,0,28,0,3,0,0,7,0,10,11,3,16,0,14,0,43,3,0,8,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,16,10,33,0,83,5,158
POA2611,0,31,26,0,0,14,74,0,93,0,0,0,0,94,4,193,10,6,0,0,212,5,86,14,4,0,0,113,13,35,20,0,7,0,76,36,43,26,5,28,3,144,117,46,53,4,33,5,256,355,50,149,0,19,0,576,289,9,111,3,11,0,415,93,0,28,0,3,0,125,25,3,13,0,0,0,43,21,0,3,0,0,0,23,7,0,3,0,0,0,9,0,3,0,0,0,0,5,10,24,16,0,4,0,56,976,625,461,23,115,25,2225
