POA_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
POA2600,1365,442,798,0,3,2611,109,69,56,0,0,239,33,18,17,0,0,67,1507,526,865,3,4,2913
POA2601,0,0,1042,0,0,1039,0,0,54,0,0,56,0,0,20,4,0,24,0,0,1111,6,0,1121
POA2602,6248,1996,2010,3,45,10304,662,286,300,0,8,1247,142,106,74,9,0,328,7047,2389,2379,7,55,11879
POA2603,1668,395,1131,0,11,3200,97,56,144,0,0,298,25,7,25,0,0,59,1779,458,1300,0,9,3556
POA2604,1387,328,2209,0,7,3932,193,30,134,0,0,366,39,9,27,0,0,78,1623,369,2369,0,4,4372
POA2605,2763,418,453,0,4,3636,224,47,84,0,0,360,79,6,14,0,0,99,3066,470,549,0,4,4087
POA2606,1444,985,991,0,0,3421,131,153,146,0,5,438,39,25,39,0,0,102,1614,1166,1174,0,10,3959
POA2607,3375,885,274,3,9,4540,258,135,88,0,0,481,47,25,7,0,0,86,3677,1048,373,3,10,5107
POA2609,160,14,4,50,9,231,57,0,8,56,3,129,7,0,0,13,0,20,219,13,13,119,11,377
POA2611,7144,1319,722,17,15,9222,506,272,61,0,0,850,122,51,13,0,0,184,7778,1642,804,19,17,10259
POA2612,1491,751,3344,3,29,5615,89,58,388,0,3,543,20,20,109,0,5,157,1603,823,3848,3,39,6315
POA2614,4860,1122,494,6,9,6486,380,187,96,0,3,669,98,37,10,0,0,143,5336,1350,602,9,9,7305
POA2615,11963,1908,212,6,10,14097,1027,326,46,0,6,1407,227,48,0,0,0,279,13210,2284,260,3,13,15780
POA2617,5953,1933,2607,9,6,10515,514,186,190,0,0,886,122,60,65,0,0,239,6587,2174,2861,9,8,11636
POA2618,398,7,0,0,7,415,32,5,0,0,0,36,11,0,0,0,0,11,438,14,0,4,7,456
POA2900,51,404,334,0,0,786,6,34,41,0,0,77,0,4,6,0,0,14,56,442,376,0,0,873
POA2902,4246,527,55,0,3,4829,321,97,36,0,0,463,92,21,4,0,0,110,4662,647,96,3,5,5403
POA2903,2780,208,3,3,7,2995,200,73,7,0,0,286,54,13,3,0,0,65,3033,290,13,3,7,3342
POA2904,3800,325,5,0,3,4136,210,107,0,0,0,315,58,24,0,0,0,78,4067,450,5,0,3,4526
POA2905,7889,967,10,0,19,8888,634,150,0,0,3,794,155,38,83,0,0,279,8686,1159,96,0,23,9957
POA2906,4277,1052,175,0,3,5511,234,180,34,0,0,444,64,37,6,0,3,102,4571,1273,213,0,4,6058
POA2911,959,354,146,0,0,1463,14,4,19,0,0,35,26,8,3,0,0,37,993,373,170,0,3,1538
POA2912,777,744,375,0,7,1907,26,41,52,0,0,118,12,15,20,0,0,51,822,806,435,0,6,2071
POA2913,7373,3157,667,3,12,11212,347,258,52,0,0,657,125,76,10,0,0,208,7840,3487,725,3,14,12072
POA2914,5328,1513,647,0,6,7499,135,78,40,0,0,255,91,28,16,0,0,138,5549,1622,701,0,9,7888
