POA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA2600,0,12,95,564,612,174,30,27,1507,0,38,75,74,17,3,3,5,216,0,4,73,163,55,8,0,12,308,0,41,149,235,76,12,0,14,526,0,41,65,16,0,0,0,8,127,3,31,68,30,0,0,0,0,133,0,241,239,111,3,0,0,6,603,0,3,0,0,0,0,0,0,3,3,319,371,162,9,0,0,8,865,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,4,3,369,609,962,692,188,31,56,2913
POA2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,17,452,504,111,5,0,0,14,1104,0,0,0,0,0,0,0,0,0,17,454,509,111,5,0,0,14,1111,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,22,454,510,111,5,0,0,21,1121
POA2602,10,87,555,3660,2073,452,76,133,7047,4,143,313,383,61,6,5,78,990,3,96,306,870,77,12,0,30,1396,8,242,621,1251,141,20,3,112,2389,8,415,655,61,3,0,0,50,1198,7,197,349,25,0,0,0,9,585,0,234,276,20,0,0,0,13,541,0,30,15,3,0,0,0,3,59,14,875,1295,112,8,3,0,72,2379,0,0,0,0,0,0,0,9,7,3,30,5,11,3,0,0,3,55,31,1239,2478,5030,2223,475,85,324,11879
POA2603,3,11,66,515,791,301,73,25,1779,0,28,38,47,10,3,0,4,139,3,35,113,141,24,3,0,5,320,3,62,155,189,36,5,0,13,458,0,47,158,23,5,0,0,5,237,0,150,432,64,3,0,0,4,653,4,135,243,23,0,0,0,9,413,0,0,3,0,0,0,0,0,3,3,329,826,110,9,0,0,24,1300,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,10,412,1048,818,833,308,71,55,3556
POA2604,3,30,237,824,396,82,9,37,1623,0,12,39,56,3,0,0,3,115,0,3,47,165,32,3,0,3,251,0,11,83,223,39,3,0,9,369,5,64,277,77,0,0,0,3,433,0,65,526,106,0,0,0,6,705,3,410,623,180,3,0,0,12,1232,0,0,0,0,0,0,0,0,3,6,543,1425,363,6,0,0,27,2369,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,4,12,594,1746,1408,445,84,11,75,4372
POA2605,3,13,103,1247,1267,333,36,65,3066,0,16,77,48,14,0,0,3,156,0,12,95,193,18,0,0,0,313,0,19,168,236,33,0,0,8,470,4,38,57,36,3,0,0,3,141,11,118,176,87,0,0,0,7,397,0,0,0,0,0,0,0,0,0,0,5,6,3,0,0,0,0,11,15,157,228,124,3,0,0,16,549,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,16,193,504,1606,1302,337,37,87,4087
POA2606,4,12,48,747,538,176,65,27,1614,0,16,114,81,15,3,0,12,239,17,207,384,283,15,6,0,17,925,17,228,495,367,26,8,0,26,1166,11,52,66,4,0,0,0,3,144,9,286,385,56,0,0,0,20,761,0,81,120,54,0,0,0,6,260,0,3,0,0,0,0,0,0,4,20,428,572,111,0,0,0,37,1174,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,42,668,1120,1223,568,186,65,86,3959
POA2607,4,19,112,1375,1618,413,93,46,3677,0,120,182,286,35,0,0,18,647,0,35,176,175,8,4,3,0,399,0,149,358,461,42,4,3,22,1048,0,13,22,4,0,0,0,0,35,0,3,126,3,0,0,0,3,138,3,84,94,0,0,0,0,3,192,0,0,3,0,0,0,0,0,3,6,100,242,9,0,0,0,11,373,0,0,0,0,0,0,0,0,3,0,7,3,0,0,0,0,0,10,8,278,712,1847,1666,418,91,79,5107
POA2609,0,25,92,70,17,5,3,7,219,0,0,3,11,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,13,3,8,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,13,17,52,29,6,0,0,0,13,119,0,0,3,0,4,0,0,0,11,22,87,128,91,21,5,3,20,377
POA2611,3,27,208,3267,3388,661,116,103,7778,4,134,491,325,37,0,0,35,1018,0,39,113,354,93,6,0,13,622,4,172,603,677,129,6,0,44,1642,0,31,67,22,15,0,0,0,129,0,63,126,14,0,0,0,6,207,0,110,228,46,0,0,0,4,391,0,37,16,12,0,0,0,3,74,0,245,431,90,15,0,0,11,804,0,0,0,10,5,4,0,0,19,0,3,0,3,7,0,0,0,17,12,450,1249,4050,3546,679,120,161,10259
