POA_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
POA2600,469,582,132,12,1192,274,39,1507,55,26,12,0,86,130,3,216,120,73,29,0,226,79,7,308,180,99,39,0,314,210,11,526,31,15,4,0,52,70,0,127,55,17,0,0,70,51,12,133,208,67,20,3,295,279,35,603,0,0,0,0,0,3,0,3,297,98,25,3,420,402,44,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,3,0,0,0,3,3,0,4,943,781,199,16,1932,884,99,2913
POA2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,395,75,32,10,514,445,148,1104,0,0,0,0,0,0,0,0,393,81,37,10,518,448,145,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,393,80,37,10,519,453,145,1121
POA2602,1700,2490,683,73,4947,1460,640,7047,214,156,69,11,459,446,91,990,391,276,145,21,826,410,160,1396,607,434,215,31,1289,854,250,2389,304,97,74,13,480,619,96,1198,137,75,33,6,249,280,63,585,168,21,20,7,216,282,51,541,5,3,0,0,13,32,12,59,609,197,126,27,956,1207,216,2379,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,7,7,0,4,0,9,42,3,55,2922,3126,1019,136,7203,3567,1110,11879
POA2603,511,802,144,6,1469,273,38,1779,31,21,8,0,64,68,4,139,88,64,34,3,192,110,21,320,123,89,44,3,256,180,20,458,43,16,23,4,89,124,26,237,172,67,41,3,282,311,53,653,89,25,12,3,133,245,31,413,0,0,0,0,0,0,0,3,299,114,79,13,504,689,109,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,9,938,1000,261,24,2235,1151,177,3556
POA2604,347,582,222,15,1165,407,53,1623,33,25,12,0,73,43,3,115,80,57,27,3,165,76,16,251,108,81,42,3,237,119,18,369,118,58,37,3,213,191,27,433,182,70,28,11,285,311,110,705,421,92,36,3,562,562,105,1232,0,0,0,0,0,0,0,3,718,218,102,18,1053,1068,246,2369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,7,0,0,4,1181,880,366,39,2463,1588,320,4372
POA2605,819,1312,250,29,2406,589,69,3066,40,20,6,0,69,83,4,156,71,91,44,0,202,96,11,313,114,104,49,3,276,179,16,470,20,30,9,0,62,76,3,141,86,64,28,3,183,182,26,397,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,11,107,95,37,4,252,267,30,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,4,1043,1516,338,37,2936,1035,121,4087
POA2606,441,576,195,16,1227,338,47,1614,52,50,14,0,119,116,8,239,203,151,55,8,420,453,48,925,257,198,69,11,537,571,59,1166,27,25,3,0,51,79,15,144,221,104,26,8,363,357,48,761,104,24,10,4,135,111,12,260,0,0,0,0,0,4,0,4,347,151,42,8,551,548,71,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,10,1050,931,303,37,2321,1458,181,3959
POA2607,1097,1521,317,27,2959,649,69,3677,145,113,49,6,319,317,13,647,103,77,55,5,243,137,19,399,246,188,106,12,559,460,31,1048,5,0,3,0,12,23,4,35,21,17,8,3,56,74,13,138,47,30,12,3,95,88,9,192,3,0,0,0,3,0,0,3,77,49,25,7,161,190,26,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,10,1427,1766,452,46,3684,1299,124,5107
POA2609,48,47,19,0,114,95,7,219,3,0,0,0,4,5,0,13,0,0,0,0,0,0,0,0,3,0,0,0,4,5,0,13,3,0,0,0,3,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,10,0,13,0,0,3,0,5,20,0,22,8,4,7,0,22,64,5,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,12,0,26,84,5,119,0,4,0,0,4,4,0,11,68,57,31,4,153,200,13,377
POA2611,2228,3171,808,60,6270,1351,157,7778,229,100,68,8,410,589,19,1018,183,122,64,8,374,198,47,622,412,228,134,21,788,787,65,1642,20,17,18,0,54,71,7,129,48,25,6,9,90,102,9,207,124,44,18,3,193,167,34,391,15,11,5,0,27,51,0,74,210,101,44,11,360,391,53,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,10,3,0,19,0,10,4,0,18,3,0,19,5,4,3,0,11,6,3,17,2858,3507,992,89,7445,2543,276,10259
