POA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
POA2600,2899,3289,6190,1462,1072,2535,342,616,954,65,113,178,71,78,147,1938,1872,3815,791,1227,2012,3.7,4.2,3.9,66.9,56.9,61.6,64.5,54.8,59.2,655,541,1195,162,248,409,877,962,1841,198,287,481,181,110,285,7,15,26,27,58,83,214,181,394,2451,2824,5276,622,692,1312,1537,1783,3324,1505,1688,3190
POA2601,3072,3178,6251,729,523,1255,431,591,1024,151,233,388,256,306,561,1567,1657,3226,1224,1299,2520,16.3,18.5,17.4,51,52.1,51.6,42.7,42.4,42.7,403,350,756,66,79,140,689,749,1434,112,91,206,71,51,130,10,23,34,17,17,33,102,91,191,1513,1453,2972,1263,1506,2768,222,158,376,2566,2792,5359
POA2602,12110,13235,25343,5561,4358,9919,1895,3089,4982,318,461,780,428,385,812,8203,8294,16492,3139,4125,7266,5.2,4.6,4.9,67.7,62.7,65.1,64.2,59.8,61.9,2040,2082,4123,548,879,1429,3139,3758,6896,771,915,1683,1171,648,1825,76,76,153,109,210,317,1359,933,2294,10227,11188,21419,3048,3131,6180,6168,7023,13189,6663,6920,13579
POA2603,3857,4017,7870,1935,1515,3452,440,715,1156,89,116,208,114,87,203,2574,2441,5016,954,1255,2211,4.4,3.6,4,66.7,60.8,63.7,63.9,58.4,61.2,716,630,1347,181,261,441,1080,1239,2317,215,313,529,272,162,439,25,33,49,24,68,95,322,259,584,3213,3231,6442,893,960,1855,1912,1876,3794,2136,2248,4381
POA2604,4303,4692,8997,2351,2037,4385,443,707,1153,122,200,319,124,123,238,3034,3065,6102,857,1150,2010,4.1,4,3.9,70.5,65.3,67.8,67.8,62.7,65.1,765,738,1500,204,308,512,1129,1345,2472,314,347,667,401,219,626,10,39,48,30,77,111,448,337,787,3134,3379,6514,1254,1296,2548,1573,1753,3325,2692,2810,5503
POA2605,4417,4997,9414,1946,1499,3440,573,1033,1611,127,186,316,106,94,202,2752,2814,5573,1351,1877,3222,3.9,3.3,3.6,62.3,56.3,59.2,59.9,54.4,57,788,674,1466,186,290,483,1203,1407,2611,290,448,742,404,202,605,20,27,47,40,104,149,460,337,796,4251,4661,8914,792,941,1734,2827,3233,6054,2058,2248,4311
POA2606,3942,4028,7968,1850,1480,3326,549,788,1344,109,131,247,152,95,250,2664,2502,5165,966,1251,2222,5.7,3.8,4.8,67.6,62.1,64.8,63.6,59.6,61.7,501,440,943,173,215,384,985,1175,2159,322,400,718,450,235,687,24,44,60,38,82,125,508,356,872,3175,3300,6473,934,984,1914,1766,1801,3564,2287,2366,4652
POA2607,5368,5850,11225,2492,1779,4275,780,1294,2074,143,208,353,179,128,309,3600,3405,7005,1558,2224,3775,5,3.8,4.4,67.1,58.2,62.4,63.6,56.1,59.7,735,552,1282,217,311,525,1265,1541,2810,482,675,1153,645,324,971,31,60,90,65,149,213,738,534,1278,5252,5474,10729,938,987,1927,3557,3828,7384,2488,2478,4961
POA2609,471,326,802,169,66,238,53,58,118,16,9,27,19,10,34,257,150,405,133,121,252,7.4,6.7,8.4,54.6,46,50.5,50.5,40.8,47.8,10,11,21,4,5,10,35,39,73,18,27,40,93,25,119,11,3,8,15,12,25,111,40,158,322,257,573,69,50,122,228,169,395,157,122,279
POA2611,10559,11729,22286,5234,3791,9025,1304,2633,3934,296,545,840,279,250,523,7115,7217,14333,2789,3772,6564,3.9,3.5,3.6,67.4,61.5,64.3,64.7,59.4,61.9,1243,1097,2339,399,726,1122,2347,2932,5283,981,1223,2209,1558,793,2347,81,97,175,135,289,425,1773,1185,2954,10019,10662,20687,2301,2447,4749,6392,6898,13292,5353,5711,11066
