POA_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA2600,2451,2824,5276,27,35,67,90,105,196,35,41,74,44,32,75,9,9,21,15,8,24,7,3,7,5,7,14,286,338,615,0,0,0,488,540,1030,95,110,210,5,3,8,622,692,1312,282,312,591,3356,3828,7184
POA2601,1513,1453,2972,153,160,311,236,304,543,97,142,242,49,70,117,33,28,58,35,35,61,8,17,23,5,9,21,276,286,562,0,0,0,733,885,1621,367,444,812,9,11,20,1263,1506,2768,336,261,596,3114,3219,6334
POA2602,10227,11188,21419,268,302,567,355,373,727,107,124,227,88,105,196,33,29,58,49,38,80,16,19,37,16,11,27,1537,1580,3118,3,3,3,2196,2279,4472,541,517,1053,44,40,81,3048,3131,6180,1232,1273,2506,14503,15596,30103
POA2603,3213,3231,6442,53,57,105,170,156,333,45,67,111,47,57,101,21,24,41,19,19,37,4,6,11,5,0,9,390,412,803,0,0,0,702,742,1447,133,150,286,14,11,19,893,960,1855,485,499,989,4595,4691,9283
POA2604,3134,3379,6514,133,152,287,226,272,498,86,73,155,76,76,152,19,19,35,35,31,59,0,6,10,14,10,23,448,467,919,4,0,9,915,942,1857,194,186,381,16,13,28,1254,1296,2548,574,636,1207,4962,5310,10269
POA2605,4251,4661,8914,89,112,203,130,160,291,34,47,80,28,28,61,15,9,27,18,20,30,3,3,5,10,6,17,338,380,716,0,0,0,569,663,1228,130,163,288,8,7,16,792,941,1734,496,461,949,5538,6058,11598
POA2606,3175,3300,6473,67,87,156,92,130,219,31,32,62,32,40,69,4,10,14,9,6,15,7,4,15,0,0,5,523,499,1021,0,0,0,698,724,1421,154,163,313,13,9,20,934,984,1914,496,424,922,4600,4707,9307
POA2607,5252,5474,10729,59,55,111,124,126,248,33,41,74,40,42,76,11,12,26,9,10,22,0,0,0,10,11,17,525,556,1079,0,0,0,753,789,1545,123,133,253,4,4,13,938,987,1927,407,421,825,6605,6884,13488
POA2609,322,257,573,0,0,0,30,18,47,0,0,0,4,6,9,0,0,0,6,0,6,0,0,0,0,0,0,26,25,55,0,0,0,71,43,116,3,3,6,0,0,0,69,50,122,113,69,181,508,371,876
POA2611,10019,10662,20687,73,101,177,259,300,563,64,51,114,51,49,101,21,15,37,20,15,39,8,10,17,18,23,44,1540,1627,3171,0,0,0,1983,2099,4089,228,232,452,19,15,31,2301,2447,4749,1038,1157,2202,13364,14270,27635
POA2612,5016,4380,9400,213,173,389,383,335,717,179,172,349,182,135,318,42,55,100,61,43,103,21,13,32,32,30,55,954,917,1873,0,3,0,1854,1693,3550,418,386,800,23,18,39,2518,2267,4780,1036,822,1865,8568,7477,16043
