POA_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2600,96,124,370,363,470,330,103,17,0,1872,143,35,39,77,65,185,343,201,138,1227,6,10,27,22,33,21,38,21,15,191,245,165,428,465,564,534,482,239,161,3289,13,115,570,559,705,448,109,10,0,2535,112,107,104,126,172,163,132,31,3,954,6,0,32,33,18,26,7,7,0,140,6,3,11,6,9,3,4,3,0,42,131,223,725,730,907,635,256,51,3,3664,3,10,15,12,21,10,0,0,0,67,24,4,4,14,9,17,11,0,0,74,27,17,18,24,27,23,10,3,0,147,164,243,742,757,931,662,266,53,7,3815,243,61,56,104,92,282,617,336,226,2012,9,20,58,51,61,48,60,30,20,363,412,316,859,907,1084,990,950,420,254,6190
POA2601,449,501,453,101,89,56,9,0,3,1657,339,620,188,42,24,32,27,11,13,1299,40,50,66,18,25,12,12,3,3,220,824,1165,706,162,139,103,48,15,16,3178,9,103,630,228,160,108,15,3,0,1255,287,454,192,30,26,24,10,0,0,1024,38,40,32,10,6,4,0,0,0,135,89,120,30,0,5,3,0,0,0,250,422,722,886,275,193,134,22,4,4,2668,3,20,24,8,0,5,0,0,0,65,261,177,54,4,0,0,0,0,0,498,261,192,81,10,0,5,0,0,0,561,688,914,974,284,198,143,22,4,4,3226,630,1210,413,75,34,57,69,18,19,2520,57,108,170,60,42,32,24,3,5,505,1375,2233,1554,416,276,226,115,25,31,6251
POA2602,384,1088,2168,1893,1677,909,151,17,3,8294,326,256,384,296,298,612,829,739,397,4125,26,71,165,129,90,92,62,83,89,814,736,1414,2715,2321,2066,1610,1047,833,483,13235,83,792,2981,2446,2355,1099,148,16,0,9919,494,995,999,994,756,532,189,29,6,4982,17,65,170,159,89,88,15,0,3,612,8,17,46,47,27,15,4,0,0,172,607,1868,4201,3644,3220,1734,358,46,6,15679,16,54,97,73,77,51,7,0,0,362,105,115,84,43,28,48,12,3,0,451,124,171,186,113,109,91,15,3,0,812,731,2042,4380,3759,3323,1826,378,45,9,16492,709,553,649,463,496,1052,1455,1224,673,7266,63,135,356,267,202,167,126,141,122,1580,1503,2726,5387,4493,4022,3038,1958,1415,799,25343
POA2603,114,193,586,492,572,369,90,15,5,2441,121,33,72,81,107,184,301,186,174,1255,5,24,69,40,42,47,32,30,37,323,237,245,723,620,714,607,424,233,212,4017,19,228,896,697,911,562,114,16,5,3452,157,142,139,181,218,168,122,21,3,1156,10,7,40,40,33,25,7,0,0,158,0,0,14,10,6,6,3,3,3,46,185,385,1093,922,1173,762,253,45,8,4815,5,15,20,23,32,21,0,0,0,108,31,18,8,8,14,7,5,0,0,94,38,28,35,30,40,26,5,0,0,203,220,410,1126,954,1211,791,256,45,8,5016,333,72,103,120,166,325,533,318,250,2211,23,42,144,83,96,91,58,43,62,643,571,524,1371,1155,1470,1204,849,406,315,7870
POA2604,111,241,1063,654,577,339,70,9,4,3065,97,37,94,86,108,208,236,187,103,1150,3,22,108,47,50,49,32,64,104,477,208,304,1257,782,735,598,336,255,205,4692,21,262,1678,991,869,484,69,3,0,4385,119,171,211,191,178,180,79,15,5,1153,4,8,103,59,35,25,8,0,0,257,3,7,17,19,10,9,7,0,0,65,148,448,2011,1262,1094,707,159,18,3,5858,10,15,37,28,25,27,3,0,0,132,40,19,13,19,8,9,8,0,0,106,45,30,49,41,31,36,9,0,0,238,194,481,2058,1311,1127,739,167,20,3,6102,241,64,133,118,169,375,431,299,170,2010,20,44,206,99,111,102,67,104,138,888,460,594,2401,1534,1409,1212,666,424,310,8997
POA2605,180,213,488,672,751,423,78,14,3,2814,127,47,75,102,122,232,424,430,312,1877,9,8,31,51,48,52,37,44,37,305,315,265,595,822,919,704,542,486,353,4997,26,173,663,887,1074,552,66,8,0,3440,257,189,187,327,290,227,106,20,0,1611,19,15,44,64,45,53,23,6,0,262,0,8,8,17,9,9,0,0,0,59,306,384,904,1291,1423,839,201,27,3,5371,4,13,19,20,21,16,0,0,0,89,43,12,9,13,14,9,8,3,0,118,46,20,32,33,37,18,11,3,0,202,353,408,936,1323,1459,853,205,33,3,5573,297,99,131,134,191,397,751,758,470,3222,22,16,79,98,105,86,79,72,53,621,663,521,1146,1560,1752,1346,1039,857,532,9414
POA2606,94,225,862,528,465,228,80,9,0,2502,98,49,124,99,76,167,301,244,89,1251,14,31,89,42,33,19,21,20,6,270,211,309,1080,669,574,424,398,275,98,4028,38,235,1208,762,677,345,63,6,0,3326,108,175,337,287,207,128,90,15,0,1344,5,18,59,36,21,18,8,8,0,168,0,5,30,14,7,7,3,0,0,76,151,427,1632,1098,916,500,156,31,4,4918,14,18,55,28,22,10,3,0,0,148,32,16,19,18,3,5,5,0,0,103,43,31,78,41,24,17,6,3,0,250,190,456,1709,1144,944,517,165,29,4,5165,228,90,186,165,138,285,528,444,158,2222,19,53,181,90,74,62,45,42,8,580,443,601,2075,1399,1152,871,738,516,177,7968
POA2607,234,315,569,786,873,490,131,8,0,3405,176,55,111,115,127,303,683,465,193,2224,9,12,30,30,29,30,30,26,18,225,426,381,708,927,1024,825,847,497,215,5850,56,286,792,1038,1244,729,114,4,0,4275,337,274,290,379,342,258,167,26,0,2074,7,19,59,55,59,39,19,3,0,265,4,10,23,15,21,9,3,3,0,87,408,593,1166,1489,1664,1037,304,35,0,6701,16,24,35,31,32,18,4,0,0,158,53,25,21,15,18,9,8,3,0,145,66,49,53,46,42,34,17,3,0,309,472,640,1220,1537,1708,1072,321,37,0,7005,405,127,146,150,183,498,1117,816,333,3775,31,29,63,59,63,55,64,46,31,438,899,795,1429,1747,1954,1630,1503,907,369,11225
POA2609,6,15,26,30,32,30,9,3,0,150,8,3,14,3,13,18,34,18,3,121,0,0,10,3,7,12,14,4,3,57,12,14,45,40,55,64,61,28,8,326,6,18,43,45,62,40,17,4,0,238,8,9,16,11,33,25,14,0,0,118,0,3,3,0,0,4,3,0,0,14,0,0,0,0,6,0,0,0,0,9,15,33,60,62,99,73,36,4,0,375,0,4,0,7,8,3,0,0,0,29,0,0,0,0,0,0,0,0,0,3,4,7,0,7,11,8,0,0,0,34,12,36,62,65,111,74,34,4,0,405,17,7,28,21,27,43,67,31,14,252,3,9,20,13,22,27,35,9,3,140,36,51,107,106,164,143,130,49,14,802
POA2611,397,565,1716,1894,1510,859,247,24,3,7217,290,90,234,243,223,542,1219,683,250,3772,28,30,128,109,68,84,86,96,116,739,720,677,2076,2246,1807,1481,1548,805,374,11729,123,543,2294,2581,2184,1076,210,16,0,9025,492,434,613,909,670,503,269,38,3,3934,24,29,236,171,89,84,40,0,0,680,11,15,41,33,32,14,9,0,0,162,649,1024,3187,3699,2980,1672,531,61,5,13801,13,49,66,57,51,28,9,0,0,270,81,38,36,29,33,28,15,3,0,258,96,84,97,84,80,56,19,3,0,523,744,1109,3285,3782,3059,1732,552,64,5,14333,606,168,321,350,371,910,2143,1265,432,6564,48,65,256,216,157,144,165,174,157,1395,1404,1339,3871,4351,3580,2788,2859,1501,591,22286
