POA_CODE_2016,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
POA2600,58,14,0,0,69,3,0,4,73,5,0,82,69,18,3,0,86,0,0,0,85,0,0,84,39,0,0,0,41,0,0,0,41,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,162,30,3,0,194,3,3,8,199,6,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,30,3,0,194,3,3,8,199,6,0,207,45,7,3,0,52,0,0,0,51,6,0,61,0,0,0,0,0,0,0,0,0,0,0,0,205,34,10,0,250,3,3,3,256,12,0,269,91,4,0,0,91,0,4,4,100,7,0,103,85,8,0,0,92,0,0,0,89,0,0,93,7,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,183,8,0,0,191,0,4,7
POA2601,9,0,0,0,8,0,0,0,9,0,0,9,10,0,0,0,7,0,0,0,7,0,0,7,12,0,0,0,17,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,28,3,4,0,33,0,0,0,36,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,4,0,33,0,0,0,36,0,0,36,16,0,0,0,18,0,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,38,3,3,0,50,0,0,0,47,0,0,47,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
POA2602,231,39,4,3,281,9,0,9,286,18,0,302,456,81,8,6,548,0,3,8,554,21,0,569,145,29,23,0,198,0,0,0,198,0,0,198,7,0,0,3,10,0,0,0,10,0,0,15,836,149,34,11,1030,9,3,15,1047,36,0,1087,6,0,0,0,6,0,0,0,7,3,0,7,11,3,0,0,21,0,0,0,21,0,0,18,23,3,0,0,29,0,0,0,30,5,0,33,853,160,34,11,1060,9,3,17,1071,45,0,1119,211,42,13,0,269,5,4,16,282,30,0,305,0,0,0,0,0,0,0,0,0,0,0,3,1070,200,44,12,1324,18,12,27,1355,66,3,1429,399,65,6,3,463,14,0,18,481,25,0,501,415,76,0,4,498,3,0,3,500,9,4,515,31,5,6,0,40,0,3,3,43,0,0,43,4,0,0,12,15,0,0,0,15,0,0,15,848,142,16,13,1015,20,5,21
POA2603,65,3,0,0,74,0,0,3,75,4,0,73,68,8,3,0,76,0,0,0,76,0,0,76,39,4,8,0,51,0,0,0,51,0,0,51,0,0,0,0,5,0,0,0,5,0,0,5,176,13,6,0,198,0,0,3,201,4,0,203,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,7,0,0,0,7,0,0,7,4,3,0,0,8,0,0,0,8,0,0,11,179,18,6,0,207,0,0,3,209,4,0,213,71,0,0,0,71,0,0,4,76,3,0,82,0,0,0,0,0,0,0,0,0,0,0,0,253,19,10,0,281,0,4,5,288,5,0,292,131,3,3,0,138,0,0,0,138,3,0,141,107,6,0,0,120,0,0,0,120,0,0,121,8,0,0,0,13,0,0,0,8,0,0,8,0,0,0,0,3,0,0,0,3,0,0,3,249,9,11,3,270,0,0,3
POA2604,92,19,0,0,111,0,0,0,116,4,0,120,98,11,0,3,111,0,0,0,111,4,0,116,51,10,12,0,73,0,0,0,73,0,0,73,0,0,0,3,3,0,0,0,3,0,0,3,245,37,9,5,301,0,0,0,303,11,0,308,4,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,4,0,0,4,8,0,0,0,8,0,0,0,11,0,0,11,252,37,9,5,306,5,0,5,309,11,0,316,61,5,4,0,76,5,0,3,83,3,0,86,3,0,0,0,3,0,0,0,3,0,0,3,314,47,18,5,388,5,0,10,391,13,0,406,120,8,0,0,130,3,0,3,133,7,0,147,74,6,0,0,83,0,0,0,83,0,0,83,0,3,0,0,8,0,0,0,6,0,0,6,0,0,0,0,3,0,0,0,3,0,0,3,196,20,3,0,221,5,0,5
POA2605,117,17,0,3,135,0,0,0,139,4,0,149,155,30,0,0,185,0,0,0,183,7,0,191,53,6,5,0,67,0,0,0,67,0,0,67,4,0,0,0,3,0,0,0,3,0,0,3,330,53,7,3,388,0,0,0,395,9,0,400,11,0,0,0,11,0,0,0,8,0,0,8,4,0,0,0,3,0,0,0,3,0,0,3,15,0,0,0,15,0,0,0,18,0,0,18,340,53,7,3,402,0,0,3,404,9,0,418,79,16,0,0,91,3,0,5,96,7,0,102,0,0,0,0,0,0,0,0,0,0,4,4,419,69,7,3,494,3,3,9,501,17,4,520,223,27,3,3,261,4,0,3,264,15,0,273,221,19,3,4,244,3,0,3,247,3,0,252,14,0,9,0,26,0,0,0,26,0,0,26,3,0,0,3,8,0,0,0,8,0,0,8,465,48,13,15,538,7,0,7
POA2606,82,38,0,3,123,3,0,3,126,5,0,130,95,22,0,0,113,0,0,0,112,8,0,125,35,10,11,0,52,0,0,0,57,0,0,57,3,0,0,0,3,0,0,0,3,0,0,3,214,66,11,5,292,6,0,6,301,17,0,314,6,0,0,0,6,0,0,0,10,0,0,10,9,0,0,0,13,0,0,0,12,0,0,12,16,0,0,3,18,3,0,3,23,0,0,23,231,66,11,9,310,9,0,9,323,17,0,337,70,25,3,0,95,0,0,0,98,7,0,100,0,0,0,0,0,0,0,0,0,0,4,4,301,91,13,11,410,7,0,7,419,23,5,441,109,25,0,0,133,3,3,8,143,11,0,153,128,26,0,0,149,0,0,0,150,8,0,159,4,0,3,0,9,0,0,0,9,0,0,9,0,0,0,0,3,0,0,0,3,0,0,3,241,55,4,0,298,3,3,5
POA2607,114,23,0,0,142,3,0,3,146,3,0,146,165,32,0,0,201,0,0,0,198,0,4,201,72,6,5,3,82,0,0,0,82,0,0,82,3,3,0,4,9,0,0,0,13,0,0,13,354,58,13,8,435,4,0,10,439,3,4,449,6,0,0,0,6,0,0,0,8,0,0,8,4,4,0,0,8,0,0,0,8,0,0,12,9,4,0,0,16,0,0,0,13,0,0,19,367,65,13,8,450,7,0,8,458,5,4,465,99,11,0,3,118,8,0,8,118,11,0,127,0,0,0,0,6,0,0,0,6,0,0,6,470,72,12,11,568,12,0,12,579,16,4,595,238,27,0,3,272,9,0,8,278,12,3,292,240,21,6,5,266,3,0,4,274,5,0,278,15,3,3,0,20,0,0,0,20,0,0,20,3,0,0,3,4,0,0,0,4,0,0,4,497,51,9,5,561,6,0,12
POA2609,3,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,8,0,0,0,8,0,0,8,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,15,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,15,0,0,0,15,0,0,15,11,6,0,0,17,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,21,6,0,0,30,0,0,0,30,0,0,28,8,0,0,0,8,0,0,0,8,0,0,8,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,12,0,0,0
POA2611,324,47,10,0,379,6,4,6,384,14,0,401,494,78,3,5,581,5,0,5,586,7,4,600,247,27,28,3,305,0,0,0,306,7,0,312,0,0,0,3,3,0,0,0,3,0,0,3,1069,150,37,15,1267,12,4,13,1280,26,6,1309,8,0,0,0,4,0,0,0,4,0,0,4,11,0,0,0,17,0,0,0,12,3,0,15,19,3,0,0,21,0,0,0,23,3,0,26,1083,153,37,15,1284,14,4,16,1300,28,6,1336,249,29,11,5,296,7,0,7,296,20,0,320,0,0,0,0,0,0,0,0,0,0,0,0,1330,178,51,21,1577,15,3,18,1597,51,6,1656,451,45,6,0,505,7,0,5,508,21,0,533,638,63,3,4,711,5,0,5,718,6,0,730,28,6,8,0,39,0,0,0,39,0,0,39,0,0,0,3,4,0,0,0,4,0,0,4,1120,117,12,12,1259,13,0,13
