POA_CODE_2016,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
POA2600,197,11,0,209,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,5,4,0,0,0,4,0,0,0,4,0,0,5,191,8,0,0,201,0,4,7,201,12,0,214,38,4,0,0,44,0,0,3,48,3,0,58,0,0,0,0,0,0,0,0,0,0,0,0,226,16,0,0,250,3,3,8,252,14,0,271,76,0,0,0,78,0,0,0,79,6,0,81,49,7,0,0,59,0,0,0,59,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,10,0,0,138,0,0,0,138,6,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,10,0,0,134,0,0,0,138,6,0,141,20,0,0,0
POA2601,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,6,0,0,6,3,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,10,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0
POA2602,1038,32,4,1079,12,0,0,0,12,0,0,0,12,3,0,18,11,0,0,0,14,4,0,4,17,3,0,19,23,0,0,0,30,4,0,4,29,4,0,37,875,142,16,13,1044,22,5,25,1070,33,6,1108,139,31,0,0,170,3,3,7,179,24,0,200,0,0,0,0,0,0,0,0,0,0,0,0,1014,170,21,15,1219,24,7,27,1249,66,6,1314,253,36,3,0,296,3,3,8,303,16,0,318,219,39,0,0,259,0,0,3,260,15,0,270,6,0,3,0,10,0,0,0,10,0,0,10,4,0,0,3,3,0,0,0,3,0,0,3,483,79,7,4,570,8,3,9,575,26,0,609,3,0,0,0,3,0,0,0,3,3,0,5,8,0,0,0,7,0,0,0,7,0,0,10,10,0,0,0,15,0,0,0,15,3,0,17,496,74,7,4,584,8,3,9,590,27,3,621,66,6,3,0
POA2603,269,6,0,278,0,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,7,0,0,0,7,0,0,6,255,16,11,3,275,0,0,3,275,5,0,285,53,3,0,0,57,0,0,0,55,5,0,59,0,0,0,0,0,0,0,0,0,0,0,0,300,15,9,3,330,3,0,4,332,6,0,341,102,6,0,0,113,8,0,8,116,4,0,119,84,3,0,0,86,0,0,0,86,0,0,86,0,0,0,0,3,0,0,0,3,0,0,4,3,0,0,0,3,0,0,0,3,0,0,3,196,13,3,0,206,8,0,8,210,4,0,217,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,200,13,3,0,211,8,0,8,216,4,0,219,29,3,0,0
POA2604,225,9,0,238,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,4,7,0,0,7,6,0,0,0,8,4,0,4,5,0,0,5,205,18,3,0,228,8,0,8,233,9,0,249,45,3,4,0,48,3,0,3,48,6,0,58,0,0,0,0,0,0,0,0,0,0,0,0,245,25,8,3,274,8,0,8,289,20,0,303,59,3,3,0,69,3,0,3,73,8,0,83,36,5,0,0,42,0,0,0,42,4,0,45,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,100,13,3,3,121,3,0,3,119,8,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,3,9,0,0,9,0,3,0,0,3,3,0,3,9,0,0,9,97,15,3,3,121,4,0,4,127,8,0,133,23,0,0,0
POA2605,542,18,0,556,3,0,0,0,3,0,3,3,10,0,0,10,9,0,0,0,12,0,0,0,12,3,0,13,11,0,3,0,17,0,3,3,18,3,0,19,478,48,14,15,552,7,4,6,561,17,0,578,99,20,0,0,111,3,0,3,117,15,0,131,3,0,0,0,3,0,0,0,3,0,0,3,576,68,14,15,670,11,4,12,681,35,0,714,150,24,0,3,177,0,0,3,182,6,0,187,111,6,0,0,123,0,0,0,126,3,0,128,4,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,265,30,0,6,307,3,0,3,310,14,0,323,3,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,10,0,0,0,10,0,0,10,4,0,0,0,7,0,0,0,7,0,0,7,278,30,3,6,315,3,0,3,324,14,0,330,26,4,0,0
POA2606,306,24,0,330,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,7,0,0,7,9,0,0,0,9,0,0,0,13,0,0,13,257,55,4,0,313,6,3,5,315,24,0,339,39,14,0,0,57,0,0,0,57,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,298,62,3,3,368,6,3,5,375,26,0,402,59,10,0,0,75,0,0,3,75,3,0,87,67,8,0,0,69,0,0,0,71,0,0,78,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,129,18,0,0,150,3,0,3,153,6,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,18,0,0,154,3,0,3,157,6,0,164,18,3,0,0
POA2607,571,19,3,594,3,0,0,0,3,0,0,0,5,0,0,5,11,0,0,0,11,0,0,0,11,0,0,11,14,0,0,0,14,0,0,4,18,0,0,18,512,51,9,5,581,11,3,13,596,19,3,613,72,7,0,3,83,8,0,8,93,15,0,103,0,0,0,0,0,0,0,0,0,0,0,0,584,63,9,14,668,13,3,16,685,26,3,719,153,16,3,3,176,5,0,5,179,15,0,187,120,8,0,0,135,5,0,5,139,3,0,140,0,0,0,0,3,3,0,3,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,272,28,6,5,313,7,0,7,319,14,0,335,3,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,7,0,0,7,10,0,0,0,10,0,0,0,10,0,0,10,280,28,6,5,316,7,0,10,329,14,0,343,32,4,0,0
POA2609,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,9,0,0,0,9,0,0,13,3,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0
POA2611,1273,31,0,1304,10,0,0,0,16,0,0,0,16,0,0,16,18,0,0,0,18,0,0,0,20,0,0,20,31,0,0,0,32,0,0,0,34,0,0,32,1145,118,11,12,1290,9,0,14,1304,27,0,1338,175,21,3,0,201,3,0,0,202,29,0,231,0,0,0,0,0,0,0,0,0,0,0,3,1322,141,19,12,1490,15,4,20,1508,59,3,1569,324,30,8,0,366,3,4,5,368,14,0,388,275,28,0,0,306,3,0,3,308,4,0,314,11,3,0,0,18,0,0,0,18,0,0,18,5,0,0,4,8,0,0,0,8,0,0,8,615,62,8,4,687,5,4,10,704,18,0,720,7,0,0,0,4,0,0,0,4,0,0,4,10,0,0,0,10,0,0,0,8,0,0,8,14,0,0,0,10,0,0,0,13,0,0,13,623,62,8,4,703,9,4,10,718,18,0,730,63,6,0,3
