POA_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
POA2600,31,0,0,0,31,3,0,39,395,31,0,0,433,3,3,10,441,34,0,467,306,34,3,0,335,0,0,4,336,3,0,346,47,3,4,3,55,0,0,0,55,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,743,64,7,6,819,4,9,12,829,37,0,869,3,0,0,0,3,0,0,0,3,3,0,4,15,0,0,0,21,0,0,0,21,0,0,20,24,0,0,0,26,0,0,0,26,7,0,30,766,69,7,6,842,4,9,12,858,37,0,898,144,14,7,0,168,6,3,5,173,19,0,197,0,0,0,0,0,0,0,0,0,0,0,0,914,77,16,3,1012,7,8,19,1027,64,0,1090
POA2601,0,0,0,0,0,0,0,0,16,0,0,0,20,4,0,4,19,0,0,25,12,0,0,0,17,0,0,0,17,0,0,17,12,0,0,0,17,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,37,7,4,0,44,4,0,4,48,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3,4,0,51,4,0,4,52,0,0,49,17,0,4,0,24,0,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,60,3,4,0,72,4,0,4,73,0,0,71
POA2602,82,3,0,3,85,17,0,104,1419,188,23,9,1639,38,5,43,1684,87,0,1772,1405,247,17,14,1676,16,11,21,1705,70,9,1783,195,39,32,0,266,0,3,3,266,0,0,266,11,0,0,14,35,0,0,0,35,0,0,33,3030,476,70,37,3613,57,14,70,3689,155,9,3850,31,4,0,0,39,0,0,0,34,8,0,44,45,7,0,0,56,4,0,4,53,4,4,65,76,14,0,0,86,4,0,4,92,12,4,106,3106,486,70,37,3702,54,14,76,3777,168,8,3959,522,95,14,3,637,14,11,24,664,106,0,768,3,0,0,10,12,0,0,0,12,0,0,13,3634,583,88,52,4349,72,29,102,4449,270,15,4739
POA2603,36,0,0,0,36,8,0,39,549,36,10,0,592,14,3,22,609,20,0,636,401,28,6,0,433,3,0,3,434,7,0,443,51,7,7,0,63,0,4,4,66,3,0,68,4,0,0,4,8,0,0,0,8,0,0,8,1007,65,24,4,1095,17,4,23,1123,30,0,1155,7,3,0,0,7,0,0,0,7,3,0,11,13,3,0,0,13,0,0,0,13,0,0,13,18,6,0,0,23,0,0,0,23,3,0,31,1027,71,24,4,1127,17,4,23,1151,32,0,1182,207,14,3,0,232,3,3,5,232,22,0,258,7,0,0,0,7,0,0,0,7,0,3,6,1238,92,24,4,1359,26,6,32,1387,56,3,1449
POA2604,33,0,0,0,34,5,0,33,443,54,13,3,507,12,0,12,523,33,0,553,272,35,0,3,317,0,0,0,317,8,0,325,57,12,18,0,93,3,0,3,94,4,0,99,4,0,0,9,10,0,0,0,10,0,0,10,781,102,28,16,924,13,0,13,937,45,0,981,5,0,0,0,5,3,0,3,7,6,0,14,13,3,0,0,12,6,0,6,19,0,0,19,21,3,0,0,21,10,0,10,32,6,0,35,802,105,28,16,948,25,0,25,971,48,0,1016,159,15,10,0,185,10,0,13,193,24,0,219,3,0,0,0,3,0,0,0,3,0,3,8,959,120,37,13,1136,34,0,37,1169,72,3,1241
POA2605,72,0,0,0,72,10,0,78,817,124,5,7,949,12,3,16,969,50,0,1023,673,87,9,7,767,3,0,3,768,18,0,794,91,8,16,0,118,0,0,0,118,3,0,120,7,0,0,11,17,0,0,0,17,0,0,17,1586,217,26,25,1850,16,3,19,1871,78,0,1947,22,0,0,0,19,0,3,3,25,0,0,25,21,0,7,0,27,0,0,0,27,3,0,33,45,0,8,0,50,0,3,3,52,3,0,57,1625,218,33,25,1904,16,5,19,1924,75,0,2004,259,39,0,0,298,9,0,10,308,47,0,351,3,0,0,0,3,0,0,0,3,0,4,6,1885,257,33,25,2204,22,10,31,2234,126,3,2357
POA2606,31,0,0,0,33,7,0,41,396,107,0,4,505,12,4,13,516,43,0,558,388,54,3,0,445,7,0,10,448,27,0,478,46,11,21,0,79,0,0,0,81,0,0,86,6,0,0,0,8,0,0,0,8,0,0,8,838,166,25,5,1034,18,6,22,1059,74,0,1131,4,0,0,0,8,0,0,0,8,0,0,8,20,0,0,0,24,3,0,3,28,0,0,28,28,0,0,3,32,4,0,4,38,0,0,38,865,166,24,9,1067,22,6,26,1095,74,0,1169,163,39,4,0,212,8,0,8,217,22,0,239,0,0,0,3,3,0,0,0,3,0,4,7,1028,211,30,11,1285,27,6,35,1315,92,5,1415
POA2607,84,0,0,3,83,7,0,92,897,110,14,9,1025,27,4,29,1049,62,3,1121,747,91,10,9,850,13,0,15,870,13,7,892,99,7,14,5,127,3,0,3,126,0,0,128,11,8,0,4,23,0,0,0,21,0,0,21,1749,212,39,24,2023,43,4,51,2068,82,5,2156,16,0,0,0,16,4,0,4,20,0,0,20,32,4,0,0,31,3,0,6,39,0,0,37,44,4,0,0,49,3,0,10,56,0,0,57,1795,213,39,24,2071,50,8,58,2129,82,5,2217,278,42,0,8,326,10,0,10,336,40,0,378,4,0,0,8,6,0,0,0,6,0,0,9,2072,252,36,35,2403,60,8,66,2471,125,11,2602
POA2609,0,0,0,0,0,0,0,0,17,0,0,0,17,0,0,0,17,0,0,17,25,0,0,0,21,0,0,0,21,0,0,21,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,3,3,0,0,0,3,0,0,3,42,4,0,3,45,0,0,0,45,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,3,0,3,49,0,0,0,49,0,0,49,16,4,0,0,21,0,0,0,21,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3,54,11,0,4,76,0,0,0,76,0,0,72
POA2611,99,0,0,0,101,12,0,113,1684,195,28,4,1910,20,11,36,1943,90,0,2033,1833,221,11,15,2074,17,0,17,2097,30,4,2133,292,38,43,3,375,3,0,5,380,10,0,395,3,0,3,11,21,0,0,0,21,0,0,21,3817,455,84,28,4383,44,13,56,4439,131,11,4580,30,3,6,0,35,4,0,4,34,0,0,34,46,0,0,0,42,3,0,3,48,7,0,54,74,3,6,0,80,9,0,9,88,7,0,90,3885,456,89,28,4465,46,13,58,4527,134,11,4670,569,72,14,14,666,9,3,15,683,85,3,775,9,0,0,0,6,0,0,0,6,4,4,13,4464,529,106,48,5141,60,16,76,5219,224,15,5454
