POA_CODE_2016,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
POA2600,0,3,7,4,6,0,0,27,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,7,4,6,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,4,6,0,0,29,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,8,3,3,4,10,4,0,38,3,8,7,3,10,13,0,47,4,10,12,3,9,3,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,17,12,19,12,3,90,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,14,19,10,19,12,3,91,7,3,6,6,10,4,0,41,0,0,0,0,0,0,0,0,16,19,30,21,31,15,6,133,6,13,16,7,20,11,0,73
POA2601,3,3,0,0,0,5,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,3,11,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,3,0,5,3,15,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,4,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,4,0,3,0,0,7,3,20,3,3,0,0,0,6,4,15
POA2602,4,16,19,6,16,10,9,83,3,8,7,7,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,18,12,20,15,8,102,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,24,26,12,19,15,8,108,9,10,7,7,5,3,0,36,0,0,0,0,0,0,0,0,10,38,32,16,24,16,11,149,25,64,61,39,70,29,17,307,34,57,37,22,29,10,7,191,5,0,0,0,3,4,0,15,0,0,0,0,0,0,0,5,61,125,102,61,99,47,22,515,0,9,0,4,8,3,0,27,0,16,5,0,0,0,0,23,3,24,6,3,5,5,0,54,60,150,106,71,105,46,22,566,65,60,31,16,28,7,6,216,3,3,0,0,0,0,0,10,127,212,140,88,142,62,31,795,25,86,79,49,83,40,20,389
POA2603,3,7,4,9,15,4,0,43,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,8,7,11,4,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,8,7,11,4,0,45,3,0,0,4,4,0,0,9,0,0,0,0,0,0,0,0,6,10,8,13,14,4,0,57,13,20,21,12,19,8,5,100,5,22,15,9,11,3,0,65,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,16,44,31,22,32,14,9,169,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,11,16,46,35,25,32,13,9,177,5,10,3,7,9,8,5,41,0,0,0,0,0,0,0,0,23,51,44,30,42,20,14,217,17,28,25,16,30,12,3,139
POA2604,7,10,4,3,11,4,0,41,4,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,3,3,14,4,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,9,12,3,4,15,4,0,48,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,16,7,6,17,9,0,59,9,18,17,24,36,13,3,121,16,21,12,3,11,4,0,59,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,25,41,30,26,47,15,9,187,0,0,0,0,3,0,0,4,3,6,3,3,6,0,0,18,3,5,3,3,7,0,0,21,29,45,30,29,53,19,9,211,23,26,16,9,12,9,5,86,0,0,0,0,0,0,0,0,52,66,45,34,63,28,7,301,14,28,20,22,49,16,4,164
POA2605,3,14,5,5,10,3,0,37,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,6,5,10,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,6,5,10,3,3,45,0,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,3,13,6,8,8,3,3,52,3,30,27,10,24,14,8,110,13,19,19,7,14,3,0,78,0,0,3,0,3,4,0,8,0,0,0,0,0,0,0,0,16,52,49,17,38,17,7,196,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,4,0,0,0,0,7,16,49,48,18,40,17,7,203,13,19,6,0,5,7,0,54,0,0,0,0,0,0,0,0,31,69,61,26,45,25,8,261,5,41,32,16,29,13,10,148
POA2606,0,3,3,0,9,3,0,17,0,6,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,6,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,3,10,3,0,27,0,5,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,12,7,6,10,3,0,35,8,17,20,10,21,8,9,83,10,12,9,10,8,0,3,52,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,21,28,24,23,34,11,5,144,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,4,0,0,0,0,7,21,31,28,21,34,11,5,153,23,31,10,9,6,7,0,83,0,0,0,0,0,0,0,0,40,60,42,33,44,15,5,233,8,16,18,11,24,11,9,103
POA2607,3,0,11,3,18,7,0,43,0,3,4,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,17,10,18,7,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,17,10,18,7,0,49,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,3,8,9,17,6,21,9,0,59,7,34,16,17,39,12,10,146,11,20,13,10,9,5,3,80,3,0,0,0,3,0,0,8,0,0,0,0,3,0,0,7,24,56,32,34,51,27,16,239,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,10,28,59,35,34,55,25,16,250,20,29,10,10,8,5,4,93,0,0,0,0,0,0,0,0,49,92,46,41,65,35,17,340,12,32,26,24,52,23,10,186
POA2609,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,5,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,9,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,11,7,5,0,0,0,0,0,12
POA2611,12,22,23,23,26,5,3,108,0,3,9,3,6,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,25,30,21,34,5,3,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,13,25,36,21,37,5,3,135,0,0,6,0,5,0,0,12,0,3,0,0,0,0,0,3,13,28,38,28,36,11,4,153,24,91,55,30,65,30,16,310,43,75,46,38,33,8,7,252,8,0,4,3,0,0,3,20,0,0,0,0,0,0,0,7,75,172,101,78,103,39,26,586,3,8,0,3,3,3,0,19,0,9,0,4,0,0,0,15,3,15,4,6,5,3,0,34,81,186,103,85,105,43,21,624,67,53,28,15,16,12,3,192,0,0,0,0,0,0,0,0,141,237,133,95,121,52,28,816,31,114,73,53,90,36,23,418
